Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",AFR,Africa,,2.34658000000000E+05,2.43887000000000E+05,2.49861000000000E+05,2.57889000000000E+05,2.68140000000000E+05,2.80366000000000E+05,3.01426000000000E+05,3.07168000000000E+05,3.20401000000000E+05,3.32376000000000E+05,3.39663000000000E+05,3.55022000000000E+05,3.64456000000000E+05,3.74397000000000E+05,3.83958000000000E+05,3.95985000000000E+05,4.00605000000000E+05,4.14185000000000E+05,4.30689000000000E+05,4.36600000000000E+05,4.51517000000000E+05,4.59956000000000E+05,4.65839000000000E+05,4.82859000000000E+05,5.03887000000000E+05,5.14328000000000E+05,5.13317000000000E+05,5.17593000000000E+05,5.07619000000000E+05,5.24627000000000E+05,5.37100000000000E+05,5.27555000000000E+05,5.47847000000000E+05,5.52182000000000E+05,5.72944000000000E+05,5.61733000000000E+05,5.54490000000000E+05,5.47963000000000E+05,5.43890000000000E+05,5.49892000000000E+05,5.60349000000000E+05,5.65312000000000E+05,5.67277000000000E+05,5.71678000000000E+05,5.76340000000000E+05,5.80393000000000E+05,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",AFR,Africa,,,,,,,,,,,1.73709000000000E+06,1.44530000000000E+06,1.12116000000000E+06,1.71924500000000E+06,1.73376000000000E+06,1.94627000000000E+06,3.16804000000000E+06,3.38982900000000E+06,3.53502300000000E+06,3.66133700000000E+06,4.51186000000000E+06,4.93765900000000E+06,4.65834300000000E+06,5.13319000000000E+06,7.65447000000000E+06,5.90366900000000E+06,6.31645200000000E+06,5.96088900000000E+06,5.11111200000000E+06,4.29754800000000E+06,6.17373900000000E+06,5.44111200000000E+06,6.65262500000000E+06,3.37367100000000E+06,3.45716500000000E+06,2.41286200000000E+06,1.67221600000000E+06,1.99038500000000E+06,2.24474300000000E+06,2.62770000000000E+06,3.47552300000000E+06,2.09085800000000E+06,3.65918600000000E+06,3.31291700000000E+06,2.91405800000000E+06,3.06881500000000E+06,2.23902600000000E+06,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),AFR,Africa,,7.08859000000000E+05,7.72662000000000E+05,8.71228000000000E+05,9.86966000000000E+05,1.06591400000000E+06,1.13570600000000E+06,1.24062700000000E+06,1.35650200000000E+06,1.42538400000000E+06,1.59722200000000E+06,1.83151200000000E+06,2.03094400000000E+06,2.04313200000000E+06,2.15833500000000E+06,2.31334700000000E+06,2.44284800000000E+06,2.51600300000000E+06,2.60316800000000E+06,2.73376900000000E+06,3.19410300000000E+06,3.47385900000000E+06,3.36570800000000E+06,3.17620500000000E+06,3.37568200000000E+06,3.51058200000000E+06,3.59175200000000E+06,3.45575100000000E+06,3.61718900000000E+06,3.45028500000000E+06,3.53926500000000E+06,3.45386100000000E+06,3.37325600000000E+06,3.82887900000000E+06,3.37768200000000E+06,3.45488100000000E+06,3.74444100000000E+06,3.66749500000000E+06,3.77643600000000E+06,3.89161000000000E+06,3.85698500000000E+06,3.94115200000000E+06,3.79325800000000E+06,4.43526300000000E+06,4.92678100000000E+06,4.89396900000000E+06,3.81664900000000E+06,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),AFR,Africa,,4.95103161188483E+01,5.38571777088488E+01,6.00097808941941E+01,6.75033171465699E+01,7.23669149246739E+01,7.67197854532435E+01,8.34051779195546E+01,9.02709789046383E+01,9.42197074357330E+01,1.05213988814745E+02,1.19308970099667E+02,1.32483398348315E+02,1.32999088660330E+02,1.40799851263283E+02,1.49255897078558E+02,1.56543649751039E+02,1.61024192000000E+02,1.64949561514675E+02,1.72894230890853E+02,2.01677200603622E+02,2.19090742819662E+02,2.10947402727637E+02,1.98243944150745E+02,2.08968800297140E+02,2.13801751543867E+02,2.17211971673409E+02,2.07951029299378E+02,2.15645172829054E+02,2.03880681153408E+02,2.06463714633558E+02,1.98910784289447E+02,1.91241432914954E+02,2.00640403200915E+02,1.75973729618885E+02,1.76865910033326E+02,1.91114283497714E+02,1.86523642126377E+02,1.89731181553184E+02,1.94845294755572E+02,1.93118650517471E+02,1.95374449120824E+02,2.08283439490445E+02,2.38003688704268E+02,2.61766243564472E+02,2.53584034571381E+02,1.96312513823379E+02,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",AFR,Africa,,2.52113997000000E+08,2.55419835000000E+08,2.59942213000000E+08,2.63742480000000E+08,2.68398442000000E+08,2.80012744000000E+08,2.85220682000000E+08,2.89910515000000E+08,2.94716640000000E+08,2.99733062000000E+08,3.02859824000000E+08,3.05719294000000E+08,3.09819335000000E+08,3.13633047000000E+08,3.20928593000000E+08,3.25670785000000E+08,3.31363670000000E+08,3.39767273000000E+08,3.46237441000000E+08,3.53979709000000E+08,3.62767077000000E+08,3.71157576000000E+08,3.80774916000000E+08,3.91418393000000E+08,4.00244474000000E+08,4.08072453000000E+08,4.16058005000000E+08,4.24040963000000E+08,4.33268338000000E+08,4.38649518000000E+08,4.48854335000000E+08,4.63168686000000E+08,4.77571981000000E+08,4.85938311000000E+08,5.01830722000000E+08,5.09017718000000E+08,5.13589778000000E+08,5.16449664000000E+08,5.20719020000000E+08,5.26097220000000E+08,5.23490387000000E+08,5.32371012000000E+08,5.39327692000000E+08,5.47674434000000E+08,5.68566195000000E+08,5.96053436000000E+08,6.03058382000000E+08,,,
AG.LND.AGRI.HA,Agricultural land (hectares),AFR,Africa,,1.04910000000000E+09,1.04907700000000E+09,1.04996000000000E+09,1.05022600000000E+09,1.05107600000000E+09,1.05424800000000E+09,1.05531200000000E+09,1.05721000000000E+09,1.05889200000000E+09,1.05983600000000E+09,1.06499100000000E+09,1.06522100000000E+09,1.06491000000000E+09,1.06508400000000E+09,1.06626300000000E+09,1.06788200000000E+09,1.06904300000000E+09,1.07126800000000E+09,1.07196300000000E+09,1.07377300000000E+09,1.06956600000000E+09,1.07074200000000E+09,1.07264100000000E+09,1.07374000000000E+09,1.07811800000000E+09,1.08268400000000E+09,1.08552300000000E+09,1.09060900000000E+09,1.09453260000000E+09,1.09745310000000E+09,1.10051070000000E+09,1.10510030000000E+09,1.09250390000000E+09,1.09844840000000E+09,1.10357300000000E+09,1.10587180000000E+09,1.10922760000000E+09,1.11471740000000E+09,1.11821620000000E+09,1.12113500000000E+09,1.12575000000000E+09,1.12884000000000E+09,1.13465370000000E+09,1.13854900000000E+09,1.14942150000000E+09,1.15085030000000E+09,1.15240330000000E+09,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),AFR,Africa,,1.04910000000000E+07,1.04907700000000E+07,1.04996000000000E+07,1.05022600000000E+07,1.05107600000000E+07,1.05424800000000E+07,1.05531200000000E+07,1.05721000000000E+07,1.05889200000000E+07,1.05983600000000E+07,1.06499100000000E+07,1.06522100000000E+07,1.06491000000000E+07,1.06508400000000E+07,1.06626300000000E+07,1.06788200000000E+07,1.06904300000000E+07,1.07126800000000E+07,1.07196300000000E+07,1.07377300000000E+07,1.06956600000000E+07,1.07074200000000E+07,1.07264100000000E+07,1.07374000000000E+07,1.07811800000000E+07,1.08268400000000E+07,1.08552300000000E+07,1.09060900000000E+07,1.09453260000000E+07,1.09745310000000E+07,1.10051070000000E+07,1.10510030000000E+07,1.09250390000000E+07,1.09844840000000E+07,1.10357300000000E+07,1.10587180000000E+07,1.10922760000000E+07,1.11471740000000E+07,1.11821620000000E+07,1.12113500000000E+07,1.12575000000000E+07,1.12884000000000E+07,1.13465370000000E+07,1.13854900000000E+07,1.14942150000000E+07,1.15085030000000E+07,1.15240330000000E+07,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),AFR,Africa,,4.86499671095702E+01,4.85872999570555E+01,4.85191356272865E+01,4.84475073468059E+01,4.83840292777146E+01,4.84235630536450E+01,4.84306835266156E+01,4.84501459038681E+01,4.85172874920948E+01,4.85475015937192E+01,4.86356638556344E+01,4.86039974334348E+01,4.86377548962584E+01,4.86521404128606E+01,4.87029211890642E+01,4.87325956662508E+01,4.87932066411025E+01,4.88615946206402E+01,4.88610522342419E+01,4.88987351490280E+01,4.89780134177730E+01,4.90189353450828E+01,4.90609112337710E+01,4.91036062950911E+01,4.93010862454421E+01,4.95119128812981E+01,4.96810097930477E+01,4.99151856447757E+01,5.01400201157384E+01,5.02480817837895E+01,5.03923606840459E+01,5.05581651055825E+01,5.01024522346782E+01,5.02839579718329E+01,5.04981700753876E+01,5.04796865987284E+01,5.05346888122041E+01,5.09204744312018E+01,5.10377233948820E+01,5.11688825635283E+01,5.12753878086571E+01,5.15510958384556E+01,5.17629521088589E+01,5.18634185805031E+01,5.22474231267863E+01,5.23558636821664E+01,5.24114227842851E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),AFR,Africa,,1.53429000000000E+08,1.54099000000000E+08,1.55847000000000E+08,1.56836000000000E+08,1.57991000000000E+08,1.58766000000000E+08,1.59518000000000E+08,1.60880000000000E+08,1.62347000000000E+08,1.62970000000000E+08,1.64701000000000E+08,1.64688000000000E+08,1.64930000000000E+08,1.64568000000000E+08,1.66340000000000E+08,1.67416000000000E+08,1.67865000000000E+08,1.69468000000000E+08,1.69863000000000E+08,1.70215000000000E+08,1.70144000000000E+08,1.70887000000000E+08,1.71501000000000E+08,1.72450000000000E+08,1.74945000000000E+08,1.75773000000000E+08,1.76313000000000E+08,1.77677000000000E+08,1.78911000000000E+08,1.80941000000000E+08,1.83178000000000E+08,1.86468000000000E+08,1.90153000000000E+08,1.91284000000000E+08,1.94615000000000E+08,1.95054700000000E+08,1.96013000000000E+08,1.96546000000000E+08,1.97298000000000E+08,1.97200000000000E+08,1.99560000000000E+08,2.01976000000000E+08,2.06638000000000E+08,2.09697000000000E+08,2.13069000000000E+08,,,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),AFR,Africa,,5.38990977404914E-01,5.28484075320540E-01,5.21881036672346E-01,5.12396850255003E-01,5.04224376332142E-01,4.94041471118136E-01,4.83839986749166E-01,4.76156060793722E-01,4.67539996960118E-01,4.56874043280990E-01,4.50253334617790E-01,4.38550136943062E-01,4.27852991007510E-01,4.15657356155280E-01,4.08592253349485E-01,3.99930452861156E-01,3.89417082945231E-01,3.82136279759186E-01,3.72168032726426E-01,3.61900475054926E-01,3.51631885889878E-01,3.43262652287774E-01,3.34436831355421E-01,3.26709734593058E-01,3.22001336027803E-01,3.14448617043642E-01,3.06455503471150E-01,3.00153111616241E-01,2.94031362902629E-01,2.89339410240585E-01,2.84957470807944E-01,2.81681218472117E-01,2.78724884034648E-01,2.73264623740772E-01,2.71130398930686E-01,2.65165127902051E-01,2.59512042137394E-01,2.56231674681511E-01,2.50823531975019E-01,2.44724141776973E-01,2.41308682485657E-01,2.38932516453231E-01,2.38826277164565E-01,2.34897826157333E-01,2.35883187377106E-01,2.31981154773776E-01,2.28119943551595E-01,,,
