Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",DZA,Algeria,,2.70000000000000E+04,2.73000000000000E+04,2.75000000000000E+04,2.80000000000000E+04,2.83000000000000E+04,3.00000000000000E+04,3.95000000000000E+04,3.98000000000000E+04,4.00000000000000E+04,4.02000000000000E+04,4.05000000000000E+04,4.07000000000000E+04,4.10000000000000E+04,4.13000000000000E+04,4.15000000000000E+04,4.18000000000000E+04,4.20000000000000E+04,4.21470000000000E+04,4.58470000000000E+04,4.70000000000000E+04,4.80000000000000E+04,4.92000000000000E+04,5.02790000000000E+04,6.13190000000000E+04,7.53100000000000E+04,8.26470000000000E+04,8.92710000000000E+04,9.17000000000000E+04,7.98090000000000E+04,9.14260000000000E+04,9.81570000000000E+04,9.15860000000000E+04,9.65400000000000E+04,9.05670000000000E+04,9.12040000000000E+04,9.20230000000000E+04,9.24260000000000E+04,9.28000000000000E+04,9.42590000000000E+04,9.57170000000000E+04,9.71760000000000E+04,9.77000000000000E+04,9.82000000000000E+04,9.92000000000000E+04,1.00200000000000E+05,1.01200000000000E+05,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",DZA,Algeria,,,,,,,,,,,1.64600000000000E+05,8.96000000000000E+04,1.37800000000000E+05,8.46200000000000E+04,5.40500000000000E+04,1.62500000000000E+04,6.50000000000000E+03,1.66000000000000E+04,6.02000000000000E+03,1.89300000000000E+04,2.85000000000000E+04,5.37000000000000E+03,2.34400000000000E+03,6.45800000000000E+03,1.60800000000000E+03,3.60400000000000E+03,3.93700000000000E+03,4.83500000000000E+03,4.73930000000000E+04,1.02650000000000E+04,2.61120000000000E+04,1.94580000000000E+04,1.53880000000000E+04,1.83540000000000E+04,2.37720000000000E+04,1.71770000000000E+04,3.55490000000000E+04,1.28790000000000E+04,2.73360000000000E+04,1.71200000000000E+04,3.64490000000000E+04,2.97590000000000E+04,3.31460000000000E+04,2.72770000000000E+04,3.66060000000000E+04,2.90950000000000E+04,1.03560000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),DZA,Algeria,,4.90000000000000E+04,5.50000000000000E+04,5.30000000000000E+04,5.25000000000000E+04,3.90540000000000E+04,5.13000000000000E+04,5.15300000000000E+04,6.80000000000000E+04,7.00000000000000E+04,1.11000000000000E+05,1.79000000000000E+05,2.15000000000000E+05,1.88000000000000E+05,1.71000000000000E+05,1.23000000000000E+05,1.66000000000000E+05,1.41017000000000E+05,1.78107000000000E+05,1.69852000000000E+05,2.35700000000000E+05,1.66100000000000E+05,1.31339000000000E+05,1.54900000000000E+05,2.03935000000000E+05,2.80632000000000E+05,2.71660000000000E+05,2.41200000000000E+05,1.46500000000000E+05,1.17000000000000E+05,1.27000000000000E+05,9.15000000000000E+04,9.68000000000000E+04,1.30900000000000E+05,1.19300000000000E+05,4.64000000000000E+04,3.80000000000000E+04,9.70000000000000E+04,1.08000000000000E+05,9.30000000000000E+04,9.23000000000000E+04,1.05300000000000E+05,7.27660000000000E+04,4.50330000000000E+04,1.55932000000000E+05,1.71414000000000E+05,8.69160000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),DZA,Algeria,,7.57107540173053E+01,8.73015873015873E+01,8.54838709677419E+01,8.56164383561643E+01,6.29598581331613E+01,8.24626265873653E+01,8.17806697349627E+01,1.08921992631747E+02,1.12305470880795E+02,1.77656850192061E+02,2.80564263322884E+02,3.30261136712749E+02,2.88697788697788E+02,2.61308068459657E+02,1.79693206720233E+02,2.34066553863508E+02,2.04254055619930E+02,2.58425710969239E+02,2.48104002337131E+02,3.42836363636363E+02,2.41249092229484E+02,1.90871966283970E+02,2.34981796116504E+02,2.94916847433116E+02,4.06124457308248E+02,3.89923927084828E+02,3.41208091667845E+02,2.06308970567525E+02,1.64118389675971E+02,1.79353198700748E+02,1.26033057851239E+02,1.28008463369478E+02,1.73768750829682E+02,1.59555971646382E+02,6.17103338209868E+01,5.05251961175375E+01,1.26797385620915E+02,1.40973763216290E+02,1.21204222598722E+02,1.20464630644740E+02,1.38863246736120E+02,9.64171193851861E+01,6.00143928995029E+01,2.08103563325770E+02,2.28217281320729E+02,1.16353413654618E+02,,,,
AG.CRP.BLY.CD,"Producer Price for Barley (per tonne, current US$)",DZA,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24510000000000E+02,2.15240000000000E+02,2.01319999999999E+02,1.71139999999999E+02,2.09810000000000E+02,1.82650000000000E+02,1.73289999999999E+02,1.70250000000000E+02,1.50210000000000E+02,1.32870000000000E+02,1.29509999999999E+02,1.25500000000000E+02,1.80889999999999E+02,1.94300000000000E+02,1.91069999999999E+02,1.92520000000000E+02,2.15819999999999E+02,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",DZA,Algeria,,,,,,,3.02000000000000E+02,3.02000000000000E+02,3.08000000000000E+02,3.17000000000000E+02,3.17000000000000E+02,3.17000000000000E+02,3.17000000000000E+02,3.17000000000000E+02,3.17000000000000E+02,4.07000000000000E+02,4.97000000000000E+02,5.62000000000000E+02,6.37000000000000E+02,8.00000000000000E+02,8.00000000000000E+02,8.00000000000000E+02,8.00000000000000E+02,8.00000000000000E+02,1.00000000000000E+03,1.40000000000000E+03,1.35000000000000E+03,1.74000000000000E+03,1.70000000000000E+03,2.30000000000000E+03,2.30000000000000E+03,2.30000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,6.00000000000000E+03,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.40000000000000E+04,1.40000000000000E+04,1.40000000000000E+04,1.40000000000000E+04,1.49456000000000E+04,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",DZA,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73229999999999E+02,5.22070000000000E+02,4.88319999999999E+02,3.25170000000000E+02,3.35690000000000E+02,2.92240000000000E+02,2.77259999999999E+02,2.72389999999999E+02,2.40330000000000E+02,2.12599999999999E+02,2.07210000000000E+02,2.00800000000000E+02,2.15220000000000E+02,2.45039999999999E+02,2.59790000000000E+02,2.85649999999999E+02,3.19940000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",DZA,Algeria,,,,,,,3.58000000000000E+02,3.85000000000000E+02,4.00000000000000E+02,4.00000000000000E+02,4.00000000000000E+02,4.00000000000000E+02,4.00000000000000E+02,4.00000000000000E+02,4.40000000000000E+02,4.80000000000000E+02,4.80000000000000E+02,5.12000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.85000000000000E+03,2.05000000000000E+03,2.05000000000000E+03,2.30000000000000E+03,3.20000000000000E+03,3.20000000000000E+03,3.20000000000000E+03,1.14000000000000E+04,1.14000000000000E+04,1.14000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.66570000000000E+04,1.76562999999999E+04,1.90359000000000E+04,2.07724000000000E+04,2.21562000000000E+04,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",DZA,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70670000000000E+02,6.41139999999999E+02,5.99690000000000E+02,3.99329999999999E+02,5.44470000000000E+02,4.74000000000000E+02,4.49699999999999E+02,4.41800000000000E+02,3.89810000000000E+02,3.44819999999999E+02,3.36089999999999E+02,3.25680000000000E+02,3.49079999999999E+02,3.97440000000000E+02,4.21380000000000E+02,4.63310000000000E+02,5.18929999999999E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",DZA,Algeria,,,,,,,6.70000000000000E+02,6.64000000000000E+02,7.03000000000000E+02,6.97000000000000E+02,6.96000000000000E+02,6.92000000000000E+02,6.86000000000000E+02,7.20000000000000E+02,7.20000000000000E+02,9.20000000000000E+02,1.12000000000000E+03,1.13200000000000E+03,1.50000000000000E+03,1.50000000000000E+03,1.50000000000000E+03,1.50000000000000E+03,1.50000000000000E+03,1.50000000000000E+03,1.50000000000000E+03,1.70000000000000E+03,2.20000000000000E+03,2.80000000000000E+03,3.50000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,1.40000000000000E+04,1.40000000000000E+04,1.40000000000000E+04,2.59510000000000E+04,2.59510000000000E+04,2.59510000000000E+04,2.59510000000000E+04,2.59510000000000E+04,2.59510000000000E+04,2.59510000000000E+04,2.59510000000000E+04,2.70170000000000E+04,2.86377999999999E+04,3.08755000000000E+04,3.36920000000000E+04,3.59365000000000E+04,,,
