Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",AGO,Angola,,8.00000000000000E+02,1.64500000000000E+03,2.00000000000000E+03,2.81700000000000E+03,3.00000000000000E+03,3.72900000000000E+03,4.50000000000000E+03,5.30000000000000E+03,6.40000000000000E+03,7.11300000000000E+03,8.10800000000000E+03,8.50000000000000E+03,8.70000000000000E+03,9.00000000000000E+03,9.30000000000000E+03,9.50000000000000E+03,9.80000000000000E+03,1.00000000000000E+04,1.02000000000000E+04,1.02500000000000E+04,1.02500000000000E+04,1.02500000000000E+04,1.02500000000000E+04,1.02500000000000E+04,1.02500000000000E+04,1.02700000000000E+04,1.02700000000000E+04,1.02700000000000E+04,1.02700000000000E+04,1.02900000000000E+04,1.02900000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,1.03000000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",AGO,Angola,,,,,,,,,,,,,,,,6.00000000000000E+03,9.64300000000000E+03,1.61600000000000E+04,1.07310000000000E+04,1.08800000000000E+04,2.47500000000000E+04,7.45340000000000E+04,6.12720000000000E+04,6.89290000000000E+04,8.37250000000000E+04,5.25420000000000E+04,6.90440000000000E+04,1.08696000000000E+05,8.86480000000000E+04,9.83840000000000E+04,9.92340000000000E+04,1.08342000000000E+05,1.11680000000000E+05,2.22189000000000E+05,2.29599000000000E+05,2.31163000000000E+05,1.90065000000000E+05,1.32179000000000E+05,1.45354000000000E+05,1.74479000000000E+05,2.12338000000000E+05,1.80679000000000E+05,2.27866000000000E+05,1.72605000000000E+05,6.28450000000000E+04,3.75780000000000E+04,7.23900000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),AGO,Angola,,1.00000000000000E+03,1.00000000000000E+03,1.40000000000000E+03,2.10000000000000E+03,4.00000000000000E+03,5.20000000000000E+03,6.70000000000000E+03,7.60000000000000E+03,1.05000000000000E+04,1.13000000000000E+04,2.50000000000000E+04,2.23000000000000E+04,2.14000000000000E+04,1.51000000000000E+04,4.10000000000000E+03,2.10000000000000E+03,3.16000000000000E+04,2.35000000000000E+04,1.37000000000000E+04,1.68000000000000E+04,1.21000000000000E+04,5.00000000000000E+03,8.60000000000000E+03,6.99100000000000E+03,2.03430000000000E+04,1.20000000000000E+04,1.03000000000000E+04,1.59090000000000E+04,2.36010000000000E+04,9.50000000000000E+03,6.90000000000000E+03,9.10000000000000E+03,8.00000000000000E+03,1.00000000000000E+04,8.00000000000000E+03,6.00000000000000E+03,2.00000000000000E+03,3.40000000000000E+03,3.40000000000000E+03,1.40000000000000E+03,0.00000000000000E+00,5.14600000000000E+03,5.90400000000000E+03,1.48550000000000E+04,7.46000000000000E+03,1.20780000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),AGO,Angola,,3.74531835205992E+00,3.70370370370370E+00,5.14705882352941E+00,7.63636363636363E+00,1.44404332129963E+01,1.85714285714285E+01,2.36749116607773E+01,2.65734265734265E+01,3.62068965517241E+01,3.89655172413793E+01,8.62068965517241E+01,7.68965517241379E+01,7.37931034482758E+01,5.20689655172413E+01,1.41379310344827E+01,7.24137931034482E+00,1.08965517241379E+02,8.10344827586206E+01,4.72413793103448E+01,5.79310344827586E+01,4.17241379310344E+01,1.72413793103448E+01,2.96551724137931E+01,2.41068965517241E+01,7.01482758620689E+01,4.13793103448275E+01,3.55172413793103E+01,5.48586206896551E+01,8.13827586206896E+01,3.27586206896551E+01,2.33898305084745E+01,3.03333333333333E+01,2.66666666666666E+01,3.33333333333333E+01,2.66666666666666E+01,2.00000000000000E+01,6.66666666666666E+00,1.13333333333333E+01,1.13333333333333E+01,4.66666666666666E+00,0.00000000000000E+00,1.66000000000000E+01,1.78909090909090E+01,4.50151515151515E+01,2.26060606060606E+01,3.66000000000000E+01,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",AGO,Angola,,1.11716400000000E+06,1.14973500000000E+06,1.18325600000000E+06,1.21775400000000E+06,1.25325800000000E+06,1.28979800000000E+06,1.32740200000000E+06,1.36610300000000E+06,1.40593200000000E+06,1.44692300000000E+06,1.46191600000000E+06,1.47608800000000E+06,1.47567900000000E+06,1.52137000000000E+06,1.70675900000000E+06,1.79210700000000E+06,1.82939000000000E+06,1.85592300000000E+06,1.89678000000000E+06,1.92865700000000E+06,1.96267300000000E+06,1.99530400000000E+06,2.02801000000000E+06,2.06197200000000E+06,2.09768800000000E+06,2.14353100000000E+06,2.16722700000000E+06,2.20319400000000E+06,2.26887800000000E+06,2.34200700000000E+06,2.41287400000000E+06,2.48387900000000E+06,2.74455900000000E+06,2.79076300000000E+06,2.81026600000000E+06,2.83990700000000E+06,2.90291900000000E+06,2.98233900000000E+06,3.07109800000000E+06,3.16321700000000E+06,3.24060100000000E+06,3.32027100000000E+06,3.40230200000000E+06,3.48677300000000E+06,3.57376400000000E+06,3.65606600000000E+06,3.74070000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),AGO,Angola,,5.71700000000000E+07,5.72000000000000E+07,5.72200000000000E+07,5.72500000000000E+07,5.72700000000000E+07,5.73000000000000E+07,5.73300000000000E+07,5.73600000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74000000000000E+07,5.74040000000000E+07,5.74500000000000E+07,5.75000000000000E+07,5.75000000000000E+07,5.75000000000000E+07,5.75000000000000E+07,5.75000000000000E+07,5.75000000000000E+07,5.75000000000000E+07,5.74000000000000E+07,5.73000000000000E+07,5.73000000000000E+07,5.73900000000000E+07,5.75900000000000E+07,5.75900000000000E+07,5.75900000000000E+07,5.75900000000000E+07,5.75900000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),AGO,Angola,,5.71700000000000E+05,5.72000000000000E+05,5.72200000000000E+05,5.72500000000000E+05,5.72700000000000E+05,5.73000000000000E+05,5.73300000000000E+05,5.73600000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74000000000000E+05,5.74040000000000E+05,5.74500000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.75000000000000E+05,5.74000000000000E+05,5.73000000000000E+05,5.73000000000000E+05,5.73900000000000E+05,5.75900000000000E+05,5.75900000000000E+05,5.75900000000000E+05,5.75900000000000E+05,5.75900000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),AGO,Angola,,4.58570626453838E+01,4.58811261730969E+01,4.58971685249057E+01,4.59212320526189E+01,4.59372744044276E+01,4.59613379321408E+01,4.59854014598540E+01,4.60094649875671E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60415496911847E+01,4.60447581615464E+01,4.60816555707066E+01,4.61217614502286E+01,4.61217614502286E+01,4.61217614502286E+01,4.61217614502286E+01,4.61217614502286E+01,4.61217614502286E+01,4.61217614502286E+01,4.60415496911847E+01,4.59613379321408E+01,4.59613379321408E+01,4.60335285152803E+01,4.61939520333680E+01,4.61939520333680E+01,4.61939520333680E+01,4.61939520333680E+01,4.61939520333680E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),AGO,Angola,,2.67000000000000E+06,2.70000000000000E+06,2.72000000000000E+06,2.75000000000000E+06,2.77000000000000E+06,2.80000000000000E+06,2.83000000000000E+06,2.86000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.95000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.10000000000000E+06,3.30000000000000E+06,3.30000000000000E+06,3.30000000000000E+06,3.30000000000000E+06,3.30000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),AGO,Angola,,5.22622814893458E-01,5.18662335259875E-01,5.12904643106995E-01,5.09010786586399E-01,5.03137891205603E-01,4.98907126122117E-01,4.94471442352230E-01,4.89835233814114E-01,4.86693628374842E-01,4.76719407723807E-01,4.66740776518239E-01,4.56702694734879E-01,4.46532987008507E-01,4.36155747307001E-01,4.25527606543675E-01,4.14765776045359E-01,4.03904840576670E-01,3.92785053255558E-01,3.81232427156999E-01,3.69238416481580E-01,3.56782954534409E-01,3.44156338119598E-01,3.31940062613052E-01,3.20730043513113E-01,3.10783657066309E-01,3.02143730606149E-01,2.94487369081324E-01,2.87276304628189E-01,2.79891332672661E-01,2.72007773794583E-01,2.68113449252258E-01,2.63652034154539E-01,2.54806478301826E-01,2.46597874079727E-01,2.39251029437366E-01,2.32778557370409E-01,2.26949839546463E-01,2.21444688911179E-01,2.15892261126007E-01,2.10091124924524E-01,2.04020801144801E-01,2.04431197889003E-01,2.10905312973258E-01,2.04518431913799E-01,1.98584764612965E-01,1.93105422511446E-01,1.87985076263551E-01,,,
