Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",BEN,Benin,,6.40000000000000E+01,6.40000000000000E+01,6.40000000000000E+01,6.60000000000000E+01,6.60000000000000E+01,7.00000000000000E+01,7.20000000000000E+01,7.40000000000000E+01,7.60000000000000E+01,7.80000000000000E+01,8.00000000000000E+01,8.20000000000000E+01,8.40000000000000E+01,8.60000000000000E+01,8.80000000000000E+01,9.20000000000000E+01,9.40000000000000E+01,9.80000000000000E+01,1.00000000000000E+02,1.05000000000000E+02,1.08000000000000E+02,1.15000000000000E+02,1.20000000000000E+02,1.25000000000000E+02,1.30000000000000E+02,1.35000000000000E+02,1.40000000000000E+02,1.45000000000000E+02,1.50000000000000E+02,1.55000000000000E+02,1.58000000000000E+02,1.62000000000000E+02,1.65000000000000E+02,1.69000000000000E+02,1.72000000000000E+02,1.75000000000000E+02,1.78000000000000E+02,1.82000000000000E+02,1.85000000000000E+02,1.85000000000000E+02,1.85000000000000E+02,1.85000000000000E+02,1.85000000000000E+02,,,,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",BEN,Benin,,,,,,,,,,,1.30000000000000E+03,3.80000000000000E+03,9.90000000000000E+03,6.00000000000000E+03,8.80000000000000E+03,7.40000000000000E+03,7.40000000000000E+03,1.15000000000000E+04,5.00000000000000E+03,5.00000000000000E+03,1.11320000000000E+04,8.31000000000000E+03,1.39820000000000E+04,5.62100000000000E+03,2.14120000000000E+04,1.07770000000000E+04,7.99600000000000E+03,1.12780000000000E+04,1.81410000000000E+04,9.95600000000000E+03,8.64600000000000E+03,7.12600000000000E+03,1.60320000000000E+04,2.36470000000000E+04,1.13780000000000E+04,8.59100000000000E+03,1.13700000000000E+04,3.06130000000000E+04,9.74000000000000E+03,5.90000000000000E+03,1.09060000000000E+04,1.76350000000000E+04,9.41100000000000E+03,1.76340000000000E+04,1.18070000000000E+04,9.21900000000000E+03,6.12200000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),BEN,Benin,,5.91000000000000E+02,5.97000000000000E+02,4.25000000000000E+02,8.10000000000000E+02,1.10000000000000E+03,7.50000000000000E+02,2.49500000000000E+03,2.98600000000000E+03,4.54000000000000E+03,5.70000000000000E+03,5.30000000000000E+03,5.94600000000000E+03,4.37600000000000E+03,4.58100000000000E+03,2.41400000000000E+03,2.00000000000000E+03,1.10000000000000E+03,1.92000000000000E+03,1.33000000000000E+03,8.62000000000000E+02,2.76600000000000E+03,3.10000000000000E+03,5.40000000000000E+03,7.36100000000000E+03,1.14940000000000E+04,1.08190000000000E+04,9.46900000000000E+03,6.91400000000000E+03,3.30000000000000E+03,1.10030000000000E+04,1.18170000000000E+04,1.53250000000000E+04,1.72380000000000E+04,1.70550000000000E+04,3.60000000000000E+04,3.06810000000000E+04,3.89680000000000E+04,3.77070000000000E+04,5.67000000000000E+04,3.52000000000000E+04,3.11000000000000E+04,4.17370000000000E+04,2.12700000000000E+03,1.46000000000000E+02,1.30000000000000E+01,0.00000000000000E+00,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),BEN,Benin,,6.42391304347826E+00,6.35106382978723E+00,4.42708333333333E+00,8.26530612244897E+00,1.10000000000000E+01,7.28155339805825E+00,2.33177570093457E+01,2.71454545454545E+01,3.84745762711864E+01,4.75000000000000E+01,4.23999999999999E+01,4.64531250000000E+01,3.36615384615384E+01,3.44436090225563E+01,1.76204379562043E+01,1.42857142857142E+01,7.69230769230769E+00,1.32413793103448E+01,9.04761904761904E+00,5.74666666666666E+00,1.80784313725490E+01,2.00000000000000E+01,3.46153846153846E+01,4.68853503184713E+01,7.27468354430379E+01,6.80440251572327E+01,5.91812499999999E+01,4.29440993788819E+01,2.03703703703703E+01,6.81300309597523E+01,7.29444444444444E+01,9.40184049079754E+01,1.04472727272727E+02,1.00323529411764E+02,2.01117318435754E+02,1.57338461538461E+02,1.85561904761904E+02,1.67586666666666E+02,2.46521739130434E+02,1.47899159663865E+02,1.26938775510204E+02,1.63674509803921E+02,8.02641509433962E+00,5.30909090909090E-01,4.72727272727272E-02,0.00000000000000E+00,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",BEN,Benin,,4.89088200000000E+06,4.89638400000000E+06,4.90189200000000E+06,4.90740700000000E+06,4.91292700000000E+06,4.91845400000000E+06,4.92398700000000E+06,4.92952700000000E+06,4.93507200000000E+06,4.94062400000000E+06,4.98524700000000E+06,4.95425300000000E+06,4.94498400000000E+06,4.94365700000000E+06,5.01919900000000E+06,5.04331200000000E+06,5.02761300000000E+06,5.04497200000000E+06,5.01715400000000E+06,4.99648700000000E+06,4.97863200000000E+06,5.02846200000000E+06,5.15770800000000E+06,5.16128800000000E+06,5.17338200000000E+06,5.24015400000000E+06,5.35352000000000E+06,5.40450700000000E+06,5.52477600000000E+06,5.57916000000000E+06,5.62550500000000E+06,5.67637500000000E+06,5.73718700000000E+06,5.78293200000000E+06,5.82771100000000E+06,5.85953100000000E+06,5.89385300000000E+06,5.88233700000000E+06,5.89559200000000E+06,5.91032900000000E+06,1.21700000000000E+05,1.54300000000000E+05,1.62300000000000E+05,1.62300000000000E+05,6.06118800000000E+06,6.10055400000000E+06,6.14100000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),BEN,Benin,,1.44200000000000E+06,1.46200000000000E+06,1.48200000000000E+06,1.50200000000000E+06,1.52200000000000E+06,1.55200000000000E+06,1.59200000000000E+06,1.62200000000000E+06,1.70700000000000E+06,1.72700000000000E+06,1.77700000000000E+06,1.80700000000000E+06,1.82700000000000E+06,1.85700000000000E+06,1.89700000000000E+06,1.92700000000000E+06,1.95700000000000E+06,1.97700000000000E+06,1.99700000000000E+06,2.02700000000000E+06,2.05700000000000E+06,2.09000000000000E+06,2.10000000000000E+06,2.11000000000000E+06,2.13000000000000E+06,2.19000000000000E+06,2.20000000000000E+06,2.21000000000000E+06,2.22000000000000E+06,2.27000000000000E+06,2.28000000000000E+06,2.29500000000000E+06,2.32000000000000E+06,2.40000000000000E+06,2.52000000000000E+06,2.71000000000000E+06,2.89000000000000E+06,3.05000000000000E+06,3.11000000000000E+06,3.19500000000000E+06,3.26500000000000E+06,3.36500000000000E+06,3.46700000000000E+06,3.56700000000000E+06,3.56700000000000E+06,3.51700000000000E+06,3.52000000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),BEN,Benin,,1.44200000000000E+04,1.46200000000000E+04,1.48200000000000E+04,1.50200000000000E+04,1.52200000000000E+04,1.55200000000000E+04,1.59200000000000E+04,1.62200000000000E+04,1.70700000000000E+04,1.72700000000000E+04,1.77700000000000E+04,1.80700000000000E+04,1.82700000000000E+04,1.85700000000000E+04,1.89700000000000E+04,1.92700000000000E+04,1.95700000000000E+04,1.97700000000000E+04,1.99700000000000E+04,2.02700000000000E+04,2.05700000000000E+04,2.09000000000000E+04,2.10000000000000E+04,2.11000000000000E+04,2.13000000000000E+04,2.19000000000000E+04,2.20000000000000E+04,2.21000000000000E+04,2.22000000000000E+04,2.27000000000000E+04,2.28000000000000E+04,2.29500000000000E+04,2.32000000000000E+04,2.40000000000000E+04,2.52000000000000E+04,2.71000000000000E+04,2.89000000000000E+04,3.05000000000000E+04,3.11000000000000E+04,3.19500000000000E+04,3.26500000000000E+04,3.36500000000000E+04,3.46700000000000E+04,3.56700000000000E+04,3.56700000000000E+04,3.51700000000000E+04,3.52000000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),BEN,Benin,,1.30356174290363E+01,1.32164165612005E+01,1.33972156933646E+01,1.35780148255288E+01,1.37588139576930E+01,1.40300126559392E+01,1.43916109202675E+01,1.46628096185138E+01,1.54312059302115E+01,1.56120050623757E+01,1.60640028927861E+01,1.63352015910323E+01,1.65160007231965E+01,1.67871994214427E+01,1.71487976857711E+01,1.74199963840173E+01,1.76911950822636E+01,1.78719942144277E+01,1.80527933465919E+01,1.83239920448381E+01,1.85951907430844E+01,1.88935093111553E+01,1.89839088772373E+01,1.90743084433194E+01,1.92551075754836E+01,1.97975049719761E+01,1.98879045380582E+01,1.99783041041403E+01,2.00687036702223E+01,2.05207015006327E+01,2.06111010667148E+01,2.07467004158380E+01,2.09726993310432E+01,2.16958958596998E+01,2.27806906526848E+01,2.44982824082444E+01,2.61254745977219E+01,2.75718676550352E+01,2.81142650515277E+01,2.88826613632254E+01,2.95154583258000E+01,3.04194539866208E+01,3.13415295606581E+01,3.22455252214789E+01,3.22455252214789E+01,3.17935273910685E+01,3.18206472608931E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),BEN,Benin,,9.20000000000000E+05,9.40000000000000E+05,9.60000000000000E+05,9.80000000000000E+05,1.00000000000000E+06,1.03000000000000E+06,1.07000000000000E+06,1.10000000000000E+06,1.18000000000000E+06,1.20000000000000E+06,1.25000000000000E+06,1.28000000000000E+06,1.30000000000000E+06,1.33000000000000E+06,1.37000000000000E+06,1.40000000000000E+06,1.43000000000000E+06,1.45000000000000E+06,1.47000000000000E+06,1.50000000000000E+06,1.53000000000000E+06,1.55000000000000E+06,1.56000000000000E+06,1.57000000000000E+06,1.58000000000000E+06,1.59000000000000E+06,1.60000000000000E+06,1.61000000000000E+06,1.62000000000000E+06,1.61500000000000E+06,1.62000000000000E+06,1.63000000000000E+06,1.65000000000000E+06,1.70000000000000E+06,1.79000000000000E+06,1.95000000000000E+06,2.10000000000000E+06,2.25000000000000E+06,2.30000000000000E+06,2.38000000000000E+06,2.45000000000000E+06,2.55000000000000E+06,2.65000000000000E+06,2.75000000000000E+06,2.75000000000000E+06,2.70000000000000E+06,2.70000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),BEN,Benin,,3.99036586883927E-01,4.00911006286625E-01,4.02263907750829E-01,4.03119486672581E-01,4.03502075211172E-01,4.07380468440076E-01,4.14530735710699E-01,4.17153820161954E-01,4.37791172868522E-01,4.35329767740685E-01,4.43185403954632E-01,4.43307852367402E-01,4.39558507435132E-01,4.38761728628839E-01,4.40665939514257E-01,4.38779728501908E-01,4.36438527328224E-01,4.30699551121957E-01,4.24725618582525E-01,4.21356126265262E-01,4.17607534622530E-01,4.10860936561480E-01,4.01462558984114E-01,3.92259152880131E-01,3.83299030496047E-01,3.74659448699224E-01,3.66259279522214E-01,3.57837655945539E-01,3.49100237237315E-01,3.36802995064949E-01,3.26282279287157E-01,3.16585691297875E-01,3.08941034390754E-01,3.07189351154652E-01,3.12756626421819E-01,3.30154537720155E-01,3.45083140388037E-01,3.59079779068585E-01,3.56285503656806E-01,3.57393257671078E-01,3.56149532215760E-01,3.58502253502988E-01,3.60145264932370E-01,3.61331961585813E-01,3.49533645854543E-01,3.32176538789361E-01,3.21691592602141E-01,,,
