Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",BWA,Botswana,,5.50000000000000E+02,6.00000000000000E+02,7.00000000000000E+02,9.00000000000000E+02,1.20000000000000E+03,1.35000000000000E+03,1.45000000000000E+03,1.50000000000000E+03,1.54400000000000E+03,1.60000000000000E+03,1.65000000000000E+03,1.70000000000000E+03,1.75000000000000E+03,1.80000000000000E+03,1.85000000000000E+03,1.90000000000000E+03,1.95000000000000E+03,2.00000000000000E+03,2.05000000000000E+03,2.15000000000000E+03,2.29000000000000E+03,2.46000000000000E+03,2.57000000000000E+03,2.71000000000000E+03,2.87000000000000E+03,3.01000000000000E+03,3.15000000000000E+03,4.65000000000000E+03,5.00000000000000E+03,5.90000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",BWA,Botswana,,,,,,,,,,,9.60000000000000E+03,2.70000000000000E+03,7.00000000000000E+02,6.50000000000000E+03,5.40000000000000E+03,3.40000000000000E+03,3.40000000000000E+03,8.40000000000000E+03,8.76200000000000E+03,2.00000000000000E+04,1.13350000000000E+04,6.54000000000000E+03,1.19830000000000E+04,3.18040000000000E+04,3.85390000000000E+04,4.92660000000000E+04,4.38350000000000E+04,2.50990000000000E+04,2.47740000000000E+04,5.00000000000000E+03,,,1.01920000000000E+04,8.21100000000000E+03,7.20200000000000E+03,,1.04200000000000E+03,,,,,,,,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),BWA,Botswana,,1.11000000000000E+03,1.10000000000000E+03,1.10000000000000E+03,1.60000000000000E+03,2.10000000000000E+03,2.12000000000000E+03,2.70000000000000E+03,1.50000000000000E+03,1.50000000000000E+03,1.70000000000000E+03,1.65000000000000E+03,1.75000000000000E+03,1.90000000000000E+03,1.96100000000000E+03,2.40000000000000E+03,2.00000000000000E+03,2.10000000000000E+03,2.10000000000000E+03,1.10000000000000E+03,1.40000000000000E+03,1.40000000000000E+03,1.80000000000000E+03,1.30000000000000E+03,1.20000000000000E+03,4.51000000000000E+02,6.78000000000000E+02,9.00000000000000E+02,9.00000000000000E+02,9.00000000000000E+02,9.00000000000000E+02,9.00000000000000E+02,9.00000000000000E+02,1.00000000000000E+03,1.00000000000000E+03,2.28400000000000E+03,3.34100000000000E+03,3.80000000000000E+03,4.24800000000000E+03,4.60000000000000E+03,4.60000000000000E+03,4.60000000000000E+03,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),BWA,Botswana,,2.78195488721804E+01,2.75689223057644E+01,2.75689223057644E+01,4.01002506265664E+01,5.25000000000000E+01,5.30000000000000E+01,6.75000000000000E+01,3.75000000000000E+01,3.75000000000000E+01,4.25000000000000E+01,4.12500000000000E+01,4.36408977556109E+01,4.73815461346633E+01,4.89027431421446E+01,5.98503740648379E+01,4.98753117206982E+01,5.23690773067331E+01,5.23690773067331E+01,2.72952853598014E+01,3.47394540942928E+01,3.47394540942928E+01,4.44444444444444E+01,3.20987654320987E+01,2.96296296296296E+01,1.10810810810810E+01,1.66584766584766E+01,2.20048899755501E+01,2.20048899755501E+01,2.17391304347826E+01,2.14285714285714E+01,3.00000000000000E+01,3.60000000000000E+01,2.85714285714285E+01,2.53164556962025E+01,6.62028985507246E+01,9.68405797101449E+01,1.26666666666666E+02,1.84695652173913E+02,1.91666666666666E+02,1.31428571428571E+02,2.30000000000000E+02,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",BWA,Botswana,,5.73981000000000E+05,5.76056000000000E+05,5.78139000000000E+05,5.80229000000000E+05,5.82327000000000E+05,5.84432000000000E+05,5.86545000000000E+05,5.88666000000000E+05,5.90794000000000E+05,5.92930000000000E+05,5.90861000000000E+05,5.75915000000000E+05,5.71151000000000E+05,5.66922000000000E+05,5.88246000000000E+05,5.87883000000000E+05,6.04352000000000E+05,6.02542000000000E+05,6.11756000000000E+05,6.14719000000000E+05,6.18396000000000E+05,6.23522000000000E+05,6.17704000000000E+05,6.17114000000000E+05,6.19155000000000E+05,6.21253000000000E+05,6.20761000000000E+05,6.11014000000000E+05,6.03736000000000E+05,6.03128000000000E+05,6.02131000000000E+05,6.02829000000000E+05,6.12869000000000E+05,6.17330000000000E+05,6.23598000000000E+05,6.27466000000000E+05,6.29902000000000E+05,6.27897000000000E+05,6.30891000000000E+05,6.35448000000000E+05,6.39809000000000E+05,6.44515000000000E+05,6.49570000000000E+05,6.54980000000000E+05,6.60750000000000E+05,6.65032000000000E+05,6.69000000000000E+05,,,
AG.LND.AGRI.HA,Agricultural land (hectares),BWA,Botswana,,2.60000000000000E+07,2.60000000000000E+07,2.60000000000000E+07,2.60000000000000E+07,2.60010000000000E+07,2.60010000000000E+07,2.60010000000000E+07,2.60010000000000E+07,2.60010000000000E+07,2.60010000000000E+07,2.60010000000000E+07,2.60020000000000E+07,2.60020000000000E+07,2.60020000000000E+07,2.60020000000000E+07,2.60020000000000E+07,2.60020000000000E+07,2.60020000000000E+07,2.60040000000000E+07,2.60040000000000E+07,2.60040000000000E+07,2.60060000000000E+07,2.60060000000000E+07,2.60060000000000E+07,2.60080000000000E+07,2.60080000000000E+07,2.60100000000000E+07,2.60100000000000E+07,2.60150000000000E+07,2.60210000000000E+07,2.59010000000000E+07,2.58510000000000E+07,2.59510000000000E+07,2.59960000000000E+07,2.59460000000000E+07,2.59460000000000E+07,2.59010000000000E+07,2.58310000000000E+07,2.58410000000000E+07,2.59510000000000E+07,2.58010000000000E+07,2.58460000000000E+07,2.57960000000000E+07,2.58270000000000E+07,2.58415000000000E+07,2.58420000000000E+07,2.58520000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),BWA,Botswana,,2.60000000000000E+05,2.60000000000000E+05,2.60000000000000E+05,2.60000000000000E+05,2.60010000000000E+05,2.60010000000000E+05,2.60010000000000E+05,2.60010000000000E+05,2.60010000000000E+05,2.60010000000000E+05,2.60010000000000E+05,2.60020000000000E+05,2.60020000000000E+05,2.60020000000000E+05,2.60020000000000E+05,2.60020000000000E+05,2.60020000000000E+05,2.60020000000000E+05,2.60040000000000E+05,2.60040000000000E+05,2.60040000000000E+05,2.60060000000000E+05,2.60060000000000E+05,2.60060000000000E+05,2.60080000000000E+05,2.60080000000000E+05,2.60100000000000E+05,2.60100000000000E+05,2.60150000000000E+05,2.60210000000000E+05,2.59010000000000E+05,2.58510000000000E+05,2.59510000000000E+05,2.59960000000000E+05,2.59460000000000E+05,2.59460000000000E+05,2.59010000000000E+05,2.58310000000000E+05,2.58410000000000E+05,2.59510000000000E+05,2.58010000000000E+05,2.58460000000000E+05,2.57960000000000E+05,2.58270000000000E+05,2.58415000000000E+05,2.58420000000000E+05,2.58520000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),BWA,Botswana,,4.58772254865632E+01,4.58772254865632E+01,4.58772254865632E+01,4.58772254865632E+01,4.58789899952358E+01,4.58789899952358E+01,4.58789899952358E+01,4.58789899952358E+01,4.58789899952358E+01,4.58789899952358E+01,4.58789899952358E+01,4.58807545039083E+01,4.58807545039083E+01,4.58807545039083E+01,4.58807545039083E+01,4.58807545039083E+01,4.58807545039083E+01,4.58807545039083E+01,4.58842835212535E+01,4.58842835212535E+01,4.58842835212535E+01,4.58878125385986E+01,4.58878125385986E+01,4.58878125385986E+01,4.58913415559437E+01,4.58913415559437E+01,4.58948705732888E+01,4.58948705732888E+01,4.59036931166516E+01,4.59142801686870E+01,4.57025391279798E+01,4.56143136943518E+01,4.57907645616078E+01,4.58701674518730E+01,4.57819420182450E+01,4.57819420182450E+01,4.57025391279798E+01,4.55790235209006E+01,4.55966686076262E+01,4.57907645616078E+01,4.55260882607238E+01,4.56054911509890E+01,4.55172657173609E+01,4.55719654862103E+01,4.55975508619624E+01,4.55984331162987E+01,4.56160782030243E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),BWA,Botswana,,3.99000000000000E+05,3.99000000000000E+05,3.99000000000000E+05,3.99000000000000E+05,4.00000000000000E+05,4.00000000000000E+05,4.00000000000000E+05,4.00000000000000E+05,4.00000000000000E+05,4.00000000000000E+05,4.00000000000000E+05,4.01000000000000E+05,4.01000000000000E+05,4.01000000000000E+05,4.01000000000000E+05,4.01000000000000E+05,4.01000000000000E+05,4.01000000000000E+05,4.03000000000000E+05,4.03000000000000E+05,4.03000000000000E+05,4.05000000000000E+05,4.05000000000000E+05,4.05000000000000E+05,4.07000000000000E+05,4.07000000000000E+05,4.09000000000000E+05,4.09000000000000E+05,4.14000000000000E+05,4.20000000000000E+05,3.00000000000000E+05,2.50000000000000E+05,3.50000000000000E+05,3.95000000000000E+05,3.45000000000000E+05,3.45000000000000E+05,3.00000000000000E+05,2.30000000000000E+05,2.40000000000000E+05,3.50000000000000E+05,2.00000000000000E+05,2.45000000000000E+05,1.95000000000000E+05,2.26000000000000E+05,2.40000000000000E+05,2.40000000000000E+05,2.50000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),BWA,Botswana,,7.33048932394148E-01,7.15240905326483E-01,6.97216028629542E-01,6.79025266887562E-01,6.62382158074190E-01,6.43907747337039E-01,6.25341006267480E-01,6.06823732876192E-01,5.88513972792999E-01,5.70499472287988E-01,5.52897806516177E-01,5.37002987665001E-01,5.19864394474658E-01,5.02612078733367E-01,4.85184920791444E-01,4.67634666539165E-01,4.50234492453239E-01,4.33373428480955E-01,4.19524656702869E-01,4.04635943118026E-01,3.90850414854255E-01,3.79877557490481E-01,3.67731514227577E-01,3.56156360556870E-01,3.46736207012590E-01,3.36014569988037E-01,3.27380976203645E-01,3.17552994082178E-01,3.11918449147498E-01,3.07212246357889E-01,2.13140389180141E-01,1.72628566851448E-01,2.35115666831695E-01,2.58482478814252E-01,2.20275427286442E-01,2.15251404281444E-01,1.83175232754662E-01,1.37661325606742E-01,1.41074730811779E-01,2.02444136986428E-01,1.14063648656586E-01,1.38016661146000E-01,1.08622813130325E-01,1.24511252015732E-01,1.30723368654061E-01,1.29159820747695E-01,1.32877543818333E-01,,,
