Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",BDI,Burundi,,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,3.00000000000000E+00,4.00000000000000E+00,5.00000000000000E+00,1.00000000000000E+01,1.50000000000000E+01,2.00000000000000E+01,8.00000000000000E+01,8.50000000000000E+01,9.00000000000000E+01,9.50000000000000E+01,1.00000000000000E+02,1.10000000000000E+02,1.20000000000000E+02,1.30000000000000E+02,1.40000000000000E+02,1.50000000000000E+02,1.60000000000000E+02,1.63000000000000E+02,1.63000000000000E+02,1.65000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",BDI,Burundi,,,,,,,,,,,1.75000000000000E+03,2.60000000000000E+03,2.00000000000000E+03,1.20000000000000E+03,5.50000000000000E+03,3.40000000000000E+03,5.85000000000000E+03,4.20000000000000E+03,1.60000000000000E+04,8.20000000000000E+03,1.16130000000000E+04,8.92000000000000E+03,6.60500000000000E+03,1.13510000000000E+04,1.70550000000000E+04,5.54500000000000E+03,2.14800000000000E+03,4.36200000000000E+03,2.51000000000000E+03,7.59000000000000E+02,3.52600000000000E+03,1.04000000000000E+03,5.50400000000000E+03,5.58170000000000E+04,5.70800000000000E+04,5.13000000000000E+03,3.65000000000000E+02,,1.10000000000000E+02,1.08380000000000E+04,3.11810000000000E+04,3.52200000000000E+04,5.49590000000000E+04,4.53590000000000E+04,5.14610000000000E+04,6.70740000000000E+04,3.76520000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),BDI,Burundi,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,2.54000000000000E+02,5.55000000000000E+02,7.88000000000000E+02,8.06000000000000E+02,5.81000000000000E+02,9.50000000000000E+02,7.47000000000000E+02,5.31000000000000E+02,7.59000000000000E+02,1.11000000000000E+03,9.00000000000000E+02,1.10000000000000E+03,1.10000000000000E+03,1.30000000000000E+03,2.76700000000000E+03,1.80900000000000E+03,2.33100000000000E+03,3.10000000000000E+03,2.60000000000000E+03,2.60000000000000E+03,4.70000000000000E+03,2.10000000000000E+03,2.10000000000000E+03,5.20100000000000E+03,3.84400000000000E+03,3.10000000000000E+03,3.00000000000000E+03,2.80000000000000E+03,1.00000000000000E+03,3.61500000000000E+03,3.97000000000000E+03,3.50000000000000E+03,3.50000000000000E+03,1.32500000000000E+03,3.01000000000000E+02,1.09500000000000E+03,3.39000000000000E+03,0.00000000000000E+00,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),BDI,Burundi,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.32802124833997E+00,1.26903553299492E+00,1.25000000000000E+00,2.56048387096774E+00,5.90425531914893E+00,8.48223896663078E+00,8.99553571428571E+00,6.24731182795698E+00,1.02150537634408E+01,8.03225806451612E+00,5.67914438502673E+00,8.05732484076433E+00,1.18716577540106E+01,9.67741935483871E+00,1.18279569892473E+01,1.18279569892473E+01,1.39784946236559E+01,2.97526881720430E+01,1.94516129032258E+01,2.50645161290322E+01,3.33333333333333E+01,2.79569892473118E+01,2.79569892473118E+01,5.05376344086021E+01,2.25806451612903E+01,2.25806451612903E+01,5.59247311827956E+01,4.13333333333333E+01,3.33333333333333E+01,3.19148936170212E+01,2.97872340425531E+01,1.05263157894736E+01,3.80526315789473E+01,4.13541666666666E+01,3.64583333333333E+01,3.58974358974358E+01,1.34381338742393E+01,3.04040404040404E+00,1.11167512690355E+01,3.43813387423935E+01,0.00000000000000E+00,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",BDI,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78500000000000E+02,1.58720000000000E+02,1.63410000000000E+02,1.30849999999999E+02,1.37669999999999E+02,1.74729999999999E+02,2.81490000000000E+02,2.36280000000000E+02,1.59449999999999E+02,1.67259999999999E+02,1.45330000000000E+02,1.36229999999999E+02,1.31930000000000E+02,1.38960000000000E+02,1.55840000000000E+02,1.68169999999999E+02,1.70280000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",BDI,Burundi,,,,,,,3.50000000000000E+03,4.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,7.00000000000000E+03,7.50000000000000E+03,8.00000000000000E+03,8.60000000000000E+03,9.30000000000000E+03,1.00000000000000E+04,1.10000000000000E+04,1.10000000000000E+04,1.30000000000000E+04,1.90000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.03000000000000E+04,1.98000000000000E+04,2.20000000000000E+04,2.51000000000000E+04,2.64000000000000E+04,2.73000000000000E+04,2.84000000000000E+04,2.96000000000000E+04,3.10000000000000E+04,3.24000000000000E+04,3.30610000000000E+04,3.96730000000000E+04,3.30610000000000E+04,3.43840000000000E+04,5.28980000000000E+04,9.91840000000000E+04,1.05796000000000E+05,8.98600000000000E+04,1.20541000000000E+05,1.20673000000000E+05,1.26796000000000E+05,1.42826000000000E+05,1.52976899999999E+05,1.68555100000000E+05,1.72900500000000E+05,1.84074100000000E+05,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",BDI,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69949999999999E+02,2.40039999999999E+02,2.47139999999999E+02,1.97889999999999E+02,2.08199999999999E+02,2.64250000000000E+02,4.25709999999999E+02,3.57329999999999E+02,2.41150000000000E+02,2.52960000000000E+02,2.19789999999999E+02,1.87470000000000E+02,1.81539999999999E+02,2.36900000000000E+02,3.14259999999999E+02,2.91980000000000E+02,3.13790000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",BDI,Burundi,,,,,,,3.50000000000000E+03,4.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,8.50000000000000E+03,8.50000000000000E+03,9.00000000000000E+03,9.00000000000000E+03,9.50000000000000E+03,1.00000000000000E+04,1.10000000000000E+04,1.10000000000000E+04,1.10000000000000E+04,1.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.57000000000000E+04,2.89000000000000E+04,3.25000000000000E+04,3.70000000000000E+04,3.76000000000000E+04,3.94000000000000E+04,4.23000000000000E+04,4.51000000000000E+04,4.77000000000000E+04,4.90000000000000E+04,5.00000000000000E+04,6.00000000000000E+04,5.00000000000000E+04,5.20000000000000E+04,8.00000000000000E+04,1.50000000000000E+05,1.60000000000000E+05,1.35900000000000E+05,1.82300000000000E+05,1.82500000000000E+05,1.74483000000000E+05,1.96542000000000E+05,2.60800000000000E+05,3.39900000000000E+05,3.00200000000000E+05,3.39200000000000E+05,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",BDI,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20370000000000E+02,2.11229999999999E+02,2.05949999999999E+02,2.37470000000000E+02,2.72259999999999E+02,2.57639999999999E+02,2.83810000000000E+02,3.01500000000000E+02,2.39550000000000E+02,2.77519999999999E+02,2.40860000000000E+02,2.05440000000000E+02,1.98949999999999E+02,6.43470000000000E+02,6.09200000000000E+02,7.57100000000000E+02,6.87799999999999E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",BDI,Burundi,,,,,,,7.00000000000000E+03,8.00000000000000E+03,1.00000000000000E+04,1.00000000000000E+04,7.00000000000000E+03,7.00000000000000E+03,7.50000000000000E+03,8.00000000000000E+03,1.50000000000000E+04,1.20000000000000E+04,1.60000000000000E+04,1.80000000000000E+04,1.80000000000000E+04,2.00000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.80000000000000E+04,3.15000000000000E+04,3.21000000000000E+04,3.36000000000000E+04,3.51000000000000E+04,3.67000000000000E+04,3.83000000000000E+04,4.00000000000000E+04,4.40000000000000E+04,5.00000000000000E+04,6.00000000000000E+04,6.80000000000000E+04,7.80000000000000E+04,1.00000000000000E+05,1.35000000000000E+05,1.35000000000000E+05,2.00000000000000E+05,2.00000000000000E+05,1.91215000000000E+05,2.15388000000000E+05,7.08400000000000E+05,6.58900000000000E+05,7.78400000000000E+05,7.43500000000000E+05,,,
