Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",CMR,Cameroon,,3.10000000000000E+01,3.10000000000000E+01,3.10000000000000E+01,3.10000000000000E+01,3.30000000000000E+01,6.00000000000000E+01,8.00000000000000E+01,1.00000000000000E+02,1.30000000000000E+02,1.50000000000000E+02,1.70000000000000E+02,2.00000000000000E+02,2.30000000000000E+02,2.50000000000000E+02,2.80000000000000E+02,3.00000000000000E+02,3.50000000000000E+02,4.49000000000000E+02,4.21000000000000E+02,5.72000000000000E+02,6.75000000000000E+02,7.00000000000000E+02,6.00000000000000E+02,6.00000000000000E+02,6.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.08000000000000E+02,5.08000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",CMR,Cameroon,,,,,,,,,,,7.17000000000000E+03,4.60000000000000E+03,1.20000000000000E+03,3.00000000000000E+03,3.50000000000000E+03,3.90000000000000E+03,5.40000000000000E+03,5.10000000000000E+03,7.84700000000000E+03,3.60000000000000E+03,1.01900000000000E+04,1.05200000000000E+04,5.63300000000000E+03,1.12600000000000E+03,1.33030000000000E+04,1.22780000000000E+04,7.25200000000000E+03,2.32400000000000E+03,2.35000000000000E+03,,6.72100000000000E+03,8.25800000000000E+03,1.22600000000000E+03,2.22000000000000E+03,2.01000000000000E+03,4.43600000000000E+03,,3.99100000000000E+03,7.56000000000000E+03,2.82000000000000E+03,5.00000000000000E+03,2.77000000000000E+03,3.90000000000000E+02,2.39310000000000E+04,1.27050000000000E+04,1.48720000000000E+04,4.92500000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),CMR,Cameroon,,3.25000000000000E+03,3.25000000000000E+03,5.30000000000000E+03,6.90000000000000E+03,8.50000000000000E+03,1.20000000000000E+04,1.32120000000000E+04,1.72090000000000E+04,1.43490000000000E+04,2.02550000000000E+04,1.49000000000000E+04,1.22610000000000E+04,1.61800000000000E+04,1.69540000000000E+04,1.25000000000000E+04,1.30490000000000E+04,3.40000000000000E+04,3.56000000000000E+04,3.26080000000000E+04,3.20240000000000E+04,3.49660000000000E+04,3.38340000000000E+04,4.26690000000000E+04,4.82430000000000E+04,4.91000000000000E+04,4.54000000000000E+04,4.98000000000000E+04,3.66750000000000E+04,2.86000000000000E+04,2.18000000000000E+04,1.81000000000000E+04,2.09000000000000E+04,2.23040000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.40000000000000E+04,3.91900000000000E+04,3.95330000000000E+04,4.95100000000000E+04,4.60840000000000E+04,5.25020000000000E+04,3.48990000000000E+04,4.59000000000000E+04,7.57220000000000E+04,4.69330000000000E+04,5.37690000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),CMR,Cameroon,,6.50000000000000E+00,6.43564356435643E+00,1.03921568627450E+01,1.33980582524271E+01,1.63461538461538E+01,2.28571428571428E+01,2.49283018867924E+01,3.21663551401869E+01,2.65722222222222E+01,3.75092592592592E+01,2.73394495412844E+01,2.24972477064220E+01,2.96880733944954E+01,3.08254545454545E+01,2.25225225225225E+01,2.33017857142857E+01,6.00070596540769E+01,6.31317609505231E+01,5.52865378094269E+01,5.41861252115059E+01,5.91641285956006E+01,5.72487309644670E+01,7.21979695431472E+01,8.16294416243654E+01,8.30795262267343E+01,7.65598650927487E+01,8.39797639123102E+01,6.17424242424242E+01,4.81481481481481E+01,3.67003367003366E+01,3.04201680672268E+01,3.50671140939597E+01,3.74228187919463E+01,5.03355704697986E+01,5.03355704697986E+01,5.70469798657718E+01,6.57550335570469E+01,6.63305369127516E+01,8.30704697986577E+01,7.73221476510067E+01,8.80906040268456E+01,5.85553691275167E+01,7.70134228187919E+01,1.27050335570469E+02,7.87466442953020E+01,9.02164429530201E+01,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",CMR,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83579999999999E+02,4.41269999999999E+02,3.75759999999999E+02,1.72910000000000E+02,2.56440000000000E+02,1.87660000000000E+02,2.46720000000000E+02,3.25449999999999E+02,5.97690000000000E+02,5.02100000000000E+02,2.75019999999999E+02,2.89240000000000E+02,3.08940000000000E+02,3.11329999999999E+02,3.18560000000000E+02,3.35420000000000E+02,3.59190000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",CMR,Cameroon,,,,,,,1.50000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.70000000000000E+04,1.90000000000000E+04,1.90000000000000E+04,1.90000000000000E+04,2.20000000000000E+04,2.50000000000000E+04,3.00000000000000E+04,3.40000000000000E+04,3.50000000000000E+04,3.70000000000000E+04,3.90000000000000E+04,4.00000000000000E+04,4.50000000000000E+04,5.00000000000000E+04,4.50000000000000E+04,4.30000000000000E+04,4.00000000000000E+04,3.88920000000000E+04,6.06110000000000E+04,4.72450000000000E+04,4.29820000000000E+04,7.79180000000000E+04,8.00000000000000E+04,1.16800000000000E+05,1.06400000000000E+05,9.60000000000000E+04,1.28000000000000E+05,9.60000000000000E+04,1.44000000000000E+05,1.92000000000000E+05,3.68000000000000E+05,3.57486000000000E+05,2.01600000000000E+05,2.01600000000000E+05,1.79558000000000E+05,1.64254100000000E+05,1.67737299999999E+05,1.75225600000000E+05,1.71898500000000E+05,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",CMR,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83579999999999E+02,2.83350000000000E+02,2.41280000000000E+02,1.11030000000000E+02,1.52259999999999E+02,1.85710000000000E+02,1.71330000000000E+02,1.71199999999999E+02,1.94900000000000E+02,1.63729999999999E+02,8.96800000000000E+01,9.43199999999999E+01,1.07720000000000E+02,1.09780000000000E+02,1.13230000000000E+02,1.19230000000000E+02,1.28889999999999E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",CMR,Cameroon,,,,,,,1.30000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.60000000000000E+04,1.70000000000000E+04,1.75000000000000E+04,1.80000000000000E+04,2.00000000000000E+04,2.40000000000000E+04,3.50000000000000E+04,3.20000000000000E+04,4.50000000000000E+04,5.00000000000000E+04,6.00000000000000E+04,6.00000000000000E+04,6.50000000000000E+04,7.00000000000000E+04,7.50000000000000E+04,7.80000000000000E+04,8.00000000000000E+04,8.31800000000000E+04,7.68400000000000E+04,8.23780000000000E+04,5.70330000000000E+04,5.16650000000000E+04,8.00000000000000E+04,7.50000000000000E+04,6.83220000000000E+04,6.16440000000000E+04,7.60000000000000E+04,9.50000000000000E+04,1.00000000000000E+05,1.01000000000000E+05,1.20000000000000E+05,1.16572000000000E+05,6.57390000000000E+04,6.57390000000000E+04,6.26090000000000E+04,5.79168000000000E+04,5.96235000000000E+04,6.22853000000000E+04,6.16849000000000E+04,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",CMR,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77240000000000E+02,2.04009999999999E+02,1.90699999999999E+02,1.02670000000000E+02,1.36229999999999E+02,1.85710000000000E+02,1.67900000000000E+02,1.66120000000000E+02,1.72160000000000E+02,1.44630000000000E+02,2.04910000000000E+02,2.15509999999999E+02,2.30190000000000E+02,2.69790000000000E+02,2.69149999999999E+02,2.83399999999999E+02,3.09209999999999E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",CMR,Cameroon,,,,,,,1.20000000000000E+04,1.30000000000000E+04,1.30000000000000E+04,1.40000000000000E+04,1.59500000000000E+04,1.69900000000000E+04,1.80000000000000E+04,2.00000000000000E+04,2.60000000000000E+04,2.80000000000000E+04,3.40100000000000E+04,7.50000000000000E+04,1.00000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.24000000000000E+05,1.30000000000000E+05,1.32000000000000E+05,1.35000000000000E+05,1.38000000000000E+05,9.10430000000000E+04,6.46830000000000E+04,7.75060000000000E+04,8.26800000000000E+04,5.34810000000000E+04,5.00000000000000E+04,5.40000000000000E+04,5.40000000000000E+04,5.70000000000000E+04,6.80000000000000E+04,9.50000000000000E+04,9.80000000000000E+04,9.80000000000000E+04,1.06000000000000E+05,1.02971000000000E+05,1.50210000000000E+05,1.50210000000000E+05,1.33787000000000E+05,1.42336899999999E+05,1.41720000000000E+05,1.48046799999999E+05,1.47983200000000E+05,,,
