Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",CPV,Cape Verde,,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,7.00000000000000E+00,7.00000000000000E+00,9.00000000000000E+00,9.00000000000000E+00,1.10000000000000E+01,1.10000000000000E+01,1.30000000000000E+01,1.30000000000000E+01,1.50000000000000E+01,1.50000000000000E+01,1.60000000000000E+01,1.80000000000000E+01,2.00000000000000E+01,2.20000000000000E+01,2.40000000000000E+01,2.60000000000000E+01,2.70000000000000E+01,2.90000000000000E+01,3.10000000000000E+01,3.30000000000000E+01,3.50000000000000E+01,3.70000000000000E+01,3.90000000000000E+01,4.10000000000000E+01,4.30000000000000E+01,4.50000000000000E+01,4.60000000000000E+01,4.80000000000000E+01,5.00000000000000E+01,5.20000000000000E+01,5.40000000000000E+01,5.60000000000000E+01,5.70000000000000E+01,5.80000000000000E+01,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",CPV,Cape Verde,,,,,,,,,,,,,,,6.94000000000000E+03,1.49000000000000E+04,2.25570000000000E+04,4.83250000000000E+04,3.09000000000000E+04,3.40890000000000E+04,3.11160000000000E+04,5.36300000000000E+04,3.47770000000000E+04,6.25490000000000E+04,4.95520000000000E+04,5.07170000000000E+04,5.94670000000000E+04,5.40780000000000E+04,5.10560000000000E+04,5.46570000000000E+04,5.95490000000000E+04,5.78200000000000E+04,4.45160000000000E+04,5.75550000000000E+04,6.39600000000000E+04,5.01240000000000E+04,5.79440000000000E+04,5.00480000000000E+04,6.06470000000000E+04,5.38070000000000E+04,5.38610000000000E+04,3.30350000000000E+04,4.41790000000000E+04,2.47180000000000E+04,4.13230000000000E+04,2.48690000000000E+04,1.58450000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),CPV,Cape Verde,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.40000000000000E+01,6.40000000000000E+01,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,8.60000000000000E+01,1.24000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.70000000000000E+01,9.70000000000000E+01,1.56000000000000E+02,7.00000000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.02000000000000E+02,1.14000000000000E+02,1.87000000000000E+02,1.29000000000000E+02,2.43000000000000E+02,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),CPV,Cape Verde,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.94736842105263E+01,1.68421052631578E+01,2.63157894736842E+01,2.63157894736842E+01,2.63157894736842E+01,2.63157894736842E+01,2.26315789473684E+01,3.26315789473684E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.76315789473684E+01,2.55263157894736E+01,4.10526315789473E+01,1.84210526315789E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.31818181818181E+01,2.59090909090909E+01,4.25000000000000E+01,2.93181818181818E+01,4.86000000000000E+01,,,,,,,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",CPV,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08060000000000E+04,6.14330000000000E+04,6.14570000000000E+04,6.32480000000000E+04,6.40020000000000E+04,6.48830000000000E+04,6.69200000000000E+04,6.77580000000000E+04,7.11450000000000E+04,7.02910000000000E+04,7.21890000000000E+04,7.34940000000000E+04,7.55200000000000E+04,7.77680000000000E+04,7.88645000000000E+04,8.44021999999999E+04,8.69668000000000E+04,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",CPV,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54200000000000E+03,1.54200000000000E+03,1.54200000000000E+03,1.54200000000000E+03,1.54200000000000E+03,,,
AG.LND.AGRI.HA,Agricultural land (hectares),CPV,Cape Verde,,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.50000000000000E+04,6.70000000000000E+04,6.70000000000000E+04,6.80000000000000E+04,6.80000000000000E+04,6.90000000000000E+04,6.90000000000000E+04,6.90000000000000E+04,7.00000000000000E+04,7.00000000000000E+04,7.20000000000000E+04,7.20000000000000E+04,7.10000000000000E+04,7.10000000000000E+04,7.70000000000000E+04,7.70000000000000E+04,7.70000000000000E+04,7.70000000000000E+04,7.70000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),CPV,Cape Verde,,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.50000000000000E+02,6.70000000000000E+02,6.70000000000000E+02,6.80000000000000E+02,6.80000000000000E+02,6.90000000000000E+02,6.90000000000000E+02,6.90000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.20000000000000E+02,7.20000000000000E+02,7.10000000000000E+02,7.10000000000000E+02,7.70000000000000E+02,7.70000000000000E+02,7.70000000000000E+02,7.70000000000000E+02,7.70000000000000E+02,7.80000000000000E+02,7.80000000000000E+02,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),CPV,Cape Verde,,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.61290322580645E+01,1.66253101736972E+01,1.66253101736972E+01,1.68734491315136E+01,1.68734491315136E+01,1.71215880893300E+01,1.71215880893300E+01,1.71215880893300E+01,1.73697270471464E+01,1.73697270471464E+01,1.78660049627791E+01,1.78660049627791E+01,1.76178660049627E+01,1.76178660049627E+01,1.91066997518610E+01,1.91066997518610E+01,1.91066997518610E+01,1.91066997518610E+01,1.91066997518610E+01,1.93548387096774E+01,1.93548387096774E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),CPV,Cape Verde,,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,4.00000000000000E+04,4.00000000000000E+04,4.10000000000000E+04,4.10000000000000E+04,4.10000000000000E+04,4.10000000000000E+04,4.10000000000000E+04,4.20000000000000E+04,4.20000000000000E+04,4.40000000000000E+04,4.40000000000000E+04,4.40000000000000E+04,4.40000000000000E+04,5.00000000000000E+04,5.00000000000000E+04,5.00000000000000E+04,5.00000000000000E+04,5.00000000000000E+04,5.00000000000000E+04,5.00000000000000E+04,,,
