Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",CAF,Central African Republic,,1.50000000000000E+01,1.70000000000000E+01,2.00000000000000E+01,2.30000000000000E+01,2.50000000000000E+01,2.70000000000000E+01,3.00000000000000E+01,3.60000000000000E+01,5.60000000000000E+01,5.00000000000000E+01,4.80000000000000E+01,4.60000000000000E+01,4.40000000000000E+01,4.00000000000000E+01,3.80000000000000E+01,3.50000000000000E+01,3.50000000000000E+01,3.50000000000000E+01,3.50000000000000E+01,3.50000000000000E+01,3.50000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",CAF,Central African Republic,,,,,,,,,,,6.00000000000000E+02,1.20000000000000E+03,5.00000000000000E+02,9.00000000000000E+02,6.00000000000000E+02,1.40000000000000E+03,5.00000000000000E+02,2.50000000000000E+03,1.20000000000000E+03,3.00000000000000E+03,2.51800000000000E+03,1.97000000000000E+03,4.45800000000000E+03,7.64600000000000E+03,1.15850000000000E+04,1.07330000000000E+04,5.93500000000000E+03,6.43500000000000E+03,4.12500000000000E+03,3.86300000000000E+03,3.25700000000000E+03,2.19700000000000E+03,2.76100000000000E+03,1.80900000000000E+03,,,4.90000000000000E+01,1.87400000000000E+03,9.61600000000000E+03,1.77500000000000E+03,1.93800000000000E+03,1.02900000000000E+03,7.29800000000000E+03,4.31800000000000E+03,3.66800000000000E+03,7.43500000000000E+03,8.04700000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),CAF,Central African Republic,,3.07000000000000E+02,3.20000000000000E+02,3.70000000000000E+02,4.00000000000000E+02,8.00000000000000E+02,1.10000000000000E+03,1.30000000000000E+03,1.60000000000000E+03,1.92800000000000E+03,2.22300000000000E+03,2.10000000000000E+03,1.81300000000000E+03,1.65700000000000E+03,2.93000000000000E+03,1.70000000000000E+03,1.60000000000000E+03,1.70000000000000E+03,1.60000000000000E+03,1.00000000000000E+02,1.45400000000000E+03,1.25600000000000E+03,7.00000000000000E+02,4.53000000000000E+02,1.20000000000000E+03,2.90000000000000E+03,6.76000000000000E+02,8.11000000000000E+02,5.77000000000000E+02,7.68000000000000E+02,9.40000000000000E+02,9.00000000000000E+02,1.10000000000000E+03,1.20000000000000E+03,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,6.00000000000000E+02,6.00000000000000E+02,6.00000000000000E+02,6.00000000000000E+02,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),CAF,Central African Republic,,1.82738095238095E+00,1.89349112426035E+00,2.17647058823529E+00,2.33918128654970E+00,4.65116279069767E+00,6.35838150289017E+00,7.47126436781609E+00,9.14285714285714E+00,1.09545454545454E+01,1.25593220338983E+01,1.17977528089887E+01,1.01284916201117E+01,9.20555555555555E+00,1.61878453038674E+01,9.34065934065934E+00,8.74316939890710E+00,9.23913043478260E+00,8.64864864864864E+00,5.37634408602150E-01,7.77540106951871E+00,6.71657754010695E+00,3.72340425531914E+00,2.39682539682539E+00,6.31578947368421E+00,1.52631578947368E+01,3.52083333333333E+00,4.22395833333333E+00,3.00520833333333E+00,4.00000000000000E+00,4.89583333333333E+00,4.68750000000000E+00,5.69948186528497E+00,6.21761658031088E+00,1.55440414507772E+00,1.55440414507772E+00,1.55440414507772E+00,1.55440414507772E+00,3.10880829015544E+00,3.10880829015544E+00,3.10880829015544E+00,3.10880829015544E+00,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",CAF,Central African Republic,,1.55000000000000E+06,1.56000000000000E+06,1.59000000000000E+06,1.62000000000000E+06,1.66000000000000E+06,1.69000000000000E+06,1.73000000000000E+06,1.77000000000000E+06,1.85000000000000E+06,1.89000000000000E+06,1.93000000000000E+06,1.98000000000000E+06,2.07400000000000E+06,2.17200000000000E+06,2.22000000000000E+06,2.26800000000000E+06,2.31900000000000E+06,2.37100000000000E+06,2.42700000000000E+06,2.48500000000000E+06,2.54700000000000E+06,2.61300000000000E+06,2.68000000000000E+06,2.86000000000000E+06,2.92500000000000E+06,2.99000000000000E+06,3.05500000000000E+06,3.05500000000000E+06,3.05500000000000E+06,3.05500000000000E+06,3.05500000000000E+06,3.25000000000000E+06,3.25000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,2.60600000000000E+06,2.68700000000000E+06,2.68700000000000E+06,2.00000000000000E+06,2.00000000000000E+06,2.00000000000000E+06,2.00000000000000E+06,2.00000000000000E+06,2.00000000000000E+06,2.00000000000000E+06,2.00000000000000E+06,2.00000000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),CAF,Central African Republic,,4.73800000000000E+06,4.74800000000000E+06,4.75600000000000E+06,4.77000000000000E+06,4.78000000000000E+06,4.79000000000000E+06,4.80000000000000E+06,4.81000000000000E+06,4.82000000000000E+06,4.83000000000000E+06,4.84000000000000E+06,4.85000000000000E+06,4.86000000000000E+06,4.87000000000000E+06,4.89000000000000E+06,4.90000000000000E+06,4.91000000000000E+06,4.92000000000000E+06,4.93000000000000E+06,4.94500000000000E+06,4.94500000000000E+06,4.96000000000000E+06,4.97000000000000E+06,4.98200000000000E+06,4.98300000000000E+06,5.00400000000000E+06,5.00500000000000E+06,5.00600000000000E+06,5.00600000000000E+06,5.00600000000000E+06,5.00800000000000E+06,5.02000000000000E+06,5.02000000000000E+06,5.02000000000000E+06,5.01000000000000E+06,5.02200000000000E+06,5.12300000000000E+06,5.14900000000000E+06,5.14900000000000E+06,5.14900000000000E+06,5.14900000000000E+06,5.14900000000000E+06,5.19500000000000E+06,5.21500000000000E+06,5.21500000000000E+06,5.19000000000000E+06,5.20500000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),CAF,Central African Republic,,4.73800000000000E+04,4.74800000000000E+04,4.75600000000000E+04,4.77000000000000E+04,4.78000000000000E+04,4.79000000000000E+04,4.80000000000000E+04,4.81000000000000E+04,4.82000000000000E+04,4.83000000000000E+04,4.84000000000000E+04,4.85000000000000E+04,4.86000000000000E+04,4.87000000000000E+04,4.89000000000000E+04,4.90000000000000E+04,4.91000000000000E+04,4.92000000000000E+04,4.93000000000000E+04,4.94500000000000E+04,4.94500000000000E+04,4.96000000000000E+04,4.97000000000000E+04,4.98200000000000E+04,4.98300000000000E+04,5.00400000000000E+04,5.00500000000000E+04,5.00600000000000E+04,5.00600000000000E+04,5.00600000000000E+04,5.00800000000000E+04,5.02000000000000E+04,5.02000000000000E+04,5.02000000000000E+04,5.01000000000000E+04,5.02200000000000E+04,5.12300000000000E+04,5.14900000000000E+04,5.14900000000000E+04,5.14900000000000E+04,5.14900000000000E+04,5.14900000000000E+04,5.19500000000000E+04,5.21500000000000E+04,5.21500000000000E+04,5.19000000000000E+04,5.20500000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),CAF,Central African Republic,,7.60513643659711E+00,7.62118780096308E+00,7.63402889245585E+00,7.65650080256821E+00,7.67255216693418E+00,7.68860353130015E+00,7.70465489566613E+00,7.72070626003210E+00,7.73675762439807E+00,7.75280898876404E+00,7.76886035313001E+00,7.78491171749598E+00,7.80096308186195E+00,7.81701444622792E+00,7.84911717495987E+00,7.86516853932584E+00,7.88121990369181E+00,7.89727126805778E+00,7.91332263242375E+00,7.93739967897271E+00,7.93739967897271E+00,7.96147672552166E+00,7.97752808988764E+00,7.99678972712680E+00,7.99839486356340E+00,8.03210272873194E+00,8.03370786516853E+00,8.03531300160513E+00,8.03531300160513E+00,8.03531300160513E+00,8.03852327447833E+00,8.05778491171749E+00,8.05778491171749E+00,8.05778491171749E+00,8.04173354735152E+00,8.06099518459068E+00,8.22311396468699E+00,8.26484751203852E+00,8.26484751203852E+00,8.26484751203852E+00,8.26484751203852E+00,8.26484751203852E+00,8.33868378812199E+00,8.37078651685393E+00,8.37078651685393E+00,8.33065810593900E+00,8.35473515248796E+00,,,
AG.LND.ARBL.HA,Arable land (hectares),CAF,Central African Republic,,1.68000000000000E+06,1.69000000000000E+06,1.70000000000000E+06,1.71000000000000E+06,1.72000000000000E+06,1.73000000000000E+06,1.74000000000000E+06,1.75000000000000E+06,1.76000000000000E+06,1.77000000000000E+06,1.78000000000000E+06,1.79000000000000E+06,1.80000000000000E+06,1.81000000000000E+06,1.82000000000000E+06,1.83000000000000E+06,1.84000000000000E+06,1.85000000000000E+06,1.86000000000000E+06,1.87000000000000E+06,1.87000000000000E+06,1.88000000000000E+06,1.89000000000000E+06,1.90000000000000E+06,1.90000000000000E+06,1.92000000000000E+06,1.92000000000000E+06,1.92000000000000E+06,1.92000000000000E+06,1.92000000000000E+06,1.92000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.91000000000000E+06,1.93000000000000E+06,1.93000000000000E+06,1.91000000000000E+06,1.92500000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),CAF,Central African Republic,,1.07838304165639E+00,1.06473192066298E+00,1.05056427661233E+00,1.03595051185648E+00,1.02098843552517E+00,1.00559529497655E+00,9.89896231567449E-01,9.74379389927144E-01,9.59607607725495E-01,9.45861960798563E-01,9.33221206980075E-01,9.21346834066979E-01,9.09601756137790E-01,8.97200634880979E-01,8.83659008612276E-01,8.69027985075512E-01,8.53567284992663E-01,8.37332160163085E-01,8.20422341070739E-01,8.03003835524202E-01,7.80842549989581E-01,7.62655517832954E-01,7.44866627492199E-01,7.28258140680308E-01,7.09478596711081E-01,6.99880619321443E-01,6.84304130416962E-01,6.69409152287444E-01,6.54245096569302E-01,6.38301267559933E-01,6.21570637780034E-01,6.07648755091419E-01,5.90672696628972E-01,5.74480675422585E-01,5.59428559668563E-01,5.45450588818149E-01,5.32399693690870E-01,5.20357714923239E-01,5.09401761738279E-01,4.99518857225087E-01,4.90714686531203E-01,4.82812621172209E-01,4.70492948517725E-01,4.68068852200590E-01,4.60463483933522E-01,4.47851555264178E-01,4.43200683161785E-01,,,
