Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",TCD,Chad,,1.80000000000000E+01,1.80000000000000E+01,2.80000000000000E+01,2.80000000000000E+01,2.70000000000000E+01,3.30000000000000E+01,5.00000000000000E+01,7.00000000000000E+01,8.00000000000000E+01,9.00000000000000E+01,1.10000000000000E+02,1.15000000000000E+02,1.20000000000000E+02,1.25000000000000E+02,1.30000000000000E+02,1.40000000000000E+02,1.45000000000000E+02,1.50000000000000E+02,1.55000000000000E+02,1.60000000000000E+02,1.60000000000000E+02,1.60000000000000E+02,1.60000000000000E+02,1.60000000000000E+02,1.60000000000000E+02,1.60000000000000E+02,1.65000000000000E+02,1.65000000000000E+02,1.65000000000000E+02,1.65000000000000E+02,1.65000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.75000000000000E+02,1.75000000000000E+02,1.75000000000000E+02,1.75000000000000E+02,1.75000000000000E+02,1.75000000000000E+02,1.75000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",TCD,Chad,,,,,,,,,,,1.00000000000000E+02,,1.00000000000000E+04,6.65000000000000E+04,1.97000000000000E+04,3.60000000000000E+03,3.39000000000000E+04,4.72000000000000E+04,2.28400000000000E+04,1.62000000000000E+04,1.40950000000000E+04,2.86600000000000E+04,3.60240000000000E+04,6.88420000000000E+04,1.63270000000000E+05,8.16150000000000E+04,2.86730000000000E+04,2.24520000000000E+04,1.94270000000000E+04,1.49110000000000E+04,3.02060000000000E+04,4.84690000000000E+04,3.89000000000000E+02,1.30090000000000E+04,1.45160000000000E+04,1.05070000000000E+04,2.76280000000000E+04,2.15270000000000E+04,1.01360000000000E+04,1.23640000000000E+04,2.97970000000000E+04,1.22450000000000E+04,1.60480000000000E+04,2.10090000000000E+04,5.39040000000000E+04,6.32720000000000E+04,6.12400000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),TCD,Chad,,1.71000000000000E+02,1.39000000000000E+02,1.62000000000000E+02,7.70000000000000E+01,4.63000000000000E+02,4.80000000000000E+02,1.12200000000000E+03,1.40000000000000E+03,1.76400000000000E+03,1.90800000000000E+03,2.23200000000000E+03,2.46500000000000E+03,4.77200000000000E+03,8.90000000000000E+03,5.90000000000000E+03,8.10000000000000E+03,7.56000000000000E+03,7.00000000000000E+03,0.00000000000000E+00,9.00000000000000E+02,4.60000000000000E+03,5.40000000000000E+03,5.80000000000000E+03,7.00000000000000E+03,7.10000000000000E+03,4.20000000000000E+03,5.40000000000000E+03,4.87700000000000E+03,4.91200000000000E+03,5.80000000000000E+03,8.60000000000000E+03,1.00760000000000E+04,5.25200000000000E+03,7.00000000000000E+03,8.55800000000000E+03,1.19000000000000E+04,7.85000000000000E+03,1.68200000000000E+04,1.75000000000000E+04,1.75000000000000E+04,1.75000000000000E+04,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),TCD,Chad,,5.90265792198826E-01,4.79806696582671E-01,5.59199171556782E-01,2.65792198826372E-01,1.59820503969623E+00,1.65688643424231E+00,3.87297204004142E+00,4.83258543320676E+00,6.08905764584052E+00,6.58612357611322E+00,7.70452191922678E+00,8.50880220918191E+00,1.64155486756105E+01,3.05107987658553E+01,1.96863530196863E+01,2.61712439418416E+01,2.44264943457189E+01,2.22717149220489E+01,0.00000000000000E+00,2.86898310487727E+00,1.46730462519936E+01,1.72413793103448E+01,1.85303514376996E+01,2.23856731691717E+01,2.26837060702875E+01,1.32075471698113E+01,1.69811320754716E+01,1.52263502965969E+01,1.52404591995035E+01,1.77207454934311E+01,2.58880192655027E+01,3.01496110113704E+01,1.55845697329376E+01,2.06489675516224E+01,2.50233918128654E+01,3.42939481268011E+01,2.24285714285714E+01,4.77840909090909E+01,4.97159090909090E+01,4.97159090909090E+01,4.86111111111111E+01,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",TCD,Chad,,2.62488100000000E+06,2.68820800000000E+06,2.75306400000000E+06,2.81948500000000E+06,2.88750800000000E+06,2.95717200000000E+06,3.02851700000000E+06,3.10158300000000E+06,3.17641100000000E+06,3.25304600000000E+06,3.32518700000000E+06,3.37356700000000E+06,3.49596000000000E+06,3.51709000000000E+06,3.51288700000000E+06,3.55582700000000E+06,3.61886800000000E+06,3.69428800000000E+06,3.98329600000000E+06,4.12880300000000E+06,4.22629700000000E+06,4.28815800000000E+06,4.25408600000000E+06,4.33444100000000E+06,4.25365300000000E+06,4.39792300000000E+06,4.52103900000000E+06,4.46106000000000E+06,4.50868900000000E+06,4.61549800000000E+06,4.67028500000000E+06,4.80427300000000E+06,4.98689900000000E+06,5.09909500000000E+06,5.19850600000000E+06,5.32088700000000E+06,5.44367600000000E+06,5.59387900000000E+06,5.73761900000000E+06,5.88519800000000E+06,6.00067600000000E+06,6.11860500000000E+06,6.23903800000000E+06,6.36203200000000E+06,6.48764600000000E+06,6.59965300000000E+06,6.71380000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),TCD,Chad,,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79000000000000E+07,4.79100000000000E+07,4.79200000000000E+07,4.80000000000000E+07,4.81000000000000E+07,4.81000000000000E+07,4.81500000000000E+07,4.81500000000000E+07,4.81500000000000E+07,4.81500000000000E+07,4.81500000000000E+07,4.81500000000000E+07,4.81500000000000E+07,4.81550000000000E+07,4.82050000000000E+07,4.82050000000000E+07,4.82300000000000E+07,4.82500000000000E+07,4.83000000000000E+07,4.83500000000000E+07,4.83700000000000E+07,4.84000000000000E+07,4.84200000000000E+07,4.84500000000000E+07,4.85000000000000E+07,4.85300000000000E+07,4.85500000000000E+07,4.85500000000000E+07,4.85500000000000E+07,4.86300000000000E+07,4.86300000000000E+07,4.88300000000000E+07,4.88300000000000E+07,4.92300000000000E+07,4.93300000000000E+07,4.93300000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),TCD,Chad,,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79000000000000E+05,4.79100000000000E+05,4.79200000000000E+05,4.80000000000000E+05,4.81000000000000E+05,4.81000000000000E+05,4.81500000000000E+05,4.81500000000000E+05,4.81500000000000E+05,4.81500000000000E+05,4.81500000000000E+05,4.81500000000000E+05,4.81500000000000E+05,4.81550000000000E+05,4.82050000000000E+05,4.82050000000000E+05,4.82300000000000E+05,4.82500000000000E+05,4.83000000000000E+05,4.83500000000000E+05,4.83700000000000E+05,4.84000000000000E+05,4.84200000000000E+05,4.84500000000000E+05,4.85000000000000E+05,4.85300000000000E+05,4.85500000000000E+05,4.85500000000000E+05,4.85500000000000E+05,4.86300000000000E+05,4.86300000000000E+05,4.88300000000000E+05,4.88300000000000E+05,4.92300000000000E+05,4.93300000000000E+05,4.93300000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),TCD,Chad,,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80158730158730E+01,3.80238095238095E+01,3.80438234360114E+01,3.81194409148665E+01,3.81988564167725E+01,3.81988564167725E+01,3.82385641677255E+01,3.82385641677255E+01,3.82385641677255E+01,3.82385641677255E+01,3.82385641677255E+01,3.82385641677255E+01,3.82385641677255E+01,3.82425349428208E+01,3.82822426937738E+01,3.82822426937738E+01,3.83020965692503E+01,3.83179796696315E+01,3.83576874205844E+01,3.83973951715374E+01,3.84132782719186E+01,3.84371029224904E+01,3.84529860228716E+01,3.84768106734434E+01,3.85165184243964E+01,3.85403430749682E+01,3.85562261753494E+01,3.85562261753494E+01,3.85562261753494E+01,3.86197585768742E+01,3.86197585768742E+01,3.87785895806861E+01,3.87785895806861E+01,3.90962515883100E+01,3.91756670902160E+01,3.91756670902160E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),TCD,Chad,,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.89700000000000E+06,2.90700000000000E+06,2.91700000000000E+06,2.99700000000000E+06,3.09500000000000E+06,3.09500000000000E+06,3.14300000000000E+06,3.14000000000000E+06,3.13700000000000E+06,3.13500000000000E+06,3.13200000000000E+06,3.13000000000000E+06,3.12700000000000E+06,3.13000000000000E+06,3.18000000000000E+06,3.18000000000000E+06,3.20300000000000E+06,3.22300000000000E+06,3.27300000000000E+06,3.32200000000000E+06,3.34200000000000E+06,3.37000000000000E+06,3.39000000000000E+06,3.42000000000000E+06,3.47000000000000E+06,3.50000000000000E+06,3.52000000000000E+06,3.52000000000000E+06,3.52000000000000E+06,3.60000000000000E+06,3.60000000000000E+06,3.80000000000000E+06,3.80000000000000E+06,4.20000000000000E+06,4.30000000000000E+06,4.30000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),TCD,Chad,,9.55686117974618E-01,9.35037638734636E-01,9.14719821665945E-01,8.94962537924694E-01,8.75874097860261E-01,8.57552963589964E-01,8.39859859076328E-01,8.22416513510398E-01,8.04776544638985E-01,7.86724799754504E-01,7.68152202849454E-01,7.49334729401442E-01,7.33379567949370E-01,7.18312436113410E-01,7.21327936571278E-01,7.29099233821535E-01,7.14315717853830E-01,7.10944266538728E-01,6.95813264992947E-01,6.80310318661517E-01,6.64658345469266E-01,6.48518501723481E-01,6.32186067103824E-01,6.15145766136805E-01,5.98758064821586E-01,5.90550852092453E-01,5.72463635057673E-01,5.58469664095230E-01,5.44222235843256E-01,5.35409756955378E-01,5.26692880815045E-01,5.13668547914962E-01,5.02128159198168E-01,4.89475482981630E-01,4.78235127796451E-01,4.69728565926810E-01,4.58511039111777E-01,4.45973819309652E-01,4.30872029905456E-01,4.15808765768543E-01,4.09892715136176E-01,3.94785021461500E-01,4.01469250677717E-01,3.87351229096030E-01,4.13972192305065E-01,4.10768673328952E-01,3.99493167100504E-01,,,
