Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",COM,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,6.00000000000000E+00,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",COM,Comoros,,,,,,,,,,,,,,,8.00000000000000E+02,3.60000000000000E+03,5.10000000000000E+03,3.60000000000000E+03,4.97200000000000E+03,2.60000000000000E+03,2.24000000000000E+03,7.94000000000000E+03,6.88800000000000E+03,5.25900000000000E+03,5.40700000000000E+03,7.47800000000000E+03,1.00190000000000E+04,1.05610000000000E+04,2.55200000000000E+03,2.36500000000000E+03,5.11100000000000E+03,5.94000000000000E+03,5.91300000000000E+03,5.87100000000000E+03,5.76400000000000E+03,2.00000000000000E+01,1.50000000000000E+03,4.34400000000000E+03,4.77200000000000E+03,,,,,,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),COM,Comoros,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),COM,Comoros,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.28205128205128E+01,1.28205128205128E+01,1.28205128205128E+01,3.84615384615384E+01,3.84615384615384E+01,3.84615384615384E+01,3.84615384615384E+01,3.84615384615384E+01,3.84615384615384E+01,3.75000000000000E+01,3.75000000000000E+01,,,,,,,,,
AG.LND.AGRI.HA,Agricultural land (hectares),COM,Comoros,,9.50000000000000E+04,9.50000000000000E+04,1.00000000000000E+05,1.00000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.10000000000000E+05,1.10000000000000E+05,1.10000000000000E+05,1.10000000000000E+05,1.10000000000000E+05,1.10000000000000E+05,1.20000000000000E+05,1.21000000000000E+05,1.27000000000000E+05,1.27000000000000E+05,1.27000000000000E+05,1.28000000000000E+05,1.28000000000000E+05,1.33000000000000E+05,1.33000000000000E+05,1.33000000000000E+05,1.33000000000000E+05,1.35000000000000E+05,1.37000000000000E+05,1.39000000000000E+05,1.41000000000000E+05,1.43000000000000E+05,1.45000000000000E+05,1.47000000000000E+05,1.47000000000000E+05,1.47000000000000E+05,1.48000000000000E+05,1.48000000000000E+05,1.50000000000000E+05,1.50000000000000E+05,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),COM,Comoros,,9.50000000000000E+02,9.50000000000000E+02,1.00000000000000E+03,1.00000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.05000000000000E+03,1.10000000000000E+03,1.10000000000000E+03,1.10000000000000E+03,1.10000000000000E+03,1.10000000000000E+03,1.10000000000000E+03,1.20000000000000E+03,1.21000000000000E+03,1.27000000000000E+03,1.27000000000000E+03,1.27000000000000E+03,1.28000000000000E+03,1.28000000000000E+03,1.33000000000000E+03,1.33000000000000E+03,1.33000000000000E+03,1.33000000000000E+03,1.35000000000000E+03,1.37000000000000E+03,1.39000000000000E+03,1.41000000000000E+03,1.43000000000000E+03,1.45000000000000E+03,1.47000000000000E+03,1.47000000000000E+03,1.47000000000000E+03,1.48000000000000E+03,1.48000000000000E+03,1.50000000000000E+03,1.50000000000000E+03,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),COM,Comoros,,5.10478237506716E+01,5.10478237506716E+01,5.37345513164965E+01,5.37345513164965E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.64212788823213E+01,5.91080064481461E+01,5.91080064481461E+01,5.91080064481461E+01,5.91080064481461E+01,5.91080064481461E+01,5.91080064481461E+01,6.44814615797958E+01,6.50188070929607E+01,6.82428801719505E+01,6.82428801719505E+01,6.82428801719505E+01,6.87802256851155E+01,6.87802256851155E+01,7.14669532509403E+01,7.14669532509403E+01,7.14669532509403E+01,7.14669532509403E+01,7.25416442772702E+01,7.36163353036002E+01,7.46910263299301E+01,7.57657173562600E+01,7.68404083825900E+01,7.79150994089199E+01,7.89897904352498E+01,7.89897904352498E+01,7.89897904352498E+01,7.95271359484148E+01,7.95271359484148E+01,8.06018269747452E+01,8.06018269747447E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),COM,Comoros,,6.50000000000000E+04,6.50000000000000E+04,7.00000000000000E+04,7.00000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.60000000000000E+04,7.70000000000000E+04,7.70000000000000E+04,7.70000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,7.80000000000000E+04,8.00000000000000E+04,8.00000000000000E+04,8.00000000000000E+04,8.00000000000000E+04,8.00000000000000E+04,8.00000000000000E+04,8.00000000000000E+04,8.00000000000000E+04,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),COM,Comoros,,,,,,,,,,,,,,,,,,,,,2.23780396837237E-01,2.18005957113090E-01,2.12380521299021E-01,2.06900244491236E-01,2.01561381000011E-01,1.98978418880106E-01,1.96394549103630E-01,1.91326775062748E-01,1.86389770097926E-01,1.83938343731866E-01,1.79191990191294E-01,1.74568111777304E-01,1.70920918229576E-01,1.67349924284622E-01,1.63853537929464E-01,1.60430200412523E-01,1.57078385548696E-01,1.53796599038960E-01,1.50583377804184E-01,1.47437289332864E-01,1.48058390812803E-01,1.44965056055603E-01,1.41936349313523E-01,1.38970920334919E-01,1.36067447078509E-01,1.33224635123977E-01,1.30376826422028E-01,1.27305409320030E-01,,,
AG.LND.ARBL.ZS,Arable land (% of land area),COM,Comoros,,3.49274583557227E+01,3.49274583557227E+01,3.76141859215475E+01,3.76141859215475E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.03009134873723E+01,4.08382590005373E+01,4.13756045137023E+01,4.13756045137023E+01,4.13756045137023E+01,4.19129500268672E+01,4.19129500268672E+01,4.19129500268672E+01,4.19129500268672E+01,4.19129500268672E+01,4.19129500268672E+01,4.19129500268672E+01,4.19129500268672E+01,4.19129500268672E+01,4.19129500268672E+01,4.19129500268672E+01,4.29876410531972E+01,4.29876410531972E+01,4.29876410531972E+01,4.29876410531972E+01,4.29876410531972E+01,4.29876410531972E+01,4.29876410531974E+01,4.29876410531972E+01,,,
