Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",ZAR,"Congo, Dem. Rep.",,6.40000000000000E+02,6.70000000000000E+02,7.50000000000000E+02,8.00000000000000E+02,8.50000000000000E+02,9.00000000000000E+02,9.50000000000000E+02,9.80000000000000E+02,1.02000000000000E+03,1.06200000000000E+03,1.06200000000000E+03,1.10000000000000E+03,1.20000000000000E+03,1.30000000000000E+03,1.40000000000000E+03,1.50000000000000E+03,1.60000000000000E+03,1.70000000000000E+03,1.80000000000000E+03,1.90000000000000E+03,2.00000000000000E+03,2.05000000000000E+03,2.15000000000000E+03,2.20000000000000E+03,2.25000000000000E+03,2.28000000000000E+03,2.30000000000000E+03,2.33000000000000E+03,2.37000000000000E+03,2.40000000000000E+03,2.42000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,2.43000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",ZAR,"Congo, Dem. Rep.",,,,,,,,,,,1.67000000000000E+04,3.82000000000000E+04,8.00000000000000E+03,2.63000000000000E+03,1.00000000000000E+03,1.99000000000000E+04,1.45000000000000E+04,2.89000000000000E+04,7.60340000000000E+04,6.83870000000000E+04,7.69690000000000E+04,9.74500000000000E+04,1.09578000000000E+05,5.31440000000000E+04,1.37558000000000E+05,1.00979000000000E+05,5.61530000000000E+04,1.76507000000000E+05,5.13230000000000E+04,1.06879000000000E+05,8.36570000000000E+04,1.18726000000000E+05,2.36680000000000E+04,1.75050000000000E+04,9.13330000000000E+04,1.69950000000000E+04,1.07750000000000E+04,1.97900000000000E+03,1.32680000000000E+04,2.91640000000000E+04,4.16200000000000E+04,5.55020000000000E+04,4.50620000000000E+04,7.28100000000000E+04,5.52870000000000E+04,6.81650000000000E+04,8.00300000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),ZAR,"Congo, Dem. Rep.",,2.70000000000000E+02,9.07000000000000E+02,1.04300000000000E+03,1.53000000000000E+03,1.40000000000000E+03,1.90000000000000E+03,2.70000000000000E+03,3.40000000000000E+03,4.00000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.28700000000000E+03,6.60000000000000E+03,6.70000000000000E+03,1.07130000000000E+04,1.26840000000000E+04,8.80000000000000E+03,9.00000000000000E+03,7.40000000000000E+03,7.90000000000000E+03,7.60000000000000E+03,7.45100000000000E+03,9.34300000000000E+03,1.15000000000000E+04,6.80000000000000E+03,2.42000000000000E+03,6.20000000000000E+03,2.80000000000000E+03,7.90000000000000E+03,6.20000000000000E+03,8.20000000000000E+03,2.30000000000000E+03,4.10000000000000E+03,1.04040000000000E+04,9.00000000000000E+03,6.00000000000000E+03,0.00000000000000E+00,2.95400000000000E+03,7.42000000000000E+02,8.00000000000000E+02,1.96500000000000E+03,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),ZAR,"Congo, Dem. Rep.",,4.21875000000000E-01,1.41718750000000E+00,1.62968750000000E+00,2.39811912225705E+00,2.20125786163522E+00,2.98742138364779E+00,4.23861852433280E+00,5.31250000000000E+00,6.23052959501557E+00,7.29813664596273E+00,7.26429675425038E+00,6.59538461538461E+00,1.01226993865030E+01,1.02290076335877E+01,1.63682200152788E+01,1.92473444613050E+01,1.33131618759455E+01,1.35951661631419E+01,1.12121212121212E+01,1.19335347432024E+01,1.14285714285714E+01,1.12213855421686E+01,1.40496240601503E+01,1.72413793103448E+01,1.01492537313432E+01,3.60119047619047E+00,9.25373134328358E+00,4.17910447761193E+00,1.17910447761194E+01,9.29535232383808E+00,1.22754491017964E+01,3.43283582089552E+00,6.11940298507462E+00,1.55283582089552E+01,1.34328358208955E+01,8.95522388059701E+00,0.00000000000000E+00,4.40895522388059E+00,1.10746268656716E+00,1.19402985074626E+00,2.93283582089552E+00,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",ZAR,"Congo, Dem. Rep.",,1.82008440000000E+07,1.87568880000000E+07,1.93299200000000E+07,1.99204560000000E+07,2.05290360000000E+07,2.11562060000000E+07,2.18025380000000E+07,2.24686160000000E+07,2.31550400000000E+07,2.38624380000000E+07,2.42736260000000E+07,2.49899120000000E+07,2.53012240000000E+07,2.58812360000000E+07,2.69463440000000E+07,2.81262080000000E+07,2.89990600000000E+07,3.03036480000000E+07,3.13289680000000E+07,3.22409160000000E+07,3.31895320000000E+07,3.43883720000000E+07,3.54796120000000E+07,3.63301920000000E+07,3.75651600000000E+07,3.84261040000000E+07,3.94491320000000E+07,4.07090920000000E+07,4.23292760000000E+07,4.41834600000000E+07,4.66759320000000E+07,4.98022480000000E+07,5.37994960000000E+07,5.67459600000000E+07,5.87585440000000E+07,6.01433680000000E+07,6.12998000000000E+07,6.24057240000000E+07,6.36397200000000E+07,6.49028480000000E+07,6.60806880000000E+07,6.72852640000000E+07,6.85172640000000E+07,6.97774000000000E+07,7.10664000000000E+07,7.21260040000000E+07,7.32088000000000E+07,,,
AG.LND.AGRI.HA,Agricultural land (hectares),ZAR,"Congo, Dem. Rep.",,2.19500000000000E+07,2.19700000000000E+07,2.20000000000000E+07,2.20300000000000E+07,2.20500000000000E+07,2.20700000000000E+07,2.21000000000000E+07,2.21500000000000E+07,2.22000000000000E+07,2.22500000000000E+07,2.23000000000000E+07,2.23500000000000E+07,2.24000000000000E+07,2.24500000000000E+07,2.24500000000000E+07,2.25000000000000E+07,2.25300000000000E+07,2.25500000000000E+07,2.25500000000000E+07,2.26000000000000E+07,2.26500000000000E+07,2.26700000000000E+07,2.27000000000000E+07,2.27500000000000E+07,2.28000000000000E+07,2.28500000000000E+07,2.28500000000000E+07,2.28500000000000E+07,2.28500000000000E+07,2.28600000000000E+07,2.28800000000000E+07,2.29000000000000E+07,2.29000000000000E+07,2.29000000000000E+07,2.29000000000000E+07,2.28900000000000E+07,2.28800000000000E+07,2.28800000000000E+07,2.28800000000000E+07,2.28000000000000E+07,2.28000000000000E+07,2.28000000000000E+07,2.28000000000000E+07,2.28000000000000E+07,2.28000000000000E+07,2.26500000000000E+07,2.26500000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),ZAR,"Congo, Dem. Rep.",,2.19500000000000E+05,2.19700000000000E+05,2.20000000000000E+05,2.20300000000000E+05,2.20500000000000E+05,2.20700000000000E+05,2.21000000000000E+05,2.21500000000000E+05,2.22000000000000E+05,2.22500000000000E+05,2.23000000000000E+05,2.23500000000000E+05,2.24000000000000E+05,2.24500000000000E+05,2.24500000000000E+05,2.25000000000000E+05,2.25300000000000E+05,2.25500000000000E+05,2.25500000000000E+05,2.26000000000000E+05,2.26500000000000E+05,2.26700000000000E+05,2.27000000000000E+05,2.27500000000000E+05,2.28000000000000E+05,2.28500000000000E+05,2.28500000000000E+05,2.28500000000000E+05,2.28500000000000E+05,2.28600000000000E+05,2.28800000000000E+05,2.29000000000000E+05,2.29000000000000E+05,2.29000000000000E+05,2.29000000000000E+05,2.28900000000000E+05,2.28800000000000E+05,2.28800000000000E+05,2.28800000000000E+05,2.28000000000000E+05,2.28000000000000E+05,2.28000000000000E+05,2.28000000000000E+05,2.28000000000000E+05,2.28000000000000E+05,2.26500000000000E+05,2.26500000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),ZAR,"Congo, Dem. Rep.",,9.68218610087999E+00,9.69100813832954E+00,9.70424119450387E+00,9.71747425067819E+00,9.72629628812774E+00,9.73511832557729E+00,9.74835138175161E+00,9.77040647537548E+00,9.79246156899936E+00,9.81451666262323E+00,9.83657175624710E+00,9.85862684987097E+00,9.88068194349484E+00,9.90273703711872E+00,9.90273703711872E+00,9.92479213074259E+00,9.93802518691691E+00,9.94684722436646E+00,9.94684722436646E+00,9.96890231799033E+00,9.99095741161421E+00,9.99977944906376E+00,1.00130125052380E+01,1.00350675988619E+01,1.00571226924858E+01,1.00791777861097E+01,1.00791777861097E+01,1.00791777861097E+01,1.00791777861097E+01,1.00835888048344E+01,1.00924108422840E+01,1.01012328797335E+01,1.01012328797335E+01,1.01012328797335E+01,1.01012328797335E+01,1.00968218610088E+01,1.00924108422840E+01,1.00924108422840E+01,1.00924108422840E+01,1.00571226924858E+01,1.00571226924858E+01,1.00571226924858E+01,1.00571226924858E+01,1.00571226924858E+01,1.00571226924858E+01,9.99095741161421E+00,9.99095741161421E+00,,,
AG.LND.ARBL.HA,Arable land (hectares),ZAR,"Congo, Dem. Rep.",,6.40000000000000E+06,6.40000000000000E+06,6.40000000000000E+06,6.38000000000000E+06,6.36000000000000E+06,6.36000000000000E+06,6.37000000000000E+06,6.40000000000000E+06,6.42000000000000E+06,6.44000000000000E+06,6.47000000000000E+06,6.50000000000000E+06,6.52000000000000E+06,6.55000000000000E+06,6.54500000000000E+06,6.59000000000000E+06,6.61000000000000E+06,6.62000000000000E+06,6.60000000000000E+06,6.62000000000000E+06,6.65000000000000E+06,6.64000000000000E+06,6.65000000000000E+06,6.67000000000000E+06,6.70000000000000E+06,6.72000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.67000000000000E+06,6.68000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,6.70000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),ZAR,"Congo, Dem. Rep.",,4.03641171323792E-01,3.93327397367361E-01,3.83117978128393E-01,3.71665330399701E-01,3.60118404213430E-01,3.49582315092391E-01,3.39544926644436E-01,3.30643735972504E-01,3.21467864329745E-01,3.12652897704923E-01,3.04699162793133E-01,2.97044720356844E-01,2.89145089768685E-01,2.81781610045914E-01,2.72981940857805E-01,2.66297314850225E-01,2.58668222589288E-01,2.50885584425083E-01,2.42389475448976E-01,2.35830438057532E-01,2.30016392040353E-01,2.23147762668105E-01,2.17200439195618E-01,2.11689453539385E-01,2.06514585832378E-01,2.01110248278981E-01,1.94641807363642E-01,1.88771882253453E-01,1.82762291643827E-01,1.75794694147146E-01,1.69697662529015E-01,1.63793748760240E-01,1.57709363299053E-01,1.52319852958143E-01,1.47774693967431E-01,1.44059331803365E-01,1.40956511108393E-01,1.38159669893244E-01,1.35307394165383E-01,1.32179304106345E-01,1.28757091080594E-01,1.25147669580415E-01,1.21431889315449E-01,1.17713286240639E-01,1.14060905833920E-01,1.10481039392426E-01,1.07373129907190E-01,,,
