Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",COG,"Congo, Rep.",,1.51000000000000E+02,1.94000000000000E+02,2.15000000000000E+02,2.46000000000000E+02,4.08000000000000E+02,4.50000000000000E+02,5.14000000000000E+02,5.47000000000000E+02,6.02000000000000E+02,6.18000000000000E+02,6.38000000000000E+02,6.42000000000000E+02,6.46000000000000E+02,6.47000000000000E+02,6.50000000000000E+02,6.55000000000000E+02,6.58000000000000E+02,6.65000000000000E+02,6.68000000000000E+02,6.70000000000000E+02,6.73000000000000E+02,6.76000000000000E+02,6.78000000000000E+02,6.80000000000000E+02,6.85000000000000E+02,6.87000000000000E+02,6.90000000000000E+02,6.95000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.05000000000000E+02,7.10000000000000E+02,7.10000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",COG,"Congo, Rep.",,,,,,,,,,,1.63000000000000E+04,1.30000000000000E+03,1.30000000000000E+03,2.80000000000000E+03,2.10000000000000E+03,2.50000000000000E+03,3.13000000000000E+03,3.20000000000000E+03,4.17400000000000E+03,4.20000000000000E+03,1.72200000000000E+03,4.40000000000000E+02,8.80500000000000E+03,6.75000000000000E+02,4.98000000000000E+02,1.94100000000000E+03,6.37000000000000E+02,9.32000000000000E+02,1.50560000000000E+04,7.40800000000000E+03,7.77200000000000E+03,1.01010000000000E+04,6.58400000000000E+03,1.05000000000000E+03,1.21900000000000E+04,9.34800000000000E+03,1.33900000000000E+04,8.20000000000000E+03,3.73200000000000E+03,1.55870000000000E+04,2.21770000000000E+04,1.85350000000000E+04,1.34890000000000E+04,5.08800000000000E+03,5.39800000000000E+03,4.49400000000000E+03,4.68900000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),COG,"Congo, Rep.",,6.00000000000000E+02,9.00000000000000E+02,1.30000000000000E+03,1.50000000000000E+03,1.70000000000000E+03,2.03500000000000E+03,2.18700000000000E+03,4.00000000000000E+03,6.32400000000000E+03,7.14100000000000E+03,7.60000000000000E+03,7.20000000000000E+03,5.70600000000000E+03,4.30000000000000E+03,2.30000000000000E+03,2.62500000000000E+03,5.00000000000000E+00,0.00000000000000E+00,9.00000000000000E+01,5.12000000000000E+02,5.18000000000000E+02,1.73800000000000E+03,1.60000000000000E+03,2.90000000000000E+03,4.70000000000000E+03,2.50000000000000E+03,1.70000000000000E+03,7.00000000000000E+02,5.39000000000000E+02,1.57500000000000E+03,1.40000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,1.90000000000000E+03,2.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,4.62500000000000E+03,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),COG,"Congo, Rep.",,1.15384615384615E+01,1.73076923076923E+01,2.50000000000000E+01,2.89575289575289E+01,3.28185328185328E+01,3.92857142857142E+01,4.22200772200772E+01,7.72200772200772E+01,1.21849710982658E+02,1.37326923076923E+02,1.46153846153846E+02,1.38461538461538E+02,1.08893129770992E+02,8.17490494296577E+01,4.36432637571157E+01,4.94350282485875E+01,9.46969696969696E-02,0.00000000000000E+00,1.85567010309278E+00,1.04918032786885E+01,1.05498981670061E+01,3.36821705426356E+01,3.07692307692307E+01,5.55555555555555E+01,8.90151515151515E+01,4.76190476190476E+01,3.41365461847389E+01,1.40000000000000E+01,1.07370517928286E+01,3.28810020876826E+01,2.91060291060291E+01,4.16666666666666E+01,4.12371134020618E+01,4.01691331923890E+01,4.21052631578947E+01,8.38574423480083E+01,8.16326530612244E+01,1.01832993890020E+02,1.01010101010101E+02,1.02040816326530E+02,9.43877551020408E+01,,,,,,,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",COG,"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12690000000000E+02,3.77800000000000E+02,3.53149999999999E+02,1.80110000000000E+02,2.00340000000000E+02,2.44349999999999E+02,2.14160000000000E+02,2.71209999999999E+02,2.91819999999999E+02,2.62649999999999E+02,2.32729999999999E+02,2.82060000000000E+02,3.04509999999999E+02,3.45060000000000E+02,3.59579999999999E+02,4.17470000000000E+02,4.44069999999999E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",COG,"Congo, Rep.",,,,,,,1.30000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.60000000000000E+04,1.70000000000000E+04,1.80000000000000E+04,1.80000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,3.80000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,4.50000000000000E+04,4.30000000000000E+04,4.70000000000000E+04,5.90000000000000E+04,6.50000000000000E+04,6.80000000000000E+04,7.30000000000000E+04,7.30000000000000E+04,8.50000000000000E+04,6.00000000000000E+04,6.00000000000000E+04,6.00000000000000E+04,6.00000000000000E+04,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.25000000000000E+05,1.25000000000000E+05,1.60000000000000E+05,1.79672000000000E+05,1.87000000000000E+05,1.70600000000000E+05,1.96590000000000E+05,1.76980000000000E+05,1.82051799999999E+05,1.89335700000000E+05,2.18086700000000E+05,2.12522899999999E+05,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",COG,"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65860000000000E+02,2.83350000000000E+02,2.64870000000000E+02,1.35090000000000E+02,1.50259999999999E+02,1.46610000000000E+02,1.28500000000000E+02,2.18660000000000E+02,2.11560000000000E+02,1.78380000000000E+02,1.44599999999999E+02,1.58169999999999E+02,1.89259999999999E+02,2.11259999999999E+02,2.20139999999999E+02,2.55590000000000E+02,2.74199999999999E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",COG,"Congo, Rep.",,,,,,,1.80300000000000E+04,1.86800000000000E+04,1.90000000000000E+04,1.90000000000000E+04,1.90000000000000E+04,1.90000000000000E+04,2.10000000000000E+04,2.10000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,4.00000000000000E+04,4.50000000000000E+04,4.50000000000000E+04,5.00000000000000E+04,6.30000000000000E+04,7.00000000000000E+04,7.70000000000000E+04,9.00000000000000E+04,9.00000000000000E+04,1.00000000000000E+05,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,7.50000000000000E+04,1.29000000000000E+05,1.30256000000000E+05,1.27000000000000E+05,1.06000000000000E+05,1.10240000000000E+05,1.10000000000000E+05,1.11457800000000E+05,1.15917500000000E+05,1.33519799999999E+05,1.31224100000000E+05,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",COG,"Congo, Rep.",,8.26279000000000E+05,8.31059000000000E+05,8.35866000000000E+05,8.40701000000000E+05,8.45565000000000E+05,8.50456000000000E+05,8.55376000000000E+05,8.60324000000000E+05,8.65300000000000E+05,8.70306000000000E+05,8.78566000000000E+05,8.85276000000000E+05,8.93449000000000E+05,8.99817000000000E+05,9.05446000000000E+05,9.14381000000000E+05,9.46284000000000E+05,9.47908000000000E+05,9.40612000000000E+05,9.21981000000000E+05,9.11725000000000E+05,8.85331000000000E+05,8.83982000000000E+05,8.83548000000000E+05,8.96190000000000E+05,9.22703000000000E+05,9.37429000000000E+05,9.49350000000000E+05,9.60297000000000E+05,9.73745000000000E+05,9.75001000000000E+05,9.88973000000000E+05,1.00958700000000E+06,1.03649800000000E+06,1.06896900000000E+06,1.08430800000000E+06,1.11133100000000E+06,1.12416700000000E+06,1.13853200000000E+06,1.15314000000000E+06,1.16929700000000E+06,1.18571500000000E+06,1.20240100000000E+06,1.44800000000000E+06,1.36900000000000E+06,1.25579000000000E+06,1.27530000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),COG,"Congo, Rep.",,1.05400000000000E+07,1.05400000000000E+07,1.05420000000000E+07,1.05430000000000E+07,1.05430000000000E+07,1.05430000000000E+07,1.05430000000000E+07,1.05430000000000E+07,1.05440000000000E+07,1.05480000000000E+07,1.05480000000000E+07,1.05500000000000E+07,1.05540000000000E+07,1.05580000000000E+07,1.05620000000000E+07,1.05680000000000E+07,1.05650000000000E+07,1.05200000000000E+07,1.05220000000000E+07,1.05250000000000E+07,1.05280000000000E+07,1.05540000000000E+07,1.05580000000000E+07,1.05620000000000E+07,1.05680000000000E+07,1.05650000000000E+07,1.05400000000000E+07,1.05420000000000E+07,1.05440000000000E+07,1.05210000000000E+07,1.05230000000000E+07,1.05250000000000E+07,1.05300000000000E+07,1.05180000000000E+07,1.05200000000000E+07,1.05220000000000E+07,1.05360000000000E+07,1.05380000000000E+07,1.05440000000000E+07,1.05400000000000E+07,1.05400000000000E+07,1.05450000000000E+07,1.05450000000000E+07,1.05450000000000E+07,1.05450000000000E+07,1.05450000000000E+07,1.05450000000000E+07,,,
