Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",CIV,Cote d'Ivoire,,7.80000000000000E+01,3.00000000000000E+02,4.50000000000000E+02,4.60000000000000E+02,7.05000000000000E+02,9.40000000000000E+02,9.40000000000000E+02,1.07000000000000E+03,1.23100000000000E+03,1.41200000000000E+03,1.50000000000000E+03,1.59100000000000E+03,1.84000000000000E+03,2.00000000000000E+03,2.15000000000000E+03,2.45000000000000E+03,3.00000000000000E+03,3.20000000000000E+03,3.50000000000000E+03,3.70000000000000E+03,3.95000000000000E+03,4.10000000000000E+03,4.18000000000000E+03,4.25000000000000E+03,4.30000000000000E+03,4.47000000000000E+03,4.54000000000000E+03,4.62000000000000E+03,4.70000000000000E+03,4.83000000000000E+03,4.90000000000000E+03,5.02000000000000E+03,5.13000000000000E+03,5.24000000000000E+03,5.33000000000000E+03,5.95000000000000E+03,6.80000000000000E+03,7.60000000000000E+03,8.25000000000000E+03,8.40000000000000E+03,8.98100000000000E+03,9.00000000000000E+03,9.10000000000000E+03,9.20000000000000E+03,9.28000000000000E+03,9.35000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",CIV,Cote d'Ivoire,,,,,,,,,,,3.00000000000000E+03,5.40000000000000E+03,5.20000000000000E+03,9.00000000000000E+02,3.60000000000000E+03,4.00000000000000E+02,2.90000000000000E+02,6.00000000000000E+02,3.00000000000000E+02,2.00000000000000E+03,,8.77000000000000E+02,,,,8.40000000000000E+02,,8.65000000000000E+02,6.41000000000000E+02,2.59390000000000E+04,5.86970000000000E+04,3.64630000000000E+04,4.10200000000000E+04,4.54790000000000E+04,5.66980000000000E+04,3.45310000000000E+04,4.47400000000000E+04,2.61590000000000E+04,3.37830000000000E+04,1.82620000000000E+04,1.03280000000000E+04,3.90700000000000E+03,1.24660000000000E+04,2.42270000000000E+04,2.72370000000000E+04,2.06670000000000E+04,1.25830000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),CIV,Cote d'Ivoire,,7.06300000000000E+03,6.21100000000000E+03,9.11600000000000E+03,1.11330000000000E+04,1.17920000000000E+04,1.25000000000000E+04,1.38690000000000E+04,1.17040000000000E+04,1.38450000000000E+04,2.04740000000000E+04,2.36700000000000E+04,3.06960000000000E+04,2.98330000000000E+04,3.08720000000000E+04,3.77000000000000E+04,3.73000000000000E+04,4.78000000000000E+04,4.10000000000000E+04,5.02660000000000E+04,5.31000000000000E+04,4.91000000000000E+04,3.92000000000000E+04,3.77000000000000E+04,4.15000000000000E+04,4.15000000000000E+04,3.00000000000000E+04,2.19000000000000E+04,2.75000000000000E+04,3.50000000000000E+04,3.70000000000000E+04,3.87000000000000E+04,3.70000000000000E+04,5.40000000000000E+04,6.50000000000000E+04,6.60000000000000E+04,7.05000000000000E+04,1.10000000000000E+05,9.00000000000000E+04,7.06000000000000E+04,6.71000000000000E+04,6.87000000000000E+04,8.68550000000000E+04,8.21690000000000E+04,7.62130000000000E+04,4.97850000000000E+04,6.37630000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),CIV,Cote d'Ivoire,,4.20416666666666E+01,3.69702380952380E+01,5.42619047619047E+01,6.62678571428571E+01,7.01904761904761E+01,7.44047619047618E+01,8.15823529411764E+01,6.88470588235294E+01,8.14411764705882E+01,1.20435294117647E+02,1.39235294117647E+02,1.79508771929824E+02,1.71454022988505E+02,1.73926760563380E+02,2.07713498622589E+02,2.02717391304347E+02,2.54255319148936E+02,2.14659685863874E+02,2.61122077922077E+02,2.71611253196930E+02,2.49238578680203E+02,1.96984924623115E+02,1.85349065880039E+02,1.80356366797044E+02,1.74369747899159E+02,1.26050420168067E+02,9.12500000000000E+01,1.13636363636363E+02,1.44628099173553E+02,1.52263374485596E+02,1.57959183673469E+02,1.42307692307692E+02,1.86078566505858E+02,2.16666666666666E+02,2.20000000000000E+02,2.35000000000000E+02,3.79310344827586E+02,3.10344827586206E+02,2.52142857142857E+02,2.39642857142857E+02,2.45357142857142E+02,3.10196428571428E+02,3.04329629629629E+02,2.72189285714285E+02,1.77803571428571E+02,2.27724999999999E+02,,,,
AG.CRP.FNO.CD,"Producer Price for Fonio (per tonne, current US$)",CIV,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60819999999999E+02,6.42259999999999E+02,6.00360000000000E+02,3.47850000000000E+02,4.46540000000000E+02,5.92320000000000E+02,3.86690000000000E+02,3.25959999999999E+02,3.60730000000000E+02,3.01589999999999E+02,2.90750000000000E+02,2.88709999999999E+02,4.23410000000000E+02,6.31309999999999E+02,6.55200000000000E+02,6.60409999999999E+02,2.29849999999999E+02,,,
AG.CRP.FNO.CN,"Producer Price for Fonio (per tonne, current LCU)",CIV,Cote d'Ivoire,,,,,,,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,3.40000000000000E+04,3.40000000000000E+04,3.70000000000000E+04,6.00000000000000E+04,7.10000000000000E+04,8.20000000000000E+04,9.30000000000000E+04,9.20000000000000E+04,1.20000000000000E+05,1.20000000000000E+05,1.32000000000000E+05,1.89000000000000E+05,1.45000000000000E+05,1.45000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.70000000000000E+05,1.70000000000000E+05,1.93125000000000E+05,2.22889000000000E+05,3.03000000000000E+05,2.25700000000000E+05,1.92300000000000E+05,2.22100000000000E+05,2.14727000000000E+05,2.13130000000000E+05,2.01228000000000E+05,2.46083000000000E+05,3.33076000000000E+05,3.45000000000000E+05,3.45000000000000E+05,1.10000000000000E+05,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",CIV,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60819999999999E+02,5.62919999999999E+02,5.26200000000000E+02,3.08720000000000E+02,3.91279999999999E+02,4.02699999999999E+02,2.21020000000000E+02,3.47490000000000E+02,2.19160000000000E+02,2.45669999999999E+02,3.32860000000000E+02,4.54300000000000E+02,5.37009999999999E+02,6.00450000000000E+02,4.15339999999999E+02,4.18639999999999E+02,2.88060000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",CIV,Cote d'Ivoire,,,,,,,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,3.60000000000000E+04,3.60000000000000E+04,4.00000000000000E+04,6.00000000000000E+04,8.30000000000000E+04,8.30000000000000E+04,9.20000000000000E+04,9.90000000000000E+04,1.06000000000000E+05,1.18000000000000E+05,1.31000000000000E+05,1.17000000000000E+05,1.44000000000000E+05,1.44000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.49000000000000E+05,1.49000000000000E+05,1.71404000000000E+05,1.95306000000000E+05,2.06000000000000E+05,1.29000000000000E+05,2.05000000000000E+05,1.34937000000000E+05,1.74909000000000E+05,2.43997000000000E+05,3.16638000000000E+05,3.12112000000000E+05,3.16794000000000E+05,2.18700000000000E+05,2.18700000000000E+05,1.37860799999999E+05,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",CIV,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59509999999999E+02,2.34240000000000E+02,2.18960000000000E+02,1.28419999999999E+02,1.62880000000000E+02,1.42699999999999E+02,1.79910000000000E+02,1.55949999999999E+02,1.39610000000000E+02,1.19310000000000E+02,1.17590000000000E+02,1.24690000000000E+02,2.19199999999999E+02,2.39310000000000E+02,2.33030000000000E+02,2.34880000000000E+02,1.25370000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",CIV,Cote d'Ivoire,,,,,,,1.20000000000000E+04,1.20000000000000E+04,1.20000000000000E+04,1.20000000000000E+04,1.20000000000000E+04,1.20000000000000E+04,1.30000000000000E+04,1.90000000000000E+04,1.90000000000000E+04,2.00000000000000E+04,2.50000000000000E+04,3.60000000000000E+04,6.00000000000000E+04,6.00000000000000E+04,6.80000000000000E+04,7.20000000000000E+04,5.80000000000000E+04,6.50000000000000E+04,7.20000000000000E+04,6.00000000000000E+04,7.60000000000000E+04,4.50000000000000E+04,4.50000000000000E+04,4.50000000000000E+04,4.50000000000000E+04,4.50000000000000E+04,6.20000000000000E+04,6.20000000000000E+04,7.13000000000000E+04,8.13010000000000E+04,7.30000000000000E+04,1.05005000000000E+05,9.20000000000000E+04,8.59600000000000E+04,8.49440000000000E+04,8.62000000000000E+04,8.69080000000000E+04,1.27399000000000E+05,1.26258000000000E+05,1.22700000000000E+05,1.22700000000000E+05,6.00000000000000E+04,,,
