Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",DJI,Djibouti,,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,5.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,6.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,8.00000000000000E+00,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",DJI,Djibouti,,,,,,,,,,,,,,,,,,2.90000000000000E+03,5.20000000000000E+03,4.90000000000000E+03,1.37060000000000E+04,1.12700000000000E+04,8.37700000000000E+03,1.06190000000000E+04,1.50080000000000E+04,1.97880000000000E+04,1.64580000000000E+04,9.68400000000000E+03,1.78750000000000E+04,6.22300000000000E+03,7.48600000000000E+03,1.55460000000000E+04,2.40900000000000E+04,8.05300000000000E+03,1.81430000000000E+04,1.36390000000000E+04,2.44300000000000E+03,1.44930000000000E+04,1.31570000000000E+04,8.82500000000000E+03,1.25680000000000E+04,9.97000000000000E+03,1.39390000000000E+04,3.31900000000000E+03,1.44460000000000E+04,1.62260000000000E+04,7.59700000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),DJI,Djibouti,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.30000000000000E+03,1.30000000000000E+03,1.50000000000000E+03,1.84400000000000E+03,1.20000000000000E+03,2.20000000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+02,1.00000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),DJI,Djibouti,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.30000000000000E+04,1.30000000000000E+04,1.50000000000000E+04,1.84400000000000E+04,1.20000000000000E+04,2.20000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+03,1.00000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",DJI,Djibouti,,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,,
AG.LND.AGRI.HA,Agricultural land (hectares),DJI,Djibouti,,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.30100000000000E+06,1.29900000000000E+06,1.33600000000000E+06,1.37100000000000E+06,1.40100000000000E+06,1.40100000000000E+06,1.45100000000000E+06,1.48100000000000E+06,1.50100000000000E+06,1.50100000000000E+06,1.55100000000000E+06,1.60100000000000E+06,1.68100000000000E+06,1.70100000000000E+06,1.70100000000000E+06,1.70100000000000E+06,1.70100000000000E+06,1.70130000000000E+06,1.70130000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),DJI,Djibouti,,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.30100000000000E+04,1.29900000000000E+04,1.33600000000000E+04,1.37100000000000E+04,1.40100000000000E+04,1.40100000000000E+04,1.45100000000000E+04,1.48100000000000E+04,1.50100000000000E+04,1.50100000000000E+04,1.55100000000000E+04,1.60100000000000E+04,1.68100000000000E+04,1.70100000000000E+04,1.70100000000000E+04,1.70100000000000E+04,1.70100000000000E+04,1.70130000000000E+04,1.70130000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),DJI,Djibouti,,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.61259706643658E+01,5.60396893874029E+01,5.76358930112165E+01,5.91458153580673E+01,6.04400345125107E+01,6.04400345125107E+01,6.25970664365832E+01,6.38912855910267E+01,6.47540983606557E+01,6.47540983606557E+01,6.69111302847282E+01,6.90681622088006E+01,7.25194132873166E+01,7.33822260569456E+01,7.33822260569456E+01,7.33822260569456E+01,7.33822260569456E+01,7.33951682484900E+01,7.33951682484900E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),DJI,Djibouti,,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.30000000000000E+03,1.30000000000000E+03,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),DJI,Djibouti,,1.11307754811277E-02,1.04562041887553E-02,9.78981272088264E-03,9.15734144063295E-03,8.57022873940505E-03,8.02162630451697E-03,7.50615504713865E-03,7.02799955020802E-03,6.58991611036791E-03,6.18873155757995E-03,5.83171989083020E-03,5.50751776174478E-03,5.18505459862492E-03,4.83795277190504E-03,4.46631948476538E-03,4.07722259596762E-03,3.70144171154664E-03,3.37552742616033E-03,3.12248249848559E-03,2.94097752210879E-03,2.82377391736508E-03,2.74955663399276E-03,2.68789747283879E-03,2.60463468696198E-03,2.48395982940163E-03,2.32806647095387E-03,2.15907177186384E-03,2.00156923027653E-03,1.87487110261169E-03,1.78383807031532E-03,1.72490224116548E-03,1.68817970335306E-03,1.66307719172785E-03,1.63699611213423E-03,1.60216869554629E-03,1.55745287926313E-03,1.50724532829310E-03,1.45618485393009E-03,1.40963400262755E-03,1.37035859543725E-03,1.33814709448121E-03,1.31100258923011E-03,1.28735916290757E-03,1.26527183100017E-03,1.24346249592766E-03,1.58825570428144E-03,1.56063925627116E-03,,,
