Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",EGY,"Egypt, Arab Rep.",,1.28370000000000E+04,1.32000000000000E+04,1.35000000000000E+04,1.40000000000000E+04,1.45000000000000E+04,1.50000000000000E+04,1.54000000000000E+04,1.55720000000000E+04,1.69620000000000E+04,1.73000000000000E+04,1.75660000000000E+04,1.85000000000000E+04,2.00360000000000E+04,2.08890000000000E+04,2.15000000000000E+04,2.20000000000000E+04,2.24680000000000E+04,2.83000000000000E+04,3.41890000000000E+04,3.60000000000000E+04,3.86390000000000E+04,4.19000000000000E+04,4.52000000000000E+04,4.85000000000000E+04,5.18560000000000E+04,5.20000000000000E+04,5.22900000000000E+04,5.30000000000000E+04,5.50000000000000E+04,5.70000000000000E+04,5.90000000000000E+04,6.10000000000000E+04,7.80990000000000E+04,7.88460000000000E+04,8.90800000000000E+04,8.80000000000000E+04,8.60000000000000E+04,8.60000000000000E+04,8.60000000000000E+04,8.62550000000000E+04,9.07340000000000E+04,9.24000000000000E+04,9.41510000000000E+04,9.59000000000000E+04,9.76000000000000E+04,9.93000000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",EGY,"Egypt, Arab Rep.",,,,,,,,,,,2.74200000000000E+05,2.18300000000000E+05,2.56650000000000E+05,1.65580000000000E+05,6.09700000000000E+05,1.08552000000000E+06,2.06579000000000E+06,1.73251300000000E+06,2.05998100000000E+06,1.75800200000000E+06,1.86499200000000E+06,1.95662000000000E+06,1.81602300000000E+06,1.78285700000000E+06,1.95094000000000E+06,1.79870100000000E+06,1.97736600000000E+06,1.64566600000000E+06,1.48456000000000E+06,1.20939000000000E+06,2.46320000000000E+06,8.56359000000000E+05,4.81757000000000E+05,2.30222000000000E+05,1.80208000000000E+05,2.14265000000000E+05,1.45099000000000E+05,5.93540000000000E+04,1.30760000000000E+04,6.41560000000000E+04,2.05880000000000E+04,3.42500000000000E+04,1.09510000000000E+04,2.20170000000000E+04,6.13900000000000E+03,5.21400000000000E+03,2.43190000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),EGY,"Egypt, Arab Rep.",,2.42279000000000E+05,2.38962000000000E+05,2.76118000000000E+05,3.04670000000000E+05,3.37618000000000E+05,2.87867000000000E+05,2.80750000000000E+05,3.21072000000000E+05,3.47867000000000E+05,3.72893000000000E+05,3.72400000000000E+05,4.18697000000000E+05,4.04481000000000E+05,4.28600000000000E+05,5.01192000000000E+05,4.97010000000000E+05,5.43247000000000E+05,5.81161000000000E+05,6.04200000000000E+05,6.63500000000000E+05,7.07910000000000E+05,7.90700000000000E+05,7.87100000000000E+05,7.96000000000000E+05,8.63500000000000E+05,1.00920000000000E+06,1.00910000000000E+06,1.00130000000000E+06,9.40216000000000E+05,9.58946000000000E+05,9.63400000000000E+05,8.77442000000000E+05,9.88138000000000E+05,8.43236000000000E+05,1.12640000000000E+06,1.15750000000000E+06,1.07874300000000E+06,1.17112800000000E+06,1.17950000000000E+06,1.25973100000000E+06,1.30834800000000E+06,1.26991600000000E+06,1.82424400000000E+06,1.93081900000000E+06,2.19920900000000E+06,1.34237000000000E+06,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),EGY,"Egypt, Arab Rep.",,9.69503801520608E+02,9.82170160295930E+02,1.14429341069208E+03,1.25792733278282E+03,1.30758326878388E+03,1.07292955646664E+03,1.04213066072754E+03,1.19490882024562E+03,1.27657614678899E+03,1.36841467889908E+03,1.36160877513711E+03,1.53650275229357E+03,1.48542416452442E+03,1.58330254894717E+03,1.86247491638795E+03,1.91452234206471E+03,2.17385754301720E+03,2.42655949895615E+03,2.62239583333333E+03,2.90244969378827E+03,3.06853055916775E+03,3.43036876355748E+03,3.41031195840554E+03,3.44588744588744E+03,3.74620390455531E+03,4.35375323554788E+03,4.41040209790209E+03,4.33463203463203E+03,4.09501742160278E+03,4.19853765323992E+03,4.24966916629907E+03,3.48329495831679E+03,3.47080435546188E+03,2.96288123682361E+03,3.99858004969826E+03,4.10460992907801E+03,3.80643260409315E+03,4.13242060691602E+03,3.93954575818303E+03,4.49743305962156E+03,4.57304439007340E+03,4.32532697547683E+03,6.27750860289057E+03,6.51203709949409E+03,7.32337329337329E+03,4.45526053767009E+03,,,,
AG.CRP.BLY.CD,"Producer Price for Barley (per tonne, current US$)",EGY,"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15360000000000E+02,1.48720000000000E+02,1.48550000000000E+02,1.45340000000000E+02,1.50349999999999E+02,1.75150000000000E+02,1.85610000000000E+02,1.89490000000000E+02,1.96449999999999E+02,1.95849999999999E+02,1.75940000000000E+02,1.60009999999999E+02,1.28190000000000E+02,1.35889999999999E+02,1.57130000000000E+02,1.77389999999999E+02,2.19990000000000E+02,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",EGY,"Egypt, Arab Rep.",,,,,,,2.70799999999999E+01,3.68800000000000E+01,2.67700000000000E+01,2.53799999999999E+01,3.16900000000000E+01,3.88500000000000E+01,3.01499999999999E+01,3.63100000000000E+01,4.53800000000000E+01,5.00000000000000E+01,5.12899999999999E+01,6.05700000000000E+01,6.48199999999999E+01,7.74599999999999E+01,1.02310000000000E+02,1.11099999999999E+02,1.15000000000000E+02,1.15000000000000E+02,1.36000000000000E+02,1.97000000000000E+02,2.21000000000000E+02,2.34000000000000E+02,2.39000000000000E+02,2.70000000000000E+02,3.25000000000000E+02,3.62000000000000E+02,4.94000000000000E+02,4.98000000000000E+02,4.92000000000000E+02,5.10000000000000E+02,5.94000000000000E+02,6.29000000000000E+02,6.42000000000000E+02,6.67000000000000E+02,6.80000000000000E+02,6.99000000000000E+02,7.20000000000000E+02,7.50000000000000E+02,8.42000000000000E+02,9.08000000000000E+02,1.01700000000000E+03,1.24200000000000E+03,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",EGY,"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40539999999999E+02,1.30960000000000E+02,1.36610000000000E+02,1.41500000000000E+02,1.51520000000000E+02,1.58039999999999E+02,1.62889999999999E+02,1.70900000000000E+02,1.78190000000000E+02,1.74830000000000E+02,1.54289999999999E+02,1.39789999999999E+02,1.18440000000000E+02,1.67199999999999E+02,1.79280000000000E+02,1.88210000000000E+02,2.80740000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",EGY,"Egypt, Arab Rep.",,,,,,,3.21400000000000E+01,3.68599999999999E+01,2.89300000000000E+01,3.27100000000000E+01,3.35000000000000E+01,3.34300000000000E+01,3.67899999999999E+01,4.50700000000000E+01,5.07899999999999E+01,5.08200000000000E+01,5.02500000000000E+01,6.15399999999999E+01,7.05900000000000E+01,7.44800000000000E+01,1.23319999999999E+02,9.46599999999999E+01,1.24900000000000E+02,1.67599999999999E+02,1.73000000000000E+02,1.94000000000000E+02,2.19000000000000E+02,2.55000000000000E+02,3.24000000000000E+02,4.05000000000000E+02,4.27000000000000E+02,4.41000000000000E+02,4.35000000000000E+02,4.58000000000000E+02,4.79000000000000E+02,5.14000000000000E+02,5.36000000000000E+02,5.52000000000000E+02,5.79000000000000E+02,6.05000000000000E+02,6.07000000000000E+02,6.13000000000000E+02,6.29000000000000E+02,6.93000000000000E+02,1.03600000000000E+03,1.03600000000000E+03,1.07900000000000E+03,1.58500000000000E+03,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",EGY,"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27470000000000E+02,1.35770000000000E+02,1.50340000000000E+02,1.78720000000000E+02,1.93380000000000E+02,2.07280000000000E+02,2.11880000000000E+02,2.13699999999999E+02,2.15300000000000E+02,1.67910000000000E+02,1.49009999999999E+02,1.49120000000000E+02,1.69720000000000E+02,1.65419999999999E+02,1.84990000000000E+02,1.88030000000000E+02,2.56829999999999E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",EGY,"Egypt, Arab Rep.",,,,,,,2.68000000000000E+01,3.01200000000000E+01,3.15799999999999E+01,3.09899999999999E+01,2.84100000000000E+01,2.75399999999999E+01,2.68200000000000E+01,2.81000000000000E+01,3.60099999999999E+01,4.02400000000000E+01,5.02000000000000E+01,5.61300000000000E+01,6.51599999999999E+01,6.59000000000000E+01,8.15799999999999E+01,9.88700000000000E+01,1.30120000000000E+02,1.26080000000000E+02,1.31000000000000E+02,2.12000000000000E+02,2.47000000000000E+02,2.06000000000000E+02,2.57000000000000E+02,3.62000000000000E+02,3.67000000000000E+02,4.00000000000000E+02,4.51000000000000E+02,5.04000000000000E+02,6.05000000000000E+02,6.56000000000000E+02,7.03000000000000E+02,7.18000000000000E+02,7.24000000000000E+02,7.31000000000000E+02,5.83000000000000E+02,5.92000000000000E+02,6.71000000000000E+02,9.93000000000000E+02,1.02500000000000E+03,1.06900000000000E+03,1.07800000000000E+03,1.45000000000000E+03,,,
