Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",GNQ,Equatorial Guinea,,1.80000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,3.00000000000000E+01,4.00000000000000E+01,4.50000000000000E+01,5.50000000000000E+01,6.00000000000000E+01,6.50000000000000E+01,7.00000000000000E+01,7.50000000000000E+01,8.00000000000000E+01,8.50000000000000E+01,9.00000000000000E+01,9.50000000000000E+01,9.50000000000000E+01,9.70000000000000E+01,9.70000000000000E+01,9.70000000000000E+01,9.80000000000000E+01,9.80000000000000E+01,9.80000000000000E+01,9.80000000000000E+01,9.80000000000000E+01,9.80000000000000E+01,9.80000000000000E+01,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.10000000000000E+02,1.20000000000000E+02,1.30000000000000E+02,1.40000000000000E+02,1.50000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,2.00000000000000E+02,2.10000000000000E+02,2.40000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",GNQ,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,3.00000000000000E+02,2.07100000000000E+03,7.89000000000000E+03,1.18490000000000E+04,7.93000000000000E+03,7.03600000000000E+03,5.37000000000000E+03,1.44300000000000E+03,2.44300000000000E+03,2.74500000000000E+03,2.92100000000000E+03,3.93500000000000E+03,3.56800000000000E+03,3.36600000000000E+03,5.01000000000000E+03,3.40800000000000E+03,5.30000000000000E+02,1.78000000000000E+02,7.79000000000000E+02,7.20000000000000E+02,9.10000000000000E+02,,1.54200000000000E+03,,,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),GNQ,Equatorial Guinea,,8.00000000000000E+02,8.50000000000000E+02,9.00000000000000E+02,9.00000000000000E+02,1.00000000000000E+03,0.00000000000000E+00,1.80000000000000E+03,1.60000000000000E+03,1.60000000000000E+03,1.90000000000000E+03,1.20000000000000E+03,1.20000000000000E+03,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),GNQ,Equatorial Guinea,,7.27272727272727E+01,7.39130434782608E+01,7.50000000000000E+01,7.43801652892561E+01,8.26446280991735E+01,0.00000000000000E+00,1.44000000000000E+02,1.28000000000000E+02,1.28000000000000E+02,1.52000000000000E+02,9.23076923076923E+01,9.23076923076923E+01,7.69230769230769E+00,7.69230769230769E+00,7.69230769230769E+00,7.69230769230769E+00,7.69230769230769E+00,7.69230769230769E+00,7.69230769230769E+00,7.69230769230769E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",GNQ,Equatorial Guinea,,3.05000000000000E+05,3.10000000000000E+05,3.20000000000000E+05,3.25000000000000E+05,3.30000000000000E+05,3.35000000000000E+05,3.45000000000000E+05,3.50000000000000E+05,3.55000000000000E+05,3.60000000000000E+05,3.65000000000000E+05,3.65000000000000E+05,3.72000000000000E+05,3.78000000000000E+05,3.84000000000000E+05,3.92000000000000E+05,3.99000000000000E+05,4.05000000000000E+05,4.13000000000000E+05,4.21000000000000E+05,4.29000000000000E+05,4.38000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,4.47000000000000E+05,1.87200000000000E+05,,,
AG.LND.AGRI.HA,Agricultural land (hectares),GNQ,Equatorial Guinea,,3.14000000000000E+05,3.19000000000000E+05,3.24000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.29000000000000E+05,3.29000000000000E+05,3.29000000000000E+05,3.29000000000000E+05,3.29000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.34000000000000E+05,3.24000000000000E+05,3.24000000000000E+05,3.24000000000000E+05,3.24000000000000E+05,3.24000000000000E+05,3.24000000000000E+05,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),GNQ,Equatorial Guinea,,3.14000000000000E+03,3.19000000000000E+03,3.24000000000000E+03,3.25000000000000E+03,3.25000000000000E+03,3.29000000000000E+03,3.29000000000000E+03,3.29000000000000E+03,3.29000000000000E+03,3.29000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.34000000000000E+03,3.24000000000000E+03,3.24000000000000E+03,3.24000000000000E+03,3.24000000000000E+03,3.24000000000000E+03,3.24000000000000E+03,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),GNQ,Equatorial Guinea,,1.11942959001782E+01,1.13725490196078E+01,1.15508021390374E+01,1.15864527629233E+01,1.15864527629233E+01,1.17290552584670E+01,1.17290552584670E+01,1.17290552584670E+01,1.17290552584670E+01,1.17290552584670E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.19073083778966E+01,1.15508021390374E+01,1.15508021390374E+01,1.15508021390374E+01,1.15508021390374E+01,1.15508021390374E+01,1.15508021390374E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),GNQ,Equatorial Guinea,,1.10000000000000E+05,1.15000000000000E+05,1.20000000000000E+05,1.21000000000000E+05,1.21000000000000E+05,1.25000000000000E+05,1.25000000000000E+05,1.25000000000000E+05,1.25000000000000E+05,1.25000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),GNQ,Equatorial Guinea,,4.31276146116358E-01,4.45926557834735E-01,4.59891695505708E-01,4.57162719702579E-01,4.49227959057141E-01,4.53909980572652E-01,4.42711376974050E-01,4.33125433125433E-01,4.28225911436029E-01,4.29870866791615E-01,4.56483113636204E-01,4.73122975579575E-01,4.95704529595466E-01,5.21186219836347E-01,5.46057882135506E-01,5.69403746676653E-01,5.90474287115851E-01,6.04415019248293E-01,6.05231058595677E-01,5.89967824062518E-01,5.58839333691563E-01,5.18083092557537E-01,4.76569287675551E-01,4.41101124129249E-01,4.13762373086349E-01,3.93582784083512E-01,3.78234633490640E-01,3.65846794619237E-01,3.54412710875562E-01,3.42778190869443E-01,3.30925215992342E-01,3.19334212730626E-01,3.08142304857033E-01,2.97540711580055E-01,2.87618891693787E-01,2.78310611769541E-01,2.69504898769813E-01,2.61172140566864E-01,2.53281456095607E-01,2.45801520944180E-01,2.38709499719975E-01,2.31976331276476E-01,2.25560517886949E-01,2.19421873997832E-01,2.13532367400506E-01,2.07868959407989E-01,2.02425997726600E-01,,,
