Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50000000000000E+02,2.70000000000000E+02,3.00000000000000E+02,3.31000000000000E+02,4.40000000000000E+02,6.13000000000000E+02,5.60000000000000E+02,4.63000000000000E+02,4.63000000000000E+02,4.63000000000000E+02,4.63000000000000E+02,4.63000000000000E+02,4.63000000000000E+02,4.63000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13060000000000E+04,6.06170000000000E+04,2.47215000000000E+05,1.35607000000000E+05,5.48560000000000E+04,9.00000000000000E+03,6.33420000000000E+04,1.02678000000000E+05,9.44110000000000E+04,2.35967000000000E+05,2.51899000000000E+05,2.68303000000000E+05,2.34328000000000E+05,2.65960000000000E+05,9.13770000000000E+04,1.00000000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00000000000000E+02,1.30000000000000E+03,1.61400000000000E+03,4.99300000000000E+03,6.00000000000000E+03,6.50000000000000E+03,1.09000000000000E+04,1.09000000000000E+04,5.46800000000000E+03,3.50500000000000E+03,9.72000000000000E+02,3.00000000000000E+00,1.39900000000000E+03,1.10000000000000E+01,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40562248995983E+01,2.97482837528604E+01,3.68493150684931E+01,1.35311653116531E+02,1.53452685421994E+02,1.30522088353413E+02,2.18875502008032E+02,1.94642857142857E+02,9.72953736654804E+01,6.23665480427046E+01,1.62814070351758E+01,5.01672240802675E-02,2.25645161290322E+01,1.69230769230769E-01,,,,
AG.CRP.BLY.CD,"Producer Price for Barley (per tonne, current US$)",ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13819999999999E+02,1.77220000000000E+02,1.71860000000000E+02,2.35789999999999E+02,2.41319999999999E+02,3.19209999999999E+02,3.11560000000000E+02,2.87790000000000E+02,2.38740000000000E+02,2.61500000000000E+02,3.00839999999999E+02,3.58600000000000E+02,3.56470000000000E+02,4.08899999999999E+02,4.49709999999999E+02,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70000000000000E+02,9.70000000000000E+02,1.06000000000000E+03,1.50000000000000E+03,1.65000000000000E+03,2.35000000000000E+03,2.54000000000000E+03,2.77000000000000E+03,2.70000000000000E+03,3.65000000000000E+03,4.17500000000000E+03,4.94150000000000E+03,5.47530000000000E+03,6.13350000000000E+03,6.74560000000000E+03,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07529999999999E+02,3.56269999999999E+02,3.37230000000000E+02,3.36399999999999E+02,3.10069999999999E+02,4.65910000000000E+02,4.28079999999999E+02,4.34290000000000E+02,5.86240000000000E+02,4.59230000000000E+02,5.53980000000000E+02,6.86549999999999E+02,6.45330000000000E+02,7.40250000000000E+02,8.15970000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54000000000000E+03,1.95000000000000E+03,2.08000000000000E+03,2.14000000000000E+03,2.12000000000000E+03,3.43000000000000E+03,3.49000000000000E+03,4.18000000000000E+03,6.63000000000000E+03,6.41000000000000E+03,7.68800000000000E+03,9.46070000000000E+03,9.91220000000000E+03,1.11037000000000E+04,1.22396000000000E+04,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79569999999999E+02,2.85009999999999E+02,2.95079999999999E+02,2.70380000000000E+02,2.45710000000000E+02,3.39589999999999E+02,3.59389999999999E+02,3.54290000000000E+02,2.57310000000000E+02,2.68660000000000E+02,3.04079999999999E+02,3.52100000000000E+02,3.47009999999999E+02,3.98050000000000E+02,4.34500000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40000000000000E+03,1.56000000000000E+03,1.82000000000000E+03,1.72000000000000E+03,1.68000000000000E+03,2.50000000000000E+03,2.93000000000000E+03,3.41000000000000E+03,2.91000000000000E+03,3.75000000000000E+03,4.22000000000000E+03,4.85200000000000E+03,5.33010000000000E+03,5.97080000000000E+03,6.51750000000000E+03,,,
