Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",ETH,Ethiopia,,,,,,,,,,,3.40000000000000E+03,2.49000000000000E+04,1.80000000000000E+03,9.61000000000000E+04,5.41000000000000E+04,8.66500000000000E+04,7.47000000000000E+04,7.60000000000000E+04,1.62544000000000E+05,1.11442000000000E+05,2.27986000000000E+05,1.89710000000000E+05,3.56362000000000E+05,1.71940000000000E+05,8.68932000000000E+05,7.99182000000000E+05,5.70413000000000E+05,8.23814000000000E+05,6.26799000000000E+05,5.38409000000000E+05,8.60926000000000E+05,1.01385000000000E+06,8.04671000000000E+05,5.90299000000000E+05,7.27358000000000E+05,4.91482000000000E+05,1.19857000000000E+05,5.48296000000000E+05,4.63336000000000E+05,1.03086000000000E+06,1.19896000000000E+06,2.99342000000000E+05,1.21397000000000E+06,9.46771000000000E+05,5.99978000000000E+05,6.98555000000000E+05,5.04204000000000E+05,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59000000000000E+04,1.16100000000000E+05,1.34300000000000E+05,1.77549000000000E+05,1.31732000000000E+05,1.64062000000000E+05,1.67877000000000E+05,1.57480000000000E+05,1.34913000000000E+05,1.67625000000000E+05,6.23170000000000E+04,2.37261000000000E+05,1.51607000000000E+05,1.86895000000000E+05,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59000000000000E+01,1.16894885219492E+02,1.35110663983903E+02,1.78854638863705E+02,1.33062626262626E+02,1.64886432160804E+02,1.67877000000000E+02,1.57479999999999E+02,1.25945668409260E+02,1.68704710144927E+02,5.70250732064421E+01,1.91896635393076E+02,1.17315638783564E+02,1.39515527022991E+02,,,,
AG.CRP.BLY.CD,"Producer Price for Barley (per tonne, current US$)",ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57490000000000E+02,3.24709999999999E+02,2.28599999999999E+02,2.52520000000000E+02,2.17590000000000E+02,1.90500000000000E+02,1.66930000000000E+02,1.72849999999999E+02,1.87229999999999E+02,1.74630000000000E+02,1.33370000000000E+02,1.03880000000000E+02,1.69190000000000E+02,1.68370000000000E+02,1.94229999999999E+02,2.01180000000000E+02,2.25979999999999E+02,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",ETH,Ethiopia,,,,,,,1.53000000000000E+02,1.39000000000000E+02,1.13000000000000E+02,1.36000000000000E+02,1.96000000000000E+02,1.76000000000000E+02,1.21000000000000E+02,1.70000000000000E+02,1.96000000000000E+02,1.80000000000000E+02,2.10000000000000E+02,2.37000000000000E+02,2.70000000000000E+02,2.70000000000000E+02,2.70000000000000E+02,2.70000000000000E+02,2.70000000000000E+02,3.79000000000000E+02,6.59000000000000E+02,7.81000000000000E+02,4.98000000000000E+02,4.36699999999999E+02,4.90000000000000E+02,5.21000000000000E+02,5.15000000000000E+02,7.40000000000000E+02,9.10000000000000E+02,1.14300000000000E+03,1.38000000000000E+03,1.34000000000000E+03,1.21000000000000E+03,1.12000000000000E+03,1.23000000000000E+03,1.48700000000000E+03,1.43500000000000E+03,1.12800000000000E+03,8.90000000000000E+02,1.45500000000000E+03,1.45300000000000E+03,1.68200000000000E+03,1.75000000000000E+03,2.02209999999999E+03,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94690000000000E+02,2.89029999999999E+02,2.00000000000000E+02,2.17750000000000E+02,2.15970000000000E+02,1.51139999999999E+02,1.41590000000000E+02,1.64419999999999E+02,1.41020000000000E+02,1.44819999999999E+02,1.12330000000000E+02,9.92099999999999E+01,1.32800000000000E+02,1.65240000000000E+02,1.69979999999999E+02,1.88539999999999E+02,2.12539999999999E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",ETH,Ethiopia,,,,,,,1.87000000000000E+02,1.60000000000000E+02,1.12000000000000E+02,1.45000000000000E+02,2.23000000000000E+02,1.85000000000000E+02,1.36000000000000E+02,1.80000000000000E+02,2.09000000000000E+02,2.19000000000000E+02,2.23000000000000E+02,2.32000000000000E+02,2.70000000000000E+02,1.60000000000000E+02,1.60000000000000E+02,1.60000000000000E+02,1.60000000000000E+02,3.70000000000000E+02,5.51000000000000E+02,7.67000000000000E+02,5.65000000000000E+02,4.69600000000000E+02,4.89100000000000E+02,5.38000000000000E+02,5.10000000000000E+02,6.10000000000000E+02,8.10000000000000E+02,1.00000000000000E+03,1.19000000000000E+03,1.33000000000000E+03,9.60000000000000E+02,9.50000000000000E+02,1.17000000000000E+03,1.12000000000000E+03,1.19000000000000E+03,9.50000000000000E+02,8.50000000000000E+02,1.14200000000000E+03,1.42600000000000E+03,1.47200000000000E+03,1.64000000000000E+03,1.90180000000000E+03,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94690000000000E+02,2.53349999999999E+02,1.96000000000000E+02,2.28729999999999E+02,1.54259999999999E+02,1.11780000000000E+02,1.13280000000000E+02,1.27880000000000E+02,1.22130000000000E+02,1.19260000000000E+02,7.92199999999999E+01,6.65300000000000E+01,1.26520000000000E+02,1.17610000000000E+02,1.44690000000000E+02,1.37949999999999E+02,1.56000000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",ETH,Ethiopia,,,,,,,1.61000000000000E+02,1.34000000000000E+02,1.12000000000000E+02,1.21000000000000E+02,1.86000000000000E+02,1.68000000000000E+02,1.14000000000000E+02,1.60000000000000E+02,1.71000000000000E+02,1.64000000000000E+02,1.90000000000000E+02,2.22000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,2.60000000000000E+02,1.60000000000000E+02,3.04000000000000E+02,5.79000000000000E+02,7.16000000000000E+02,5.07000000000000E+02,3.86600000000000E+02,4.04199999999999E+02,4.56000000000000E+02,4.20000000000000E+02,6.10000000000000E+02,7.10000000000000E+02,9.80000000000000E+02,1.25000000000000E+03,9.50000000000000E+02,7.10000000000000E+02,7.60000000000000E+02,9.10000000000000E+02,9.70000000000000E+02,9.80000000000000E+02,6.70000000000000E+02,5.70000000000000E+02,1.08800000000000E+03,1.01500000000000E+03,1.25300000000000E+03,1.20000000000000E+03,1.39590000000000E+03,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31380000000000E+02,3.86720000000000E+02,2.60819999999999E+02,1.88990000000000E+02,1.91509999999999E+02,2.16210000000000E+02,2.06490000000000E+02,2.01639999999999E+02,1.33940000000000E+02,1.12480000000000E+02,1.11670000000000E+02,1.03810000000000E+02,1.27709999999999E+02,2.21880000000000E+02,2.49639999999999E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65690000000000E+03,2.11340000000000E+03,1.60620000000000E+03,1.20040000000000E+03,1.28490000000000E+03,1.53850000000000E+03,1.64000000000000E+03,1.65690000000000E+03,1.13280000000000E+03,9.63700000000000E+02,9.60299999999999E+02,8.95899999999999E+02,1.10600000000000E+03,1.93000000000000E+03,2.23380000000000E+03,,,
AG.CRP.SGM.CD,"Producer Price for Sorghum (per tonne, current US$)",ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62319999999999E+02,2.81889999999999E+02,2.20000000000000E+02,2.58009999999999E+02,1.93229999999999E+02,1.41699999999999E+02,1.40099999999999E+02,1.54580000000000E+02,1.36990000000000E+02,1.42139999999999E+02,1.01090000000000E+02,9.04599999999999E+01,1.66630000000000E+02,1.60599999999999E+02,1.88680000000000E+02,1.73590000000000E+02,1.94680000000000E+02,,,
AG.CRP.SGM.CN,"Producer Price for Sorghum (per tonne, current LCU)",ETH,Ethiopia,,,,,,,1.87000000000000E+02,1.60000000000000E+02,1.12000000000000E+02,1.45000000000000E+02,2.23000000000000E+02,1.85000000000000E+02,1.36000000000000E+02,1.80000000000000E+02,2.09000000000000E+02,2.19000000000000E+02,2.23000000000000E+02,2.32000000000000E+02,2.70000000000000E+02,3.20000000000000E+02,3.40000000000000E+02,3.50000000000000E+02,2.20000000000000E+02,3.76000000000000E+02,8.05000000000000E+02,8.39000000000000E+02,5.42000000000000E+02,4.23300000000000E+02,4.92899999999999E+02,5.12000000000000E+02,4.85000000000000E+02,7.50000000000000E+02,7.90000000000000E+02,1.10000000000000E+03,1.41000000000000E+03,1.19000000000000E+03,9.00000000000000E+02,9.40000000000000E+02,1.10000000000000E+03,1.08800000000000E+03,1.16800000000000E+03,8.55000000000000E+02,7.75000000000000E+02,1.43300000000000E+03,1.38600000000000E+03,1.63400000000000E+03,1.51000000000000E+03,1.74200000000000E+03,,,
AG.CRP.WHT.CD,"Producer Price for Wheat (per tonne, current US$)",ETH,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39610000000000E+02,3.92509999999999E+02,2.81000000000000E+02,2.81790000000000E+02,2.53319999999999E+02,2.14120000000000E+02,1.92270000000000E+02,2.05169999999999E+02,2.19960000000000E+02,1.99220000000000E+02,1.44610000000000E+02,1.21739999999999E+02,1.78500000000000E+02,1.79490000000000E+02,2.02190000000000E+02,2.28770000000000E+02,2.56019999999999E+02,,,
