Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",GAB,Gabon,,1.00000000000000E+01,5.00000000000000E+01,1.40000000000000E+02,2.20000000000000E+02,3.50000000000000E+02,4.30000000000000E+02,5.20000000000000E+02,6.20000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.10000000000000E+02,7.20000000000000E+02,7.30000000000000E+02,7.40000000000000E+02,7.50000000000000E+02,7.60000000000000E+02,7.70000000000000E+02,7.80000000000000E+02,7.90000000000000E+02,8.00000000000000E+02,8.10000000000000E+02,8.20000000000000E+02,8.30000000000000E+02,8.40000000000000E+02,8.50000000000000E+02,8.50000000000000E+02,8.50000000000000E+02,8.60000000000000E+02,8.70000000000000E+02,8.80000000000000E+02,8.90000000000000E+02,9.00000000000000E+02,9.30000000000000E+02,9.30000000000000E+02,9.30000000000000E+02,9.30000000000000E+02,9.30000000000000E+02,9.30000000000000E+02,9.50000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",GAB,Gabon,,,,,,,,,,,6.00000000000000E+02,2.90000000000000E+03,3.00000000000000E+02,3.00000000000000E+02,5.00000000000000E+02,2.00000000000000E+02,,4.00000000000000E+02,2.63400000000000E+03,,,,,3.50000000000000E+01,,,,,,,,,,,,,,,,5.00000000000000E+02,3.50000000000000E+02,,,,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),GAB,Gabon,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.70000000000000E+01,2.10000000000000E+01,3.00000000000000E+01,4.00000000000000E+02,8.63000000000000E+02,5.98000000000000E+02,3.00000000000000E+02,1.22000000000000E+02,1.00000000000000E+02,1.52800000000000E+03,4.00000000000000E+02,2.10000000000000E+03,2.70000000000000E+03,2.80000000000000E+03,2.16000000000000E+03,2.17300000000000E+03,9.48000000000000E+02,1.20000000000000E+03,1.12100000000000E+03,6.00000000000000E+02,5.00000000000000E+02,4.00000000000000E+02,4.00000000000000E+02,4.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,4.33000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,1.81500000000000E+03,1.17600000000000E+03,1.66000000000000E+03,2.71200000000000E+03,2.74900000000000E+03,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),GAB,Gabon,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.35000000000000E+00,1.00000000000000E+00,1.36363636363636E+00,1.72413793103448E+01,3.34496124031007E+01,2.19047619047619E+01,1.04529616724738E+01,4.23611111111111E+00,3.44827586206896E+00,5.26896551724137E+01,1.37931034482758E+01,7.24137931034482E+01,9.31034482758620E+01,9.65517241379310E+01,7.44827586206896E+01,7.49310344827586E+01,3.26896551724137E+01,4.13793103448275E+01,3.80000000000000E+01,2.03389830508474E+01,1.69491525423728E+01,1.35593220338983E+01,1.35593220338983E+01,1.23076923076923E+01,6.15384615384615E+00,6.15384615384615E+00,1.33230769230769E+01,9.23076923076922E+00,9.23076923076922E+00,9.23076923076922E+00,5.58461538461538E+01,3.61846153846153E+01,5.10769230769230E+01,8.34461538461538E+01,8.45846153846153E+01,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",GAB,Gabon,,3.57605000000000E+05,3.59472000000000E+05,3.61349000000000E+05,3.63236000000000E+05,3.65133000000000E+05,3.67040000000000E+05,3.68956000000000E+05,3.70883000000000E+05,3.72820000000000E+05,3.74766000000000E+05,3.72129000000000E+05,3.71188000000000E+05,3.74169000000000E+05,3.59034000000000E+05,3.55973000000000E+05,3.42071000000000E+05,3.58205000000000E+05,3.84565000000000E+05,3.90861000000000E+05,3.94802000000000E+05,3.99329000000000E+05,4.06885000000000E+05,4.10592000000000E+05,4.10889000000000E+05,4.19276000000000E+05,4.27346000000000E+05,4.51150000000000E+05,4.47228000000000E+05,4.48906000000000E+05,4.51989000000000E+05,4.53411000000000E+05,4.64479000000000E+05,4.67357000000000E+05,4.91691000000000E+05,4.96650000000000E+05,5.00841000000000E+05,5.05318000000000E+05,5.07057000000000E+05,5.11155000000000E+05,5.15409000000000E+05,5.17740000000000E+05,5.20173000000000E+05,1.06900000000000E+06,1.07000000000000E+06,5.28105000000000E+05,5.30028000000000E+05,5.32000000000000E+05,,,
AG.LND.AGRI.HA,Agricultural land (hectares),GAB,Gabon,,5.19500000000000E+06,5.21000000000000E+06,5.22500000000000E+06,5.24000000000000E+06,5.25500000000000E+06,5.27000000000000E+06,5.23500000000000E+06,5.25000000000000E+06,5.21500000000000E+06,5.18000000000000E+06,5.20000000000000E+06,5.16500000000000E+06,5.13500000000000E+06,5.15000000000000E+06,5.16900000000000E+06,5.15400000000000E+06,5.17700000000000E+06,5.19900000000000E+06,5.15000000000000E+06,5.15200000000000E+06,5.15200000000000E+06,5.15200000000000E+06,5.15200000000000E+06,5.15200000000000E+06,5.15200000000000E+06,5.15200000000000E+06,5.15200000000000E+06,5.15200000000000E+06,5.15200000000000E+06,5.15700000000000E+06,5.15700000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,5.16000000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),GAB,Gabon,,5.19500000000000E+04,5.21000000000000E+04,5.22500000000000E+04,5.24000000000000E+04,5.25500000000000E+04,5.27000000000000E+04,5.23500000000000E+04,5.25000000000000E+04,5.21500000000000E+04,5.18000000000000E+04,5.20000000000000E+04,5.16500000000000E+04,5.13500000000000E+04,5.15000000000000E+04,5.16900000000000E+04,5.15400000000000E+04,5.17700000000000E+04,5.19900000000000E+04,5.15000000000000E+04,5.15200000000000E+04,5.15200000000000E+04,5.15200000000000E+04,5.15200000000000E+04,5.15200000000000E+04,5.15200000000000E+04,5.15200000000000E+04,5.15200000000000E+04,5.15200000000000E+04,5.15200000000000E+04,5.15700000000000E+04,5.15700000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,5.16000000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),GAB,Gabon,,2.01614468118135E+01,2.02196608064578E+01,2.02778748011021E+01,2.03360887957464E+01,2.03943027903908E+01,2.04525167850351E+01,2.03166841308650E+01,2.03748981255093E+01,2.02390654713393E+01,2.01032328171692E+01,2.01808514766949E+01,2.00450188225249E+01,1.99285908332363E+01,1.99868048278806E+01,2.00605425544300E+01,2.00023285597857E+01,2.00915900182403E+01,2.01769705437187E+01,1.99868048278806E+01,1.99945666938331E+01,1.99945666938331E+01,1.99945666938331E+01,1.99945666938331E+01,1.99945666938331E+01,1.99945666938331E+01,1.99945666938331E+01,1.99945666938331E+01,1.99945666938331E+01,1.99945666938331E+01,2.00139713587146E+01,2.00139713587146E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,2.00256141576434E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),GAB,Gabon,,9.00000000000000E+04,1.00000000000000E+05,1.10000000000000E+05,1.20000000000000E+05,1.30000000000000E+05,1.40000000000000E+05,1.50000000000000E+05,1.60000000000000E+05,1.70000000000000E+05,1.80000000000000E+05,1.90000000000000E+05,2.00000000000000E+05,2.10000000000000E+05,2.20000000000000E+05,2.32000000000000E+05,2.58000000000000E+05,2.73000000000000E+05,2.87000000000000E+05,2.88000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.95000000000000E+05,2.95000000000000E+05,2.95000000000000E+05,2.95000000000000E+05,2.95000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),GAB,Gabon,,1.84298957482230E-01,2.03534581543077E-01,2.22408686070139E-01,2.40928538587717E-01,2.59077167130680E-01,2.76869711046903E-01,2.94205908831472E-01,3.10786425625894E-01,3.26175382584536E-01,3.40020401224073E-01,3.52115286251195E-01,3.62515202981325E-01,3.71455912605267E-01,3.79319500815536E-01,3.89760717159719E-01,4.22260665764316E-01,4.35137426919227E-01,4.45301602620297E-01,4.34697952844328E-01,4.25481344110237E-01,4.13299699288839E-01,4.01248019702661E-01,3.89363658944287E-01,3.77681866842397E-01,3.66231903092512E-01,3.55069722225283E-01,3.44211198495915E-01,3.33613261702347E-01,3.23224217295839E-01,3.18436960276338E-01,3.08294265308639E-01,2.98450988783301E-01,2.89043393741769E-01,2.80213151970515E-01,2.99691916709622E-01,2.91358051253915E-01,2.83630505377198E-01,2.76452930273467E-01,2.69760361495485E-01,2.63497133961942E-01,2.57633277658121E-01,2.52138913801075E-01,2.46961612286986E-01,2.42049421278452E-01,2.37359857262736E-01,2.32872580006061E-01,2.28570303302243E-01,,,
