Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",GMB,"Gambia, The",,3.70000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.40000000000000E+01,4.40000000000000E+01,4.40000000000000E+01,4.40000000000000E+01,4.50000000000000E+01,4.50000000000000E+01,4.50000000000000E+01,4.50000000000000E+01,4.60000000000000E+01,4.60000000000000E+01,4.60000000000000E+01,4.70000000000000E+01,4.60000000000000E+01,4.60000000000000E+01,4.50000000000000E+01,4.40000000000000E+01,4.40000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.30000000000000E+01,4.90000000000000E+01,5.50000000000000E+01,6.10000000000000E+01,6.70000000000000E+01,7.30000000000000E+01,7.50000000000000E+01,8.00000000000000E+01,9.00000000000000E+01,1.00000000000000E+02,1.10000000000000E+02,1.00000000000000E+02,1.10000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",GMB,"Gambia, The",,,,,,,,,,,2.60000000000000E+03,1.90000000000000E+03,3.90000000000000E+03,7.59500000000000E+03,8.95000000000000E+03,2.95000000000000E+03,2.70000000000000E+03,1.75650000000000E+04,7.37100000000000E+03,6.81000000000000E+03,1.61700000000000E+04,2.10600000000000E+04,1.27870000000000E+04,1.88250000000000E+04,2.11120000000000E+04,1.85120000000000E+04,1.51960000000000E+04,1.69710000000000E+04,1.04670000000000E+04,1.07450000000000E+04,1.30910000000000E+04,1.04970000000000E+04,5.86500000000000E+03,7.33400000000000E+03,2.35600000000000E+03,4.07500000000000E+03,5.97500000000000E+03,4.26300000000000E+03,5.53500000000000E+03,5.54000000000000E+03,2.84200000000000E+03,5.33400000000000E+03,7.01100000000000E+03,9.49100000000000E+03,7.24500000000000E+03,9.54600000000000E+03,6.16200000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),GMB,"Gambia, The",,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.80000000000000E+01,3.64000000000000E+02,5.52000000000000E+02,4.57000000000000E+02,3.04000000000000E+02,2.20000000000000E+02,2.93000000000000E+02,4.00000000000000E+02,8.50000000000000E+02,9.17000000000000E+02,1.08600000000000E+03,7.55000000000000E+02,1.65000000000000E+03,1.65400000000000E+03,3.18800000000000E+03,3.22900000000000E+03,2.02500000000000E+03,1.36300000000000E+03,2.49000000000000E+03,2.40000000000000E+03,2.10000000000000E+03,3.90000000000000E+03,3.80000000000000E+03,2.60000000000000E+03,9.30000000000000E+02,1.97700000000000E+03,6.00000000000000E+02,9.00000000000000E+02,8.00000000000000E+02,8.00000000000000E+02,8.00000000000000E+02,9.44000000000000E+02,8.05000000000000E+02,1.10000000000000E+03,2.50000000000000E+03,1.20000000000000E+03,8.00000000000000E+02,8.00000000000000E+02,0.00000000000000E+00,2.82100000000000E+03,2.50800000000000E+03,3.05500000000000E+03,1.73000000000000E+02,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),GMB,"Gambia, The",,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.14049586776859E+00,2.98360655737704E+01,4.48780487804878E+01,3.65600000000000E+01,2.43200000000000E+01,1.73228346456692E+01,2.32539682539682E+01,3.10077519379844E+01,6.34328358208955E+01,6.59712230215827E+01,6.54216867469879E+01,4.71875000000000E+01,1.03773584905660E+02,9.96385542168674E+01,1.84277456647398E+02,1.99320987654320E+02,1.30645161290322E+02,7.70056497175141E+01,1.25757575757575E+02,1.34078212290502E+02,1.27272727272727E+02,2.36363636363636E+02,2.20930232558139E+02,1.45251396648044E+02,4.79381443298969E+01,1.12329545454545E+02,3.29670329670329E+01,4.71204188481675E+01,5.09554140127388E+01,5.12820512820512E+01,4.57142857142857E+01,5.24444444444444E+01,4.35135135135135E+01,5.36585365853658E+01,1.13636363636363E+02,4.89795918367346E+01,2.80701754385964E+01,2.50000000000000E+01,0.00000000000000E+00,9.10000000000000E+01,7.48656716417910E+01,9.25757575757575E+01,5.01449275362318E+00,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",GMB,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18800000000000E+02,1.84419999999999E+02,1.84910000000000E+02,1.76280000000000E+02,3.88949999999999E+02,2.71740000000000E+02,1.99509999999999E+02,2.23620000000000E+02,1.41110000000000E+02,1.28250000000000E+02,1.58090000000000E+02,2.44000000000000E+02,2.26370000000000E+02,2.47419999999999E+02,3.10120000000000E+02,2.05229999999999E+02,2.49020000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",GMB,"Gambia, The",,,,,,,1.10000000000000E+02,1.00000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.30000000000000E+02,1.30000000000000E+02,1.30000000000000E+02,1.50000000000000E+02,2.40000000000000E+02,2.70000000000000E+02,4.90000000000000E+02,5.40000000000000E+02,4.80000000000000E+02,4.45000000000000E+02,5.15000000000000E+02,4.65000000000000E+02,7.60000000000000E+02,9.65000000000000E+02,7.60000000000000E+02,9.65000000000000E+02,1.12600000000000E+03,1.20000000000000E+03,1.20000000000000E+03,1.51200000000000E+03,1.90000000000000E+03,1.92600000000000E+03,1.63900000000000E+03,1.68800000000000E+03,1.68800000000000E+03,3.71300000000000E+03,2.66000000000000E+03,2.03500000000000E+03,2.38000000000000E+03,1.60800000000000E+03,1.64000000000000E+03,2.48000000000000E+03,4.86000000000000E+03,6.18000000000000E+03,7.43000000000000E+03,8.86000000000000E+03,5.76000000000000E+03,6.08830000000000E+03,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",GMB,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11300000000000E+02,1.84419999999999E+02,1.84910000000000E+02,1.73150000000000E+02,4.19009999999999E+02,3.10550000000000E+02,2.48229999999999E+02,2.41470000000000E+02,1.49190000000000E+02,1.34509999999999E+02,1.56819999999999E+02,2.47009999999999E+02,2.26370000000000E+02,2.50419999999999E+02,3.11170000000000E+02,2.19840000000000E+02,2.68329999999999E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",GMB,"Gambia, The",,,,,,,,,,,,,,,,,,8.00000000000000E+02,6.00000000000000E+02,7.00000000000000E+02,8.00000000000000E+02,8.00000000000000E+02,1.00000000000000E+03,1.05000000000000E+03,1.07700000000000E+03,1.05200000000000E+03,1.10000000000000E+03,1.20000000000000E+03,1.20000000000000E+03,1.41600000000000E+03,2.14000000000000E+03,1.86000000000000E+03,1.63900000000000E+03,1.68800000000000E+03,1.65800000000000E+03,4.00000000000000E+03,3.04000000000000E+03,2.53200000000000E+03,2.57000000000000E+03,1.70000000000000E+03,1.72000000000000E+03,2.46000000000000E+03,4.92000000000000E+03,6.18000000000000E+03,7.52000000000000E+03,8.89000000000000E+03,6.17000000000000E+03,6.56039999999999E+03,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",GMB,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70400000000000E+02,1.68780000000000E+02,1.69789999999999E+02,1.67090000000000E+02,2.06150000000000E+02,1.78770000000000E+02,1.71569999999999E+02,1.64430000000000E+02,1.53580000000000E+02,1.36849999999999E+02,1.43430000000000E+02,1.25510000000000E+02,1.64840000000000E+02,1.66500000000000E+02,1.75009999999999E+02,1.78150000000000E+02,2.25199999999999E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",GMB,"Gambia, The",,,,,,,,,,,,,,,,,,,,6.70000000000000E+02,7.70000000000000E+02,7.00000000000000E+02,1.14000000000000E+03,1.45000000000000E+03,1.14000000000000E+03,1.45000000000000E+03,1.70000000000000E+03,2.06300000000000E+03,2.06300000000000E+03,1.00000000000000E+03,1.20000000000000E+03,1.50000000000000E+03,1.50000000000000E+03,1.55000000000000E+03,1.60000000000000E+03,1.96800000000000E+03,1.75000000000000E+03,1.75000000000000E+03,1.75000000000000E+03,1.75000000000000E+03,1.75000000000000E+03,2.25000000000000E+03,2.50000000000000E+03,4.50000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.50589999999999E+03,,,
AG.CRP.SGM.CD,"Producer Price for Sorghum (per tonne, current US$)",GMB,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13569999999999E+02,1.18140000000000E+02,1.76259999999999E+02,1.72310000000000E+02,1.93270000000000E+02,2.91149999999999E+02,1.91860000000000E+02,2.00789999999999E+02,1.41289999999999E+02,1.29030000000000E+02,1.56819999999999E+02,2.46009999999999E+02,1.79490000000000E+02,2.47419999999999E+02,3.34269999999999E+02,2.21220000000000E+02,2.74550000000000E+02,,,
AG.CRP.SGM.CN,"Producer Price for Sorghum (per tonne, current LCU)",GMB,"Gambia, The",,,,,,,,,,,,,,,1.84000000000000E+02,3.35000000000000E+02,3.69000000000000E+02,3.28000000000000E+02,3.04000000000000E+02,3.52000000000000E+02,3.18000000000000E+02,3.18000000000000E+02,5.19000000000000E+02,4.05000000000000E+02,3.51000000000000E+02,7.88000000000000E+02,8.78000000000000E+02,1.00000000000000E+03,1.00000000000000E+03,1.20000000000000E+03,2.12800000000000E+03,1.88000000000000E+03,1.05000000000000E+03,1.60900000000000E+03,1.65000000000000E+03,1.84500000000000E+03,2.85000000000000E+03,1.95700000000000E+03,2.13700000000000E+03,1.61000000000000E+03,1.65000000000000E+03,2.46000000000000E+03,4.90000000000000E+03,4.90000000000000E+03,7.43000000000000E+03,9.55000000000000E+03,6.20860000000000E+03,6.71250000000000E+03,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",GMB,"Gambia, The",,2.08965000000000E+05,2.14090000000000E+05,2.19341000000000E+05,2.24721000000000E+05,2.30232000000000E+05,2.35879000000000E+05,2.41664000000000E+05,2.47591000000000E+05,2.53664000000000E+05,2.59885000000000E+05,2.62580000000000E+05,2.68170000000000E+05,2.75549000000000E+05,2.74569000000000E+05,2.86647000000000E+05,2.90509000000000E+05,2.98690000000000E+05,3.13668000000000E+05,3.12515000000000E+05,3.31140000000000E+05,3.33459000000000E+05,3.34133000000000E+05,3.48852000000000E+05,3.58137000000000E+05,3.69166000000000E+05,3.84275000000000E+05,4.01915000000000E+05,4.16569000000000E+05,4.32623000000000E+05,4.54133000000000E+05,4.67683000000000E+05,4.98014000000000E+05,5.11621000000000E+05,4.90000000000000E+05,4.95000000000000E+05,4.95000000000000E+05,5.00000000000000E+05,5.00000000000000E+05,5.05000000000000E+05,6.02682000000000E+05,6.11239000000000E+05,6.19975000000000E+05,6.28894000000000E+05,6.38001000000000E+05,6.47300000000000E+05,6.56321000000000E+05,6.65500000000000E+05,,,
AG.LND.AGRI.HA,Agricultural land (hectares),GMB,"Gambia, The",,5.21000000000000E+05,5.22000000000000E+05,5.23000000000000E+05,5.24000000000000E+05,5.25000000000000E+05,5.26000000000000E+05,5.28000000000000E+05,5.28000000000000E+05,5.30000000000000E+05,5.30000000000000E+05,5.33000000000000E+05,5.38000000000000E+05,5.43000000000000E+05,5.70000000000000E+05,5.64000000000000E+05,5.63000000000000E+05,5.70000000000000E+05,5.77000000000000E+05,5.66000000000000E+05,5.59000000000000E+05,5.81000000000000E+05,6.02000000000000E+05,5.83000000000000E+05,5.69000000000000E+05,6.19000000000000E+05,6.27000000000000E+05,6.34000000000000E+05,6.49000000000000E+05,6.31000000000000E+05,6.37000000000000E+05,6.46000000000000E+05,6.12000000000000E+05,6.11000000000000E+05,6.30000000000000E+05,6.35000000000000E+05,6.40000000000000E+05,6.69000000000000E+05,6.84000000000000E+05,7.09000000000000E+05,7.49000000000000E+05,7.84000000000000E+05,7.64000000000000E+05,7.74000000000000E+05,7.99000000000000E+05,7.94000000000000E+05,8.10000000000000E+05,8.13000000000000E+05,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),GMB,"Gambia, The",,5.21000000000000E+03,5.22000000000000E+03,5.23000000000000E+03,5.24000000000000E+03,5.25000000000000E+03,5.26000000000000E+03,5.28000000000000E+03,5.28000000000000E+03,5.30000000000000E+03,5.30000000000000E+03,5.33000000000000E+03,5.38000000000000E+03,5.43000000000000E+03,5.70000000000000E+03,5.64000000000000E+03,5.63000000000000E+03,5.70000000000000E+03,5.77000000000000E+03,5.66000000000000E+03,5.59000000000000E+03,5.81000000000000E+03,6.02000000000000E+03,5.83000000000000E+03,5.69000000000000E+03,6.19000000000000E+03,6.27000000000000E+03,6.34000000000000E+03,6.49000000000000E+03,6.31000000000000E+03,6.37000000000000E+03,6.46000000000000E+03,6.12000000000000E+03,6.11000000000000E+03,6.30000000000000E+03,6.35000000000000E+03,6.40000000000000E+03,6.69000000000000E+03,6.84000000000000E+03,7.09000000000000E+03,7.49000000000000E+03,7.84000000000000E+03,7.64000000000000E+03,7.74000000000000E+03,7.99000000000000E+03,7.94000000000000E+03,8.10000000000000E+03,8.13000000000000E+03,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),GMB,"Gambia, The",,5.21000000000000E+01,5.22000000000000E+01,5.23000000000000E+01,5.24000000000000E+01,5.25000000000000E+01,5.26000000000000E+01,5.28000000000000E+01,5.28000000000000E+01,5.30000000000000E+01,5.30000000000000E+01,5.33000000000000E+01,5.38000000000000E+01,5.43000000000000E+01,5.69999999999999E+01,5.63999999999999E+01,5.62999999999999E+01,5.69999999999999E+01,5.76999999999999E+01,5.65999999999999E+01,5.59000000000000E+01,5.80999999999999E+01,6.01999999999999E+01,5.82999999999999E+01,5.68999999999999E+01,6.18999999999999E+01,6.27000000000000E+01,6.33999999999999E+01,6.49000000000000E+01,6.31000000000000E+01,6.37000000000000E+01,6.46000000000000E+01,6.11999999999999E+01,6.11000000000000E+01,6.30000000000000E+01,6.35000000000000E+01,6.40000000000000E+01,6.69000000000000E+01,6.84000000000000E+01,7.08999999999999E+01,7.49000000000000E+01,7.84000000000000E+01,7.64000000000000E+01,7.74000000000000E+01,7.99000000000000E+01,7.94000000000000E+01,8.10000000000000E+01,8.12999999999999E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),GMB,"Gambia, The",,1.18000000000000E+05,1.19000000000000E+05,1.20000000000000E+05,1.21000000000000E+05,1.22000000000000E+05,1.23000000000000E+05,1.25000000000000E+05,1.25000000000000E+05,1.27000000000000E+05,1.26000000000000E+05,1.29000000000000E+05,1.34000000000000E+05,1.39000000000000E+05,1.66000000000000E+05,1.60000000000000E+05,1.59000000000000E+05,1.66000000000000E+05,1.73000000000000E+05,1.62000000000000E+05,1.55000000000000E+05,1.77000000000000E+05,1.98000000000000E+05,1.79000000000000E+05,1.65000000000000E+05,1.65000000000000E+05,1.72000000000000E+05,1.79000000000000E+05,1.94000000000000E+05,1.76000000000000E+05,1.82000000000000E+05,1.91000000000000E+05,1.57000000000000E+05,1.56000000000000E+05,1.75000000000000E+05,1.80000000000000E+05,1.85000000000000E+05,2.05000000000000E+05,2.20000000000000E+05,2.45000000000000E+05,2.85000000000000E+05,3.20000000000000E+05,3.00000000000000E+05,3.10000000000000E+05,3.35000000000000E+05,3.30000000000000E+05,3.45000000000000E+05,3.48000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),GMB,"Gambia, The",,3.60489165467581E-01,3.52815258222226E-01,3.45181695014713E-01,3.37696408138204E-01,3.30401247941762E-01,3.23359149486568E-01,3.19054170293249E-01,3.09606725153441E-01,3.04820971682851E-01,2.92510342329960E-01,2.89094417340286E-01,2.89459359041932E-01,2.89212779459650E-01,3.32750685546593E-01,3.09228340004290E-01,2.96518426102573E-01,2.98874539310103E-01,3.00838173407992E-01,2.72147241737307E-01,2.51560894777758E-01,2.77561722199919E-01,3.00011818647401E-01,2.61948280580266E-01,2.32966610942935E-01,2.24477884846926E-01,2.25175984195787E-01,2.25274261975088E-01,2.34578574753783E-01,2.04471655697614E-01,2.03231832804967E-01,2.05108379912265E-01,1.62211196911994E-01,1.55130493583464E-01,1.67531448046104E-01,1.65915744298028E-01,1.64221541072695E-01,1.75313768886851E-01,1.81363125249374E-01,1.94864020704898E-01,2.18926293278271E-01,2.37651762930483E-01,2.15613585955793E-01,2.15829191385491E-01,2.26159421463946E-01,2.16232083861354E-01,2.19621703207686E-01,2.15411851365822E-01,,,
AG.LND.ARBL.ZS,Arable land (% of land area),GMB,"Gambia, The",,1.17999999999999E+01,1.18999999999999E+01,1.20000000000000E+01,1.21000000000000E+01,1.21999999999999E+01,1.23000000000000E+01,1.25000000000000E+01,1.25000000000000E+01,1.26999999999999E+01,1.26000000000000E+01,1.29000000000000E+01,1.34000000000000E+01,1.39000000000000E+01,1.66000000000000E+01,1.60000000000000E+01,1.59000000000000E+01,1.66000000000000E+01,1.72999999999999E+01,1.61999999999999E+01,1.55000000000000E+01,1.76999999999999E+01,1.98000000000000E+01,1.78999999999999E+01,1.65000000000000E+01,1.65000000000000E+01,1.71999999999999E+01,1.78999999999999E+01,1.94000000000000E+01,1.75999999999999E+01,1.81999999999999E+01,1.91000000000000E+01,1.56999999999999E+01,1.56000000000000E+01,1.75000000000000E+01,1.80000000000000E+01,1.85000000000000E+01,2.05000000000000E+01,2.20000000000000E+01,2.45000000000000E+01,2.84999999999999E+01,3.20000000000000E+01,3.00000000000000E+01,3.10000000000000E+01,3.35000000000000E+01,3.30000000000000E+01,3.45000000000000E+01,3.47999999999999E+01,,,
AG.LND.CERE.ZS,Cereal cropland (% of land area),GMB,"Gambia, The",,7.71940000000000E+00,7.84249999999999E+00,7.85299999999999E+00,8.05590000000000E+00,8.07610000000000E+00,8.09999999999999E+00,7.24999999999999E+00,8.56370000000000E+00,8.37090000000000E+00,8.63269999999999E+00,8.73269999999999E+00,8.27999999999999E+00,7.84999999999999E+00,5.58000000000000E+00,5.39000000000000E+00,4.66000000000000E+00,4.79000000000000E+00,5.77000000000000E+00,4.00999999999999E+00,5.29000000000000E+00,6.76999999999999E+00,7.58000000000000E+00,5.45000000000000E+00,6.03000000000000E+00,9.19599999999999E+00,7.99699999999999E+00,8.26999999999999E+00,8.37100000000000E+00,8.69619999999999E+00,8.99779999999999E+00,1.00248000000000E+01,7.83029999999999E+00,8.22480000000000E+00,8.27350000000000E+00,9.60350000000000E+00,9.46509999999999E+00,1.07924999999999E+01,1.03813000000000E+01,1.17050000000000E+01,1.35900000000000E+01,1.56017000000000E+01,1.45021000000000E+01,1.69166000000000E+01,1.91202999999999E+01,1.97607000000000E+01,2.09730999999999E+01,2.15900000000000E+01,,,
AG.LND.CREL.HA,Area under cereal production (hectares),GMB,"Gambia, The",,7.71940000000000E+04,7.84250000000000E+04,7.85300000000000E+04,8.05590000000000E+04,8.07610000000000E+04,8.10000000000000E+04,7.25000000000000E+04,8.56370000000000E+04,8.37090000000000E+04,8.63270000000000E+04,8.73270000000000E+04,8.28000000000000E+04,7.85000000000000E+04,5.58000000000000E+04,5.39000000000000E+04,4.66000000000000E+04,4.79000000000000E+04,5.77000000000000E+04,4.01000000000000E+04,5.29000000000000E+04,6.77000000000000E+04,7.58000000000000E+04,5.45000000000000E+04,6.03000000000000E+04,9.19600000000000E+04,7.99700000000000E+04,8.27000000000000E+04,8.37100000000000E+04,8.69620000000000E+04,8.99780000000000E+04,1.00248000000000E+05,7.83030000000000E+04,8.22480000000000E+04,8.27350000000000E+04,9.60350000000000E+04,9.46510000000000E+04,1.07925000000000E+05,1.03813000000000E+05,1.17050000000000E+05,1.35900000000000E+05,1.56017000000000E+05,1.45021000000000E+05,1.69166000000000E+05,1.91203000000000E+05,1.97607000000000E+05,2.09731000000000E+05,2.15900000000000E+05,,,
AG.LND.CROP.HA,Permanent cropland (hectares),GMB,"Gambia, The",,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,,,
AG.LND.CROP.ZS,Permanent cropland (% of land area),GMB,"Gambia, The",,2.99999999999999E-01,2.99999999999999E-01,2.99999999999999E-01,2.99999999999999E-01,2.99999999999999E-01,2.99999999999999E-01,2.99999999999999E-01,2.99999999999999E-01,2.99999999999999E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,4.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.00000000000000E-01,5.99999999999999E-01,5.99999999999999E-01,,,
AG.LND.CRPA.HA,Arable and permanent cropland (hectares),GMB,"Gambia, The",,1.21000000000000E+05,1.22000000000000E+05,1.23000000000000E+05,1.24000000000000E+05,1.25000000000000E+05,1.26000000000000E+05,1.28000000000000E+05,1.28000000000000E+05,1.30000000000000E+05,1.30000000000000E+05,1.33000000000000E+05,1.38000000000000E+05,1.43000000000000E+05,1.70000000000000E+05,1.64000000000000E+05,1.63000000000000E+05,1.70000000000000E+05,1.77000000000000E+05,1.66000000000000E+05,1.59000000000000E+05,1.81000000000000E+05,2.02000000000000E+05,1.83000000000000E+05,1.69000000000000E+05,1.69000000000000E+05,1.77000000000000E+05,1.84000000000000E+05,1.99000000000000E+05,1.81000000000000E+05,1.87000000000000E+05,1.96000000000000E+05,1.62000000000000E+05,1.61000000000000E+05,1.80000000000000E+05,1.85000000000000E+05,1.90000000000000E+05,2.10000000000000E+05,2.25000000000000E+05,2.50000000000000E+05,2.90000000000000E+05,3.25000000000000E+05,3.05000000000000E+05,3.15000000000000E+05,3.40000000000000E+05,3.35000000000000E+05,3.51000000000000E+05,3.54000000000000E+05,,,
AG.LND.FRST.K2,Forest area (sq. km),GMB,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42000000000000E+03,4.43900000000000E+03,4.45800000000000E+03,4.47700000000000E+03,4.49600000000000E+03,4.51500000000000E+03,4.53400000000000E+03,4.55300000000000E+03,4.57200000000000E+03,4.59100000000000E+03,4.61000000000000E+03,4.63000000000000E+03,4.65000000000000E+03,4.67000000000000E+03,4.69000000000000E+03,4.71000000000000E+03,4.73000000000000E+03,4.75000000000000E+03,,,
AG.LND.FRST.ZS,Forest area (% of land area),GMB,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42000000000000E+01,4.43900000000000E+01,4.45799999999999E+01,4.47699999999999E+01,4.49600000000000E+01,4.51499999999999E+01,4.53400000000000E+01,4.55300000000000E+01,4.57199999999999E+01,4.59100000000000E+01,4.61000000000000E+01,4.63000000000000E+01,4.65000000000000E+01,4.67000000000000E+01,4.68999999999999E+01,4.70999999999999E+01,4.72999999999999E+01,4.75000000000000E+01,,,
AG.LND.IRIG.PO.HA,Land area equipped for irrigation (hectares),GMB,"Gambia, The",,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,,,
AG.LND.IRIG.ZS,Irrigated land (% of crop land),GMB,"Gambia, The",,8.26446280991735E-01,8.19672131147541E-01,8.13008130081300E-01,8.06451612903225E-01,8.00000000000000E-01,7.93650793650793E-01,7.81250000000000E-01,7.81250000000000E-01,7.69230769230769E-01,7.69230769230769E-01,7.51879699248120E-01,7.24637681159420E-01,6.99300699300699E-01,5.88235294117647E-01,6.09756097560975E-01,6.13496932515337E-01,5.88235294117647E-01,5.64971751412429E-01,6.02409638554216E-01,6.28930817610062E-01,5.52486187845303E-01,4.95049504950495E-01,5.46448087431694E-01,5.91715976331360E-01,5.91715976331360E-01,5.64971751412429E-01,5.43478260869565E-01,5.02512562814070E-01,5.52486187845303E-01,5.34759358288769E-01,1.02040816326530E+00,1.23456790123456E+00,1.24223602484472E+00,1.11111111111111E+00,1.08108108108108E+00,1.05263157894736E+00,9.52380952380952E-01,8.88888888888888E-01,8.00000000000000E-01,6.89655172413793E-01,6.25000000000000E-01,6.25000000000000E-01,5.97014925373134E-01,,,,,,,
