Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",GHA,Ghana,,1.00000000000000E+03,1.50000000000000E+03,1.80000000000000E+03,2.23400000000000E+03,2.12400000000000E+03,2.20000000000000E+03,2.30000000000000E+03,2.45000000000000E+03,2.55000000000000E+03,2.70000000000000E+03,2.80000000000000E+03,2.85000000000000E+03,3.00000000000000E+03,3.10000000000000E+03,3.20000000000000E+03,3.30000000000000E+03,3.40000000000000E+03,3.50000000000000E+03,3.60000000000000E+03,3.70000000000000E+03,3.80000000000000E+03,3.90000000000000E+03,4.00000000000000E+03,4.10000000000000E+03,4.12000000000000E+03,4.12000000000000E+03,4.12000000000000E+03,4.12000000000000E+03,4.12000000000000E+03,4.12000000000000E+03,4.05000000000000E+03,4.00000000000000E+03,3.90000000000000E+03,3.80000000000000E+03,3.70000000000000E+03,3.60000000000000E+03,3.57000000000000E+03,3.57000000000000E+03,3.57000000000000E+03,3.57000000000000E+03,3.60000000000000E+03,3.60000000000000E+03,3.60000000000000E+03,3.60000000000000E+03,3.60000000000000E+03,3.60000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",GHA,Ghana,,,,,,,,,,,9.77000000000000E+04,8.72000000000000E+04,6.99600000000000E+04,3.62000000000000E+04,3.28000000000000E+04,3.20000000000000E+04,5.45000000000000E+04,8.43500000000000E+04,7.32810000000000E+04,1.10000000000000E+05,9.43130000000000E+04,4.31300000000000E+04,5.84350000000000E+04,7.49000000000000E+04,9.58780000000000E+04,9.64060000000000E+04,6.25850000000000E+04,1.09622000000000E+05,5.95440000000000E+04,7.03750000000000E+04,9.60800000000000E+04,1.85725000000000E+05,8.12800000000000E+04,1.13353000000000E+05,9.50540000000000E+04,4.21150000000000E+04,6.23470000000000E+04,6.79230000000000E+04,2.63030000000000E+04,4.99670000000000E+04,9.67160000000000E+04,4.90280000000000E+04,6.79160000000000E+04,7.52250000000000E+04,6.45540000000000E+04,6.61390000000000E+04,2.12690000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),GHA,Ghana,,7.18000000000000E+02,1.93000000000000E+03,2.10000000000000E+03,1.47300000000000E+03,1.13400000000000E+03,1.20000000000000E+03,1.31900000000000E+03,1.35600000000000E+03,1.18800000000000E+03,3.34300000000000E+03,2.88500000000000E+03,4.50200000000000E+03,6.64200000000000E+03,9.72900000000000E+03,2.45000000000000E+04,2.05000000000000E+04,3.12000000000000E+04,1.90000000000000E+04,1.85000000000000E+04,1.20000000000000E+04,2.90000000000000E+04,2.71000000000000E+04,2.14000000000000E+04,8.40000000000000E+03,1.25000000000000E+04,7.60000000000000E+03,1.08860000000000E+04,1.26550000000000E+04,8.48000000000000E+03,1.30000000000000E+04,8.00000000000000E+03,1.01000000000000E+04,7.56800000000000E+03,7.70000000000000E+03,9.70000000000000E+03,1.74000000000000E+04,2.13160000000000E+04,1.51840000000000E+04,1.54060000000000E+04,1.18860000000000E+04,3.10270000000000E+04,2.03900000000000E+04,2.80960000000000E+04,4.63730000000000E+04,2.34380000000000E+04,5.18840000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),GHA,Ghana,,4.22352941176470E+00,1.13529411764705E+01,1.23529411764705E+01,8.66470588235294E+00,6.67058823529411E+00,7.05882352941176E+00,7.75882352941176E+00,7.97647058823529E+00,6.98823529411764E+00,1.96647058823529E+01,1.69705882352941E+01,2.64823529411764E+01,3.90705882352941E+01,5.72294117647058E+01,1.36111111111111E+02,1.13888888888888E+02,1.73333333333333E+02,1.00000000000000E+02,9.73684210526315E+01,6.31578947368421E+01,1.52631578947368E+02,1.29047619047619E+02,1.01904761904761E+02,3.65217391304347E+01,5.20833333333333E+01,3.16666666666666E+01,4.35439999999999E+01,4.86730769230769E+01,3.26153846153846E+01,4.81481481481481E+01,2.85714285714285E+01,3.60714285714285E+01,2.70285714285714E+01,2.75000000000000E+01,3.23333333333333E+01,5.43750000000000E+01,5.92111111111111E+01,3.99578947368421E+01,4.00155844155844E+01,3.00911392405063E+01,7.64211822660098E+01,4.87682372638124E+01,6.71350059737156E+01,1.15932500000000E+02,5.85949999999999E+01,1.26546341463414E+02,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",GHA,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08600000000000E+02,3.23399999999999E+02,2.30900000000000E+02,1.56460000000000E+02,2.44960000000000E+02,2.61139999999999E+02,3.66709999999999E+02,4.05130000000000E+02,2.91130000000000E+02,2.05930000000000E+02,3.20550000000000E+02,2.83620000000000E+02,2.63889999999999E+02,2.99490000000000E+02,4.95279999999999E+02,4.74569999999999E+02,4.33690000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",GHA,Ghana,,,,,,,9.10000000000000E+01,9.10000000000000E+01,9.10000000000000E+01,9.10000000000000E+01,1.74000000000000E+02,1.87000000000000E+02,2.12000000000000E+02,2.73000000000000E+02,3.16000000000000E+02,3.12000000000000E+02,7.78000000000000E+02,1.72000000000000E+03,2.00300000000000E+03,2.40300000000000E+03,5.34400000000000E+03,9.47100000000000E+03,1.35060000000000E+04,2.10000000000000E+04,2.26000000000000E+04,2.50000000000000E+04,2.42400000000000E+04,3.59500000000000E+04,8.33230000000000E+04,8.97300000000000E+04,7.78790000000000E+04,1.13513000000000E+05,1.41353000000000E+05,1.49867000000000E+05,1.49688000000000E+05,2.94054000000000E+05,4.27540000000000E+05,7.51806000000000E+05,9.37527000000000E+05,7.77118000000000E+05,1.12335500000000E+06,2.29859100000000E+06,2.24986000000000E+06,2.28988200000000E+06,2.69663400000000E+06,4.49346200000000E+06,4.35162400000000E+06,4.04516100000000E+06,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",GHA,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88889999999999E+02,1.91110000000000E+02,1.44410000000000E+02,1.45699999999999E+02,2.15080000000000E+02,2.00419999999999E+02,3.13759999999999E+02,2.56290000000000E+02,1.69160000000000E+02,1.71699999999999E+02,2.09410000000000E+02,1.69130000000000E+02,1.72520000000000E+02,2.35319999999999E+02,3.66470000000000E+02,2.54419999999999E+02,2.90649999999999E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",GHA,Ghana,,,,,,,9.70000000000000E+01,6.20000000000000E+01,6.20000000000000E+01,7.00000000000000E+01,1.17000000000000E+02,1.19000000000000E+02,1.72000000000000E+02,1.84000000000000E+02,2.01000000000000E+02,2.49000000000000E+02,5.69000000000000E+02,1.18700000000000E+03,1.21100000000000E+03,1.71700000000000E+03,4.13300000000000E+03,7.73600000000000E+03,7.97500000000000E+03,3.85760000000000E+04,1.80000000000000E+04,2.00000000000000E+04,2.50000000000000E+04,4.20000000000000E+04,4.80000000000000E+04,3.58020000000000E+04,8.69000000000000E+04,6.94800000000000E+04,8.35300000000000E+04,9.37330000000000E+04,1.39390000000000E+05,2.58190000000000E+05,3.28140000000000E+05,6.43260000000000E+05,5.93090000000000E+05,4.51530000000000E+05,9.36630000000000E+05,1.50163000000000E+06,1.34168000000000E+06,1.49699000000000E+06,2.11878000000000E+06,3.32476000000000E+06,2.33293000000000E+06,2.71100000000000E+06,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",GHA,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16860000000000E+02,3.61120000000000E+02,3.87009999999999E+02,3.67680000000000E+02,3.93250000000000E+02,4.85880000000000E+02,5.06779999999999E+02,4.69190000000000E+02,4.31389999999999E+02,3.06639999999999E+02,3.55389999999999E+02,3.49269999999999E+02,3.70920000000000E+02,4.71579999999999E+02,5.77820000000000E+02,6.00029999999999E+02,6.24090000000000E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",GHA,Ghana,,,,,,,5.50000000000000E+01,5.50000000000000E+01,5.50000000000000E+01,8.60000000000000E+01,9.70000000000000E+01,1.23000000000000E+02,1.23000000000000E+02,1.48000000000000E+02,1.79000000000000E+02,2.76000000000000E+02,6.02000000000000E+02,1.08400000000000E+03,1.08400000000000E+03,1.45400000000000E+03,3.49000000000000E+03,5.42000000000000E+03,6.75000000000000E+03,2.19500000000000E+04,2.20000000000000E+04,2.19510000000000E+04,2.80490000000000E+04,4.87800000000000E+04,6.21950000000000E+04,1.20010000000000E+05,1.23940000000000E+05,1.53333000000000E+05,1.57840000000000E+05,2.51190000000000E+05,3.51760000000000E+05,4.72070000000000E+05,7.95500000000000E+05,1.03898000000000E+06,1.08577000000000E+06,1.15150000000000E+06,1.67276000000000E+06,2.54839000000000E+06,2.77065000000000E+06,3.21857000000000E+06,4.24609000000000E+06,5.24227000000000E+06,5.50197000000000E+06,5.82100000000000E+06,,,
