Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",GNB,Guinea-Bissau,,3.00000000000000E+00,5.00000000000000E+00,1.00000000000000E+01,1.20000000000000E+01,1.20000000000000E+01,1.20000000000000E+01,1.20000000000000E+01,1.30000000000000E+01,1.30000000000000E+01,1.30000000000000E+01,1.30000000000000E+01,1.40000000000000E+01,1.40000000000000E+01,1.40000000000000E+01,1.40000000000000E+01,1.50000000000000E+01,1.50000000000000E+01,1.50000000000000E+01,1.60000000000000E+01,1.60000000000000E+01,1.60000000000000E+01,1.70000000000000E+01,1.70000000000000E+01,1.70000000000000E+01,1.80000000000000E+01,1.80000000000000E+01,1.80000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,1.90000000000000E+01,2.20000000000000E+01,2.20000000000000E+01,2.20000000000000E+01,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",GNB,Guinea-Bissau,,,,,,,,,,,,,,,1.09000000000000E+04,1.00000000000000E+04,1.42000000000000E+04,2.33400000000000E+04,1.65100000000000E+04,1.76240000000000E+04,2.61530000000000E+04,3.03000000000000E+04,3.49330000000000E+04,1.93790000000000E+04,3.08890000000000E+04,1.77380000000000E+04,9.66000000000000E+03,1.33800000000000E+04,6.52700000000000E+03,8.04500000000000E+03,5.56100000000000E+03,1.19760000000000E+04,9.20900000000000E+03,8.88400000000000E+03,1.70400000000000E+03,2.51000000000000E+03,6.38400000000000E+03,2.95500000000000E+03,1.98820000000000E+04,1.24300000000000E+03,1.09350000000000E+04,9.69700000000000E+03,9.03700000000000E+03,5.22100000000000E+03,9.75400000000000E+03,3.97100000000000E+03,6.68000000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),GNB,Guinea-Bissau,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+02,4.53000000000000E+02,3.00000000000000E+02,2.00000000000000E+02,0.00000000000000E+00,7.00000000000000E+02,1.48000000000000E+02,2.10000000000000E+02,1.50000000000000E+03,9.00000000000000E+02,5.00000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.65000000000000E+02,2.50000000000000E+02,8.59000000000000E+02,5.86000000000000E+02,5.44000000000000E+02,2.36000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,6.00000000000000E+02,6.00000000000000E+02,2.40000000000000E+03,2.40000000000000E+03,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),GNB,Guinea-Bissau,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.00000000000000E+00,1.77647058823529E+01,1.17647058823529E+01,7.84313725490196E+00,0.00000000000000E+00,2.74509803921568E+01,5.80392156862745E+00,8.23529411764705E+00,5.83657587548638E+01,3.33333333333333E+01,1.78571428571428E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.21666666666666E+01,8.33333333333333E+00,2.86333333333333E+01,1.95333333333333E+01,1.81333333333333E+01,7.86666666666666E+00,1.00000000000000E+01,1.00000000000000E+01,1.00000000000000E+01,1.00000000000000E+01,1.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",GNB,Guinea-Bissau,,3.90000000000000E+05,3.90000000000000E+05,3.95000000000000E+05,3.95000000000000E+05,3.95000000000000E+05,3.66000000000000E+05,3.64000000000000E+05,3.63000000000000E+05,3.64000000000000E+05,3.65000000000000E+05,3.69000000000000E+05,3.74000000000000E+05,3.80000000000000E+05,3.87000000000000E+05,3.94000000000000E+05,4.01000000000000E+05,4.08000000000000E+05,4.15000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,4.22000000000000E+05,,,
AG.LND.AGRI.HA,Agricultural land (hectares),GNB,Guinea-Bissau,,1.35800000000000E+06,1.35800000000000E+06,1.35800000000000E+06,1.35800000000000E+06,1.35800000000000E+06,1.35800000000000E+06,1.36800000000000E+06,1.36800000000000E+06,1.36800000000000E+06,1.36800000000000E+06,1.36800000000000E+06,1.36800000000000E+06,1.37300000000000E+06,1.37800000000000E+06,1.37800000000000E+06,1.37800000000000E+06,1.37900000000000E+06,1.37900000000000E+06,1.38000000000000E+06,1.38300000000000E+06,1.39000000000000E+06,1.40300000000000E+06,1.41300000000000E+06,1.44000000000000E+06,1.44800000000000E+06,1.46500000000000E+06,1.47000000000000E+06,1.47000000000000E+06,1.49700000000000E+06,1.49700000000000E+06,1.49700000000000E+06,1.49700000000000E+06,1.49700000000000E+06,1.49700000000000E+06,1.50600000000000E+06,1.52200000000000E+06,1.56700000000000E+06,1.57700000000000E+06,1.60800000000000E+06,1.62800000000000E+06,1.62800000000000E+06,1.62800000000000E+06,1.63000000000000E+06,1.63000000000000E+06,1.63000000000000E+06,1.63000000000000E+06,1.63000000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),GNB,Guinea-Bissau,,1.35800000000000E+04,1.35800000000000E+04,1.35800000000000E+04,1.35800000000000E+04,1.35800000000000E+04,1.35800000000000E+04,1.36800000000000E+04,1.36800000000000E+04,1.36800000000000E+04,1.36800000000000E+04,1.36800000000000E+04,1.36800000000000E+04,1.37300000000000E+04,1.37800000000000E+04,1.37800000000000E+04,1.37800000000000E+04,1.37900000000000E+04,1.37900000000000E+04,1.38000000000000E+04,1.38300000000000E+04,1.39000000000000E+04,1.40300000000000E+04,1.41300000000000E+04,1.44000000000000E+04,1.44800000000000E+04,1.46500000000000E+04,1.47000000000000E+04,1.47000000000000E+04,1.49700000000000E+04,1.49700000000000E+04,1.49700000000000E+04,1.49700000000000E+04,1.49700000000000E+04,1.49700000000000E+04,1.50600000000000E+04,1.52200000000000E+04,1.56700000000000E+04,1.57700000000000E+04,1.60800000000000E+04,1.62800000000000E+04,1.62800000000000E+04,1.62800000000000E+04,1.63000000000000E+04,1.63000000000000E+04,1.63000000000000E+04,1.63000000000000E+04,1.63000000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),GNB,Guinea-Bissau,,4.82930298719772E+01,4.82930298719772E+01,4.82930298719772E+01,4.82930298719772E+01,4.82930298719772E+01,4.82930298719772E+01,4.86486486486486E+01,4.86486486486486E+01,4.86486486486486E+01,4.86486486486486E+01,4.86486486486486E+01,4.86486486486486E+01,4.88264580369843E+01,4.90042674253200E+01,4.90042674253200E+01,4.90042674253200E+01,4.90398293029872E+01,4.90398293029872E+01,4.90753911806543E+01,4.91820768136557E+01,4.94310099573257E+01,4.98933143669985E+01,5.02489331436699E+01,5.12091038406827E+01,5.14935988620199E+01,5.20981507823613E+01,5.22759601706970E+01,5.22759601706970E+01,5.32361308677098E+01,5.32361308677098E+01,5.32361308677098E+01,5.32361308677098E+01,5.32361308677098E+01,5.32361308677098E+01,5.35561877667140E+01,5.41251778093883E+01,5.57254623044096E+01,5.60810810810810E+01,5.71834992887624E+01,5.78947368421052E+01,5.78947368421052E+01,5.78947368421052E+01,5.79658605974395E+01,5.79658605974395E+01,5.79658605974395E+01,5.79658605974395E+01,5.79658605974395E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),GNB,Guinea-Bissau,,2.35000000000000E+05,2.35000000000000E+05,2.35000000000000E+05,2.35000000000000E+05,2.35000000000000E+05,2.35000000000000E+05,2.45000000000000E+05,2.45000000000000E+05,2.45000000000000E+05,2.45000000000000E+05,2.45000000000000E+05,2.45000000000000E+05,2.50000000000000E+05,2.55000000000000E+05,2.55000000000000E+05,2.55000000000000E+05,2.55000000000000E+05,2.55000000000000E+05,2.55000000000000E+05,2.55000000000000E+05,2.57000000000000E+05,2.70000000000000E+05,2.80000000000000E+05,2.85000000000000E+05,2.90000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),GNB,Guinea-Bissau,,3.93999802161801E-01,3.92915483043606E-01,3.92346079293977E-01,3.92306780563619E-01,3.92710622404558E-01,3.93620335599023E-01,4.11522633744855E-01,4.11926014725094E-01,4.10335771900206E-01,4.05932244109426E-01,3.98683855093877E-01,3.89124216391182E-01,3.85499067092257E-01,3.80268961999946E-01,3.66808835058293E-01,3.52926522082128E-01,3.38970884394976E-01,3.25844448249512E-01,3.14404536302627E-01,3.05008235222350E-01,2.99963117375451E-01,3.08988121123343E-01,3.15114110697336E-01,3.15579320585405E-01,3.15558674871192E-01,3.20323911539348E-01,3.13996060396095E-01,3.07405710983298E-01,3.00540070506700E-01,2.93429526052629E-01,2.86035462676662E-01,2.78447340503042E-01,2.70945437007895E-01,2.63839480060331E-01,2.57292307217306E-01,2.51333954965981E-01,2.45835948754677E-01,2.40604205280299E-01,2.35404896421845E-01,2.30103170591587E-01,2.24676858508250E-01,2.19212835934537E-01,2.13820654362475E-01,2.08631792703450E-01,2.03717712440225E-01,1.99083552048735E-01,1.94673726833826E-01,,,
AG.LND.ARBL.ZS,Arable land (% of land area),GNB,Guinea-Bissau,,8.35704125177809E+00,8.35704125177809E+00,8.35704125177809E+00,8.35704125177809E+00,8.35704125177809E+00,8.35704125177809E+00,8.71266002844950E+00,8.71266002844950E+00,8.71266002844950E+00,8.71266002844950E+00,8.71266002844950E+00,8.71266002844950E+00,8.89046941678520E+00,9.06827880512091E+00,9.06827880512091E+00,9.06827880512091E+00,9.06827880512091E+00,9.06827880512091E+00,9.06827880512091E+00,9.06827880512091E+00,9.13940256045519E+00,9.60170697012802E+00,9.95732574679943E+00,1.01351351351351E+01,1.03129445234708E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,1.06685633001422E+01,,,
AG.LND.CERE.ZS,Cereal cropland (% of land area),GNB,Guinea-Bissau,,3.44950213371265E+00,3.59174964438122E+00,3.59174964438122E+00,4.26742532005689E+00,3.55618776671408E+00,3.37837837837837E+00,2.96941678520625E+00,2.70270270270270E+00,2.45376955903271E+00,2.45376955903271E+00,2.41820768136557E+00,2.47155049786628E+00,2.70270270270270E+00,3.30725462304409E+00,4.33854907539118E+00,4.97866287339971E+00,4.76529160739687E+00,4.16073968705547E+00,4.51635846372688E+00,4.72972972972972E+00,5.90327169274537E+00,8.28591749644381E+00,7.40753911806543E+00,6.36557610241820E+00,4.51635846372688E+00,4.19630156472261E+00,3.55618776671408E+00,3.01596728307254E+00,3.45931721194879E+00,3.88595305832147E+00,3.94110953058321E+00,4.16664295874822E+00,4.48979374110952E+00,4.84786628733997E+00,5.08566856330014E+00,4.54334992887624E+00,4.48221906116642E+00,4.39189189189189E+00,5.06401137980085E+00,5.73079658605974E+00,5.72165718349928E+00,5.04623044096728E+00,4.64082503556187E+00,4.81863442389758E+00,4.92532005689900E+00,4.92887624466571E+00,4.89687055476529E+00,,,
AG.LND.CREL.HA,Area under cereal production (hectares),GNB,Guinea-Bissau,,9.70000000000000E+04,1.01000000000000E+05,1.01000000000000E+05,1.20000000000000E+05,1.00000000000000E+05,9.50000000000000E+04,8.35000000000000E+04,7.60000000000000E+04,6.90000000000000E+04,6.90000000000000E+04,6.80000000000000E+04,6.95000000000000E+04,7.60000000000000E+04,9.30000000000000E+04,1.22000000000000E+05,1.40000000000000E+05,1.34000000000000E+05,1.17000000000000E+05,1.27000000000000E+05,1.33000000000000E+05,1.66000000000000E+05,2.33000000000000E+05,2.08300000000000E+05,1.79000000000000E+05,1.27000000000000E+05,1.18000000000000E+05,1.00000000000000E+05,8.48090000000000E+04,9.72760000000000E+04,1.09273000000000E+05,1.10824000000000E+05,1.17166000000000E+05,1.26253000000000E+05,1.36322000000000E+05,1.43009000000000E+05,1.27759000000000E+05,1.26040000000000E+05,1.23500000000000E+05,1.42400000000000E+05,1.61150000000000E+05,1.60893000000000E+05,1.41900000000000E+05,1.30500000000000E+05,1.35500000000000E+05,1.38500000000000E+05,1.38600000000000E+05,1.37700000000000E+05,,,
AG.LND.CROP.HA,Permanent cropland (hectares),GNB,Guinea-Bissau,,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.30000000000000E+04,4.40000000000000E+04,4.40000000000000E+04,4.50000000000000E+04,4.80000000000000E+04,5.30000000000000E+04,5.30000000000000E+04,5.30000000000000E+04,7.50000000000000E+04,7.80000000000000E+04,8.50000000000000E+04,9.00000000000000E+04,9.00000000000000E+04,1.17000000000000E+05,1.17000000000000E+05,1.17000000000000E+05,1.17000000000000E+05,1.17000000000000E+05,1.17000000000000E+05,1.26000000000000E+05,1.42000000000000E+05,1.87000000000000E+05,1.97000000000000E+05,2.28000000000000E+05,2.48000000000000E+05,2.48000000000000E+05,2.48000000000000E+05,2.50000000000000E+05,2.50000000000000E+05,2.50000000000000E+05,2.50000000000000E+05,2.50000000000000E+05,,,
AG.LND.CROP.ZS,Permanent cropland (% of land area),GNB,Guinea-Bissau,,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.52916073968705E+00,1.56472261735419E+00,1.56472261735419E+00,1.60028449502133E+00,1.70697012802275E+00,1.88477951635846E+00,1.88477951635846E+00,1.88477951635846E+00,2.66714082503556E+00,2.77382645803698E+00,3.02275960170697E+00,3.20056899004267E+00,3.20056899004267E+00,4.16073968705547E+00,4.16073968705547E+00,4.16073968705547E+00,4.16073968705547E+00,4.16073968705547E+00,4.16073968705547E+00,4.48079658605974E+00,5.04978662873399E+00,6.65007112375533E+00,7.00568990042674E+00,8.10810810810810E+00,8.81934566145092E+00,8.81934566145092E+00,8.81934566145092E+00,8.89046941678520E+00,8.89046941678520E+00,8.89046941678520E+00,8.89046941678520E+00,8.89046941678520E+00,,,
AG.LND.CRPA.HA,Arable and permanent cropland (hectares),GNB,Guinea-Bissau,,2.78000000000000E+05,2.78000000000000E+05,2.78000000000000E+05,2.78000000000000E+05,2.78000000000000E+05,2.78000000000000E+05,2.88000000000000E+05,2.88000000000000E+05,2.88000000000000E+05,2.88000000000000E+05,2.88000000000000E+05,2.88000000000000E+05,2.93000000000000E+05,2.98000000000000E+05,2.98000000000000E+05,2.98000000000000E+05,2.99000000000000E+05,2.99000000000000E+05,3.00000000000000E+05,3.03000000000000E+05,3.10000000000000E+05,3.23000000000000E+05,3.33000000000000E+05,3.60000000000000E+05,3.68000000000000E+05,3.85000000000000E+05,3.90000000000000E+05,3.90000000000000E+05,4.17000000000000E+05,4.17000000000000E+05,4.17000000000000E+05,4.17000000000000E+05,4.17000000000000E+05,4.17000000000000E+05,4.26000000000000E+05,4.42000000000000E+05,4.87000000000000E+05,4.97000000000000E+05,5.28000000000000E+05,5.48000000000000E+05,5.48000000000000E+05,5.48000000000000E+05,5.50000000000000E+05,5.50000000000000E+05,5.50000000000000E+05,5.50000000000000E+05,5.50000000000000E+05,,,
AG.LND.FRST.K2,Forest area (sq. km),GNB,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21640000000000E+04,2.20680000000000E+04,2.19720000000000E+04,2.18750000000000E+04,2.17790000000000E+04,2.16820000000000E+04,2.15860000000000E+04,2.14890000000000E+04,2.13930000000000E+04,2.12960000000000E+04,2.12000000000000E+04,2.11030000000000E+04,2.10070000000000E+04,2.09100000000000E+04,2.08130000000000E+04,2.07169999999999E+04,2.06200000000000E+04,2.05230000000000E+04,,,
AG.LND.FRST.ZS,Forest area (% of land area),GNB,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88193456614509E+01,7.84779516358463E+01,7.81365576102418E+01,7.77916073968705E+01,7.74502133712660E+01,7.71052631578947E+01,7.67638691322901E+01,7.64189189189189E+01,7.60775248933143E+01,7.57325746799430E+01,7.53911806543385E+01,7.50462304409672E+01,7.47048364153627E+01,7.43598862019914E+01,7.40149359886202E+01,7.36735419630156E+01,7.33285917496443E+01,7.29836415362731E+01,,,
AG.LND.IRIG.PO.HA,Land area equipped for irrigation (hectares),GNB,Guinea-Bissau,,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.90000000000000E+04,2.10000000000000E+04,2.30000000000000E+04,2.30000000000000E+04,2.30000000000000E+04,2.30000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,,,
AG.LND.IRIG.ZS,Irrigated land (% of crop land),GNB,Guinea-Bissau,,6.11510791366906E+00,6.11510791366906E+00,6.11510791366906E+00,6.11510791366906E+00,6.11510791366906E+00,6.11510791366906E+00,5.90277777777777E+00,5.90277777777777E+00,5.90277777777777E+00,5.90277777777777E+00,5.90277777777777E+00,5.90277777777777E+00,5.80204778156996E+00,5.70469798657718E+00,5.70469798657718E+00,5.70469798657718E+00,5.68561872909698E+00,5.68561872909698E+00,5.66666666666666E+00,5.61056105610561E+00,5.48387096774193E+00,5.26315789473684E+00,5.10510510510510E+00,4.72222222222222E+00,4.61956521739130E+00,4.41558441558441E+00,4.35897435897435E+00,4.35897435897435E+00,4.07673860911271E+00,4.07673860911271E+00,4.07673860911271E+00,4.07673860911271E+00,4.07673860911271E+00,4.55635491606714E+00,4.92957746478873E+00,5.20361990950226E+00,4.72279260780287E+00,4.62776659959758E+00,4.35606060606060E+00,4.56204379562043E+00,4.56204379562043E+00,4.56204379562043E+00,4.54545454545454E+00,,,,,,,
AG.LND.TOTL.HA,Land area (hectares),GNB,Guinea-Bissau,,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,2.81200000000000E+06,,
AG.LND.TOTL.K2,Land area (sq. km),GNB,Guinea-Bissau,,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,2.81200000000000E+04,,
AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land",GNB,Guinea-Bissau,,1.27659574468085E-01,2.12765957446808E-01,4.25531914893617E-01,5.10638297872340E-01,5.10638297872340E-01,5.10638297872340E-01,4.89795918367346E-01,5.30612244897959E-01,5.30612244897959E-01,5.30612244897959E-01,5.30612244897959E-01,5.71428571428571E-01,5.59999999999999E-01,5.49019607843137E-01,5.49019607843137E-01,5.88235294117647E-01,5.88235294117647E-01,5.88235294117647E-01,6.27450980392156E-01,6.27450980392156E-01,6.22568093385214E-01,6.29629629629629E-01,6.07142857142857E-01,5.96491228070175E-01,6.20689655172413E-01,5.99999999999999E-01,5.99999999999999E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,6.33333333333333E-01,7.33333333333333E-01,7.33333333333333E-01,7.33333333333333E-01,,,,
