Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",GIN,Guinea,,3.81000000000000E+02,5.81000000000000E+02,7.80000000000000E+02,9.80000000000000E+02,1.18000000000000E+03,1.37900000000000E+03,1.57900000000000E+03,1.77800000000000E+03,1.97800000000000E+03,2.17800000000000E+03,2.37700000000000E+03,2.57700000000000E+03,2.77700000000000E+03,2.97600000000000E+03,3.17600000000000E+03,3.37500000000000E+03,3.57500000000000E+03,3.77500000000000E+03,3.97400000000000E+03,4.17400000000000E+03,4.12000000000000E+03,4.06700000000000E+03,4.01300000000000E+03,3.95900000000000E+03,3.90600000000000E+03,3.85200000000000E+03,3.79800000000000E+03,3.74400000000000E+03,3.69100000000000E+03,3.63700000000000E+03,3.58300000000000E+03,3.53000000000000E+03,3.47600000000000E+03,3.42200000000000E+03,3.47600000000000E+03,3.85800000000000E+03,4.24100000000000E+03,4.62300000000000E+03,5.00600000000000E+03,5.38800000000000E+03,5.40000000000000E+03,5.50000000000000E+03,5.52000000000000E+03,5.55000000000000E+03,5.56000000000000E+03,5.57000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",GIN,Guinea,,,,,,,,,,,2.33000000000000E+04,4.50000000000000E+04,1.77000000000000E+04,8.60000000000000E+03,4.89000000000000E+04,3.26000000000000E+04,1.20400000000000E+04,3.68620000000000E+04,2.83880000000000E+04,2.41560000000000E+04,3.39010000000000E+04,3.85300000000000E+04,2.49720000000000E+04,4.26170000000000E+04,5.16370000000000E+04,5.49910000000000E+04,9.18540000000000E+04,2.62460000000000E+04,3.88230000000000E+04,2.48480000000000E+04,8.89000000000000E+03,3.00130000000000E+04,2.95940000000000E+04,4.61860000000000E+04,2.94680000000000E+04,4.54300000000000E+03,6.33200000000000E+03,4.79600000000000E+03,2.07560000000000E+04,1.39460000000000E+04,3.19910000000000E+04,2.42020000000000E+04,2.76580000000000E+04,2.73030000000000E+04,2.17910000000000E+04,2.86990000000000E+04,1.94410000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),GIN,Guinea,,1.69000000000000E+03,1.70000000000000E+03,1.90000000000000E+03,3.10000000000000E+03,3.00000000000000E+03,3.50000000000000E+03,3.50000000000000E+03,2.50000000000000E+03,2.50000000000000E+03,3.00000000000000E+03,2.90000000000000E+03,2.80000000000000E+03,1.00000000000000E+03,1.82800000000000E+03,1.50000000000000E+03,1.30000000000000E+03,8.00000000000000E+02,1.00000000000000E+03,2.20000000000000E+03,2.80000000000000E+02,8.17000000000000E+02,8.46000000000000E+02,0.00000000000000E+00,1.97000000000000E+02,3.60000000000000E+02,6.52000000000000E+02,9.00000000000000E+02,6.31000000000000E+02,8.16000000000000E+02,1.16100000000000E+03,1.93800000000000E+03,5.06000000000000E+02,1.57500000000000E+03,4.00000000000000E+03,5.10600000000000E+03,4.24900000000000E+03,1.79600000000000E+03,3.28400000000000E+03,3.20000000000000E+03,3.20000000000000E+03,3.20000000000000E+03,2.40200000000000E+03,1.96700000000000E+03,4.04800000000000E+03,3.38300000000000E+03,2.80000000000000E+03,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),GIN,Guinea,,2.56060606060606E+01,2.53731343283582E+01,2.83582089552238E+01,4.62686567164179E+01,4.47761194029850E+01,5.22388059701492E+01,5.14705882352941E+01,3.67647058823529E+01,3.67647058823529E+01,4.41176470588235E+01,4.26470588235294E+01,4.05797101449275E+01,1.44927536231884E+01,2.64927536231884E+01,2.17391304347826E+01,1.88405797101449E+01,1.14285714285714E+01,1.42857142857142E+01,3.14285714285714E+01,3.98860398860398E+00,1.14747191011235E+01,1.18653576437587E+01,0.00000000000000E+00,2.69863013698630E+00,4.67532467532467E+00,8.46753246753246E+00,1.16883116883116E+01,8.16300129366106E+00,1.03212749810270E+01,1.43670337829476E+01,2.34709943078599E+01,6.00023716352425E+00,1.82948077593216E+01,4.55373406193078E+01,5.69866071428571E+01,4.28845377472749E+01,1.65438467207074E+01,2.78210776008132E+01,2.50941028858218E+01,2.33576642335766E+01,2.20689655172413E+01,1.60133333333333E+01,1.22937499999999E+01,2.38117647058823E+01,1.78052631578947E+01,1.33333333333333E+01,,,,
AG.CRP.FNO.CD,"Producer Price for Fonio (per tonne, current US$)",GIN,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01630000000000E+02,1.71840000000000E+02,2.18740000000000E+02,2.14000000000000E+02,2.10810000000000E+02,4.37240000000000E+02,4.05829999999999E+02,3.89360000000000E+02,4.22300000000000E+02,2.79360000000000E+02,2.32750000000000E+02,2.55590000000000E+02,3.81779999999999E+02,4.01350000000000E+02,4.28500000000000E+02,4.40069999999999E+02,6.25269999999999E+02,,,
AG.CRP.FNO.CN,"Producer Price for Fonio (per tonne, current LCU)",GIN,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52000000000000E+05,1.55000000000000E+05,2.09000000000000E+05,2.09000000000000E+05,2.09000000000000E+05,4.39000000000000E+05,4.44511000000000E+05,4.81567000000000E+05,5.85894000000000E+05,4.88000000000000E+05,4.54000000000000E+05,5.05000000000000E+05,7.57810000000000E+05,8.93009000000000E+05,1.56160600000000E+06,2.22493800000000E+06,2.73495010000000E+06,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",GIN,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60569999999999E+02,2.22310000000000E+02,2.07009999999999E+02,2.66779999999999E+02,3.34350000000000E+02,3.46449999999999E+02,3.21560000000000E+02,3.08509999999999E+02,3.31269999999999E+02,2.27430000000000E+02,2.56170000000000E+02,2.44940000000000E+02,2.43639999999999E+02,2.39880000000000E+02,1.53050000000000E+02,1.52710000000000E+02,1.87650000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",GIN,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96430000000000E+05,2.00523000000000E+05,1.97795000000000E+05,2.60543000000000E+05,3.31476000000000E+05,3.47846000000000E+05,3.52212000000000E+05,3.81574000000000E+05,4.59606000000000E+05,3.97294000000000E+05,4.99670000000000E+05,4.83956000000000E+05,4.83601000000000E+05,5.33749400000000E+05,5.57768400000000E+05,7.72107300000000E+05,8.20762000000000E+05,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",GIN,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91020000000000E+02,1.62970000000000E+02,1.51759999999999E+02,1.95569999999999E+02,2.45110000000000E+02,2.53979999999999E+02,2.35729999999999E+02,2.26160000000000E+02,2.42849999999999E+02,1.66729999999999E+02,1.87789999999999E+02,1.79560000000000E+02,1.78610000000000E+02,1.99169999999999E+02,1.51990000000000E+02,1.11950000000000E+02,1.39780000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",GIN,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44000000000000E+05,1.47000000000000E+05,1.45000000000000E+05,1.91000000000000E+05,2.43000000000000E+05,2.55000000000000E+05,2.58201000000000E+05,2.79726000000000E+05,3.36930000000000E+05,2.91250000000000E+05,3.66300000000000E+05,3.54780000000000E+05,3.54520000000000E+05,4.43150000000000E+05,5.53900000000000E+05,5.66019300000000E+05,6.11401099999999E+05,,,
