Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",KEN,Kenya,,6.42200000000000E+03,6.41800000000000E+03,6.11100000000000E+03,5.78300000000000E+03,5.72900000000000E+03,6.14500000000000E+03,6.61700000000000E+03,4.90400000000000E+03,5.99800000000000E+03,7.24700000000000E+03,5.89100000000000E+03,6.02800000000000E+03,5.72100000000000E+03,6.19500000000000E+03,6.01300000000000E+03,5.98200000000000E+03,6.18600000000000E+03,6.44900000000000E+03,6.37400000000000E+03,6.54600000000000E+03,6.39900000000000E+03,6.65000000000000E+03,8.56800000000000E+03,8.80000000000000E+03,9.00000000000000E+03,9.20000000000000E+03,9.40000000000000E+03,9.60000000000000E+03,9.80000000000000E+03,1.00000000000000E+04,1.02000000000000E+04,1.05000000000000E+04,1.08000000000000E+04,1.10000000000000E+04,1.12000000000000E+04,1.14000000000000E+04,1.16000000000000E+04,1.18000000000000E+04,1.20000000000000E+04,1.22000000000000E+04,1.25680000000000E+04,1.28440000000000E+04,1.29050000000000E+04,1.33150000000000E+04,1.34200000000000E+04,1.39550000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",KEN,Kenya,,,,,,,,,,,2.50000000000000E+03,1.60000000000000E+03,1.40000000000000E+03,1.20000000000000E+03,2.20000000000000E+03,8.70000000000000E+03,8.30000000000000E+03,1.07270000000000E+04,9.41300000000000E+03,8.64000000000000E+04,1.72889000000000E+05,1.27230000000000E+05,1.64504000000000E+05,1.21786000000000E+05,3.39782000000000E+05,1.39383000000000E+05,1.06597000000000E+05,2.90530000000000E+04,8.51260000000000E+04,4.11750000000000E+04,7.61510000000000E+04,1.80659000000000E+05,2.81885000000000E+05,2.62113000000000E+05,1.09014000000000E+05,2.23650000000000E+04,4.82270000000000E+04,1.02324000000000E+05,7.75960000000000E+04,1.16412000000000E+05,3.48666000000000E+05,1.32618000000000E+05,9.42390000000000E+04,6.24010000000000E+04,1.24246000000000E+05,1.43362000000000E+05,2.44569000000000E+05,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),KEN,Kenya,,1.11000000000000E+04,1.21000000000000E+04,1.60220000000000E+04,1.92650000000000E+04,2.40240000000000E+04,3.06720000000000E+04,3.33000000000000E+04,3.28000000000000E+04,4.23000000000000E+04,4.95000000000000E+04,4.72000000000000E+04,5.31890000000000E+04,5.09620000000000E+04,5.28000000000000E+04,4.44940000000000E+04,5.38960000000000E+04,5.15220000000000E+04,5.10020000000000E+04,3.83000000000000E+04,6.16000000000000E+04,8.28000000000000E+04,6.27000000000000E+04,7.51000000000000E+04,8.17570000000000E+04,1.02600000000000E+05,9.84000000000000E+04,1.10363000000000E+05,1.21100000000000E+05,1.06100000000000E+05,1.06700000000000E+05,1.12700000000000E+05,1.01900000000000E+05,1.00000000000000E+05,1.29800000000000E+05,7.84000000000000E+04,1.60800000000000E+05,1.34400000000000E+05,1.27100000000000E+05,1.48100000000000E+05,1.45705000000000E+05,1.49990000000000E+05,1.38185000000000E+05,1.74328000000000E+05,2.14871000000000E+05,1.99517000000000E+05,1.95006000000000E+05,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),KEN,Kenya,,3.17142857142857E+01,3.45714285714285E+01,4.57771428571428E+01,5.50428571428571E+01,6.86400000000000E+01,8.76342857142857E+01,9.51428571428571E+01,9.37142857142857E+01,1.20857142857142E+02,1.41428571428571E+02,1.34857142857142E+02,1.51968571428571E+02,1.45605714285714E+02,1.50857142857142E+02,1.17089473684210E+02,1.41831578947368E+02,1.35584210526315E+02,1.34215789473684E+02,1.00789473684210E+02,1.62105263157894E+02,2.17894736842105E+02,1.65000000000000E+02,1.97631578947368E+02,2.19481879194630E+02,2.24311324879755E+02,2.14239059438275E+02,2.37084854994629E+02,2.48054076198279E+02,2.01213730324293E+02,2.13827655310621E+02,2.21110457131646E+02,1.92554799697656E+02,1.97628458498023E+02,2.38077769625825E+02,1.44170650974623E+02,3.44251766217084E+02,2.79185708350643E+02,2.71697306541256E+02,2.90620094191522E+02,2.97904314046207E+02,2.92492199687987E+02,2.71429974464741E+02,3.38764088612514E+02,4.08655382274629E+02,3.79021656534954E+02,3.67242937853107E+02,,,,
AG.CRP.BLY.CD,"Producer Price for Barley (per tonne, current US$)",KEN,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28229999999999E+02,1.94870000000000E+02,1.17239999999999E+02,1.33810000000000E+02,2.18750000000000E+02,2.62630000000000E+02,3.47779999999999E+02,3.32970000000000E+02,2.74720000000000E+02,2.75680000000000E+02,2.12000000000000E+02,2.12889999999999E+02,2.22229999999999E+02,2.05740000000000E+02,2.51560000000000E+02,2.61500000000000E+02,2.60250000000000E+02,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",KEN,Kenya,,,,,,,4.70000000000000E+02,4.90000000000000E+02,4.90000000000000E+02,4.70000000000000E+02,3.90000000000000E+02,4.40000000000000E+02,4.40000000000000E+02,5.00000000000000E+02,7.00000000000000E+02,9.50000000000000E+02,1.07900000000000E+03,1.10000000000000E+03,1.16000000000000E+03,1.25000000000000E+03,1.43000000000000E+03,1.45000000000000E+03,1.55000000000000E+03,1.89000000000000E+03,2.17500000000000E+03,2.20000000000000E+03,2.50000000000000E+03,2.90000000000000E+03,3.12500000000000E+03,4.95000000000000E+03,5.25000000000000E+03,6.27800000000000E+03,6.27800000000000E+03,6.80000000000000E+03,7.50000000000000E+03,1.12500000000000E+04,1.50000000000000E+04,2.04260000000000E+04,2.01000000000000E+04,1.93200000000000E+04,2.10000000000000E+04,1.66550000000000E+04,1.67650000000000E+04,1.68750000000000E+04,1.62810000000000E+04,1.90000000000000E+04,1.88500000000000E+04,1.75070000000000E+04,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",KEN,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56579999999999E+02,2.64740000000000E+02,1.39259999999999E+02,3.06060000000000E+02,3.61350000000000E+02,3.91209999999999E+02,3.23500000000000E+02,4.56380000000000E+02,4.14500000000000E+02,3.11120000000000E+02,2.98490000000000E+02,3.28259999999999E+02,3.74730000000000E+02,4.04440000000000E+02,4.85459999999999E+02,4.84149999999999E+02,4.82250000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",KEN,Kenya,,,,,,,3.80000000000000E+02,3.80000000000000E+02,3.90000000000000E+02,3.80000000000000E+02,3.20000000000000E+02,3.50000000000000E+02,3.50000000000000E+02,4.00000000000000E+02,5.60000000000000E+02,7.30000000000000E+02,7.30000000000000E+02,7.60000000000000E+02,7.80000000000000E+02,8.00000000000000E+02,8.20000000000000E+02,8.40000000000000E+02,8.60000000000000E+02,1.00000000000000E+03,1.25000000000000E+03,1.37500000000000E+03,1.87500000000000E+03,1.87500000000000E+03,3.12500000000000E+03,3.12500000000000E+03,6.58800000000000E+03,7.05800000000000E+03,8.52900000000000E+03,8.07700000000000E+03,1.71550000000000E+04,1.85840000000000E+04,2.23440000000000E+04,1.90000000000000E+04,2.75500000000000E+04,2.91500000000000E+04,2.37000000000000E+04,2.34500000000000E+04,2.58500000000000E+04,2.84550000000000E+04,3.20060000000000E+04,3.66660000000000E+04,3.49000000000000E+04,3.24410999999999E+04,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",KEN,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04330000000000E+02,7.43700000000000E+01,1.39720000000000E+02,1.69490000000000E+02,1.55550000000000E+02,1.57580000000000E+02,2.33810000000000E+02,2.12770000000000E+02,1.97069999999999E+02,1.90270000000000E+02,1.69389999999999E+02,1.41509999999999E+02,1.57490000000000E+02,1.93870000000000E+02,2.01740000000000E+02,2.13000000000000E+02,2.32849999999999E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",KEN,Kenya,,,,,,,4.01000000000000E+02,3.53000000000000E+02,3.08000000000000E+02,2.76000000000000E+02,2.75000000000000E+02,3.33000000000000E+02,3.89000000000000E+02,3.89000000000000E+02,4.64000000000000E+02,7.00000000000000E+02,7.70000000000000E+02,8.90000000000000E+02,7.75000000000000E+02,8.90000000000000E+02,9.54000000000000E+02,1.00000000000000E+03,1.05500000000000E+03,1.54000000000000E+03,1.75000000000000E+03,1.94400000000000E+03,2.08900000000000E+03,2.08900000000000E+03,2.14200000000000E+03,2.23300000000000E+03,2.64700000000000E+03,2.87000000000000E+03,2.39600000000000E+03,8.10400000000000E+03,9.50000000000000E+03,8.00000000000000E+03,9.00000000000000E+03,1.37320000000000E+04,1.28440000000000E+04,1.38590000000000E+04,1.44940000000000E+04,1.33080000000000E+04,1.11440000000000E+04,1.19590000000000E+04,1.53420000000000E+04,1.52370000000000E+04,1.53540000000000E+04,1.56640000000000E+04,,,
