Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",LSO,Lesotho,,1.37000000000000E+02,1.40000000000000E+02,1.70000000000000E+02,2.00000000000000E+02,2.30000000000000E+02,2.60000000000000E+02,2.90000000000000E+02,3.20000000000000E+02,3.50000000000000E+02,3.80000000000000E+02,5.70000000000000E+02,7.50000000000000E+02,9.39000000000000E+02,1.00000000000000E+03,1.07500000000000E+03,1.14000000000000E+03,1.21000000000000E+03,1.28000000000000E+03,1.35000000000000E+03,1.40000000000000E+03,1.45000000000000E+03,1.50000000000000E+03,1.50000000000000E+03,1.55000000000000E+03,1.60000000000000E+03,1.65000000000000E+03,1.70000000000000E+03,1.75000000000000E+03,1.80000000000000E+03,1.83000000000000E+03,1.85000000000000E+03,1.85000000000000E+03,1.85000000000000E+03,1.85000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",LSO,Lesotho,,,,,,,,,,,2.72000000000000E+04,1.44000000000000E+04,1.85000000000000E+04,2.51000000000000E+04,1.43000000000000E+04,1.81000000000000E+04,1.06000000000000E+04,2.36000000000000E+04,3.78100000000000E+04,2.86000000000000E+04,4.40650000000000E+04,3.41700000000000E+04,2.85940000000000E+04,5.02360000000000E+04,7.08220000000000E+04,4.03700000000000E+04,3.42030000000000E+04,5.53290000000000E+04,2.26060000000000E+04,2.70550000000000E+04,2.55660000000000E+04,1.43660000000000E+04,4.31800000000000E+04,2.52420000000000E+04,1.49020000000000E+04,4.58980000000000E+04,1.16280000000000E+04,1.31640000000000E+04,7.40000000000000E+03,3.11600000000000E+03,8.60000000000000E+02,5.30800000000000E+03,3.84400000000000E+04,2.09330000000000E+04,7.32000000000000E+03,1.51510000000000E+04,6.84600000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),LSO,Lesotho,,3.01000000000000E+02,4.31000000000000E+02,3.06000000000000E+02,4.30000000000000E+02,5.50000000000000E+02,6.50000000000000E+02,8.00000000000000E+02,3.28000000000000E+02,4.50000000000000E+02,3.74000000000000E+02,1.07200000000000E+03,6.32000000000000E+02,8.98000000000000E+02,8.02000000000000E+02,1.50000000000000E+03,1.30000000000000E+03,2.20000000000000E+03,4.40000000000000E+03,4.40000000000000E+03,4.50000000000000E+03,4.50000000000000E+03,4.50000000000000E+03,4.50000000000000E+03,4.60000000000000E+03,3.50000000000000E+03,3.90000000000000E+03,4.00000000000000E+03,4.50000000000000E+03,4.60000000000000E+03,4.60000000000000E+03,5.90000000000000E+03,5.70000000000000E+03,6.00000000000000E+03,5.30000000000000E+03,5.90400000000000E+03,6.08200000000000E+03,5.60600000000000E+03,6.00000000000000E+03,5.03900000000000E+03,7.99400000000000E+03,1.13410000000000E+04,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),LSO,Lesotho,,8.40782122905027E+00,1.22096317280453E+01,8.66855524079320E+00,1.21126760563380E+01,1.54929577464788E+01,1.80555555555555E+01,2.22222222222222E+01,8.98630136986301E+00,1.23287671232876E+01,1.01630434782608E+01,2.97777777777777E+01,1.78028169014084E+01,2.52957746478873E+01,2.25915492957746E+01,4.03225806451612E+01,3.66197183098591E+01,7.63888888888888E+01,1.52249134948096E+02,1.44262295081967E+02,1.54109589041095E+02,1.51006711409395E+02,1.56250000000000E+02,1.59010600706713E+02,1.54882154882154E+02,1.15131578947368E+02,1.35888501742160E+02,1.22699386503067E+02,1.32743362831858E+02,1.52823920265780E+02,1.45110410094637E+02,1.84952978056426E+02,1.71686746987951E+02,1.81818181818181E+02,1.63076923076923E+02,1.84500000000000E+02,1.88881987577639E+02,1.72492307692307E+02,1.84615384615384E+02,1.55046153846153E+02,2.42242424242424E+02,3.43666666666666E+02,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",LSO,Lesotho,,1.47444700000000E+06,1.48462500000000E+06,1.49486800000000E+06,1.50517600000000E+06,1.51555000000000E+06,1.52599000000000E+06,1.53649700000000E+06,1.54707100000000E+06,1.55771200000000E+06,1.56842100000000E+06,1.58011600000000E+06,1.58194100000000E+06,1.53439800000000E+06,1.53518200000000E+06,1.61138000000000E+06,1.61986800000000E+06,1.60335700000000E+06,1.59625100000000E+06,1.62968800000000E+06,1.67930300000000E+06,1.71706200000000E+06,1.70632100000000E+06,1.77285900000000E+06,1.79371000000000E+06,1.81975100000000E+06,1.85807400000000E+06,1.88015100000000E+06,1.87357200000000E+06,1.87150300000000E+06,1.26200000000000E+06,1.32900000000000E+06,1.36600000000000E+06,1.40200000000000E+06,1.44000000000000E+06,1.47800000000000E+06,1.51700000000000E+06,1.55600000000000E+06,1.59400000000000E+06,2.00403000000000E+06,2.02201800000000E+06,2.02813400000000E+06,2.03426900000000E+06,2.04042200000000E+06,2.04659400000000E+06,2.05278500000000E+06,2.06053900000000E+06,2.06830000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),LSO,Lesotho,,2.58100000000000E+06,2.57600000000000E+06,2.57600000000000E+06,2.57800000000000E+06,2.57800000000000E+06,2.58300000000000E+06,2.58300000000000E+06,2.53300000000000E+06,2.47800000000000E+06,2.42700000000000E+06,2.36400000000000E+06,2.35900000000000E+06,2.35900000000000E+06,2.35900000000000E+06,2.37600000000000E+06,2.35900000000000E+06,2.29200000000000E+06,2.29300000000000E+06,2.30900000000000E+06,2.29600000000000E+06,2.30200000000000E+06,2.29200000000000E+06,2.28700000000000E+06,2.30100000000000E+06,2.30800000000000E+06,2.29100000000000E+06,2.33000000000000E+06,2.34300000000000E+06,2.30500000000000E+06,2.32100000000000E+06,2.32300000000000E+06,2.33600000000000E+06,2.33400000000000E+06,2.32900000000000E+06,2.32400000000000E+06,2.32600000000000E+06,2.32900000000000E+06,2.32900000000000E+06,2.32900000000000E+06,2.33400000000000E+06,2.33400000000000E+06,2.30400000000000E+06,2.30400000000000E+06,2.31400000000000E+06,2.33400000000000E+06,2.30400000000000E+06,2.30400000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),LSO,Lesotho,,2.58100000000000E+04,2.57600000000000E+04,2.57600000000000E+04,2.57800000000000E+04,2.57800000000000E+04,2.58300000000000E+04,2.58300000000000E+04,2.53300000000000E+04,2.47800000000000E+04,2.42700000000000E+04,2.36400000000000E+04,2.35900000000000E+04,2.35900000000000E+04,2.35900000000000E+04,2.37600000000000E+04,2.35900000000000E+04,2.29200000000000E+04,2.29300000000000E+04,2.30900000000000E+04,2.29600000000000E+04,2.30200000000000E+04,2.29200000000000E+04,2.28700000000000E+04,2.30100000000000E+04,2.30800000000000E+04,2.29100000000000E+04,2.33000000000000E+04,2.34300000000000E+04,2.30500000000000E+04,2.32100000000000E+04,2.32300000000000E+04,2.33600000000000E+04,2.33400000000000E+04,2.32900000000000E+04,2.32400000000000E+04,2.32600000000000E+04,2.32900000000000E+04,2.32900000000000E+04,2.32900000000000E+04,2.33400000000000E+04,2.33400000000000E+04,2.30400000000000E+04,2.30400000000000E+04,2.31400000000000E+04,2.33400000000000E+04,2.30400000000000E+04,2.30400000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),LSO,Lesotho,,8.50411861614497E+01,8.48764415156507E+01,8.48764415156507E+01,8.49423393739703E+01,8.49423393739703E+01,8.51070840197693E+01,8.51070840197693E+01,8.34596375617792E+01,8.16474464579901E+01,7.99670510708401E+01,7.78912685337726E+01,7.77265238879736E+01,7.77265238879736E+01,7.77265238879736E+01,7.82866556836902E+01,7.77265238879736E+01,7.55189456342668E+01,7.55518945634266E+01,7.60790774299835E+01,7.56507413509060E+01,7.58484349258649E+01,7.55189456342668E+01,7.53542009884678E+01,7.58154859967051E+01,7.60461285008237E+01,7.54859967051070E+01,7.67710049423393E+01,7.71993410214167E+01,7.59472817133443E+01,7.64744645799011E+01,7.65403624382207E+01,7.69686985172981E+01,7.69028006589785E+01,7.67380560131795E+01,7.65733113673805E+01,7.66392092257001E+01,7.67380560131795E+01,7.67380560131795E+01,7.67380560131795E+01,7.69028006589785E+01,7.69028006589785E+01,7.59143327841845E+01,7.59143327841845E+01,7.62438220757825E+01,7.69028006589785E+01,7.59143327841845E+01,7.59143327841845E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),LSO,Lesotho,,3.58000000000000E+05,3.53000000000000E+05,3.53000000000000E+05,3.55000000000000E+05,3.55000000000000E+05,3.60000000000000E+05,3.60000000000000E+05,3.65000000000000E+05,3.65000000000000E+05,3.68000000000000E+05,3.60000000000000E+05,3.55000000000000E+05,3.55000000000000E+05,3.55000000000000E+05,3.72000000000000E+05,3.55000000000000E+05,2.88000000000000E+05,2.89000000000000E+05,3.05000000000000E+05,2.92000000000000E+05,2.98000000000000E+05,2.88000000000000E+05,2.83000000000000E+05,2.97000000000000E+05,3.04000000000000E+05,2.87000000000000E+05,3.26000000000000E+05,3.39000000000000E+05,3.01000000000000E+05,3.17000000000000E+05,3.19000000000000E+05,3.32000000000000E+05,3.30000000000000E+05,3.25000000000000E+05,3.20000000000000E+05,3.22000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.25000000000000E+05,3.30000000000000E+05,3.30000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,3.10000000000000E+05,3.30000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),LSO,Lesotho,,4.13298514665170E-01,4.00285302498891E-01,3.92955739602814E-01,3.87773448551201E-01,3.80366652023443E-01,3.78216812787930E-01,3.70718204735307E-01,3.68307772101241E-01,3.60830245680911E-01,3.56357100802578E-01,3.41443890335810E-01,3.29724935099915E-01,3.22791831093491E-01,3.15847258045430E-01,3.23652751918425E-01,3.01895649556128E-01,2.39308199878850E-01,2.34503687955923E-01,2.41474562436217E-01,2.25362548140373E-01,2.23978810702579E-01,2.10677856001685E-01,2.01574704440199E-01,2.06325939408254E-01,2.06478816224344E-01,1.91074109458168E-01,2.13202185649400E-01,2.18148683450172E-01,1.90776313821331E-01,1.97977012183392E-01,1.96415630250962E-01,2.01643393658315E-01,1.97674390743567E-01,1.91813177506275E-01,1.85810575408899E-01,1.83631687301469E-01,1.81799264524083E-01,1.78300157617339E-01,1.75104739573455E-01,1.75019053210565E-01,1.72724046641773E-01,1.55299759595972E-01,1.53864144115311E-01,1.57694767026329E-01,1.66596746516992E-01,1.50384382481623E-01,1.49564340344721E-01,,,
