Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",LBR,Liberia,,3.00000000000000E+01,4.00000000000000E+01,6.00000000000000E+01,8.00000000000000E+01,1.00000000000000E+02,1.15000000000000E+02,1.30000000000000E+02,1.45000000000000E+02,1.60000000000000E+02,1.75000000000000E+02,1.90000000000000E+02,2.05000000000000E+02,2.20000000000000E+02,2.35000000000000E+02,2.50000000000000E+02,2.60000000000000E+02,2.70000000000000E+02,2.80000000000000E+02,2.90000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.05000000000000E+02,3.08000000000000E+02,3.10000000000000E+02,3.15000000000000E+02,3.18000000000000E+02,3.20000000000000E+02,3.25000000000000E+02,3.28000000000000E+02,3.30000000000000E+02,3.30000000000000E+02,3.28000000000000E+02,3.27000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,3.25000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",LBR,Liberia,,,,,,,,,,,5.70000000000000E+03,9.90000000000000E+03,2.50000000000000E+03,2.77000000000000E+03,3.40000000000000E+03,1.90000000000000E+03,6.00000000000000E+02,1.26500000000000E+03,1.06200000000000E+03,3.20000000000000E+03,2.63750000000000E+04,4.23700000000000E+04,5.74260000000000E+04,4.69580000000000E+04,1.99440000000000E+04,7.62050000000000E+04,1.74500000000000E+03,5.57130000000000E+04,6.16790000000000E+04,2.69620000000000E+04,1.38077000000000E+05,1.36537000000000E+05,1.63973000000000E+05,1.51873000000000E+05,1.85137000000000E+05,1.53266000000000E+05,8.71820000000000E+04,4.45620000000000E+04,9.27790000000000E+04,7.54250000000000E+04,2.99650000000000E+04,1.87640000000000E+04,3.86940000000000E+04,7.46050000000000E+04,9.84650000000000E+04,4.80350000000000E+04,4.16230000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),LBR,Liberia,,5.00000000000000E+01,5.00000000000000E+01,1.00000000000000E+02,2.00000000000000E+02,3.00000000000000E+02,1.40000000000000E+03,1.60000000000000E+03,1.20000000000000E+03,1.80000000000000E+03,2.30000000000000E+03,1.90000000000000E+03,3.73400000000000E+03,3.29200000000000E+03,3.30000000000000E+03,4.85600000000000E+03,5.88700000000000E+03,6.21300000000000E+03,4.16000000000000E+03,5.49700000000000E+03,3.10700000000000E+03,5.10000000000000E+03,1.30000000000000E+03,2.80000000000000E+03,1.10000000000000E+03,1.46000000000000E+03,1.65900000000000E+03,3.50000000000000E+03,3.40000000000000E+03,2.70000000000000E+03,3.00000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),LBR,Liberia,,1.32275132275132E+00,1.32978723404255E+00,2.65957446808510E+00,5.36193029490616E+00,8.04289544235924E+00,3.78378378378378E+01,4.32432432432432E+01,3.26086956521739E+01,4.89130434782608E+01,6.28415300546448E+01,5.19125683060109E+01,1.02021857923497E+02,8.99453551912568E+01,9.01639344262295E+01,1.32677595628415E+02,1.60846994535519E+02,1.67466307277628E+02,1.12129380053908E+02,1.48167115902964E+02,8.37466307277628E+01,1.37466307277628E+02,3.46666666666666E+01,7.36842105263157E+01,2.89473684210526E+01,3.84210526315789E+01,4.25384615384615E+01,8.97435897435897E+01,8.50000000000000E+01,6.75000000000000E+01,8.57142857142857E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",LBR,Liberia,,1.56000000000000E+06,8.50000000000000E+05,9.91000000000000E+05,9.91000000000000E+05,9.91000000000000E+05,1.32517900000000E+06,1.37747200000000E+06,1.43182800000000E+06,1.48832900000000E+06,1.54705900000000E+06,1.60457900000000E+06,1.66463900000000E+06,1.73331800000000E+06,1.50000000000000E+06,1.40000000000000E+06,1.30000000000000E+06,2.10000000000000E+06,2.10000000000000E+06,2.30000000000000E+06,2.40000000000000E+06,2.10000000000000E+06,2.20000000000000E+06,1.86000000000000E+06,1.95000000000000E+06,2.05000000000000E+06,2.70000000000000E+06,2.70000000000000E+06,3.34392200000000E+06,3.44840500000000E+06,3.45270100000000E+06,3.34281800000000E+06,3.11881000000000E+06,2.88052400000000E+06,2.73248800000000E+06,2.74781800000000E+06,2.95144000000000E+06,3.32680800000000E+06,3.73639400000000E+06,4.20183900000000E+06,4.72536100000000E+06,4.92493000000000E+06,5.13295300000000E+06,5.34979100000000E+06,5.57581700000000E+06,5.81142300000000E+06,6.03319800000000E+06,6.26340000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),LBR,Liberia,,2.58300000000000E+06,2.58100000000000E+06,2.58100000000000E+06,2.57800000000000E+06,2.57800000000000E+06,2.57500000000000E+06,2.57500000000000E+06,2.57300000000000E+06,2.57300000000000E+06,2.57100000000000E+06,2.57100000000000E+06,2.57100000000000E+06,2.57100000000000E+06,2.57100000000000E+06,2.57100000000000E+06,2.57100000000000E+06,2.57600000000000E+06,2.57600000000000E+06,2.57600000000000E+06,2.57600000000000E+06,2.57600000000000E+06,2.58000000000000E+06,2.58500000000000E+06,2.58600000000000E+06,2.58800000000000E+06,2.59700000000000E+06,2.60300000000000E+06,2.60000000000000E+06,2.60000000000000E+06,2.49300000000000E+06,2.50000000000000E+06,2.50000000000000E+06,2.50000000000000E+06,2.50000000000000E+06,2.50000000000000E+06,2.50000000000000E+06,2.52000000000000E+06,2.56000000000000E+06,2.57000000000000E+06,2.59000000000000E+06,2.59000000000000E+06,2.59000000000000E+06,2.59000000000000E+06,2.59500000000000E+06,2.59500000000000E+06,2.60000000000000E+06,2.60000000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),LBR,Liberia,,2.58300000000000E+04,2.58100000000000E+04,2.58100000000000E+04,2.57800000000000E+04,2.57800000000000E+04,2.57500000000000E+04,2.57500000000000E+04,2.57300000000000E+04,2.57300000000000E+04,2.57100000000000E+04,2.57100000000000E+04,2.57100000000000E+04,2.57100000000000E+04,2.57100000000000E+04,2.57100000000000E+04,2.57100000000000E+04,2.57600000000000E+04,2.57600000000000E+04,2.57600000000000E+04,2.57600000000000E+04,2.57600000000000E+04,2.58000000000000E+04,2.58500000000000E+04,2.58600000000000E+04,2.58800000000000E+04,2.59700000000000E+04,2.60300000000000E+04,2.60000000000000E+04,2.60000000000000E+04,2.49300000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.52000000000000E+04,2.56000000000000E+04,2.57000000000000E+04,2.59000000000000E+04,2.59000000000000E+04,2.59000000000000E+04,2.59000000000000E+04,2.59500000000000E+04,2.59500000000000E+04,2.60000000000000E+04,2.60000000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),LBR,Liberia,,2.68168604651162E+01,2.67960963455149E+01,2.67960963455149E+01,2.67649501661129E+01,2.67649501661129E+01,2.67338039867109E+01,2.67338039867109E+01,2.67130398671096E+01,2.67130398671096E+01,2.66922757475083E+01,2.66922757475083E+01,2.66922757475083E+01,2.66922757475083E+01,2.66922757475083E+01,2.66922757475083E+01,2.66922757475083E+01,2.67441860465116E+01,2.67441860465116E+01,2.67441860465116E+01,2.67441860465116E+01,2.67441860465116E+01,2.67857142857142E+01,2.68376245847176E+01,2.68480066445182E+01,2.68687707641196E+01,2.69622093023255E+01,2.70245016611295E+01,2.69933554817275E+01,2.69933554817275E+01,2.58824750830564E+01,2.59551495016611E+01,2.59551495016611E+01,2.59551495016611E+01,2.59551495016611E+01,2.59551495016611E+01,2.59551495016611E+01,2.61627906976744E+01,2.65780730897010E+01,2.66818936877076E+01,2.68895348837209E+01,2.68895348837209E+01,2.68895348837209E+01,2.68895348837209E+01,2.69414451827242E+01,2.69414451827242E+01,2.69933554817275E+01,2.69933554817275E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),LBR,Liberia,,3.78000000000000E+05,3.76000000000000E+05,3.76000000000000E+05,3.73000000000000E+05,3.73000000000000E+05,3.70000000000000E+05,3.70000000000000E+05,3.68000000000000E+05,3.68000000000000E+05,3.66000000000000E+05,3.66000000000000E+05,3.66000000000000E+05,3.66000000000000E+05,3.66000000000000E+05,3.66000000000000E+05,3.66000000000000E+05,3.71000000000000E+05,3.71000000000000E+05,3.71000000000000E+05,3.71000000000000E+05,3.71000000000000E+05,3.75000000000000E+05,3.80000000000000E+05,3.80000000000000E+05,3.80000000000000E+05,3.90000000000000E+05,3.90000000000000E+05,4.00000000000000E+05,4.00000000000000E+05,3.50000000000000E+05,3.50000000000000E+05,3.50000000000000E+05,3.50000000000000E+05,3.50000000000000E+05,3.50000000000000E+05,3.50000000000000E+05,3.70000000000000E+05,3.80000000000000E+05,3.80000000000000E+05,3.80000000000000E+05,3.80000000000000E+05,3.80000000000000E+05,3.80000000000000E+05,3.80000000000000E+05,3.80000000000000E+05,3.85000000000000E+05,3.85000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),LBR,Liberia,,3.46319394435801E-01,3.34126290851604E-01,3.24105799856048E-01,3.11881775903328E-01,3.02532104496048E-01,2.91078216650303E-01,2.82340372765600E-01,2.72498933699824E-01,2.64660806251748E-01,2.55927411713783E-01,2.49139922698552E-01,2.42750321345712E-01,2.36548409696675E-01,2.30298904066663E-01,2.23880733961789E-01,2.17423202382388E-01,2.13922490865048E-01,2.07445330327333E-01,2.00876710429995E-01,1.94254059176802E-01,1.87544895771039E-01,1.82943963532194E-01,1.79387015684562E-01,1.74690476059129E-01,1.71586766686700E-01,1.74333309194875E-01,1.73713263542173E-01,1.78827455200369E-01,1.80959774451737E-01,1.61522706862130E-01,1.66587656521002E-01,1.73384919475089E-01,1.79969960442602E-01,1.82987591350019E-01,1.79970330605497E-01,1.70468354498197E-01,1.66109377188603E-01,1.55776712939182E-01,1.43497270153247E-01,1.34540563448798E-01,1.28486463274849E-01,1.24310567052465E-01,1.21101951271124E-01,1.17842502255288E-01,1.13969615700454E-01,1.10918404388335E-01,1.06139991756920E-01,,,
