Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",LBY,Libya,,2.57000000000000E+03,2.70000000000000E+03,2.80000000000000E+03,3.00000000000000E+03,3.10000000000000E+03,3.20000000000000E+03,3.35000000000000E+03,3.50000000000000E+03,3.70000000000000E+03,3.85000000000000E+03,4.40000000000000E+03,6.00000000000000E+03,7.80000000000000E+03,1.09000000000000E+04,1.40000000000000E+04,1.48000000000000E+04,1.60000000000000E+04,2.00000000000000E+04,2.25000000000000E+04,2.32000000000000E+04,2.48000000000000E+04,2.60000000000000E+04,2.69000000000000E+04,2.70000000000000E+04,2.71000000000000E+04,2.72000000000000E+04,2.73200000000000E+04,2.92160000000000E+04,2.96960000000000E+04,3.32720000000000E+04,3.38770000000000E+04,3.44820000000000E+04,3.50870000000000E+04,3.56920000000000E+04,3.62970000000000E+04,3.69020000000000E+04,3.75070000000000E+04,3.81120000000000E+04,3.94500000000000E+04,3.97330000000000E+04,3.97500000000000E+04,3.97500000000000E+04,3.97500000000000E+04,3.97500000000000E+04,3.97500000000000E+04,3.97500000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",LBY,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,1.60000000000000E+01,,,,,,,,,,,,,,,,,,,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),LBY,Libya,,4.40000000000000E+03,4.00000000000000E+03,3.76100000000000E+03,3.79200000000000E+03,4.56600000000000E+03,6.78000000000000E+03,9.11700000000000E+03,1.02930000000000E+04,8.62200000000000E+03,1.24600000000000E+04,1.75000000000000E+04,1.66000000000000E+04,1.42000000000000E+04,2.19000000000000E+04,3.59000000000000E+04,4.34000000000000E+04,5.12000000000000E+04,3.69000000000000E+04,6.01400000000000E+04,5.31480000000000E+04,7.43300000000000E+04,8.66800000000000E+04,9.12620000000000E+04,7.99140000000000E+04,6.77000000000000E+04,7.87700000000000E+04,1.02090000000000E+05,8.79000000000000E+04,7.88000000000000E+04,7.76000000000000E+04,8.48000000000000E+04,8.61000000000000E+04,1.10900000000000E+05,7.45000000000000E+04,8.90000000000000E+04,6.24000000000000E+04,6.17000000000000E+04,5.05000000000000E+04,8.65000000000000E+04,5.50000000000000E+04,7.32000000000000E+04,1.20320000000000E+05,6.00220000000000E+04,9.03990000000000E+04,1.17474000000000E+05,7.37400000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),LBY,Libya,,2.58823529411764E+01,2.33918128654970E+01,2.19941520467836E+01,2.21107871720116E+01,2.66239067055393E+01,3.94186046511627E+01,5.30058139534883E+01,5.96695652173913E+01,4.99826086956521E+01,7.22318840579710E+01,1.01156069364161E+02,9.59537572254335E+01,8.18443804034582E+01,1.26224783861671E+02,2.06321839080459E+02,2.49425287356321E+02,2.93409742120343E+02,2.10857142857142E+02,3.43657142857142E+02,3.03183114660581E+02,4.22810011376564E+02,4.91104815864022E+02,5.14152112676056E+02,4.48955056179775E+02,3.78847229994404E+02,4.38830083565459E+02,5.67166666666666E+02,4.88333333333333E+02,4.36565096952908E+02,4.29916897506925E+02,4.68508287292817E+02,4.74380165289256E+02,6.11019283746556E+02,4.08219178082191E+02,4.75935828877005E+02,3.07692307692307E+02,3.04240631163708E+02,2.78236914600550E+02,4.76584022038567E+02,3.03030303030303E+02,4.03305785123966E+02,6.62920110192837E+02,3.30699724517906E+02,5.16565714285714E+02,6.71279999999999E+02,4.21371428571428E+02,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",LBY,Libya,,2.90000000000000E+05,3.00000000000000E+05,3.10000000000000E+05,3.20000000000000E+05,3.30000000000000E+05,3.40000000000000E+05,3.55000000000000E+05,3.70000000000000E+05,3.84000000000000E+05,4.00000000000000E+05,4.16000000000000E+05,4.34000000000000E+05,4.52000000000000E+05,4.70000000000000E+05,4.88000000000000E+05,5.04000000000000E+05,5.20000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,5.36000000000000E+05,9.01191000000000E+05,9.13600000000000E+05,,,
AG.LND.AGRI.HA,Agricultural land (hectares),LBY,Libya,,1.11700000000000E+07,1.13830000000000E+07,1.15850000000000E+07,1.17930000000000E+07,1.19950000000000E+07,1.22030000000000E+07,1.24050000000000E+07,1.26150000000000E+07,1.28200000000000E+07,1.30250000000000E+07,1.32350000000000E+07,1.34380000000000E+07,1.36450000000000E+07,1.38480000000000E+07,1.40550000000000E+07,1.42580000000000E+07,1.44650000000000E+07,1.46730000000000E+07,1.48750000000000E+07,1.50800000000000E+07,1.51850000000000E+07,1.52920000000000E+07,1.54050000000000E+07,1.54150000000000E+07,1.54270000000000E+07,1.54350000000000E+07,1.54400000000000E+07,1.54400000000000E+07,1.54450000000000E+07,1.54550000000000E+07,1.54600000000000E+07,1.54650000000000E+07,1.54650000000000E+07,1.54750000000000E+07,1.55150000000000E+07,1.56660000000000E+07,1.56660000000000E+07,1.54500000000000E+07,1.54500000000000E+07,1.54500000000000E+07,1.54500000000000E+07,1.54500000000000E+07,1.54500000000000E+07,1.55850000000000E+07,1.55850000000000E+07,1.55500000000000E+07,1.55500000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),LBY,Libya,,1.11700000000000E+05,1.13830000000000E+05,1.15850000000000E+05,1.17930000000000E+05,1.19950000000000E+05,1.22030000000000E+05,1.24050000000000E+05,1.26150000000000E+05,1.28200000000000E+05,1.30250000000000E+05,1.32350000000000E+05,1.34380000000000E+05,1.36450000000000E+05,1.38480000000000E+05,1.40550000000000E+05,1.42580000000000E+05,1.44650000000000E+05,1.46730000000000E+05,1.48750000000000E+05,1.50800000000000E+05,1.51850000000000E+05,1.52920000000000E+05,1.54050000000000E+05,1.54150000000000E+05,1.54270000000000E+05,1.54350000000000E+05,1.54400000000000E+05,1.54400000000000E+05,1.54450000000000E+05,1.54550000000000E+05,1.54600000000000E+05,1.54650000000000E+05,1.54650000000000E+05,1.54750000000000E+05,1.55150000000000E+05,1.56660000000000E+05,1.56660000000000E+05,1.54500000000000E+05,1.54500000000000E+05,1.54500000000000E+05,1.54500000000000E+05,1.54500000000000E+05,1.54500000000000E+05,1.55850000000000E+05,1.55850000000000E+05,1.55500000000000E+05,1.55500000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),LBY,Libya,,6.34825011082442E+00,6.46930447730656E+00,6.58410720983893E+00,6.70231992452572E+00,6.81712265705809E+00,6.93533537174488E+00,7.05013810427725E+00,7.16948747968218E+00,7.28599520329176E+00,7.40250292690134E+00,7.52185230230628E+00,7.63722336519772E+00,7.75486774952544E+00,7.87023881241688E+00,7.98788319674460E+00,8.10325425963604E+00,8.22089864396376E+00,8.33911135865055E+00,8.45391409118292E+00,8.57042181479250E+00,8.63009650249497E+00,8.69090785091558E+00,8.75512918149061E+00,8.76081248508132E+00,8.76763244939018E+00,8.77217909226275E+00,8.77502074405810E+00,8.77502074405810E+00,8.77786239585346E+00,8.78354569944417E+00,8.78638735123952E+00,8.78922900303488E+00,8.78922900303488E+00,8.79491230662559E+00,8.81764552098844E+00,8.90346340520818E+00,8.90346340520818E+00,8.78070404764881E+00,8.78070404764881E+00,8.78070404764881E+00,8.78070404764881E+00,8.78070404764881E+00,8.78070404764881E+00,8.85742864612341E+00,8.85742864612341E+00,8.83753708355592E+00,8.83753708355592E+00,,,
AG.LND.ARBL.HA,Arable land (hectares),LBY,Libya,,1.70000000000000E+06,1.71000000000000E+06,1.71000000000000E+06,1.71500000000000E+06,1.71500000000000E+06,1.72000000000000E+06,1.72000000000000E+06,1.72500000000000E+06,1.72500000000000E+06,1.72500000000000E+06,1.73000000000000E+06,1.73000000000000E+06,1.73500000000000E+06,1.73500000000000E+06,1.74000000000000E+06,1.74000000000000E+06,1.74500000000000E+06,1.75000000000000E+06,1.75000000000000E+06,1.75300000000000E+06,1.75800000000000E+06,1.76500000000000E+06,1.77500000000000E+06,1.78000000000000E+06,1.78700000000000E+06,1.79500000000000E+06,1.80000000000000E+06,1.80000000000000E+06,1.80500000000000E+06,1.80500000000000E+06,1.81000000000000E+06,1.81500000000000E+06,1.81500000000000E+06,1.82500000000000E+06,1.87000000000000E+06,2.02800000000000E+06,2.02800000000000E+06,1.81500000000000E+06,1.81500000000000E+06,1.81500000000000E+06,1.81500000000000E+06,1.81500000000000E+06,1.81500000000000E+06,1.75000000000000E+06,1.75000000000000E+06,1.75000000000000E+06,1.75000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),LBY,Libya,,1.21467441009694E+00,1.17833841879387E+00,1.13635532967263E+00,1.09813131985780E+00,1.05668775523784E+00,1.01843244299442E+00,9.77754938230900E-01,9.40766607530168E-01,9.02211752497949E-01,8.65095285857572E-01,8.31771957938301E-01,7.97247881878279E-01,7.66248667345617E-01,7.34267214016674E-01,7.05596107055961E-01,6.76416655555032E-01,6.50599408979837E-01,6.25406067225076E-01,5.98407415601472E-01,5.72314724126673E-01,5.46697378744667E-01,5.22246209054713E-01,5.00453791762164E-01,4.80287179354342E-01,4.64179836827929E-01,4.51590731496478E-01,4.40784194262410E-01,4.30574625758887E-01,4.22507056218952E-01,4.13633355393778E-01,4.06151421328020E-01,3.98973966454093E-01,3.90949866010818E-01,3.85272499544534E-01,3.86955902753636E-01,4.11341170991766E-01,4.03154465015217E-01,3.53593493723861E-01,3.46495848349744E-01,3.39527639420524E-01,3.32687449214756E-01,3.25973106051353E-01,3.19393353239546E-01,3.01750983363347E-01,2.95697166900098E-01,2.89800208424309E-01,2.84252991668592E-01,,,
