Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",MDG,Madagascar,,9.39000000000000E+02,1.10000000000000E+03,1.30000000000000E+03,1.50000000000000E+03,1.70000000000000E+03,1.90000000000000E+03,2.10000000000000E+03,2.30000000000000E+03,2.41000000000000E+03,2.40500000000000E+03,2.26000000000000E+03,2.28100000000000E+03,1.92200000000000E+03,1.56300000000000E+03,1.55000000000000E+03,1.51000000000000E+03,1.41100000000000E+03,1.60000000000000E+03,1.95000000000000E+03,1.89400000000000E+03,1.83800000000000E+03,1.78200000000000E+03,1.72600000000000E+03,1.67000000000000E+03,1.61400000000000E+03,1.55800000000000E+03,1.50200000000000E+03,1.44600000000000E+03,1.39000000000000E+03,1.33400000000000E+03,1.27800000000000E+03,1.22200000000000E+03,1.16600000000000E+03,1.11000000000000E+03,1.05400000000000E+03,9.98000000000000E+02,9.42000000000000E+02,8.86000000000000E+02,8.30000000000000E+02,7.74000000000000E+02,7.18000000000000E+02,6.62000000000000E+02,6.06000000000000E+02,5.50000000000000E+02,5.50000000000000E+02,5.50000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",MDG,Madagascar,,,,,,,,,,,9.30000000000000E+03,1.50000000000000E+03,3.70000000000000E+03,6.43000000000000E+04,6.70000000000000E+03,1.10000000000000E+03,1.58100000000000E+04,6.20000000000000E+03,8.56400000000000E+03,1.36000000000000E+04,2.68510000000000E+04,8.71500000000000E+04,1.41140000000000E+05,7.40250000000000E+04,9.81000000000000E+04,6.45980000000000E+04,1.51483000000000E+05,8.08150000000000E+04,9.94530000000000E+04,2.10730000000000E+04,3.79710000000000E+04,4.23120000000000E+04,5.26250000000000E+04,3.42420000000000E+04,1.93770000000000E+04,2.50090000000000E+04,3.39580000000000E+04,8.65600000000000E+03,1.80570000000000E+04,8.25300000000000E+03,3.60930000000000E+04,2.48890000000000E+04,4.82450000000000E+04,3.13180000000000E+04,2.93980000000000E+04,3.58550000000000E+04,3.66270000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),MDG,Madagascar,,1.48800000000000E+03,1.72600000000000E+03,3.87100000000000E+03,4.29500000000000E+03,5.40100000000000E+03,6.25000000000000E+03,7.70000000000000E+03,6.68100000000000E+03,1.29000000000000E+04,1.44000000000000E+04,1.26660000000000E+04,1.35290000000000E+04,8.90000000000000E+03,8.65800000000000E+03,5.94700000000000E+03,8.82000000000000E+03,7.80600000000000E+03,1.07830000000000E+04,7.40000000000000E+03,8.80000000000000E+03,7.00000000000000E+03,1.56000000000000E+04,1.40000000000000E+04,6.60000000000000E+03,9.70000000000000E+03,1.08460000000000E+04,6.27200000000000E+03,1.07220000000000E+04,6.21900000000000E+03,1.08550000000000E+04,9.47200000000000E+03,7.69700000000000E+03,1.10830000000000E+04,1.12660000000000E+04,1.25460000000000E+04,1.66690000000000E+04,9.50000000000000E+03,8.67700000000000E+03,7.87400000000000E+03,9.11100000000000E+03,9.05100000000000E+03,6.17900000000000E+03,6.33800000000000E+03,6.44500000000000E+03,1.58490000000000E+04,7.52400000000000E+03,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),MDG,Madagascar,,7.72987012987012E+00,8.89690721649484E+00,1.98005115089514E+01,2.18020304568527E+01,2.72090680100755E+01,3.12500000000000E+01,3.82133995037220E+01,3.29113300492610E+01,6.29268292682926E+01,6.99029126213592E+01,6.11884057971014E+01,6.47320574162679E+01,4.23809523809523E+01,4.07627118644067E+01,2.59015679442508E+01,3.85321100917431E+01,3.19525173966434E+01,4.31319999999999E+01,2.93650793650793E+01,3.46456692913385E+01,2.73437500000000E+01,6.07003891050583E+01,5.38461538461538E+01,2.51908396946564E+01,3.66037735849056E+01,4.06217228464419E+01,2.34029850746268E+01,3.97111111111111E+01,2.29483394833948E+01,3.99080882352941E+01,3.44436363636363E+01,2.76870503597122E+01,3.82172413793103E+01,3.88482758620689E+01,4.32620689655172E+01,5.74793103448275E+01,3.27586206896551E+01,2.99206896551724E+01,2.71517241379310E+01,3.14172413793103E+01,3.06813559322033E+01,2.09457627118644E+01,2.14847457627118E+01,2.18474576271186E+01,5.37254237288135E+01,2.55050847457627E+01,,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",MDG,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37810000000000E+02,2.87019999999999E+02,2.88430000000000E+02,2.16800000000000E+02,1.78639999999999E+02,2.08310000000000E+02,1.35340000000000E+02,9.92399999999999E+01,9.86700000000000E+01,1.43780000000000E+02,1.39030000000000E+02,1.35389999999999E+02,1.09660000000000E+02,8.30699999999999E+01,8.44800000000000E+01,,,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",MDG,Madagascar,,,,,,,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.80000000000000E+04,1.50000000000000E+04,2.40000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,4.00000000000000E+04,6.00000000000000E+04,8.00000000000000E+04,1.00000000000000E+05,1.10000000000000E+05,1.30000000000000E+05,1.40000000000000E+05,1.60000000000000E+05,1.70000000000000E+05,2.25000000000000E+05,2.40000000000000E+05,2.40000000000000E+05,2.40000000000000E+05,2.45000000000000E+05,4.32000000000000E+05,6.20000000000000E+05,5.35000000000000E+05,5.52000000000000E+05,6.65000000000000E+05,7.62000000000000E+05,8.46000000000000E+05,6.89000000000000E+05,5.40000000000000E+05,6.20000000000000E+05,9.73000000000000E+05,9.16000000000000E+05,9.25000000000000E+05,6.79000000000000E+05,7.76199400000000E+05,8.46057300000000E+05,9.42499099999999E+05,1.00911970000000E+06,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",MDG,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19870000000000E+02,1.87770000000000E+02,2.45590000000000E+02,2.11259999999999E+02,1.69960000000000E+02,1.79259999999999E+02,1.68539999999999E+02,1.96639999999999E+02,1.75050000000000E+02,1.90620000000000E+02,1.63620000000000E+02,1.56470000000000E+02,1.63449999999999E+02,1.23810000000000E+02,1.25910000000000E+02,,,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",MDG,Madagascar,,,,,,,1.31900000000000E+04,1.33200000000000E+04,1.34600000000000E+04,1.34200000000000E+04,1.34200000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.55000000000000E+04,2.60000000000000E+04,2.85000000000000E+04,3.00000000000000E+04,3.10000000000000E+04,3.50000000000000E+04,3.65000000000000E+04,4.25000000000000E+04,4.70000000000000E+04,6.00000000000000E+04,6.50000000000000E+04,7.25000000000000E+04,8.30000000000000E+04,1.00000000000000E+05,1.27500000000000E+05,1.80000000000000E+05,2.50000000000000E+05,2.10000000000000E+05,2.20000000000000E+05,3.50000000000000E+05,4.70000000000000E+05,6.48000000000000E+05,7.25000000000000E+05,7.28000000000000E+05,8.58000000000000E+05,1.07000000000000E+06,1.10000000000000E+06,1.29000000000000E+06,1.07800000000000E+06,1.06900000000000E+06,1.01200000000000E+06,1.15686860000000E+06,1.26098680000000E+06,1.40472620000000E+06,1.49999280000000E+06,,,
AG.CRP.SGM.CD,"Producer Price for Sorghum (per tonne, current US$)",MDG,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25700000000000E+02,1.06800000000000E+02,1.07330000000000E+02,8.06700000000000E+01,6.64699999999999E+01,7.75100000000000E+01,5.03599999999999E+01,3.69300000000000E+01,3.67100000000000E+01,5.35000000000000E+01,5.17299999999999E+01,5.03800000000000E+01,5.63599999999999E+01,4.26899999999999E+01,4.34099999999999E+01,,,,,
AG.CRP.SGM.CN,"Producer Price for Sorghum (per tonne, current LCU)",MDG,Madagascar,,,,,,,8.00000000000000E+03,8.00000000000000E+03,8.00000000000000E+03,8.00000000000000E+03,8.00000000000000E+03,8.00000000000000E+03,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.73000000000000E+04,1.80000000000000E+04,2.00000000000000E+04,2.10000000000000E+04,3.60000000000000E+04,4.00000000000000E+04,5.05000000000000E+04,5.47000000000000E+04,6.10000000000000E+04,7.00000000000000E+04,8.40000000000000E+04,1.07000000000000E+05,1.51500000000000E+05,2.10000000000000E+05,2.10000000000000E+05,2.30700000000000E+05,1.99072000000000E+05,2.05397000000000E+05,2.47444000000000E+05,2.83538000000000E+05,3.14794000000000E+05,2.56375000000000E+05,2.00932000000000E+05,2.30700000000000E+05,3.62050000000000E+05,3.40841000000000E+05,3.44190000000000E+05,3.48941000000000E+05,3.98892200000000E+05,4.34792500000000E+05,4.84354299999999E+05,5.30668500000000E+05,,,
AG.CRP.WHT.CD,"Producer Price for Wheat (per tonne, current US$)",MDG,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44639999999999E+02,2.51680000000000E+02,3.29170000000000E+02,2.83160000000000E+02,2.27810000000000E+02,2.40259999999999E+02,2.25889999999999E+02,2.20530000000000E+02,1.98930000000000E+02,1.84710000000000E+02,1.58550000000000E+02,1.51620000000000E+02,1.69610000000000E+02,1.28470000000000E+02,1.30660000000000E+02,,,,,
AG.CRP.WHT.CN,"Producer Price for Wheat (per tonne, current LCU)",MDG,Madagascar,,,,,,,1.00000000000000E+04,2.00000000000000E+04,3.00000000000000E+04,4.00000000000000E+04,5.00000000000000E+04,6.00000000000000E+04,7.00000000000000E+04,8.00000000000000E+04,9.00000000000000E+04,1.00000000000000E+05,1.10000000000000E+05,1.20000000000000E+05,1.20000000000000E+05,1.30000000000000E+05,1.40000000000000E+05,1.40000000000000E+05,1.50000000000000E+05,1.60000000000000E+05,1.90000000000000E+05,1.90000000000000E+05,2.30000000000000E+05,2.80000000000000E+05,3.25000000000000E+05,4.70000000000000E+05,4.59500000000000E+05,4.49000000000000E+05,4.69114000000000E+05,6.29953000000000E+05,8.68531000000000E+05,9.71737000000000E+05,9.75758000000000E+05,1.15000000000000E+06,1.20000000000000E+06,1.25000000000000E+06,1.25000000000000E+06,1.04457400000000E+06,1.03585300000000E+06,1.05015000000000E+06,1.20047980000000E+06,1.30852300000000E+06,1.45768110000000E+06,1.54256789999999E+06,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",MDG,Madagascar,,2.17787600000000E+06,2.23928600000000E+06,2.30242800000000E+06,2.36735000000000E+06,2.43410300000000E+06,2.50273800000000E+06,2.57330900000000E+06,2.64586900000000E+06,2.72047500000000E+06,2.79718500000000E+06,2.82297800000000E+06,2.88177100000000E+06,2.95189400000000E+06,2.99876600000000E+06,3.05625100000000E+06,3.14561500000000E+06,3.20955500000000E+06,3.30821800000000E+06,3.44242600000000E+06,3.69390400000000E+06,4.01937600000000E+06,4.29871500000000E+06,4.56467900000000E+06,4.83474200000000E+06,5.11666900000000E+06,5.39678200000000E+06,5.69098800000000E+06,5.97318300000000E+06,6.25908100000000E+06,7.37900000000000E+06,7.73600000000000E+06,8.10900000000000E+06,8.49700000000000E+06,8.90000000000000E+06,9.32100000000000E+06,9.76000000000000E+06,8.83659400000000E+06,9.07737900000000E+06,9.35707700000000E+06,9.63745800000000E+06,9.91954200000000E+06,1.02022980000000E+07,1.04857370000000E+07,1.07698700000000E+07,1.10546930000000E+07,1.31000000000000E+07,1.31000000000000E+07,,,
AG.LND.AGRI.HA,Agricultural land (hectares),MDG,Madagascar,,3.51450000000000E+07,3.51700000000000E+07,3.51950000000000E+07,3.52200000000000E+07,3.52450000000000E+07,3.52700000000000E+07,3.52950000000000E+07,3.53200000000000E+07,3.53500000000000E+07,3.53700000000000E+07,3.53900000000000E+07,3.54200000000000E+07,3.54400000000000E+07,3.54750000000000E+07,3.57590000000000E+07,3.57640000000000E+07,3.59290000000000E+07,3.60000000000000E+07,3.60200000000000E+07,3.60400000000000E+07,3.60750000000000E+07,3.61000000000000E+07,3.61350000000000E+07,3.61600000000000E+07,3.61950000000000E+07,3.62200000000000E+07,3.62400000000000E+07,3.62700000000000E+07,3.62950000000000E+07,3.63250000000000E+07,3.63500000000000E+07,3.63700000000000E+07,3.64900000000000E+07,3.64800000000000E+07,3.64800000000000E+07,3.65960000000000E+07,3.74900000000000E+07,3.84900000000000E+07,3.95000000000000E+07,4.05000000000000E+07,4.08430000000000E+07,4.08430000000000E+07,4.08430000000000E+07,4.08430000000000E+07,4.08430000000000E+07,4.08430000000000E+07,4.08430000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),MDG,Madagascar,,3.51450000000000E+05,3.51700000000000E+05,3.51950000000000E+05,3.52200000000000E+05,3.52450000000000E+05,3.52700000000000E+05,3.52950000000000E+05,3.53200000000000E+05,3.53500000000000E+05,3.53700000000000E+05,3.53900000000000E+05,3.54200000000000E+05,3.54400000000000E+05,3.54750000000000E+05,3.57590000000000E+05,3.57640000000000E+05,3.59290000000000E+05,3.60000000000000E+05,3.60200000000000E+05,3.60400000000000E+05,3.60750000000000E+05,3.61000000000000E+05,3.61350000000000E+05,3.61600000000000E+05,3.61950000000000E+05,3.62200000000000E+05,3.62400000000000E+05,3.62700000000000E+05,3.62950000000000E+05,3.63250000000000E+05,3.63500000000000E+05,3.63700000000000E+05,3.64900000000000E+05,3.64800000000000E+05,3.64800000000000E+05,3.65960000000000E+05,3.74900000000000E+05,3.84900000000000E+05,3.95000000000000E+05,4.05000000000000E+05,4.08430000000000E+05,4.08430000000000E+05,4.08430000000000E+05,4.08430000000000E+05,4.08430000000000E+05,4.08430000000000E+05,4.08430000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),MDG,Madagascar,,6.04343639302541E+01,6.04773532345152E+01,6.05203425387763E+01,6.05633318430374E+01,6.06063211472985E+01,6.06493104515596E+01,6.06922997558207E+01,6.07352890600818E+01,6.07868762251951E+01,6.08212676686040E+01,6.08556591120129E+01,6.09072462771262E+01,6.09416377205351E+01,6.10018227465006E+01,6.14901812429067E+01,6.14987791037589E+01,6.17825085118822E+01,6.19045981359837E+01,6.19389895793926E+01,6.19733810228015E+01,6.20335660487670E+01,6.20765553530281E+01,6.21367403789937E+01,6.21797296832548E+01,6.22399147092203E+01,6.22829040134814E+01,6.23172954568903E+01,6.23688826220036E+01,6.24118719262647E+01,6.24634590913780E+01,6.25064483956391E+01,6.25408398390480E+01,6.27471884995013E+01,6.27299927777968E+01,6.27299927777968E+01,6.29294631495683E+01,6.44667606699453E+01,6.61863328403893E+01,6.79231007325377E+01,6.96426729029817E+01,7.02324861574440E+01,7.02324861574440E+01,7.02324861574440E+01,7.02324861574440E+01,7.02324861574440E+01,7.02324861574440E+01,7.02324861574440E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),MDG,Madagascar,,1.92500000000000E+06,1.94000000000000E+06,1.95500000000000E+06,1.97000000000000E+06,1.98500000000000E+06,2.00000000000000E+06,2.01500000000000E+06,2.03000000000000E+06,2.05000000000000E+06,2.06000000000000E+06,2.07000000000000E+06,2.09000000000000E+06,2.10000000000000E+06,2.12400000000000E+06,2.29600000000000E+06,2.28900000000000E+06,2.44300000000000E+06,2.50000000000000E+06,2.52000000000000E+06,2.54000000000000E+06,2.56000000000000E+06,2.57000000000000E+06,2.60000000000000E+06,2.62000000000000E+06,2.65000000000000E+06,2.67000000000000E+06,2.68000000000000E+06,2.70000000000000E+06,2.71000000000000E+06,2.72000000000000E+06,2.75000000000000E+06,2.78000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.90000000000000E+06,2.95000000000000E+06,2.95000000000000E+06,2.95000000000000E+06,2.95000000000000E+06,2.95000000000000E+06,2.95000000000000E+06,2.95000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),MDG,Madagascar,,3.68354924991456E-01,3.62385640711822E-01,3.56406994546517E-01,3.50430860969491E-01,3.44464063374446E-01,3.38518706459089E-01,3.32591508468373E-01,3.26659397556394E-01,3.21478764680994E-01,3.14687007871910E-01,3.07910946204387E-01,3.02625442227717E-01,2.95911267201956E-01,2.91191937438152E-01,3.06200697486780E-01,2.96885311219852E-01,3.08109005258158E-01,3.06638828767235E-01,3.00765340375061E-01,2.95203089265462E-01,2.89956287956948E-01,2.83841625208670E-01,2.80039877678581E-01,2.75082540511153E-01,2.71003707739784E-01,2.65727272654892E-01,2.59381831154429E-01,2.53960347007655E-01,2.47594586613885E-01,2.41284506456533E-01,2.36767739801380E-01,2.32231046166613E-01,2.34990146214920E-01,2.27904358128594E-01,2.21013490129956E-01,2.14321351809016E-01,2.07837881865377E-01,2.01585518763649E-01,1.95586186300698E-01,1.89848201306129E-01,1.87545479778846E-01,1.82213537465203E-01,1.77105622250998E-01,1.72199253565852E-01,1.67477931660033E-01,1.62934464058010E-01,1.58564938926966E-01,,,
AG.LND.ARBL.ZS,Arable land (% of land area),MDG,Madagascar,,3.31017642810468E+00,3.33597001066134E+00,3.36176359321800E+00,3.38755717577466E+00,3.41335075833132E+00,3.43914434088798E+00,3.46493792344464E+00,3.49073150600130E+00,3.52512294941018E+00,3.54231867111462E+00,3.55951439281906E+00,3.59390583622794E+00,3.61110155793238E+00,3.65237129002304E+00,3.94813770333940E+00,3.93610069814630E+00,4.20091481239467E+00,4.29893042610998E+00,4.33332186951886E+00,4.36771331292774E+00,4.40210475633662E+00,4.41930047804106E+00,4.47088764315438E+00,4.50527908656326E+00,4.55686625167658E+00,4.59125769508546E+00,4.60845341678990E+00,4.64284486019878E+00,4.66004058190322E+00,4.67723630360766E+00,4.72882346872098E+00,4.78041063383430E+00,4.98675929428758E+00,4.98675929428758E+00,4.98675929428758E+00,4.98675929428758E+00,4.98675929428758E+00,4.98675929428758E+00,4.98675929428758E+00,4.98675929428758E+00,5.07273790280978E+00,5.07273790280978E+00,5.07273790280978E+00,5.07273790280978E+00,5.07273790280978E+00,5.07273790280978E+00,5.07273790280978E+00,,,
AG.LND.CERE.ZS,Cereal cropland (% of land area),MDG,Madagascar,,1.52698008735426E+00,1.61811741238779E+00,1.63359356192179E+00,1.69873955359906E+00,1.68973759328679E+00,1.89452144306496E+00,1.93006499982804E+00,1.97885786016439E+00,1.93290229390927E+00,1.90366956701172E+00,1.92716752072084E+00,1.94439763386869E+00,1.99602778828627E+00,2.02723802317983E+00,2.04715926677442E+00,2.02825944904907E+00,2.22058499845238E+00,2.16197510059497E+00,2.20377274134195E+00,2.28812291501874E+00,2.26253912026687E+00,2.24911442033222E+00,2.26762561474705E+00,2.24389551879492E+00,2.28018708945214E+00,2.30126044640093E+00,2.13317054716786E+00,2.17629053891391E+00,2.23749011246001E+00,2.28168311724043E+00,2.22856553289541E+00,2.30422670839495E+00,2.43474223613165E+00,2.24748082677029E+00,2.30911029335901E+00,2.30005674588162E+00,2.35718953124462E+00,2.39364446125803E+00,2.41513911338858E+00,2.42018605770884E+00,2.42824225332737E+00,2.43598892595522E+00,2.44375279430477E+00,2.47766275750593E+00,2.59489974894246E+00,2.79808783574646E+00,2.81407985693159E+00,,,
AG.LND.CREL.HA,Area under cereal production (hectares),MDG,Madagascar,,8.88000000000000E+05,9.41000000000000E+05,9.50000000000000E+05,9.87885000000000E+05,9.82650000000000E+05,1.10174000000000E+06,1.12241000000000E+06,1.15078500000000E+06,1.12406000000000E+06,1.10706000000000E+06,1.12072500000000E+06,1.13074500000000E+06,1.16077000000000E+06,1.17892000000000E+06,1.19050500000000E+06,1.17951400000000E+06,1.29135900000000E+06,1.25727500000000E+06,1.28158200000000E+06,1.33063500000000E+06,1.31575700000000E+06,1.30795000000000E+06,1.31871500000000E+06,1.30491500000000E+06,1.32602000000000E+06,1.33827500000000E+06,1.24052400000000E+06,1.26560000000000E+06,1.30119000000000E+06,1.32689000000000E+06,1.29600000000000E+06,1.34000000000000E+06,1.41590000000000E+06,1.30700000000000E+06,1.34284000000000E+06,1.33757500000000E+06,1.37080000000000E+06,1.39200000000000E+06,1.40450000000000E+06,1.40743500000000E+06,1.41212000000000E+06,1.41662500000000E+06,1.42114000000000E+06,1.44086000000000E+06,1.50903800000000E+06,1.62720000000000E+06,1.63650000000000E+06,,,
AG.LND.CROP.HA,Permanent cropland (hectares),MDG,Madagascar,,2.20000000000000E+05,2.30000000000000E+05,2.40000000000000E+05,2.50000000000000E+05,2.60000000000000E+05,2.70000000000000E+05,2.80000000000000E+05,2.90000000000000E+05,3.00000000000000E+05,3.10000000000000E+05,3.20000000000000E+05,3.30000000000000E+05,3.40000000000000E+05,3.51000000000000E+05,4.63000000000000E+05,4.75000000000000E+05,4.86000000000000E+05,5.00000000000000E+05,5.00000000000000E+05,5.00000000000000E+05,5.15000000000000E+05,5.30000000000000E+05,5.35000000000000E+05,5.40000000000000E+05,5.45000000000000E+05,5.50000000000000E+05,5.60000000000000E+05,5.70000000000000E+05,5.85000000000000E+05,6.05000000000000E+05,6.00000000000000E+05,5.90000000000000E+05,5.90000000000000E+05,5.80000000000000E+05,5.80000000000000E+05,5.80000000000000E+05,5.90000000000000E+05,5.90000000000000E+05,6.00000000000000E+05,6.00000000000000E+05,6.00000000000000E+05,6.00000000000000E+05,6.00000000000000E+05,6.00000000000000E+05,6.00000000000000E+05,6.00000000000000E+05,6.00000000000000E+05,,,
