Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",MWI,Malawi,,1.98000000000000E+02,2.00000000000000E+02,2.10000000000000E+02,2.15000000000000E+02,3.50000000000000E+02,4.50000000000000E+02,5.50000000000000E+02,6.92000000000000E+02,8.00000000000000E+02,8.50000000000000E+02,8.80000000000000E+02,9.00000000000000E+02,9.30000000000000E+02,9.50000000000000E+02,9.70000000000000E+02,1.00000000000000E+03,1.05000000000000E+03,1.10000000000000E+03,1.15000000000000E+03,1.20000000000000E+03,1.25000000000000E+03,1.25000000000000E+03,1.28000000000000E+03,1.30000000000000E+03,1.33000000000000E+03,1.35000000000000E+03,1.37000000000000E+03,1.38000000000000E+03,1.39000000000000E+03,1.40000000000000E+03,1.41000000000000E+03,1.42000000000000E+03,1.42000000000000E+03,1.42000000000000E+03,1.42000000000000E+03,1.42000000000000E+03,1.42000000000000E+03,1.42000000000000E+03,1.42000000000000E+03,1.43000000000000E+03,1.43000000000000E+03,1.43000000000000E+03,1.43000000000000E+03,1.43000000000000E+03,1.43000000000000E+03,1.43000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",MWI,Malawi,,,,,,,,,,,5.00000000000000E+02,2.00000000000000E+02,3.00000000000000E+02,1.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,8.00000000000000E+02,3.20000000000000E+03,2.17200000000000E+03,4.71700000000000E+03,1.66340000000000E+04,2.01000000000000E+03,2.71000000000000E+03,3.82300000000000E+03,5.37100000000000E+03,5.13500000000000E+03,1.04360000000000E+04,1.10252000000000E+05,2.08213000000000E+05,1.36368000000000E+05,1.65972000000000E+05,2.34113000000000E+05,5.61527000000000E+05,2.82600000000000E+04,2.91112000000000E+05,1.02099000000000E+05,1.18440000000000E+04,2.14470000000000E+04,7.37380000000000E+04,2.79290000000000E+04,1.64760000000000E+04,4.84500000000000E+04,1.56604000000000E+05,2.27170000000000E+04,1.20241000000000E+05,9.53680000000000E+04,5.16290000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),MWI,Malawi,,4.47000000000000E+03,3.88000000000000E+03,4.15000000000000E+03,4.85000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,6.00000000000000E+03,7.00000000000000E+03,7.08800000000000E+03,1.09990000000000E+04,1.50620000000000E+04,1.33430000000000E+04,1.63920000000000E+04,1.06300000000000E+04,1.50210000000000E+04,2.68980000000000E+04,2.34920000000000E+04,2.88700000000000E+04,2.52440000000000E+04,3.32640000000000E+04,3.41560000000000E+04,3.23000000000000E+04,4.30010000000000E+04,4.47740000000000E+04,2.92670000000000E+04,3.74790000000000E+04,4.84030000000000E+04,5.12260000000000E+04,5.48000000000000E+04,4.80000000000000E+04,7.00000000000000E+04,7.38000000000000E+04,7.40000000000000E+04,2.12830000000000E+04,4.35190000000000E+04,5.82000000000000E+04,5.68000000000000E+04,5.02000000000000E+04,5.01000000000000E+04,4.97910000000000E+04,2.74820000000000E+04,4.84440000000000E+04,5.19060000000000E+04,3.69360000000000E+04,9.17390000000000E+04,5.48570000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),MWI,Malawi,,3.43846153846153E+01,2.77142857142857E+01,2.86206896551724E+01,3.23333333333333E+01,2.94117647058823E+01,2.85714285714285E+01,3.52941176470588E+01,3.88888888888888E+01,3.83135135135135E+01,6.11055555555555E+01,7.72410256410256E+01,6.67150000000000E+01,7.99609756097561E+01,5.18536585365853E+01,7.51050000000000E+01,1.34490000000000E+02,1.17459999999999E+02,1.40829268292682E+02,1.23141463414634E+02,1.75073684210526E+02,1.70780000000000E+02,1.53809523809523E+02,2.15005000000000E+02,2.18409756097560E+02,1.42765853658536E+02,1.74320930232558E+02,2.25130232558139E+02,2.38260465116279E+02,2.49090909090909E+02,2.13333333333333E+02,2.97872340425531E+02,3.20869565217391E+02,3.21739130434782E+02,1.01347619047619E+02,1.89213043478260E+02,2.42500000000000E+02,2.31836734693877E+02,1.93076923076923E+02,1.85555555555555E+02,1.81058181818181E+02,9.64280701754385E+01,1.69978947368421E+02,1.82126315789473E+02,1.23120000000000E+02,3.05796666666666E+02,1.82856666666666E+02,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33160000000000E+02,1.13950000000000E+02,1.35030000000000E+02,7.43799999999999E+01,6.51400000000000E+01,7.44690000000000E+02,4.53519999999999E+02,3.97279999999999E+02,1.25440000000000E+02,5.18620000000000E+02,5.22159999999999E+02,7.20320000000000E+02,5.64200000000000E+02,6.48169999999999E+02,6.42700000000000E+02,6.62889999999999E+02,7.85230000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73300000000000E+02,4.10600000000000E+02,5.94500000000000E+02,6.49799999999999E+02,9.95500000000000E+02,1.14000000000000E+04,7.45780000000000E+03,1.23444000000000E+04,5.53039999999999E+03,3.08805000000000E+04,3.76984000000000E+04,5.52389000000000E+04,5.49709000000000E+04,7.05793000000000E+04,7.61078999999999E+04,9.00000000000000E+04,1.09814700000000E+05,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.63199999999999E+01,8.24300000000000E+01,9.76700000000000E+01,5.37999999999999E+01,4.71099999999999E+01,1.71150000000000E+02,1.96419999999999E+02,2.26240000000000E+02,1.85990000000000E+02,1.11849999999999E+02,1.56380000000000E+02,2.79709999999999E+02,1.28710000000000E+02,1.44460000000000E+02,1.84680000000000E+02,2.04610000000000E+02,2.29289999999999E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",MWI,Malawi,,,,,,,2.93900000000000E+01,3.26300000000000E+01,2.95599999999999E+01,2.00000000000000E+01,2.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,4.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,6.60000000000000E+01,6.60000000000000E+01,1.11000000000000E+02,1.11000000000000E+02,1.22000000000000E+02,1.22000000000000E+02,1.22000000000000E+02,1.22000000000000E+02,1.74000000000000E+02,2.40000000000000E+02,2.60000000000000E+02,2.70000000000000E+02,2.97000000000000E+02,4.30000000000000E+02,4.70000000000000E+02,7.20000000000000E+02,2.62000000000000E+03,3.23000000000000E+03,7.03000000000000E+03,8.20000000000000E+03,6.66000000000000E+03,1.12900000000000E+04,2.14500000000000E+04,1.25400000000000E+04,1.57300000000000E+04,2.18700000000000E+04,2.77800000000000E+04,3.20670000000000E+04,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39120000000000E+02,1.30440000000000E+02,2.04419999999999E+02,1.71699999999999E+02,1.17770000000000E+02,9.69360000000000E+02,8.54409999999999E+02,7.29159999999999E+02,7.27519999999999E+02,5.94399999999999E+02,6.32830000000000E+02,6.48350000000000E+02,4.72819999999999E+02,5.83409999999999E+02,7.18490000000000E+02,7.55470000000000E+02,8.42120000000000E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",MWI,Malawi,,,,,,,4.14500000000000E+01,4.18900000000000E+01,4.07899999999999E+01,4.00000000000000E+01,4.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,9.00000000000000E+01,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,9.90000000000000E+01,1.14000000000000E+02,1.47000000000000E+02,1.67000000000000E+02,1.87000000000000E+02,2.20000000000000E+02,2.88000000000000E+02,3.36000000000000E+02,3.70000000000000E+02,3.90000000000000E+02,4.70000000000000E+02,9.00000000000000E+02,1.50000000000000E+03,1.80000000000000E+03,1.48394000000000E+04,1.40500000000000E+04,2.26567999999999E+04,3.20752000000000E+04,3.53929000000000E+04,4.56886999999999E+04,4.97200000000000E+04,4.60681999999999E+04,6.35270000000000E+04,8.50838999999999E+04,1.02570500000000E+05,1.17770899999999E+05,,,
AG.CRP.SGM.CD,"Producer Price for Sorghum (per tonne, current US$)",MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76580000000000E+02,1.79840000000000E+02,1.63530000000000E+02,9.15699999999999E+01,7.19699999999999E+01,6.31019999999999E+02,6.19059999999999E+02,7.27649999999999E+02,6.26929999999999E+02,5.00639999999999E+02,4.11230000000000E+02,5.19000000000000E+02,5.65519999999999E+02,5.07850000000000E+02,5.14440000000000E+02,5.35909999999999E+02,5.95080000000000E+02,,,
AG.CRP.SGM.CN,"Producer Price for Sorghum (per tonne, current LCU)",MWI,Malawi,,,,,,,3.30000000000000E+01,3.20000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,2.91000000000000E+01,5.09300000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.30700000000000E+01,4.40900000000000E+01,4.40900000000000E+01,4.96099999999999E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,1.00000000000000E+02,9.80000000000000E+01,1.37000000000000E+02,2.14000000000000E+02,1.46000000000000E+02,1.40000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,4.95000000000000E+02,6.48000000000000E+02,7.20000000000000E+02,8.00000000000000E+02,1.10000000000000E+03,9.66000000000000E+03,1.01800000000000E+04,2.26100000000000E+04,2.76400000000000E+04,2.98100000000000E+04,2.96900000000000E+04,3.98000000000000E+04,5.51000000000000E+04,5.53000000000000E+04,6.09200000000000E+04,7.27600000000000E+04,8.32228000000000E+04,,,
AG.CRP.WHT.CD,"Producer Price for Wheat (per tonne, current US$)",MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96199999999999E+02,1.99819999999999E+02,1.81699999999999E+02,1.14459999999999E+02,8.50600000000000E+01,1.65069999999999E+02,2.41539999999999E+02,1.39449999999999E+02,1.63810000000000E+02,1.57669999999999E+02,2.24220000000000E+02,2.44840000000000E+02,2.41539999999999E+02,2.71110000000000E+02,3.46589999999999E+02,3.84000000000000E+02,4.53130000000000E+02,,,
AG.CRP.WHT.CN,"Producer Price for Wheat (per tonne, current LCU)",MWI,Malawi,,,,,,,5.56899999999999E+01,5.49799999999999E+01,5.40799999999999E+01,5.41300000000000E+01,5.52899999999999E+01,5.56599999999999E+01,4.67999999999999E+01,5.50000000000000E+01,5.50000000000000E+01,7.71599999999999E+01,9.92099999999999E+01,9.92099999999999E+01,1.10250000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,2.18000000000000E+02,2.20000000000000E+02,1.81000000000000E+02,2.44000000000000E+02,3.41000000000000E+02,3.85000000000000E+02,3.30000000000000E+02,5.00000000000000E+02,5.50000000000000E+02,5.50000000000000E+02,7.20000000000000E+02,8.00000000000000E+02,1.00000000000000E+03,1.30000000000000E+03,2.52700000000000E+03,3.97200000000000E+03,4.33300000000000E+03,7.22200000000000E+03,9.38800000000000E+03,1.61880000000000E+04,1.87760000000000E+04,2.35340000000000E+04,2.95207000000000E+04,4.10436999999999E+04,5.21350999999999E+04,6.33710000000000E+04,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",MWI,Malawi,,3.20499900000000E+06,3.28099900000000E+06,3.36100000000000E+06,3.44299900000000E+06,3.52800000000000E+06,3.62300000000000E+06,3.71399900000000E+06,3.81300000000000E+06,3.92100000000000E+06,4.03100000000000E+06,4.14599900000000E+06,4.26699900000000E+06,3.46254700000000E+06,3.47500200000000E+06,4.66599900000000E+06,4.81600000000000E+06,3.59942600000000E+06,3.60143600000000E+06,3.65291900000000E+06,3.74028500000000E+06,3.88157000000000E+06,3.92452900000000E+06,3.96394900000000E+06,4.01721800000000E+06,4.13248100000000E+06,4.37653900000000E+06,4.64551700000000E+06,4.89817300000000E+06,5.14186300000000E+06,5.16444300000000E+06,5.12206300000000E+06,5.20713900000000E+06,4.98870800000000E+06,5.10133000000000E+06,4.89628300000000E+06,4.80175100000000E+06,4.82705900000000E+06,4.88130100000000E+06,4.92171800000000E+06,4.96407500000000E+06,4.99565900000000E+06,5.02911700000000E+06,5.06444900000000E+06,5.10165500000000E+06,5.14074100000000E+06,5.18934800000000E+06,5.24010000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),MWI,Malawi,,3.20000000000000E+06,3.30000000000000E+06,3.35000000000000E+06,3.40000000000000E+06,3.60300000000000E+06,3.65300000000000E+06,3.60500000000000E+06,3.70700000000000E+06,3.75700000000000E+06,3.70700000000000E+06,3.85700000000000E+06,3.90700000000000E+06,3.95700000000000E+06,3.96000000000000E+06,3.91000000000000E+06,3.91200000000000E+06,3.91500000000000E+06,3.96800000000000E+06,3.97000000000000E+06,3.83000000000000E+06,3.93000000000000E+06,4.03000000000000E+06,3.94000000000000E+06,3.99000000000000E+06,4.00500000000000E+06,4.10500000000000E+06,4.11000000000000E+06,4.11500000000000E+06,4.16500000000000E+06,4.21800000000000E+06,4.32000000000000E+06,4.27000000000000E+06,4.27000000000000E+06,4.07000000000000E+06,4.28000000000000E+06,4.38000000000000E+06,4.43000000000000E+06,4.58000000000000E+06,4.67500000000000E+06,4.72000000000000E+06,4.82000000000000E+06,4.82000000000000E+06,4.82000000000000E+06,4.97000000000000E+06,4.97000000000000E+06,4.97000000000000E+06,4.97000000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),MWI,Malawi,,3.20000000000000E+04,3.30000000000000E+04,3.35000000000000E+04,3.40000000000000E+04,3.60300000000000E+04,3.65300000000000E+04,3.60500000000000E+04,3.70700000000000E+04,3.75700000000000E+04,3.70700000000000E+04,3.85700000000000E+04,3.90700000000000E+04,3.95700000000000E+04,3.96000000000000E+04,3.91000000000000E+04,3.91200000000000E+04,3.91500000000000E+04,3.96800000000000E+04,3.97000000000000E+04,3.83000000000000E+04,3.93000000000000E+04,4.03000000000000E+04,3.94000000000000E+04,3.99000000000000E+04,4.00500000000000E+04,4.10500000000000E+04,4.11000000000000E+04,4.11500000000000E+04,4.16500000000000E+04,4.21800000000000E+04,4.32000000000000E+04,4.27000000000000E+04,4.27000000000000E+04,4.07000000000000E+04,4.28000000000000E+04,4.38000000000000E+04,4.43000000000000E+04,4.58000000000000E+04,4.67500000000000E+04,4.72000000000000E+04,4.82000000000000E+04,4.82000000000000E+04,4.82000000000000E+04,4.97000000000000E+04,4.97000000000000E+04,4.97000000000000E+04,4.97000000000000E+04,,,
