Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",MLI,Mali,,8.90000000000000E+01,1.04000000000000E+02,1.50000000000000E+02,2.00000000000000E+02,2.50000000000000E+02,3.00000000000000E+02,4.50000000000000E+02,4.90000000000000E+02,5.30000000000000E+02,5.70000000000000E+02,6.10000000000000E+02,6.50000000000000E+02,6.90000000000000E+02,7.20000000000000E+02,7.50000000000000E+02,7.70000000000000E+02,7.90000000000000E+02,8.10000000000000E+02,8.30000000000000E+02,9.00000000000000E+02,1.00000000000000E+03,1.10000000000000E+03,1.20000000000000E+03,1.30000000000000E+03,1.40000000000000E+03,1.50000000000000E+03,1.60000000000000E+03,1.75000000000000E+03,1.90000000000000E+03,2.10000000000000E+03,2.20000000000000E+03,2.30000000000000E+03,2.40000000000000E+03,2.45000000000000E+03,2.51500000000000E+03,2.53000000000000E+03,2.55000000000000E+03,2.60000000000000E+03,2.60000000000000E+03,2.60000000000000E+03,2.60000000000000E+03,2.60000000000000E+03,2.60000000000000E+03,2.60000000000000E+03,2.60000000000000E+03,2.60000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",MLI,Mali,,,,,,,,,,,4.50000000000000E+04,3.20000000000000E+04,6.49000000000000E+04,1.79900000000000E+05,1.06500000000000E+05,3.91000000000000E+04,1.60000000000000E+02,3.28000000000000E+04,2.15390000000000E+04,2.17940000000000E+04,5.02710000000000E+04,6.64400000000000E+04,8.81400000000000E+04,1.10448000000000E+05,2.66441000000000E+05,8.28060000000000E+04,7.68230000000000E+04,2.58900000000000E+04,5.23040000000000E+04,1.88100000000000E+04,3.08390000000000E+04,3.23830000000000E+04,2.11360000000000E+04,2.36300000000000E+04,1.10840000000000E+04,5.39300000000000E+03,1.71540000000000E+04,2.40970000000000E+04,2.66800000000000E+03,2.63900000000000E+03,7.29200000000000E+03,2.55200000000000E+03,6.77300000000000E+03,7.47000000000000E+02,8.52400000000000E+03,2.80570000000000E+04,4.88930000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),MLI,Mali,,6.60000000000000E+01,3.30000000000000E+02,3.50000000000000E+02,3.00000000000000E+02,5.81000000000000E+02,1.70100000000000E+03,1.56900000000000E+03,2.32200000000000E+03,2.40000000000000E+03,5.50000000000000E+03,7.20000000000000E+03,7.24600000000000E+03,8.91700000000000E+03,7.44200000000000E+03,2.20000000000000E+03,1.18000000000000E+04,1.48000000000000E+04,1.16220000000000E+04,1.41250000000000E+04,1.41940000000000E+04,8.70400000000000E+03,1.12480000000000E+04,1.01650000000000E+04,5.02380000000000E+04,1.97060000000000E+04,1.47470000000000E+04,1.56140000000000E+04,1.34000000000000E+04,1.78000000000000E+04,1.52000000000000E+04,1.50000000000000E+04,2.73000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.70000000000000E+04,2.73000000000000E+04,4.78000000000000E+04,4.59000000000000E+04,4.98000000000000E+04,3.98470000000000E+04,4.20000000000000E+04,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),MLI,Mali,,4.02930402930402E-01,2.00852099817407E+00,2.12378640776699E+00,1.81488203266787E+00,3.50422195416164E+00,1.02346570397111E+01,9.40647482014388E+00,1.39208633093525E+01,1.43884892086330E+01,3.20139697322468E+01,4.19091967403958E+01,4.21769499417927E+01,5.19033760186263E+01,4.20927601809954E+01,1.21012101210121E+01,5.85027268220128E+01,7.34491315136476E+01,5.76774193548387E+01,7.02736318407960E+01,7.06169154228855E+01,4.32389468455042E+01,5.58768007948335E+01,5.04967709885742E+01,2.49567809239940E+02,9.69306443679291E+01,7.24312377210216E+01,7.66895874263261E+01,6.52703360935216E+01,8.67023867510959E+01,7.40379931807111E+01,7.27096461463887E+01,1.26213592233009E+02,8.16993464052287E+01,7.91139240506329E+01,8.08625336927223E+01,5.97374179431072E+01,1.04709748083242E+02,1.00547645125958E+02,1.09090909090909E+02,8.68315537154064E+01,9.10075839653304E+01,,,,,,,,,
AG.CRP.FNO.CD,"Producer Price for Fonio (per tonne, current US$)",MLI,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15199999999999E+02,2.40280000000000E+02,2.89269999999999E+02,1.51000000000000E+02,2.27810000000000E+02,1.97789999999999E+02,1.81610000000000E+02,1.79680000000000E+02,2.16660000000000E+02,1.87370000000000E+02,1.81979999999999E+02,1.52509999999999E+02,1.78349999999999E+02,5.57250000000000E+02,5.58350000000000E+02,5.74269999999999E+02,6.26860000000000E+02,,,
AG.CRP.FNO.CN,"Producer Price for Fonio (per tonne, current LCU)",MLI,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07090000000000E+04,6.36000000000000E+04,8.19090000000000E+04,8.38360000000000E+04,1.13709000000000E+05,1.01182000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.33400000000000E+05,1.33400000000000E+05,1.33400000000000E+05,1.06300000000000E+05,1.03659000000000E+05,2.94000000000000E+05,2.94000000000000E+05,3.00000000000000E+05,3.00000000000000E+05,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",MLI,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55970000000000E+02,1.70009999999999E+02,1.58919999999999E+02,9.18599999999999E+01,1.94330000000000E+02,1.50520000000000E+02,1.60949999999999E+02,2.10530000000000E+02,1.43500000000000E+02,8.50600000000000E+01,1.10340000000000E+02,1.32139999999999E+02,1.90979999999999E+02,1.17520000000000E+02,2.54490000000000E+02,2.04819999999999E+02,1.79699999999999E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",MLI,Mali,,,,,,,7.50000000000000E+03,8.00000000000000E+03,8.00000000000000E+03,9.00000000000000E+03,9.00000000000000E+03,9.00000000000000E+03,1.00000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.80000000000000E+04,2.00000000000000E+04,2.50000000000000E+04,3.50000000000000E+04,4.25000000000000E+04,4.50000000000000E+04,5.00000000000000E+04,5.00000000000000E+04,5.50000000000000E+04,5.50000000000000E+04,5.50000000000000E+04,5.80000000000000E+04,5.40000000000000E+04,8.40000000000000E+04,4.40000000000000E+04,4.50000000000000E+04,4.50000000000000E+04,5.10000000000000E+04,9.70000000000000E+04,7.70000000000000E+04,9.39400000000000E+04,1.24200000000000E+05,8.83500000000000E+04,6.05600000000000E+04,8.08800000000000E+04,9.21000000000000E+04,1.11000000000000E+05,6.20000000000000E+04,1.34000000000000E+05,1.07000000000000E+05,8.60000000000000E+04,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",MLI,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34699999999999E+02,1.43560000000000E+02,1.16540000000000E+02,9.90600000000000E+01,1.66280000000000E+02,1.34880000000000E+02,1.83319999999999E+02,2.39509999999999E+02,1.87270000000000E+02,1.07690000000000E+02,1.07770000000000E+02,1.57819999999999E+02,1.32479999999999E+02,1.02349999999999E+02,1.97509999999999E+02,1.66539999999999E+02,1.54630000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",MLI,Mali,,,,,,,8.00000000000000E+03,8.50000000000000E+03,8.50000000000000E+03,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.80000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,3.50000000000000E+04,4.50000000000000E+04,4.75000000000000E+04,5.00000000000000E+04,5.00000000000000E+04,5.50000000000000E+04,5.50000000000000E+04,5.50000000000000E+04,5.80000000000000E+04,4.00000000000000E+04,6.50000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.30000000000000E+04,5.50000000000000E+04,8.30000000000000E+04,6.90000000000000E+04,1.07000000000000E+05,1.41300000000000E+05,1.15300000000000E+05,7.66700000000000E+04,7.90000000000000E+04,1.10000000000000E+05,7.70000000000000E+04,5.40000000000000E+04,1.04000000000000E+05,8.70000000000000E+04,7.40000000000000E+04,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",MLI,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23319999999999E+02,2.49349999999999E+02,3.00180000000000E+02,1.56699999999999E+02,2.36400000000000E+02,2.05259999999999E+02,1.88460000000000E+02,1.86460000000000E+02,1.78660000000000E+02,1.54500000000000E+02,1.50060000000000E+02,1.83069999999999E+02,2.27380000000000E+02,2.14180000000000E+02,2.69680000000000E+02,2.54590000000000E+02,2.48650000000000E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",MLI,Mali,,,,,,,8.00000000000000E+03,9.00000000000000E+03,9.00000000000000E+03,1.25000000000000E+04,1.25000000000000E+04,1.25000000000000E+04,1.25000000000000E+04,1.25000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.25000000000000E+04,2.50000000000000E+04,3.12000000000000E+04,3.75000000000000E+04,5.00000000000000E+04,5.50000000000000E+04,6.00000000000000E+04,6.50000000000000E+04,7.00000000000000E+04,7.00000000000000E+04,7.00000000000000E+04,7.00000000000000E+04,8.30000000000000E+04,8.30000000000000E+04,6.30000000000000E+04,6.60000000000000E+04,8.50000000000000E+04,8.70000000000000E+04,1.18000000000000E+05,1.05000000000000E+05,1.10000000000000E+05,1.10000000000000E+05,1.10000000000000E+05,1.10000000000000E+05,1.10000000000000E+05,1.27600000000000E+05,1.32153000000000E+05,1.13000000000000E+05,1.42000000000000E+05,1.33000000000000E+05,1.19000000000000E+05,,,
AG.CRP.SGM.CD,"Producer Price for Sorghum (per tonne, current US$)",MLI,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45340000000000E+02,1.70009999999999E+02,1.34199999999999E+02,1.06270000000000E+02,1.98340000000000E+02,1.50520000000000E+02,1.61289999999999E+02,2.14199999999999E+02,1.39940000000000E+02,8.73599999999999E+01,7.50300000000000E+01,1.24819999999999E+02,1.65180000000000E+02,1.11830000000000E+02,2.33590000000000E+02,1.83770000000000E+02,1.79699999999999E+02,,,
AG.CRP.SGM.CN,"Producer Price for Sorghum (per tonne, current LCU)",MLI,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.20000000000000E+04,8.30000000000000E+04,4.10000000000000E+04,4.50000000000000E+04,3.80000000000000E+04,5.90000000000000E+04,9.90000000000000E+04,7.70000000000000E+04,9.41400000000000E+04,1.26370000000000E+05,8.61600000000000E+04,6.22000000000000E+04,5.50000000000000E+04,8.70000000000000E+04,9.60000000000000E+04,5.90000000000000E+04,1.23000000000000E+05,9.60000000000000E+04,8.60000000000000E+04,,,
AG.CRP.WHT.CD,"Producer Price for Wheat (per tonne, current US$)",MLI,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09139999999999E+02,2.33520000000000E+02,2.81120000000000E+02,1.46750000000000E+02,2.21389999999999E+02,1.92229999999999E+02,1.76500000000000E+02,1.74620000000000E+02,1.67319999999999E+02,1.44690000000000E+02,1.40530000000000E+02,1.71449999999999E+02,2.12940000000000E+02,2.33479999999999E+02,2.48849999999999E+02,2.09830000000000E+02,2.19020000000000E+02,,,
AG.CRP.WHT.CN,"Producer Price for Wheat (per tonne, current LCU)",MLI,Mali,,,,,,,8.80000000000000E+03,1.00000000000000E+04,1.00000000000000E+04,1.12000000000000E+04,1.12000000000000E+04,1.25000000000000E+04,1.30000000000000E+04,1.32000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.90000000000000E+04,2.40000000000000E+04,2.90000000000000E+04,3.90000000000000E+04,4.30000000000000E+04,4.70000000000000E+04,5.10000000000000E+04,5.50000000000000E+04,5.50000000000000E+04,5.50000000000000E+04,5.60000000000000E+04,5.70000000000000E+04,5.80000000000000E+04,5.90000000000000E+04,6.18100000000000E+04,7.96030000000000E+04,8.14760000000000E+04,1.10508000000000E+05,9.83330000000000E+04,1.03016000000000E+05,1.03016000000000E+05,1.03016000000000E+05,1.03016000000000E+05,1.03016000000000E+05,1.19498000000000E+05,1.23762000000000E+05,1.23180800000000E+05,1.31033300000000E+05,1.09614399999999E+05,1.04818399999999E+05,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",MLI,Mali,,2.53720900000000E+06,2.56350100000000E+06,2.59006600000000E+06,2.61690600000000E+06,2.64402500000000E+06,2.67142400000000E+06,2.69910700000000E+06,2.72707800000000E+06,2.75533800000000E+06,2.78389000000000E+06,2.82581000000000E+06,2.85937400000000E+06,2.96009300000000E+06,3.05090200000000E+06,2.99953300000000E+06,2.95591900000000E+06,2.95478800000000E+06,3.03529100000000E+06,3.00802300000000E+06,3.08620900000000E+06,3.16291000000000E+06,3.21607000000000E+06,3.36958300000000E+06,3.56388300000000E+06,3.67538200000000E+06,3.61942800000000E+06,3.71405800000000E+06,3.82553600000000E+06,3.82943900000000E+06,3.94212900000000E+06,4.08888000000000E+06,4.13629400000000E+06,4.27216200000000E+06,4.37656500000000E+06,4.43394700000000E+06,4.52229900000000E+06,4.58057500000000E+06,4.61220700000000E+06,4.67082000000000E+06,4.73058500000000E+06,4.78752800000000E+06,4.84558100000000E+06,4.90477300000000E+06,4.96513100000000E+06,5.02668300000000E+06,5.08427900000000E+06,5.14300000000000E+06,,,
