Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",MRT,Mauritania,,1.00000000000000E+01,1.50000000000000E+01,1.80000000000000E+01,2.00000000000000E+01,2.50000000000000E+01,3.00000000000000E+01,4.00000000000000E+01,6.00000000000000E+01,8.00000000000000E+01,1.00000000000000E+02,1.20000000000000E+02,1.40000000000000E+02,1.60000000000000E+02,1.80000000000000E+02,2.00000000000000E+02,2.20000000000000E+02,2.40000000000000E+02,2.60000000000000E+02,2.70000000000000E+02,2.70000000000000E+02,3.12000000000000E+02,3.12000000000000E+02,3.12000000000000E+02,3.12000000000000E+02,3.20000000000000E+02,3.30000000000000E+02,3.30000000000000E+02,3.30000000000000E+02,3.35000000000000E+02,3.35000000000000E+02,3.37000000000000E+02,3.35000000000000E+02,3.35000000000000E+02,3.30000000000000E+02,3.30000000000000E+02,3.30000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",MRT,Mauritania,,,,,,,,,,,1.14000000000000E+04,2.95000000000000E+04,2.46000000000000E+04,9.51600000000000E+04,4.79000000000000E+04,2.69300000000000E+04,2.89100000000000E+04,5.10000000000000E+04,3.11250000000000E+04,2.62200000000000E+04,1.06161000000000E+05,8.63300000000000E+04,7.12770000000000E+04,1.28776000000000E+05,1.35102000000000E+05,1.36512000000000E+05,3.83850000000000E+04,5.44290000000000E+04,4.73970000000000E+04,7.03720000000000E+04,7.21300000000000E+04,4.82850000000000E+04,4.07440000000000E+04,5.82050000000000E+04,2.18400000000000E+04,2.41640000000000E+04,1.96580000000000E+04,2.97590000000000E+04,2.29660000000000E+04,2.34260000000000E+04,2.82740000000000E+04,2.47310000000000E+04,7.99440000000000E+04,4.79690000000000E+04,4.73580000000000E+04,6.30910000000000E+04,3.83260000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),MRT,Mauritania,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.00000000000000E+01,1.00000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,3.00000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,2.21000000000000E+02,4.81000000000000E+02,1.15000000000000E+03,5.00000000000000E+02,2.30000000000000E+03,2.00500000000000E+03,2.10000000000000E+03,1.30000000000000E+03,0.00000000000000E+00,1.00000000000000E+02,4.40000000000000E+02,5.40000000000000E+02,2.01000000000000E+03,1.00000000000000E+03,1.10000000000000E+03,3.20000000000000E+03,2.30000000000000E+03,3.90000000000000E+03,5.15000000000000E+03,7.28300000000000E+03,4.60800000000000E+03,4.00000000000000E+03,4.00000000000000E+03,5.00000000000000E+03,1.72200000000000E+03,1.80000000000000E+03,2.40000000000000E+03,0.00000000000000E+00,2.90000000000000E+03,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),MRT,Mauritania,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.87969924812030E+00,3.74531835205992E+00,7.46268656716417E+00,7.19424460431654E+00,1.07913669064748E+01,0.00000000000000E+00,0.00000000000000E+00,9.77876106194690E+00,2.45408163265306E+01,5.98958333333333E+01,2.56410256410256E+01,1.17346938775510E+02,1.04427083333333E+02,1.07692307692307E+02,6.19047619047619E+01,0.00000000000000E+00,4.00000000000000E+00,1.62962962962962E+01,1.92857142857142E+01,6.70000000000000E+01,3.12500000000000E+01,3.23529411764705E+01,8.88888888888888E+01,6.05263157894736E+01,9.75000000000000E+01,1.25609756097560E+02,1.73404761904761E+02,1.06914153132250E+02,8.51063829787234E+01,8.03212851405622E+01,1.02459016393442E+02,3.52868852459016E+01,3.68852459016393E+01,4.91803278688524E+01,0.00000000000000E+00,6.44444444444444E+01,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",MRT,Mauritania,,6.65149000000000E+05,6.76755000000000E+05,6.88564000000000E+05,7.00579000000000E+05,7.12803000000000E+05,7.25241000000000E+05,7.37895000000000E+05,7.50771000000000E+05,7.63871000000000E+05,7.77199000000000E+05,7.90389000000000E+05,8.03109000000000E+05,8.30377000000000E+05,8.27685000000000E+05,8.56087000000000E+05,8.59962000000000E+05,8.80703000000000E+05,9.01158000000000E+05,9.11689000000000E+05,9.23971000000000E+05,9.38291000000000E+05,9.66772000000000E+05,9.80773000000000E+05,1.01958000000000E+06,1.03842500000000E+06,1.05169200000000E+06,1.07328000000000E+06,1.09668300000000E+06,1.11449300000000E+06,1.15141000000000E+06,1.17656200000000E+06,1.20628200000000E+06,1.22626700000000E+06,1.25041600000000E+06,1.27267500000000E+06,1.29805000000000E+06,1.32220900000000E+06,1.35875600000000E+06,1.39275200000000E+06,1.42806900000000E+06,1.46444800000000E+06,1.50204000000000E+06,1.54088800000000E+06,1.58103900000000E+06,1.62253900000000E+06,1.66289900000000E+06,1.70440000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),MRT,Mauritania,,3.95220000000000E+07,3.95220000000000E+07,3.95230000000000E+07,3.95230000000000E+07,3.95230000000000E+07,3.95230000000000E+07,3.95230000000000E+07,3.95230000000000E+07,3.95330000000000E+07,3.95330000000000E+07,3.94930000000000E+07,3.94930000000000E+07,3.94800000000000E+07,3.94500000000000E+07,3.94460000000000E+07,3.94490000000000E+07,3.94500000000000E+07,3.94460000000000E+07,3.94490000000000E+07,3.94640000000000E+07,3.94840000000000E+07,3.95040000000000E+07,3.95240000000000E+07,3.95350000000000E+07,3.95550000000000E+07,3.95750000000000E+07,3.95950000000000E+07,3.96150000000000E+07,3.96350000000000E+07,3.96560000000000E+07,3.96660000000000E+07,3.96780000000000E+07,3.96900000000000E+07,3.97300000000000E+07,3.97600000000000E+07,3.97500000000000E+07,3.97500000000000E+07,3.97500000000000E+07,3.97500000000000E+07,3.97500000000000E+07,3.97120000000000E+07,3.96620000000000E+07,3.96620000000000E+07,3.96620000000000E+07,3.97500000000000E+07,3.97420000000000E+07,3.97120000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),MRT,Mauritania,,3.95220000000000E+05,3.95220000000000E+05,3.95230000000000E+05,3.95230000000000E+05,3.95230000000000E+05,3.95230000000000E+05,3.95230000000000E+05,3.95230000000000E+05,3.95330000000000E+05,3.95330000000000E+05,3.94930000000000E+05,3.94930000000000E+05,3.94800000000000E+05,3.94500000000000E+05,3.94460000000000E+05,3.94490000000000E+05,3.94500000000000E+05,3.94460000000000E+05,3.94490000000000E+05,3.94640000000000E+05,3.94840000000000E+05,3.95040000000000E+05,3.95240000000000E+05,3.95350000000000E+05,3.95550000000000E+05,3.95750000000000E+05,3.95950000000000E+05,3.96150000000000E+05,3.96350000000000E+05,3.96560000000000E+05,3.96660000000000E+05,3.96780000000000E+05,3.96900000000000E+05,3.97300000000000E+05,3.97600000000000E+05,3.97500000000000E+05,3.97500000000000E+05,3.97500000000000E+05,3.97500000000000E+05,3.97500000000000E+05,3.97120000000000E+05,3.96620000000000E+05,3.96620000000000E+05,3.96620000000000E+05,3.97500000000000E+05,3.97420000000000E+05,3.97120000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),MRT,Mauritania,,3.83448142039390E+01,3.83448142039390E+01,3.83457844183564E+01,3.83457844183564E+01,3.83457844183564E+01,3.83457844183564E+01,3.83457844183564E+01,3.83457844183564E+01,3.83554865625303E+01,3.83554865625303E+01,3.83166779858348E+01,3.83166779858348E+01,3.83040651984088E+01,3.82749587658872E+01,3.82710779082177E+01,3.82739885514698E+01,3.82749587658872E+01,3.82710779082177E+01,3.82739885514698E+01,3.82885417677306E+01,3.83079460560783E+01,3.83273503444261E+01,3.83467546327738E+01,3.83574269913650E+01,3.83768312797128E+01,3.83962355680605E+01,3.84156398564082E+01,3.84350441447559E+01,3.84544484331037E+01,3.84748229358688E+01,3.84845250800426E+01,3.84961676530513E+01,3.85078102260599E+01,3.85466188027554E+01,3.85757252352769E+01,3.85660230911031E+01,3.85660230911031E+01,3.85660230911031E+01,3.85660230911031E+01,3.85660230911031E+01,3.85291549432424E+01,3.84806442223731E+01,3.84806442223731E+01,3.84806442223731E+01,3.85660230911031E+01,3.85582613757640E+01,3.85291549432424E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),MRT,Mauritania,,2.67000000000000E+05,2.67000000000000E+05,2.67000000000000E+05,2.66000000000000E+05,2.65000000000000E+05,2.66000000000000E+05,2.67000000000000E+05,2.68000000000000E+05,2.78000000000000E+05,2.78000000000000E+05,2.39000000000000E+05,2.39000000000000E+05,2.26000000000000E+05,1.96000000000000E+05,1.92000000000000E+05,1.95000000000000E+05,1.96000000000000E+05,1.92000000000000E+05,1.95000000000000E+05,2.10000000000000E+05,2.30000000000000E+05,2.50000000000000E+05,2.70000000000000E+05,2.80000000000000E+05,3.00000000000000E+05,3.20000000000000E+05,3.40000000000000E+05,3.60000000000000E+05,3.80000000000000E+05,4.00000000000000E+05,4.10000000000000E+05,4.20000000000000E+05,4.31000000000000E+05,4.70000000000000E+05,4.98000000000000E+05,4.88000000000000E+05,4.88000000000000E+05,4.88000000000000E+05,4.88000000000000E+05,4.88000000000000E+05,4.50000000000000E+05,4.00000000000000E+05,4.00000000000000E+05,4.00000000000000E+05,4.88000000000000E+05,4.80000000000000E+05,4.50000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),MRT,Mauritania,,2.91889409989833E-01,2.84687036184042E-01,2.77642884699173E-01,2.69732285636350E-01,2.62010978754370E-01,2.56404324557750E-01,2.50881373514444E-01,2.45430235539763E-01,2.48070316334270E-01,2.41657807329185E-01,2.02334208703926E-01,1.97012174363193E-01,1.81370082443135E-01,1.53127392615509E-01,1.46030258686518E-01,1.44391821647221E-01,1.41303117536077E-01,1.34772024696973E-01,1.33271914345115E-01,1.39742594141591E-01,1.49012468456328E-01,1.57694481450082E-01,1.65840127660044E-01,1.67527839537048E-01,1.74924257796374E-01,1.81921132640971E-01,1.88521063347513E-01,1.94699311251186E-01,2.00411687798672E-01,2.05627088078820E-01,2.05339734590880E-01,2.04842476135851E-01,2.04618976677234E-01,2.17117647738165E-01,2.23770039887683E-01,2.13228653211996E-01,2.07296937145274E-01,2.01478056232195E-01,1.95766391323376E-01,1.90168002518946E-01,1.70306237106398E-01,1.47010180454996E-01,1.42796148502282E-01,1.38783548320614E-01,1.64692105072213E-01,1.57705956586835E-01,1.44185434788065E-01,,,
