Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",MUS,Mauritius,,2.87000000000000E+02,2.80000000000000E+02,2.80000000000000E+02,2.83000000000000E+02,2.83000000000000E+02,2.83000000000000E+02,2.83000000000000E+02,2.83000000000000E+02,2.83000000000000E+02,2.83000000000000E+02,2.85000000000000E+02,2.87000000000000E+02,2.90000000000000E+02,2.95000000000000E+02,3.00000000000000E+02,3.05000000000000E+02,3.10000000000000E+02,3.15000000000000E+02,3.20000000000000E+02,3.25000000000000E+02,3.32000000000000E+02,3.35000000000000E+02,3.37000000000000E+02,3.39000000000000E+02,3.42000000000000E+02,3.44000000000000E+02,3.46000000000000E+02,3.50000000000000E+02,3.53000000000000E+02,3.55000000000000E+02,3.60000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,4.00000000000000E+02,4.03000000000000E+02,4.20000000000000E+02,4.80000000000000E+02,5.03000000000000E+02,5.15000000000000E+02,5.35000000000000E+02,5.50000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",MUS,Mauritius,,,,,,,,,,,3.85000000000000E+04,1.45000000000000E+04,1.37000000000000E+04,3.27700000000000E+04,2.16000000000000E+04,2.00000000000000E+04,9.20000000000000E+03,1.12000000000000E+04,5.68000000000000E+03,2.15000000000000E+04,2.07840000000000E+04,4.25700000000000E+04,1.28600000000000E+04,2.19330000000000E+04,9.15900000000000E+03,4.94500000000000E+03,1.45050000000000E+04,3.14810000000000E+04,1.21400000000000E+04,9.09300000000000E+03,7.34700000000000E+03,8.65900000000000E+03,4.54200000000000E+03,1.92400000000000E+03,6.80000000000000E+02,,6.51000000000000E+02,,,,,,,,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),MUS,Mauritius,,2.00930000000000E+04,2.27850000000000E+04,2.49290000000000E+04,2.65400000000000E+04,2.28000000000000E+04,1.88930000000000E+04,2.20040000000000E+04,2.17690000000000E+04,2.18200000000000E+04,2.19960000000000E+04,2.15380000000000E+04,3.19580000000000E+04,2.61640000000000E+04,2.69140000000000E+04,2.41420000000000E+04,2.14770000000000E+04,2.61890000000000E+04,2.54730000000000E+04,2.74320000000000E+04,2.66610000000000E+04,2.23250000000000E+04,2.56250000000000E+04,2.71540000000000E+04,2.70430000000000E+04,2.79730000000000E+04,2.53060000000000E+04,3.28420000000000E+04,2.82090000000000E+04,3.07000000000000E+04,2.77330000000000E+04,2.75750000000000E+04,2.66380000000000E+04,2.60050000000000E+04,2.92080000000000E+04,3.18910000000000E+04,3.77270000000000E+04,3.34560000000000E+04,3.31010000000000E+04,3.53000000000000E+04,3.75000000000000E+04,2.85500000000000E+04,2.20590000000000E+04,2.95800000000000E+04,1.36970000000000E+04,2.57490000000000E+04,2.37470000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),MUS,Mauritius,,2.23255555555555E+03,2.50384615384615E+03,2.73945054945054E+03,2.91648351648351E+03,2.47826086956521E+03,2.12280898876404E+03,2.34085106382978E+03,2.17690000000000E+03,2.18200000000000E+03,2.19959999999999E+03,2.15380000000000E+03,3.19580000000000E+03,2.61640000000000E+03,2.69140000000000E+03,2.43858585858585E+03,2.14769999999999E+03,2.61890000000000E+03,2.54730000000000E+03,2.74319999999999E+03,2.66609999999999E+03,2.23250000000000E+03,2.56250000000000E+03,2.71540000000000E+03,2.70430000000000E+03,2.79730000000000E+03,2.53059999999999E+03,3.28419999999999E+03,2.82090000000000E+03,3.07000000000000E+03,2.77330000000000E+03,2.75750000000000E+03,2.66380000000000E+03,2.60050000000000E+03,2.92080000000000E+03,3.18909999999999E+03,3.77269999999999E+03,3.34559999999999E+03,3.31009999999999E+03,3.53000000000000E+03,3.75000000000000E+03,2.85500000000000E+03,2.32200000000000E+03,3.11368421052631E+03,1.47279569892473E+03,2.76870967741935E+03,2.58119565217391E+03,,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",MUS,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03470000000000E+02,3.21269999999999E+02,2.83319999999999E+02,2.78389999999999E+02,2.87579999999999E+02,2.78579999999999E+02,2.37449999999999E+02,2.08400000000000E+02,1.98520000000000E+02,1.71430000000000E+02,1.54479999999999E+02,1.50190000000000E+02,1.72410000000000E+02,1.84940000000000E+02,1.85919999999999E+02,1.78910000000000E+02,1.89710000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",MUS,Mauritius,,,,,,,4.60000000000000E+02,4.20000000000000E+02,3.80000000000000E+02,4.00000000000000E+02,4.00000000000000E+02,4.00000000000000E+02,4.40000000000000E+02,7.55000000000000E+02,9.00000000000000E+02,9.90000000000000E+02,1.08000000000000E+03,1.17000000000000E+03,1.25400000000000E+03,1.50000000000000E+03,2.00000000000000E+03,2.40000000000000E+03,2.18000000000000E+03,2.86000000000000E+03,3.24500000000000E+03,3.94000000000000E+03,4.30000000000000E+03,4.34000000000000E+03,4.75000000000000E+03,4.75000000000000E+03,4.75000000000000E+03,4.75000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,4.50000000000000E+03,4.50000000000000E+03,4.50000000000000E+03,4.81050000000000E+03,5.07600000000000E+03,5.48100000000000E+03,5.66550000000000E+03,5.93039999999999E+03,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",MUS,Mauritius,,,,,,,6.20000000000000E+02,5.10000000000000E+02,4.18000000000000E+02,5.66000000000000E+02,6.63000000000000E+02,3.97000000000000E+02,5.24000000000000E+02,6.23000000000000E+02,1.00000000000000E+03,1.15000000000000E+03,1.30000000000000E+03,1.45000000000000E+03,1.60000000000000E+03,1.50000000000000E+03,1.43000000000000E+03,1.72000000000000E+03,2.50000000000000E+03,4.86000000000000E+03,4.86000000000000E+03,4.86000000000000E+03,4.86000000000000E+03,4.86000000000000E+03,5.00000000000000E+03,7.00000000000000E+03,8.00000000000000E+03,,,,,,,,,,,,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",MUS,Mauritius,,4.30000000000000E+04,4.90000000000000E+04,7.10000000000000E+04,9.60000000000000E+04,6.60000000000000E+04,8.00000000000000E+03,1.90000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.10000000000000E+04,2.10000000000000E+04,2.10000000000000E+04,2.10000000000000E+04,2.20000000000000E+04,2.20000000000000E+04,2.20000000000000E+04,2.30000000000000E+04,2.30000000000000E+04,2.30000000000000E+04,2.40000000000000E+04,2.40000000000000E+04,2.40000000000000E+04,2.20000000000000E+04,1.20000000000000E+04,1.20000000000000E+04,1.70000000000000E+04,2.05000000000000E+04,2.08000000000000E+04,1.65000000000000E+04,1.60000000000000E+04,3.20000000000000E+03,3.20000000000000E+03,1.14000000000000E+04,7.50000000000000E+03,6.20000000000000E+03,6.50000000000000E+03,6.50000000000000E+03,1.00000000000000E+04,1.20000000000000E+04,1.00000000000000E+04,9.00000000000000E+03,9.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,5.00000000000000E+03,6.92200000000000E+03,6.70000000000000E+03,,,
AG.LND.AGRI.HA,Agricultural land (hectares),MUS,Mauritius,,9.90000000000000E+04,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.01000000000000E+05,9.90000000000000E+04,1.05000000000000E+05,1.11000000000000E+05,1.11000000000000E+05,1.12000000000000E+05,1.12000000000000E+05,1.13000000000000E+05,1.13000000000000E+05,1.13000000000000E+05,1.13000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.14000000000000E+05,1.13000000000000E+05,1.13000000000000E+05,1.13000000000000E+05,1.13000000000000E+05,1.13000000000000E+05,1.13000000000000E+05,1.12000000000000E+05,1.12000000000000E+05,1.12000000000000E+05,1.12000000000000E+05,1.11000000000000E+05,1.11000000000000E+05,1.11000000000000E+05,1.11000000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.04000000000000E+05,1.04000000000000E+05,1.03000000000000E+05,1.01000000000000E+05,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),MUS,Mauritius,,9.90000000000000E+02,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.01000000000000E+03,9.90000000000000E+02,1.05000000000000E+03,1.11000000000000E+03,1.11000000000000E+03,1.12000000000000E+03,1.12000000000000E+03,1.13000000000000E+03,1.13000000000000E+03,1.13000000000000E+03,1.13000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.14000000000000E+03,1.13000000000000E+03,1.13000000000000E+03,1.13000000000000E+03,1.13000000000000E+03,1.13000000000000E+03,1.13000000000000E+03,1.12000000000000E+03,1.12000000000000E+03,1.12000000000000E+03,1.12000000000000E+03,1.11000000000000E+03,1.11000000000000E+03,1.11000000000000E+03,1.11000000000000E+03,1.06000000000000E+03,1.06000000000000E+03,1.04000000000000E+03,1.04000000000000E+03,1.03000000000000E+03,1.01000000000000E+03,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),MUS,Mauritius,,4.87684729064039E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.97536945812807E+01,4.87684729064039E+01,5.17241379310344E+01,5.46798029556650E+01,5.46798029556650E+01,5.51724137931034E+01,5.51724137931034E+01,5.56650246305418E+01,5.56650246305418E+01,5.56650246305418E+01,5.56650246305418E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.61576354679802E+01,5.56650246305418E+01,5.56650246305418E+01,5.56650246305418E+01,5.56650246305418E+01,5.56650246305418E+01,5.56650246305418E+01,5.51724137931034E+01,5.51724137931034E+01,5.51724137931034E+01,5.51724137931034E+01,5.46798029556650E+01,5.46798029556650E+01,5.46798029556650E+01,5.46798029556650E+01,5.22167487684729E+01,5.22167487684729E+01,5.12315270935960E+01,5.12315270935960E+01,5.07389162561576E+01,4.97536945812807E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),MUS,Mauritius,,9.00000000000000E+04,9.10000000000000E+04,9.10000000000000E+04,9.10000000000000E+04,9.20000000000000E+04,8.90000000000000E+04,9.40000000000000E+04,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,9.90000000000000E+04,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,9.50000000000000E+04,9.50000000000000E+04,9.30000000000000E+04,9.30000000000000E+04,9.20000000000000E+04,9.00000000000000E+04,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),MUS,Mauritius,,1.32205803893549E-01,1.29935255118592E-01,1.26589181104325E-01,1.23577366492988E-01,1.22177954847277E-01,1.15762900929849E-01,1.19910684399160E-01,1.25248493010132E-01,1.23091345595200E-01,1.21065375302663E-01,1.19156789363207E-01,1.17363618780432E-01,1.15631105322361E-01,1.13889820254530E-01,1.10986547085201E-01,1.10313519848491E-01,1.08532947129694E-01,1.06787955002118E-01,1.05106140384806E-01,1.03519668737060E-01,1.02131166312685E-01,1.00933269689394E-01,9.99196780321265E-02,9.90850978398890E-02,9.84251968503937E-02,9.75914431822617E-02,9.68279174251520E-02,9.60761858201195E-02,9.53360660664281E-02,9.46073793755913E-02,9.37509502347893E-02,9.25069380203515E-02,9.11577028258887E-02,8.98472596585804E-02,8.90902725004164E-02,8.81837325704852E-02,8.70864698976908E-02,8.61756207445401E-02,8.50870483047681E-02,8.42550129626337E-02,8.33415980418058E-02,7.84996810434012E-02,7.76898474089618E-02,7.54021855282936E-02,7.48037607791817E-02,7.34245447079658E-02,7.13893639366316E-02,,,
AG.LND.ARBL.ZS,Arable land (% of land area),MUS,Mauritius,,4.43349753694581E+01,4.48275862068965E+01,4.48275862068965E+01,4.48275862068965E+01,4.53201970443349E+01,4.38423645320197E+01,4.63054187192118E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.87684729064039E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.92610837438423E+01,4.67980295566502E+01,4.67980295566502E+01,4.58128078817733E+01,4.58128078817733E+01,4.53201970443349E+01,4.43349753694581E+01,,,
AG.LND.CERE.ZS,Cereal cropland (% of land area),MUS,Mauritius,,5.86206896551724E-02,5.61576354679802E-02,5.61576354679802E-02,1.23152709359605E-02,8.86699507389162E-02,8.91625615763546E-02,1.32019704433497E-01,1.00985221674876E-01,2.19704433497536E-01,2.54679802955665E-01,2.17733990147783E-01,2.52709359605911E-01,2.03940886699507E-01,4.20197044334975E-01,3.76354679802955E-01,3.62561576354679E-01,2.84729064039408E-01,2.64039408866995E-01,2.33990147783251E-01,1.78817733990147E-01,2.28078817733990E-01,2.68472906403940E-01,2.17241379310344E-01,3.92610837438423E-01,5.22167487684729E-01,9.10344827586206E-01,5.42857142857142E-01,4.87684729064039E-01,3.18226600985221E-01,2.68472906403940E-01,2.81773399014778E-01,2.22167487684729E-01,2.10837438423645E-01,1.16256157635467E-01,3.69458128078817E-02,4.43349753694581E-02,2.26600985221674E-02,2.46305418719211E-02,2.01970443349753E-02,3.44827586206896E-02,2.66009852216748E-02,1.87192118226600E-02,1.33004926108374E-02,2.80788177339901E-02,3.10344827586206E-02,2.85714285714285E-02,2.95566502463054E-02,,,
AG.LND.CREL.HA,Area under cereal production (hectares),MUS,Mauritius,,1.19000000000000E+02,1.14000000000000E+02,1.14000000000000E+02,2.50000000000000E+01,1.80000000000000E+02,1.81000000000000E+02,2.68000000000000E+02,2.05000000000000E+02,4.46000000000000E+02,5.17000000000000E+02,4.42000000000000E+02,5.13000000000000E+02,4.14000000000000E+02,8.53000000000000E+02,7.64000000000000E+02,7.36000000000000E+02,5.78000000000000E+02,5.36000000000000E+02,4.75000000000000E+02,3.63000000000000E+02,4.63000000000000E+02,5.45000000000000E+02,4.41000000000000E+02,7.97000000000000E+02,1.06000000000000E+03,1.84800000000000E+03,1.10200000000000E+03,9.90000000000000E+02,6.46000000000000E+02,5.45000000000000E+02,5.72000000000000E+02,4.51000000000000E+02,4.28000000000000E+02,2.36000000000000E+02,7.50000000000000E+01,9.00000000000000E+01,4.60000000000000E+01,5.00000000000000E+01,4.10000000000000E+01,7.00000000000000E+01,5.40000000000000E+01,3.80000000000000E+01,2.70000000000000E+01,5.70000000000000E+01,6.30000000000000E+01,5.80000000000000E+01,6.00000000000000E+01,,,
AG.LND.CROP.HA,Permanent cropland (hectares),MUS,Mauritius,,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,3.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,7.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,,,
AG.LND.CROP.ZS,Permanent cropland (% of land area),MUS,Mauritius,,9.85221674876847E-01,9.85221674876847E-01,9.85221674876847E-01,9.85221674876847E-01,9.85221674876847E-01,1.47783251231527E+00,1.97044334975369E+00,1.97044334975369E+00,1.97044334975369E+00,2.46305418719211E+00,2.46305418719211E+00,2.95566502463054E+00,2.95566502463054E+00,2.95566502463054E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,3.44827586206896E+00,2.95566502463054E+00,2.95566502463054E+00,2.95566502463054E+00,2.95566502463054E+00,2.95566502463054E+00,2.95566502463054E+00,2.46305418719211E+00,2.46305418719211E+00,2.46305418719211E+00,2.46305418719211E+00,1.97044334975369E+00,1.97044334975369E+00,1.97044334975369E+00,1.97044334975369E+00,1.97044334975369E+00,1.97044334975369E+00,1.97044334975369E+00,1.97044334975369E+00,1.97044334975369E+00,1.97044334975369E+00,,,
AG.LND.CRPA.HA,Arable and permanent cropland (hectares),MUS,Mauritius,,9.20000000000000E+04,9.30000000000000E+04,9.30000000000000E+04,9.30000000000000E+04,9.40000000000000E+04,9.20000000000000E+04,9.80000000000000E+04,1.04000000000000E+05,1.04000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.07000000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.06000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.05000000000000E+05,1.04000000000000E+05,1.04000000000000E+05,1.04000000000000E+05,1.04000000000000E+05,9.90000000000000E+04,9.90000000000000E+04,9.70000000000000E+04,9.70000000000000E+04,9.60000000000000E+04,9.40000000000000E+04,,,
AG.LND.FRST.K2,Forest area (sq. km),MUS,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90000000000000E+02,3.89000000000000E+02,3.88000000000000E+02,3.87000000000000E+02,3.86000000000000E+02,3.85000000000000E+02,3.84000000000000E+02,3.83000000000000E+02,3.82000000000000E+02,3.81000000000000E+02,3.80000000000000E+02,3.78000000000000E+02,3.76000000000000E+02,3.74000000000000E+02,3.72000000000000E+02,3.70000000000000E+02,3.68000000000000E+02,3.66000000000000E+02,,,
AG.LND.FRST.ZS,Forest area (% of land area),MUS,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92118226600985E+01,1.91625615763546E+01,1.91133004926108E+01,1.90640394088669E+01,1.90147783251231E+01,1.89655172413793E+01,1.89162561576354E+01,1.88669950738916E+01,1.88177339901477E+01,1.87684729064039E+01,1.87192118226601E+01,1.86206896551724E+01,1.85221674876847E+01,1.84236453201970E+01,1.83251231527093E+01,1.82266009852216E+01,1.81280788177339E+01,1.80295566502463E+01,,,
AG.LND.IRIG.PO.HA,Land area equipped for irrigation (hectares),MUS,Mauritius,,8.00000000000000E+03,8.00000000000000E+03,1.10000000000000E+04,1.10000000000000E+04,1.20000000000000E+04,1.30000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.80000000000000E+04,1.80000000000000E+04,1.80000000000000E+04,1.80000000000000E+04,1.80000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.10000000000000E+04,2.10000000000000E+04,2.20000000000000E+04,2.10000000000000E+04,2.10000000000000E+04,2.10000000000000E+04,2.10000000000000E+04,,,
AG.LND.IRIG.ZS,Irrigated land (% of crop land),MUS,Mauritius,,8.69565217391304E+00,8.60215053763440E+00,1.18279569892473E+01,1.18279569892473E+01,1.27659574468085E+01,1.41304347826086E+01,1.53061224489795E+01,1.44230769230769E+01,1.44230769230769E+01,1.42857142857142E+01,1.42857142857142E+01,1.41509433962264E+01,1.41509433962264E+01,1.41509433962264E+01,1.41509433962264E+01,1.40186915887850E+01,1.40186915887850E+01,1.40186915887850E+01,1.49532710280373E+01,1.49532710280373E+01,1.49532710280373E+01,1.49532710280373E+01,1.49532710280373E+01,1.49532710280373E+01,1.58878504672897E+01,1.58878504672897E+01,1.58878504672897E+01,1.60377358490566E+01,1.60377358490566E+01,1.60377358490566E+01,1.60377358490566E+01,1.60377358490566E+01,1.69811320754716E+01,1.69811320754716E+01,1.69811320754716E+01,1.69811320754716E+01,1.69811320754716E+01,1.88679245283018E+01,1.88679245283018E+01,1.88679245283018E+01,1.98113207547169E+01,1.98113207547169E+01,2.07547169811320E+01,,,,,,,
