Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",MAR,Morocco,,8.00000000000000E+03,8.10000000000000E+03,8.20000000000000E+03,8.40000000000000E+03,8.61100000000000E+03,9.00000000000000E+03,9.40000000000000E+03,9.80000000000000E+03,1.01320000000000E+04,1.07000000000000E+04,1.16000000000000E+04,1.26220000000000E+04,1.40480000000000E+04,1.56010000000000E+04,1.75520000000000E+04,1.97850000000000E+04,2.00560000000000E+04,2.16320000000000E+04,2.38870000000000E+04,2.46840000000000E+04,2.97120000000000E+04,3.10840000000000E+04,3.15860000000000E+04,3.12990000000000E+04,3.20000000000000E+04,3.28000000000000E+04,3.35000000000000E+04,3.42780000000000E+04,3.67000000000000E+04,3.91550000000000E+04,4.10000000000000E+04,4.10000000000000E+04,4.10000000000000E+04,4.10000000000000E+04,4.10000000000000E+04,4.10000000000000E+04,4.32260000000000E+04,4.32260000000000E+04,4.32260000000000E+04,4.61000000000000E+04,4.85750000000000E+04,4.90060000000000E+04,4.95690000000000E+04,4.95690000000000E+04,4.95690000000000E+04,4.96000000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",MAR,Morocco,,,,,,,,,,,3.34500000000000E+05,4.56500000000000E+05,1.43700000000000E+05,1.87900000000000E+05,7.48000000000000E+04,3.71100000000000E+04,1.28500000000000E+05,1.50240000000000E+05,1.41000000000000E+05,1.19200000000000E+05,1.20357000000000E+05,4.77420000000000E+05,1.41936000000000E+05,4.47677000000000E+05,5.17813000000000E+05,1.42297000000000E+05,6.10970000000000E+05,3.39647000000000E+05,3.14213000000000E+05,2.21426000000000E+05,2.00738000000000E+05,1.91021000000000E+05,2.33665000000000E+05,1.24060000000000E+05,1.27660000000000E+04,,4.27500000000000E+03,1.00000000000000E+04,1.00000000000000E+04,1.92000000000000E+04,2.77521000000000E+05,8.50000000000000E+03,4.35000000000000E+03,,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),MAR,Morocco,,2.89230000000000E+04,4.42630000000000E+04,3.96660000000000E+04,3.90420000000000E+04,4.95500000000000E+04,5.94670000000000E+04,7.74000000000000E+04,9.69470000000000E+04,9.45300000000000E+04,8.78000000000000E+04,1.08929000000000E+05,1.14623000000000E+05,1.33700000000000E+05,1.49600000000000E+05,1.65800000000000E+05,1.86800000000000E+05,1.79500000000000E+05,1.86000000000000E+05,1.91350000000000E+05,2.06669000000000E+05,2.12107000000000E+05,2.11600000000000E+05,2.45200000000000E+05,2.46200000000000E+05,2.91245000000000E+05,3.09503000000000E+05,3.03352000000000E+05,3.38854000000000E+05,3.15890000000000E+05,3.50000000000000E+05,2.88700000000000E+05,2.90930000000000E+05,3.34400000000000E+05,2.95100000000000E+05,2.82200000000000E+05,2.90000000000000E+05,3.27327000000000E+05,3.25000000000000E+05,3.64533000000000E+05,3.67416000000000E+05,3.60200000000000E+05,5.50789000000000E+05,5.00843000000000E+05,5.88094000000000E+05,3.60965000000000E+05,4.51000000000000E+05,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),MAR,Morocco,,4.38892261001517E+01,6.71669195751138E+01,5.96481203007518E+01,5.82716417910447E+01,7.28676470588235E+01,8.61840579710144E+01,1.12173913043478E+02,1.38495714285714E+02,1.35042857142857E+02,1.24081401921989E+02,1.36451208818739E+02,1.60739026784462E+02,1.85823488533703E+02,2.07777777777777E+02,2.27341286164815E+02,2.55365686944634E+02,2.40939597315436E+02,2.42883259336641E+02,2.54997334754797E+02,2.74460823373173E+02,2.75821846553966E+02,2.72434659456675E+02,3.13434743704461E+02,3.14271125861628E+02,3.69694084793094E+02,3.88969460852079E+02,3.71481753612539E+02,4.14551015414729E+02,3.73524890623152E+02,4.01975422074193E+02,3.31191923827004E+02,3.25643608685918E+02,3.71596844093788E+02,3.23432704953967E+02,3.16332249747786E+02,3.18821459982409E+02,3.64506681514476E+02,3.59791874238901E+02,4.13396461782717E+02,4.19089768449868E+02,4.24363807728557E+02,6.55545108307545E+02,5.53112092766427E+02,7.16314250913520E+02,4.44428712139867E+02,5.59275793650793E+02,,,,
AG.CRP.BLY.CD,"Producer Price for Barley (per tonne, current US$)",MAR,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68840000000000E+02,2.37759999999999E+02,2.16160000000000E+02,1.30400000000000E+02,2.30669999999999E+02,1.65220000000000E+02,1.76340000000000E+02,1.88460000000000E+02,1.94810000000000E+02,2.13630000000000E+02,1.93750000000000E+02,1.48810000000000E+02,1.56669999999999E+02,1.81669999999999E+02,2.20190000000000E+02,1.83150000000000E+02,2.02889999999999E+02,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",MAR,Morocco,,,,,,,1.80000000000000E+02,1.90000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.70000000000000E+02,3.01000000000000E+02,3.10000000000000E+02,4.45000000000000E+02,5.80000000000000E+02,6.20000000000000E+02,5.20000000000000E+02,8.50000000000000E+02,8.10000000000000E+02,8.60000000000000E+02,1.27000000000000E+03,1.47000000000000E+03,9.40000000000000E+02,1.35000000000000E+03,1.50000000000000E+03,1.53000000000000E+03,1.29000000000000E+03,1.28000000000000E+03,1.23000000000000E+03,1.29000000000000E+03,1.50000000000000E+03,1.47000000000000E+03,2.03000000000000E+03,2.01000000000000E+03,1.20000000000000E+03,1.97000000000000E+03,1.44000000000000E+03,1.68000000000000E+03,1.81000000000000E+03,1.91000000000000E+03,2.27000000000000E+03,2.19000000000000E+03,1.64000000000000E+03,1.50000000000000E+03,1.61000000000000E+03,1.95000000000000E+03,1.61000000000000E+03,1.66050000000000E+03,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",MAR,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18229999999999E+02,2.52990000000000E+02,2.04330000000000E+02,1.77120000000000E+02,4.02800000000000E+02,2.28319999999999E+02,2.13080000000000E+02,2.60300000000000E+02,2.35610000000000E+02,2.18340000000000E+02,2.44180000000000E+02,2.64959999999999E+02,2.57980000000000E+02,2.90000000000000E+02,2.92459999999999E+02,3.26490000000000E+02,3.68500000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",MAR,Morocco,,,,,,,2.00000000000000E+02,2.10000000000000E+02,2.20000000000000E+02,2.20000000000000E+02,2.80000000000000E+02,2.40000000000000E+02,3.20000000000000E+02,4.50000000000000E+02,5.80000000000000E+02,5.00000000000000E+02,5.80000000000000E+02,9.60000000000000E+02,8.40000000000000E+02,9.10000000000000E+02,7.40000000000000E+02,1.12000000000000E+03,1.02000000000000E+03,1.35000000000000E+03,1.76000000000000E+03,1.50000000000000E+03,1.83000000000000E+03,1.64000000000000E+03,1.78000000000000E+03,1.77000000000000E+03,1.73000000000000E+03,1.90000000000000E+03,2.16000000000000E+03,1.90000000000000E+03,1.63000000000000E+03,3.44000000000000E+03,1.99000000000000E+03,2.03000000000000E+03,2.50000000000000E+03,2.31000000000000E+03,2.32000000000000E+03,2.76000000000000E+03,2.92000000000000E+03,2.47000000000000E+03,2.57000000000000E+03,2.59000000000000E+03,2.87000000000000E+03,3.01590000000000E+03,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",MAR,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42349999999999E+02,2.95160000000000E+02,2.69930000000000E+02,2.45580000000000E+02,2.92730000000000E+02,2.50120000000000E+02,1.85789999999999E+02,2.05110000000000E+02,1.92770000000000E+02,2.23050000000000E+02,1.98180000000000E+02,1.87830000000000E+02,2.00539999999999E+02,2.22300000000000E+02,2.25840000000000E+02,2.11590000000000E+02,2.35970000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",MAR,Morocco,,,,,,,2.10000000000000E+02,2.20000000000000E+02,2.25000000000000E+02,2.30000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.10000000000000E+02,5.06000000000000E+02,7.00000000000000E+02,6.70000000000000E+02,6.80000000000000E+02,8.70000000000000E+02,8.90000000000000E+02,9.00000000000000E+02,1.37000000000000E+03,1.68000000000000E+03,1.13000000000000E+03,1.45000000000000E+03,1.52000000000000E+03,1.76000000000000E+03,1.72000000000000E+03,1.74000000000000E+03,1.82000000000000E+03,1.88000000000000E+03,1.91000000000000E+03,2.11000000000000E+03,2.52000000000000E+03,2.51000000000000E+03,2.26000000000000E+03,2.50000000000000E+03,2.18000000000000E+03,1.77000000000000E+03,1.97000000000000E+03,1.89000000000000E+03,2.37000000000000E+03,2.24000000000000E+03,2.07000000000000E+03,1.92000000000000E+03,1.97000000000000E+03,2.00000000000000E+03,1.86000000000000E+03,1.93120000000000E+03,,,
