Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",MOZ,Mozambique,,2.15000000000000E+03,2.30000000000000E+03,2.45000000000000E+03,2.60000000000000E+03,2.75000000000000E+03,2.94800000000000E+03,3.30000000000000E+03,3.60000000000000E+03,3.90000000000000E+03,4.19300000000000E+03,4.28000000000000E+03,4.37000000000000E+03,4.45500000000000E+03,4.54000000000000E+03,4.62500000000000E+03,4.71500000000000E+03,4.80000000000000E+03,4.89000000000000E+03,4.98000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.02000000000000E+03,5.04000000000000E+03,5.14000000000000E+03,5.30000000000000E+03,5.49000000000000E+03,5.69000000000000E+03,6.05000000000000E+03,6.25000000000000E+03,6.38000000000000E+03,6.54000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",MOZ,Mozambique,,,,,,,,,,,,,,,3.40000000000000E+04,5.75000000000000E+04,9.69000000000000E+04,1.32800000000000E+05,1.25010000000000E+05,1.51021000000000E+05,1.54641000000000E+05,1.48465000000000E+05,1.74136000000000E+05,3.10619000000000E+05,3.78612000000000E+05,2.61744000000000E+05,3.63942000000000E+05,4.22729000000000E+05,4.36604000000000E+05,4.79924000000000E+05,4.38429000000000E+05,5.32025000000000E+05,9.21147000000000E+05,2.64609000000000E+05,3.25511000000000E+05,2.29044000000000E+05,8.42080000000000E+04,1.78475000000000E+05,1.66963000000000E+05,1.36684000000000E+05,2.01432000000000E+05,2.04708000000000E+05,2.38353000000000E+05,1.75489000000000E+05,5.37490000000000E+04,1.19036000000000E+05,8.05720000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),MOZ,Mozambique,,3.55000000000000E+03,3.60000000000000E+03,4.30000000000000E+03,6.80000000000000E+03,6.80000000000000E+03,5.00000000000000E+03,5.14100000000000E+03,5.99300000000000E+03,7.29300000000000E+03,6.56500000000000E+03,9.94700000000000E+03,1.55000000000000E+04,1.27000000000000E+04,6.96300000000000E+03,5.90000000000000E+03,1.12000000000000E+04,1.45000000000000E+04,2.07000000000000E+04,2.39000000000000E+04,2.76000000000000E+04,4.14000000000000E+04,3.58000000000000E+04,1.47000000000000E+04,3.90000000000000E+03,3.80300000000000E+03,5.90000000000000E+03,6.50000000000000E+03,1.60000000000000E+03,2.40000000000000E+03,2.60000000000000E+03,5.10000000000000E+03,4.90000000000000E+03,3.20000000000000E+03,6.30000000000000E+03,7.80000000000000E+03,8.10000000000000E+03,6.50000000000000E+03,8.00000000000000E+03,8.00000000000000E+03,1.43000000000000E+04,2.49000000000000E+04,2.66000000000000E+04,3.53980000000000E+04,2.44200000000000E+04,7.13700000000000E+03,2.27510000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),MOZ,Mozambique,,1.45253682487725E+01,1.46938775510204E+01,1.75152749490835E+01,2.76422764227642E+01,2.75303643724696E+01,2.02101859337105E+01,2.05640000000000E+01,2.30500000000000E+01,2.70111111111111E+01,2.35727109515260E+01,3.57163375224416E+01,5.53571428571428E+01,4.45614035087719E+01,2.44315789473684E+01,2.05574912891986E+01,3.90243902439024E+01,5.05226480836236E+01,7.21254355400696E+01,8.32752613240418E+01,9.61672473867595E+01,1.41780821917808E+02,1.19333333333333E+02,4.90000000000000E+01,1.25806451612903E+01,1.20730158730158E+01,1.84375000000000E+01,1.96969696969696E+01,4.77611940298507E+00,7.05882352941176E+00,7.53623188405797E+00,1.45714285714285E+01,1.39204545454545E+01,9.09090909090909E+00,1.76470588235294E+01,2.13698630136986E+01,2.16000000000000E+01,1.66666666666666E+01,2.00000000000000E+01,2.02531645569620E+01,3.66666666666666E+01,6.22500000000000E+01,5.97752808988764E+01,7.86622222222222E+01,5.30869565217391E+01,1.58599999999999E+01,4.94586956521739E+01,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",MOZ,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38800000000000E+01,5.27999999999999E+01,5.17899999999999E+01,5.72899999999999E+01,4.79200000000000E+01,8.49099999999999E+01,8.30699999999999E+01,1.76710000000000E+02,1.64410000000000E+02,1.45599999999999E+02,1.22760000000000E+02,1.11920000000000E+02,1.22580000000000E+02,1.41550000000000E+02,1.46240000000000E+02,1.38229999999999E+02,1.50560000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",MOZ,Mozambique,,,,,,,1.50000000000000E+03,1.50000000000000E+03,1.70000000000000E+03,1.80000000000000E+03,1.90000000000000E+03,2.00000000000000E+03,2.10000000000000E+03,2.20000000000000E+03,2.30000000000000E+03,2.40000000000000E+03,2.50000000000000E+03,3.20000000000000E+03,3.20000000000000E+03,3.20000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,1.30000000000000E+04,1.30000000000000E+04,4.00000000000000E+04,1.08000000000000E+05,1.51200000000000E+05,1.66300000000000E+05,9.34570000000000E+04,1.35513000000000E+05,2.04624000000000E+05,3.52800000000000E+05,4.41000000000000E+05,9.78000000000000E+05,9.78000000000000E+05,2.14000000000000E+06,2.14200000000000E+06,2.24910000000000E+06,2.54148300000000E+06,2.65000000000000E+06,2.91529000000000E+06,3.18093060000000E+06,3.31305410000000E+06,3.50850000000000E+03,3.88219999999999E+03,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",MOZ,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32690000000000E+02,1.09670000000000E+02,1.07569999999999E+02,8.93100000000000E+01,9.23599999999999E+01,1.07050000000000E+02,1.38539999999999E+02,1.38069999999999E+02,1.29720000000000E+02,5.17899999999999E+01,9.17699999999999E+01,1.26700000000000E+02,1.05120000000000E+02,1.22370000000000E+02,1.54490000000000E+02,1.39870000000000E+02,1.45430000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",MOZ,Mozambique,,,,,,,1.24000000000000E+03,1.29000000000000E+03,1.32000000000000E+03,1.38000000000000E+03,1.46000000000000E+03,1.66000000000000E+03,1.89000000000000E+03,1.95000000000000E+03,2.06000000000000E+03,2.21000000000000E+03,2.90000000000000E+03,3.20000000000000E+03,3.20000000000000E+03,3.20000000000000E+03,3.20000000000000E+03,4.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,1.00000000000000E+04,1.00000000000000E+04,3.00000000000000E+04,8.10000000000000E+04,1.13400000000000E+05,1.24700000000000E+05,1.94108000000000E+05,2.81457000000000E+05,4.25000000000000E+05,5.50000000000000E+05,8.50000000000000E+05,1.23300000000000E+06,1.63100000000000E+06,1.67200000000000E+06,1.69000000000000E+06,8.00000000000000E+05,1.90000000000000E+06,3.00000000000000E+06,2.50000000000000E+06,2.75000000000000E+06,3.50000000000000E+06,3.55000000000000E+03,3.75000000000000E+03,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",MOZ,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81080000000000E+02,1.49660000000000E+02,1.46789999999999E+02,1.62380000000000E+02,1.35819999999999E+02,2.17060000000000E+02,1.69889999999999E+02,1.65150000000000E+02,1.68860000000000E+02,9.06299999999999E+01,9.41899999999999E+01,1.05580000000000E+02,8.40999999999999E+01,1.44620000000000E+02,1.63319999999999E+02,1.57599999999999E+02,1.93910000000000E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",MOZ,Mozambique,,,,,,,2.32100000000000E+03,2.41000000000000E+03,2.47000000000000E+03,2.59000000000000E+03,2.73000000000000E+03,3.11000000000000E+03,3.54000000000000E+03,3.65000000000000E+03,3.86000000000000E+03,4.14000000000000E+03,5.50000000000000E+03,6.20000000000000E+03,6.20000000000000E+03,6.20000000000000E+03,6.20000000000000E+03,6.20000000000000E+03,1.00000000000000E+04,1.00000000000000E+04,1.00000000000000E+04,1.60000000000000E+04,1.60000000000000E+04,4.80000000000000E+04,1.30000000000000E+05,1.81400000000000E+05,1.99600000000000E+05,2.64901000000000E+05,3.84106000000000E+05,5.80000000000000E+05,1.00000000000000E+06,1.25000000000000E+06,2.50000000000000E+06,2.00000000000000E+06,2.00000000000000E+06,2.20000000000000E+06,1.40000000000000E+06,1.95000000000000E+06,2.50000000000000E+06,2.00000000000000E+06,3.25000000000000E+06,3.70000000000000E+06,4.00000000000000E+03,5.00000000000000E+03,,,
