Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",NAM,Namibia,,1.63000000000000E+03,1.65000000000000E+03,1.70000000000000E+03,1.75000000000000E+03,1.80000000000000E+03,1.85000000000000E+03,1.90000000000000E+03,1.95000000000000E+03,2.00000000000000E+03,2.05000000000000E+03,2.10000000000000E+03,2.15000000000000E+03,2.20000000000000E+03,2.25000000000000E+03,2.30000000000000E+03,2.35000000000000E+03,2.40000000000000E+03,2.45000000000000E+03,2.50000000000000E+03,2.55000000000000E+03,2.60000000000000E+03,2.65000000000000E+03,2.70000000000000E+03,2.75000000000000E+03,2.80000000000000E+03,2.85000000000000E+03,2.90000000000000E+03,2.95000000000000E+03,3.00000000000000E+03,3.05000000000000E+03,3.10000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,3.15000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",NAM,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72000000000000E+02,1.36500000000000E+03,1.23810000000000E+04,3.94600000000000E+03,2.64160000000000E+04,,,1.00000000000000E+04,,,1.99000000000000E+02,7.48000000000000E+02,2.63500000000000E+03,1.79100000000000E+03,4.22340000000000E+04,2.09800000000000E+03,1.49800000000000E+03,1.08600000000000E+03,4.68000000000000E+02,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),NAM,Namibia,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.18500000000000E+03,1.15100000000000E+03,2.55200000000000E+03,1.57000000000000E+03,2.33600000000000E+03,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),NAM,Namibia,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.22549019607843E+00,3.67647058823529E+00,3.67647058823529E+00,3.67647058823529E+00,3.90318627450980E+01,1.41226993865030E+01,3.13128834355828E+01,1.92638036809815E+01,2.86625766871165E+01,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",NAM,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47759999999999E+02,1.49020000000000E+02,1.68009999999999E+02,1.68979999999999E+02,2.09539999999999E+02,1.62819999999999E+02,1.84460000000000E+02,1.62800000000000E+02,1.47310000000000E+02,1.57349999999999E+02,1.54840000000000E+02,1.23330000000000E+02,2.53150000000000E+02,2.77889999999999E+02,2.63199999999999E+02,2.71050000000000E+02,2.83850000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",NAM,Namibia,,,,,,,3.80000000000000E+01,3.26000000000000E+01,3.75000000000000E+01,6.00000000000000E+01,3.60000000000000E+01,3.55000000000000E+01,3.28999999999999E+01,6.47999999999999E+01,5.68999999999999E+01,6.47000000000000E+01,7.42000000000000E+01,8.45000000000000E+01,7.85999999999999E+01,9.32999999999999E+01,1.05000000000000E+02,1.09800000000000E+02,1.20000000000000E+02,1.60000000000000E+02,2.20000000000000E+02,2.50000000000000E+02,2.60000000000000E+02,3.10000000000000E+02,3.40000000000000E+02,4.00000000000000E+02,3.80000000000000E+02,4.08000000000000E+02,4.25000000000000E+02,5.49000000000000E+02,6.00000000000000E+02,7.60000000000000E+02,7.00000000000000E+02,8.50000000000000E+02,9.00000000000000E+02,9.00000000000000E+02,1.09200000000000E+03,1.33300000000000E+03,1.30000000000000E+03,1.91500000000000E+03,1.79000000000000E+03,1.67000000000000E+03,1.82250000000000E+03,1.99830000000000E+03,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",NAM,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66590000000000E+02,1.72860000000000E+02,1.94940000000000E+02,1.97419999999999E+02,1.93270000000000E+02,1.76770000000000E+02,1.51910000000000E+02,1.53759999999999E+02,1.46330000000000E+02,1.45099999999999E+02,9.82699999999999E+01,1.06069999999999E+02,2.28560000000000E+02,3.77560000000000E+02,2.76600000000000E+02,2.84850000000000E+02,3.02690000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",NAM,Namibia,,,,,,,3.47299999999999E+01,3.85900000000000E+01,3.63800000000000E+01,3.63800000000000E+01,3.91400000000000E+01,3.80399999999999E+01,3.73699999999999E+01,4.01000000000000E+01,4.55000000000000E+01,5.70000000000000E+01,6.59000000000000E+01,7.45000000000000E+01,8.10000000000000E+01,1.01200000000000E+02,1.18000000000000E+02,1.34000000000000E+02,1.50000000000000E+02,2.00000000000000E+02,2.70000000000000E+02,3.10000000000000E+02,3.24000000000000E+02,3.38000000000000E+02,3.68000000000000E+02,4.35000000000000E+02,4.39000000000000E+02,4.60000000000000E+02,4.93000000000000E+02,6.37000000000000E+02,7.01000000000000E+02,7.01000000000000E+02,7.60000000000000E+02,7.00000000000000E+02,8.50000000000000E+02,8.94000000000000E+02,1.00700000000000E+03,8.46000000000000E+02,1.11800000000000E+03,1.72900000000000E+03,2.43200000000000E+03,1.75500000000000E+03,1.91530000000000E+03,2.13090000000000E+03,,,
AG.CRP.SGM.CD,"Producer Price for Sorghum (per tonne, current US$)",NAM,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47759999999999E+02,1.49020000000000E+02,1.68009999999999E+02,1.68979999999999E+02,1.81960000000000E+02,1.73520000000000E+02,1.84460000000000E+02,1.62800000000000E+02,1.47310000000000E+02,1.57349999999999E+02,1.54840000000000E+02,1.23330000000000E+02,2.53150000000000E+02,2.77889999999999E+02,2.63199999999999E+02,2.71050000000000E+02,2.83850000000000E+02,,,
AG.CRP.SGM.CN,"Producer Price for Sorghum (per tonne, current LCU)",NAM,Namibia,,,,,,,3.80000000000000E+01,3.26000000000000E+01,3.75000000000000E+01,6.00000000000000E+01,3.60000000000000E+01,3.55000000000000E+01,3.28999999999999E+01,6.47999999999999E+01,5.68999999999999E+01,6.47000000000000E+01,7.42000000000000E+01,8.45000000000000E+01,7.85999999999999E+01,9.32999999999999E+01,1.05000000000000E+02,1.09800000000000E+02,1.20000000000000E+02,1.60000000000000E+02,2.20000000000000E+02,2.50000000000000E+02,2.60000000000000E+02,3.10000000000000E+02,3.40000000000000E+02,4.00000000000000E+02,3.80000000000000E+02,4.08000000000000E+02,4.25000000000000E+02,5.49000000000000E+02,6.00000000000000E+02,6.60000000000000E+02,7.46000000000000E+02,8.50000000000000E+02,9.00000000000000E+02,9.00000000000000E+02,1.09200000000000E+03,1.33300000000000E+03,1.30000000000000E+03,1.91500000000000E+03,1.79000000000000E+03,1.67000000000000E+03,1.82250000000000E+03,1.99830000000000E+03,,,
