Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",NER,Niger,,5.00000000000000E+00,6.00000000000000E+00,7.00000000000000E+00,9.00000000000000E+00,1.10000000000000E+01,1.10000000000000E+01,1.20000000000000E+01,1.40000000000000E+01,1.40000000000000E+01,4.70000000000000E+01,6.00000000000000E+01,6.10000000000000E+01,6.20000000000000E+01,6.50000000000000E+01,6.80000000000000E+01,7.40000000000000E+01,7.50000000000000E+01,7.50000000000000E+01,7.50000000000000E+01,9.60000000000000E+01,1.05000000000000E+02,1.21000000000000E+02,1.28000000000000E+02,1.40000000000000E+02,1.50000000000000E+02,1.58000000000000E+02,1.58000000000000E+02,1.62000000000000E+02,1.74000000000000E+02,1.70000000000000E+02,1.65000000000000E+02,1.60000000000000E+02,1.55000000000000E+02,1.50000000000000E+02,1.45000000000000E+02,1.40000000000000E+02,1.35000000000000E+02,1.30000000000000E+02,1.28000000000000E+02,1.28000000000000E+02,1.28000000000000E+02,1.28000000000000E+02,1.28000000000000E+02,1.30000000000000E+02,1.30000000000000E+02,1.30000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",NER,Niger,,,,,,,,,,,1.96000000000000E+04,1.30000000000000E+04,4.57000000000000E+04,1.95000000000000E+05,7.25000000000000E+04,8.55300000000000E+04,4.59800000000000E+04,1.99470000000000E+04,2.32500000000000E+04,9.10000000000000E+03,1.08660000000000E+04,7.13600000000000E+04,1.17600000000000E+04,1.29320000000000E+04,2.21282000000000E+05,1.07318000000000E+05,1.70430000000000E+04,2.29320000000000E+04,3.96710000000000E+04,2.23450000000000E+04,6.59430000000000E+04,3.24630000000000E+04,1.43080000000000E+04,2.46550000000000E+04,1.28140000000000E+04,8.57900000000000E+03,1.70480000000000E+04,2.50220000000000E+04,3.76250000000000E+04,6.39600000000000E+03,2.05080000000000E+04,3.05340000000000E+04,1.57510000000000E+04,1.98530000000000E+04,3.03280000000000E+04,1.01138000000000E+05,9.28610000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),NER,Niger,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,2.95000000000000E+02,2.55000000000000E+02,3.46000000000000E+02,1.75000000000000E+02,2.52000000000000E+02,4.03000000000000E+02,3.90000000000000E+02,1.57000000000000E+02,6.31000000000000E+02,1.15200000000000E+03,2.08200000000000E+03,1.68100000000000E+03,1.80400000000000E+03,2.69300000000000E+03,5.56500000000000E+03,2.81300000000000E+03,1.80000000000000E+03,2.33800000000000E+03,3.57100000000000E+03,1.98500000000000E+03,2.85400000000000E+03,1.73000000000000E+03,2.75200000000000E+03,2.29900000000000E+03,5.30000000000000E+02,1.40000000000000E+03,1.50000000000000E+03,6.11500000000000E+03,9.97900000000000E+03,9.00000000000000E+03,7.00000000000000E+02,5.00000000000000E+02,4.18800000000000E+03,4.52400000000000E+03,4.98200000000000E+03,8.54200000000000E+03,6.45600000000000E+03,5.11900000000000E+03,4.60500000000000E+03,0.00000000000000E+00,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),NER,Niger,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,8.69640838333768E-02,8.69716472429987E-02,8.69716472429987E-02,2.56566359366846E-01,2.09445585215605E-01,2.84235603384539E-01,1.56291863892113E-01,2.24478888295029E-01,3.60690951400698E-01,3.60777058279370E-01,1.60597381342062E-01,6.45458265139116E-01,1.17863720073664E+00,2.13014119091467E+00,1.71986904031102E+00,1.81270096463022E+00,2.63709361535448E+00,5.69484240687679E+00,2.85525781567194E+00,1.79964007198560E+00,2.39255014326647E+00,3.65506653019447E+00,2.03172978505629E+00,3.00357819406440E+00,1.82316366318895E+00,2.86845945382530E+00,2.08318231243204E+00,4.38306318226926E-01,1.07800107800107E+00,1.15509009702756E+00,4.70927993839045E+00,7.13550232391848E+00,6.43546657132642E+00,5.00536288880943E-01,3.57525920629245E-01,2.99463711119056E+00,3.23489452985341E+00,3.56238827314980E+00,6.10797282803003E+00,4.58359957401490E+00,3.71345665578527E+00,3.21578212290502E+00,0.00000000000000E+00,,,,
AG.CRP.FNO.CD,"Producer Price for Fonio (per tonne, current US$)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86339999999999E+02,3.04880000000000E+02,2.82519999999999E+02,1.51300000000000E+02,1.68289999999999E+02,1.64210000000000E+02,1.45630000000000E+02,1.33910000000000E+02,1.23440000000000E+02,1.10959999999999E+02,1.10500000000000E+02,1.37740000000000E+02,1.46250000000000E+02,1.64970000000000E+02,1.72020000000000E+02,1.75400000000000E+02,1.95889999999999E+02,,,
AG.CRP.FNO.CN,"Producer Price for Fonio (per tonne, current LCU)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07770000000000E+04,8.06980000000000E+04,8.00000000000000E+04,8.40000000000000E+04,8.40000000000000E+04,8.40000000000000E+04,8.50000000000000E+04,7.90000000000000E+04,7.60000000000000E+04,7.90000000000000E+04,8.10000000000000E+04,9.60000000000000E+04,8.50000000000000E+04,8.70361999999999E+04,9.05800000000000E+04,9.16271999999999E+04,9.37476000000000E+04,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50099999999999E+02,1.57330000000000E+02,1.41259999999999E+02,8.10499999999999E+01,9.61599999999999E+01,9.97000000000000E+01,1.21640000000000E+02,1.08480000000000E+02,1.12069999999999E+02,1.08150000000000E+02,1.15959999999999E+02,1.16209999999999E+02,1.22160000000000E+02,1.34150000000000E+02,1.35080000000000E+02,1.37729999999999E+02,1.52900000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23450000000000E+04,4.16430000000000E+04,4.00000000000000E+04,4.50000000000000E+04,4.80000000000000E+04,5.10000000000000E+04,7.10000000000000E+04,6.40000000000000E+04,6.90000000000000E+04,7.70000000000000E+04,8.50000000000000E+04,8.10000000000000E+04,7.10000000000000E+04,7.07773999999999E+04,7.11280000000000E+04,7.19503000000000E+04,7.31733999999999E+04,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63020000000000E+02,1.64259999999999E+02,1.41259999999999E+02,1.15270000000000E+02,1.38240000000000E+02,1.38789999999999E+02,1.40490000000000E+02,1.40690000000000E+02,1.29930000000000E+02,1.17980000000000E+02,1.17319999999999E+02,1.29130000000000E+02,1.49690000000000E+02,1.67229999999999E+02,1.73039999999999E+02,1.76430000000000E+02,1.96840000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59880000000000E+04,4.34770000000000E+04,4.00000000000000E+04,6.40000000000000E+04,6.90000000000000E+04,7.10000000000000E+04,8.20000000000000E+04,8.30000000000000E+04,8.00000000000000E+04,8.40000000000000E+04,8.60000000000000E+04,9.00000000000000E+04,8.70000000000000E+04,8.82296000000000E+04,9.11166000000000E+04,9.21700000000000E+04,9.42021999999999E+04,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60389999999999E+02,2.63139999999999E+02,2.29550000000000E+02,1.80110000000000E+02,2.14370000000000E+02,2.05259999999999E+02,1.88460000000000E+02,2.03410000000000E+02,1.62419999999999E+02,1.54500000000000E+02,1.43240000000000E+02,1.54949999999999E+02,1.77220000000000E+02,1.94729999999999E+02,2.01030000000000E+02,2.04970000000000E+02,2.26289999999999E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34570000000000E+04,6.96510000000000E+04,6.50000000000000E+04,1.00000000000000E+05,1.07000000000000E+05,1.05000000000000E+05,1.10000000000000E+05,1.20000000000000E+05,1.00000000000000E+05,1.10000000000000E+05,1.05000000000000E+05,1.08000000000000E+05,1.03000000000000E+05,1.02736200000000E+05,1.05851399999999E+05,1.07075100000000E+05,1.08296000000000E+05,,,
AG.CRP.SGM.CD,"Producer Price for Sorghum (per tonne, current US$)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40229999999999E+02,1.45220000000000E+02,1.30669999999999E+02,7.20499999999999E+01,9.61599999999999E+01,9.18799999999999E+01,9.93700000000000E+01,8.13599999999999E+01,8.28299999999999E+01,7.72500000000000E+01,8.32199999999999E+01,9.46899999999999E+01,1.01510000000000E+02,1.14300000000000E+02,1.17420000000000E+02,1.19720000000000E+02,1.34060000000000E+02,,,
AG.CRP.SGM.CN,"Producer Price for Sorghum (per tonne, current LCU)",NER,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95590000000000E+04,3.84390000000000E+04,3.70000000000000E+04,4.00000000000000E+04,4.80000000000000E+04,4.70000000000000E+04,5.80000000000000E+04,4.80000000000000E+04,5.10000000000000E+04,5.50000000000000E+04,6.10000000000000E+04,6.60000000000000E+04,5.90000000000000E+04,6.03060000000000E+04,6.18270999999999E+04,6.25419000000000E+04,6.41586999999999E+04,,,
