Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",NGA,Nigeria,,5.00000000000000E+02,5.50000000000000E+02,6.00000000000000E+02,6.50000000000000E+02,1.00000000000000E+03,1.30000000000000E+03,1.60000000000000E+03,1.80000000000000E+03,2.00000000000000E+03,3.00000000000000E+03,3.80000000000000E+03,6.50000000000000E+03,7.00000000000000E+03,7.30000000000000E+03,7.50000000000000E+03,7.70000000000000E+03,7.90000000000000E+03,8.10000000000000E+03,8.50000000000000E+03,9.00000000000000E+03,1.00000000000000E+04,1.20000000000000E+04,1.30000000000000E+04,1.50000000000000E+04,1.80000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,2.10000000000000E+04,2.20000000000000E+04,2.30000000000000E+04,2.40000000000000E+04,2.50000000000000E+04,2.60000000000000E+04,2.70000000000000E+04,2.85000000000000E+04,2.90000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",NGA,Nigeria,,,,,,,,,,,6.00000000000000E+04,1.70000000000000E+03,3.60000000000000E+03,1.31000000000000E+04,7.30000000000000E+03,2.20000000000000E+03,,,,,,1.43000000000000E+03,,,3.20000000000000E+01,3.60000000000000E+01,,,,,,5.65000000000000E+02,,,,,,1.10400000000000E+03,,,,,1.25000000000000E+04,,1.05000000000000E+04,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),NGA,Nigeria,,1.39400000000000E+03,1.68500000000000E+03,2.09300000000000E+03,2.80100000000000E+03,3.64900000000000E+03,7.33000000000000E+03,7.26100000000000E+03,1.01000000000000E+04,1.04050000000000E+04,6.89400000000000E+03,9.24500000000000E+03,1.95580000000000E+04,1.52000000000000E+04,2.89000000000000E+04,5.43000000000000E+04,7.90000000000000E+04,7.40000000000000E+04,7.14000000000000E+04,1.08300000000000E+05,1.73900000000000E+05,2.13200000000000E+05,2.13000000000000E+05,2.59500000000000E+05,2.66200000000000E+05,2.22600000000000E+05,2.56700000000000E+05,2.35100000000000E+05,3.25200000000000E+05,3.63900000000000E+05,4.00380000000000E+05,4.29200000000000E+05,4.40000000000000E+05,4.61000000000000E+05,2.96000000000000E+05,1.83000000000000E+05,1.73500000000000E+05,1.37700000000000E+05,1.63200000000000E+05,1.67700000000000E+05,1.87500000000000E+05,2.21000000000000E+05,1.66200000000000E+05,2.29748000000000E+05,1.52170000000000E+05,2.15171000000000E+05,0.00000000000000E+00,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),NGA,Nigeria,,5.28030303030303E-01,6.35849056603773E-01,7.86842105263157E-01,1.04906367041198E+00,1.36156716417910E+00,2.72998137802607E+00,2.69675023212627E+00,3.75116063138347E+00,3.81135531135531E+00,2.51422319474835E+00,3.37162654996353E+00,7.13274981765134E+00,5.54339897884755E+00,1.05397520058351E+01,1.97454545454545E+01,2.86335628851032E+01,2.66858997475658E+01,2.57482870537324E+01,3.89848812095032E+01,6.24416517055655E+01,7.65529622980251E+01,7.60361260843179E+01,9.21029281277728E+01,9.39374691227327E+01,7.81052631578947E+01,8.90546400693842E+01,8.12173973123294E+01,1.11457655002227E+02,1.23973699451504E+02,1.35542841666948E+02,1.44026845637583E+02,1.47048994051199E+02,1.53441618958860E+02,9.81269683407923E+01,6.02548483750946E+01,6.04529616724738E+01,4.88297872340425E+01,5.43999999999999E+01,5.58999999999999E+01,6.25000000000000E+01,7.36666666666666E+01,5.19375000000000E+01,7.17962500000000E+01,4.61121212121212E+01,6.14774285714285E+01,0.00000000000000E+00,,,,
AG.CRP.FNO.CD,"Producer Price for Fonio (per tonne, current US$)",NGA,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31190000000000E+02,1.28280000000000E+02,1.31699999999999E+02,1.41160000000000E+02,2.24620000000000E+02,3.39370000000000E+02,3.67180000000000E+02,3.78370000000000E+02,1.08670000000000E+02,1.03709999999999E+02,1.21390000000000E+02,1.35270000000000E+02,1.50840000000000E+02,1.78000000000000E+02,2.11229999999999E+02,2.34520000000000E+02,2.51259999999999E+02,,,
AG.CRP.FNO.CN,"Producer Price for Fonio (per tonne, current LCU)",NGA,Nigeria,,,,,,,4.00000000000000E+01,4.20000000000000E+01,4.20000000000000E+01,5.30000000000000E+01,6.00000000000000E+01,8.80000000000000E+01,8.80000000000000E+01,9.00000000000000E+01,9.60000000000000E+01,1.00000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.30000000000000E+02,1.30000000000000E+02,1.40000000000000E+02,1.40000000000000E+02,1.40000000000000E+02,2.20000000000000E+02,3.10000000000000E+02,3.60000000000000E+02,5.00000000000000E+02,1.00000000000000E+03,1.20000000000000E+03,1.25000000000000E+03,1.30000000000000E+03,2.21900000000000E+03,2.90600000000000E+03,3.10500000000000E+03,4.91800000000000E+03,7.42700000000000E+03,8.03600000000000E+03,8.28100000000000E+03,1.00340000000000E+04,1.05470000000000E+04,1.35020000000000E+04,1.63110000000000E+04,1.94920000000000E+04,2.36525000000000E+04,2.77235000000000E+04,2.99217999999999E+04,3.15930999999999E+04,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",NGA,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39569999999999E+02,3.28410000000000E+02,2.98199999999999E+02,2.80959999999999E+02,4.13329999999999E+02,7.16039999999999E+02,9.01490000000000E+02,1.15919000000000E+03,1.93310000000000E+02,1.84509999999999E+02,3.54399999999999E+02,3.50889999999999E+02,2.56690000000000E+02,2.82060000000000E+02,4.93709999999999E+02,3.89250000000000E+02,3.48620000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",NGA,Nigeria,,,,,,,4.00000000000000E+01,4.20000000000000E+01,4.20000000000000E+01,5.30000000000000E+01,6.00000000000000E+01,8.80000000000000E+01,8.80000000000000E+01,9.00000000000000E+01,9.60000000000000E+01,1.00000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,2.20000000000000E+02,2.20000000000000E+02,2.31000000000000E+02,2.31000000000000E+02,2.31000000000000E+02,3.60000000000000E+02,5.00000000000000E+02,8.10000000000000E+02,5.97000000000000E+02,1.26300000000000E+03,1.30000000000000E+03,1.27000000000000E+03,3.36500000000000E+03,5.68100000000000E+03,6.58000000000000E+03,6.18000000000000E+03,9.05000000000000E+03,1.56700000000000E+04,1.97300000000000E+04,2.53700000000000E+04,1.78500000000000E+04,1.87640000000000E+04,3.94200000000000E+04,4.23100000000000E+04,3.31700000000000E+04,3.74800000000000E+04,6.48000000000000E+04,4.96630000000000E+04,4.38340000000000E+04,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",NGA,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34829999999999E+02,3.18759999999999E+02,3.38089999999999E+02,2.53680000000000E+02,6.61330000000000E+02,8.02399999999999E+02,1.06231999999999E+03,1.20123000000000E+03,2.07819999999999E+02,1.98360000000000E+02,3.54399999999999E+02,3.41110000000000E+02,2.94220000000000E+02,3.35490000000000E+02,4.77480000000000E+02,4.42000000000000E+02,4.19889999999999E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",NGA,Nigeria,,,,,,,6.00000000000000E+01,4.90000000000000E+01,4.60000000000000E+01,6.00000000000000E+01,6.80000000000000E+01,9.90000000000000E+01,9.30000000000000E+01,9.00000000000000E+01,1.10000000000000E+02,1.15000000000000E+02,1.20000000000000E+02,1.30000000000000E+02,1.30000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,2.10000000000000E+02,2.10000000000000E+02,2.10000000000000E+02,3.50000000000000E+02,4.50000000000000E+02,5.20000000000000E+02,6.11000000000000E+02,1.56300000000000E+03,1.45000000000000E+03,1.36000000000000E+03,3.31800000000000E+03,5.51400000000000E+03,7.46000000000000E+03,5.58000000000000E+03,1.44800000000000E+04,1.75600000000000E+04,2.32500000000000E+04,2.62900000000000E+04,1.91900000000000E+04,2.01730000000000E+04,3.94200000000000E+04,4.11300000000000E+04,3.80200000000000E+04,4.45800000000000E+04,6.26700000000000E+04,5.63940000000000E+04,5.27960000000000E+04,,,
