Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",NAF,North Africa,,6.07070000000000E+04,6.19540000000000E+04,6.35940000000000E+04,6.58290000000000E+04,6.85110000000000E+04,7.32000000000000E+04,8.57810000000000E+04,8.76720000000000E+04,9.07940000000000E+04,9.30500000000000E+04,9.60660000000000E+04,1.01322000000000E+05,1.06384000000000E+05,1.12490000000000E+05,1.18752000000000E+05,1.22885000000000E+05,1.25324000000000E+05,1.37279000000000E+05,1.51923000000000E+05,1.56684000000000E+05,1.67351000000000E+05,1.74784000000000E+05,1.79965000000000E+05,1.94118000000000E+05,2.12366000000000E+05,2.20747000000000E+05,2.28381000000000E+05,2.34194000000000E+05,2.26336000000000E+05,2.44835000000000E+05,2.57588000000000E+05,2.55542000000000E+05,2.80726000000000E+05,2.79105000000000E+05,2.92671000000000E+05,2.93525000000000E+05,2.95159000000000E+05,2.96838000000000E+05,3.00085000000000E+05,3.05505000000000E+05,3.14435000000000E+05,3.17456000000000E+05,3.20370000000000E+05,3.23219000000000E+05,3.26188000000000E+05,3.28950000000000E+05,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",NAF,North Africa,,,,,,,,,,,1.13150000000000E+06,9.79400000000000E+05,6.60550000000000E+05,5.38000000000000E+05,7.97650000000000E+05,1.19968000000000E+06,2.30779000000000E+06,2.10915300000000E+06,2.36420100000000E+06,2.06063200000000E+06,2.11260000000000E+06,2.53544000000000E+06,2.11385100000000E+06,2.38300400000000E+06,2.66229200000000E+06,2.02431300000000E+06,2.98842200000000E+06,2.40486900000000E+06,2.29582400000000E+06,1.87482000000000E+06,2.98369400000000E+06,1.08947600000000E+06,8.30844000000000E+05,4.18994000000000E+05,2.38450000000000E+05,2.49110000000000E+05,1.89333000000000E+05,9.38920000000000E+04,5.04120000000000E+04,1.04261000000000E+05,3.34558000000000E+05,7.25090000000000E+04,4.84470000000000E+04,4.92940000000000E+04,4.27450000000000E+04,3.43090000000000E+04,3.46750000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),NAF,North Africa,,3.39902000000000E+05,3.63482000000000E+05,3.92876000000000E+05,4.20106000000000E+05,4.52653000000000E+05,4.29736000000000E+05,4.41782000000000E+05,5.25088000000000E+05,5.59574000000000E+05,6.18253000000000E+05,7.15329000000000E+05,8.00920000000000E+05,7.79860000000000E+05,8.21363000000000E+05,8.78269000000000E+05,9.47510000000000E+05,9.58764000000000E+05,1.03736800000000E+06,1.08554200000000E+06,1.22121700000000E+06,1.24433700000000E+06,1.30148000000000E+06,1.35716200000000E+06,1.41414900000000E+06,1.59947700000000E+06,1.77443300000000E+06,1.76034200000000E+06,1.67585400000000E+06,1.55560600000000E+06,1.59744600000000E+06,1.52730000000000E+06,1.45631500000000E+06,1.65973800000000E+06,1.42113600000000E+06,1.62100000000000E+06,1.64490000000000E+06,1.66129000000000E+06,1.76848100000000E+06,1.83573300000000E+06,1.88574700000000E+06,1.94704800000000E+06,2.08366200000000E+06,2.53153300000000E+06,2.86997700000000E+06,3.02486100000000E+06,2.06202600000000E+06,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),NAF,North Africa,,1.66937773193851E+02,1.80540406298117E+02,1.95723608827778E+02,2.08499677403345E+02,2.21021972656250E+02,2.07561823802163E+02,2.12446261120461E+02,2.52022078233741E+02,2.68136470362738E+02,2.94869556922783E+02,3.24736244779371E+02,3.75560348869924E+02,3.63486366814262E+02,3.81567871411316E+02,3.99594613039719E+02,4.26364577239796E+02,4.33339661016949E+02,4.69227428984982E+02,4.97726730857404E+02,5.64463600647099E+02,5.70535075653369E+02,5.94880702075143E+02,6.27212311673907E+02,6.43995172822077E+02,7.28691116173120E+02,8.04111569311641E+02,7.89284849571806E+02,7.50797007302540E+02,6.88412621144399E+02,7.01064688844027E+02,6.65142409197805E+02,6.13495239700058E+02,6.86381042967619E+02,5.89634055265123E+02,6.76290208185573E+02,6.76635129576306E+02,6.82619057402309E+02,7.30113533151680E+02,7.58285348424139E+02,7.88718474214730E+02,8.27791335402406E+02,8.87760214733074E+02,1.05175095659688E+03,1.23657934421991E+03,1.30855727634538E+03,8.93386768337593E+02,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",NAF,North Africa,,1.97491170000000E+07,1.99485980000000E+07,2.01522310000000E+07,2.03594540000000E+07,2.05683980000000E+07,2.07805030000000E+07,2.10026070000000E+07,2.12251400000000E+07,2.14483460000000E+07,2.16769610000000E+07,2.20894660000000E+07,2.23249440000000E+07,2.26679660000000E+07,2.29725370000000E+07,2.31416490000000E+07,2.31206210000000E+07,2.32821470000000E+07,2.35760440000000E+07,2.38548120000000E+07,2.40866190000000E+07,2.46268840000000E+07,2.48429080000000E+07,2.52435820000000E+07,2.56263140000000E+07,2.59641720000000E+07,2.65089760000000E+07,2.71345750000000E+07,2.76031880000000E+07,2.80857190000000E+07,2.86061670000000E+07,2.91187510000000E+07,2.97391060000000E+07,3.03962310000000E+07,2.46435180000000E+07,2.50147220000000E+07,2.52183630000000E+07,2.53415660000000E+07,2.60581080000000E+07,2.61409750000000E+07,2.63730980000000E+07,2.65670430000000E+07,2.68400450000000E+07,2.70971780000000E+07,2.73085210000000E+07,2.76851440000000E+07,2.82278940000000E+07,2.85386400000000E+07,,,
AG.LND.AGRI.HA,Agricultural land (hectares),NAF,North Africa,,9.12270000000000E+07,9.09950000000000E+07,9.10410000000000E+07,9.12420000000000E+07,9.19020000000000E+07,9.25150000000000E+07,9.30010000000000E+07,9.34420000000000E+07,9.40030000000000E+07,9.46710000000000E+07,9.72000000000000E+07,9.68060000000000E+07,9.62450000000000E+07,9.67020000000000E+07,9.66440000000000E+07,9.73020000000000E+07,9.76010000000000E+07,9.80080000000000E+07,9.80970000000000E+07,9.89850000000000E+07,9.46640000000000E+07,9.48610000000000E+07,9.53370000000000E+07,9.58000000000000E+07,9.51950000000000E+07,9.48930000000000E+07,9.51280000000000E+07,9.50740000000000E+07,9.55100000000000E+07,9.57660000000000E+07,9.62900000000000E+07,9.72010000000000E+07,9.77060000000000E+07,9.86080000000000E+07,9.85440000000000E+07,9.88780000000000E+07,9.88980000000000E+07,9.89720000000000E+07,9.88830000000000E+07,9.89650000000000E+07,9.87660000000000E+07,9.87750000000000E+07,9.94247000000000E+07,1.00079000000000E+08,1.00132000000000E+08,1.00037000000000E+08,1.00126000000000E+08,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),NAF,North Africa,,9.12270000000000E+05,9.09950000000000E+05,9.10410000000000E+05,9.12420000000000E+05,9.19020000000000E+05,9.25150000000000E+05,9.30010000000000E+05,9.34420000000000E+05,9.40030000000000E+05,9.46710000000000E+05,9.72000000000000E+05,9.68060000000000E+05,9.62450000000000E+05,9.67020000000000E+05,9.66440000000000E+05,9.73020000000000E+05,9.76010000000000E+05,9.80080000000000E+05,9.80970000000000E+05,9.89850000000000E+05,9.46640000000000E+05,9.48610000000000E+05,9.53370000000000E+05,9.58000000000000E+05,9.51950000000000E+05,9.48930000000000E+05,9.51280000000000E+05,9.50740000000000E+05,9.55100000000000E+05,9.57660000000000E+05,9.62900000000000E+05,9.72010000000000E+05,9.77060000000000E+05,9.86080000000000E+05,9.85440000000000E+05,9.88780000000000E+05,9.88980000000000E+05,9.89720000000000E+05,9.88830000000000E+05,9.89650000000000E+05,9.87660000000000E+05,9.87750000000000E+05,9.94247000000000E+05,1.00079000000000E+06,1.00132000000000E+06,1.00037000000000E+06,1.00126000000000E+06,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),NAF,North Africa,,2.90556885567009E+01,2.91352423222617E+01,2.92774063870982E+01,2.94858619609440E+01,2.96557187344056E+01,2.98498621457184E+01,2.99733447502033E+01,3.01808155898477E+01,3.04201096580332E+01,3.07754594943546E+01,3.18023544424863E+01,3.12555390853175E+01,3.14400729448686E+01,3.16227705270668E+01,3.18670393010838E+01,3.21303749990471E+01,3.24604040317321E+01,3.27280412832862E+01,3.27314511362657E+01,3.33819986113485E+01,3.34899440322892E+01,3.36162140434734E+01,3.37610824738207E+01,3.38650216877811E+01,3.38170397536492E+01,3.38047941851142E+01,3.39759715541794E+01,3.38819581808593E+01,3.43630865562012E+01,3.46128266043680E+01,3.50993617678538E+01,3.54124501003024E+01,3.54667650066965E+01,3.55890155668067E+01,3.54021938690491E+01,3.55797987866372E+01,3.55201661964402E+01,3.57034448852979E+01,3.54513632981497E+01,3.54809826030447E+01,3.51306665827575E+01,3.52587184949586E+01,3.58882562532423E+01,3.50227971823207E+01,3.49527804474474E+01,3.49161853404616E+01,3.49275511086196E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),NAF,North Africa,,2.03610000000000E+07,2.01330000000000E+07,2.00730000000000E+07,2.01490000000000E+07,2.04800000000000E+07,2.07040000000000E+07,2.07950000000000E+07,2.08350000000000E+07,2.08690000000000E+07,2.09670000000000E+07,2.20280000000000E+07,2.13260000000000E+07,2.14550000000000E+07,2.15260000000000E+07,2.19790000000000E+07,2.22230000000000E+07,2.21250000000000E+07,2.21080000000000E+07,2.18100000000000E+07,2.16350000000000E+07,2.18100000000000E+07,2.18780000000000E+07,2.16380000000000E+07,2.19590000000000E+07,2.19500000000000E+07,2.20670000000000E+07,2.23030000000000E+07,2.23210000000000E+07,2.25970000000000E+07,2.27860000000000E+07,2.29620000000000E+07,2.37380000000000E+07,2.41810000000000E+07,2.41020000000000E+07,2.39690000000000E+07,2.43100000000000E+07,2.43370000000000E+07,2.42220000000000E+07,2.42090000000000E+07,2.39090000000000E+07,2.35150000000000E+07,2.34650000000000E+07,2.34990000000000E+07,2.34840000000000E+07,2.34090000000000E+07,,,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),NAF,North Africa,,3.56519952172220E-01,3.44378792026070E-01,3.35313087641489E-01,3.28548708178406E-01,3.25799386895823E-01,3.21156176132644E-01,3.14412503446971E-01,3.07015880031320E-01,2.99760600029797E-01,2.93677854092964E-01,3.01033221240967E-01,2.84398476918562E-01,2.79202263526884E-01,2.73291189585883E-01,2.72130540446994E-01,2.68241837264008E-01,2.60267094473973E-01,2.53353765445332E-01,2.43377585726968E-01,2.34982063868483E-01,2.30466211868478E-01,2.24865311048200E-01,2.16312960311940E-01,2.13648193471217E-01,2.07778114616092E-01,2.03304905492060E-01,2.00173601009107E-01,1.95343915111329E-01,1.93143539563908E-01,1.90275303630066E-01,1.87601038686541E-01,1.89941315111001E-01,1.89678450354436E-01,1.85488001215099E-01,1.81106210394066E-01,1.80450106699754E-01,1.77569774535125E-01,1.73789640748357E-01,1.70835222995255E-01,1.65971642624797E-01,1.60624516533590E-01,1.57689998930212E-01,1.59165478448828E-01,1.51046480592596E-01,1.48085990053609E-01,1.45514482475617E-01,1.43085229537592E-01,,,
