Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",RWA,Rwanda,,2.00000000000000E+01,2.50000000000000E+01,2.80000000000000E+01,3.30000000000000E+01,3.70000000000000E+01,4.00000000000000E+01,4.30000000000000E+01,4.80000000000000E+01,6.40000000000000E+01,6.40000000000000E+01,6.50000000000000E+01,7.20000000000000E+01,8.00000000000000E+01,8.40000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.20000000000000E+01,8.20000000000000E+01,8.40000000000000E+01,8.40000000000000E+01,8.40000000000000E+01,8.40000000000000E+01,8.40000000000000E+01,8.50000000000000E+01,8.50000000000000E+01,8.60000000000000E+01,8.80000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,8.70000000000000E+01,8.40000000000000E+01,8.10000000000000E+01,7.80000000000000E+01,7.50000000000000E+01,7.20000000000000E+01,6.90000000000000E+01,6.60000000000000E+01,6.30000000000000E+01,6.00000000000000E+01,5.70000000000000E+01,5.60000000000000E+01,5.60000000000000E+01,5.60000000000000E+01,5.60000000000000E+01,5.60000000000000E+01,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",RWA,Rwanda,,,,,,,,,,,6.25000000000000E+03,6.60000000000000E+03,6.40000000000000E+03,5.90000000000000E+03,1.93000000000000E+04,9.80000000000000E+03,1.15000000000000E+04,1.46000000000000E+04,1.02570000000000E+04,1.43000000000000E+04,1.48300000000000E+04,1.25800000000000E+04,1.27060000000000E+04,2.53440000000000E+04,3.48640000000000E+04,2.50840000000000E+04,1.56950000000000E+04,7.86900000000000E+03,2.03300000000000E+03,5.89300000000000E+03,8.38000000000000E+03,7.97900000000000E+03,8.82530000000000E+04,8.61460000000000E+04,2.89195000000000E+05,2.67041000000000E+05,3.47223000000000E+05,1.80463000000000E+05,1.62891000000000E+05,2.06260000000000E+05,4.31190000000000E+04,4.85980000000000E+04,1.99050000000000E+04,2.76470000000000E+04,1.83750000000000E+04,2.94840000000000E+04,1.86030000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),RWA,Rwanda,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.00000000000000E+01,9.20000000000000E+01,2.13000000000000E+02,2.00000000000000E+02,2.20000000000000E+02,3.31000000000000E+02,3.33000000000000E+02,4.63000000000000E+02,2.80000000000000E+02,3.12000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,1.00000000000000E+02,3.00000000000000E+02,1.00000000000000E+03,7.00000000000000E+02,1.60000000000000E+03,1.40000000000000E+03,1.03300000000000E+03,1.99400000000000E+03,5.61000000000000E+02,5.88000000000000E+02,2.98900000000000E+03,1.58300000000000E+03,6.90000000000000E+02,1.40000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,3.00000000000000E+02,4.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),RWA,Rwanda,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,9.70873786407767E-01,1.76583493282149E+00,4.03409090909090E+00,3.83141762452107E+00,3.92857142857142E+00,5.33011272141706E+00,5.45901639344262E+00,6.93113772455089E+00,4.08163265306122E+00,4.45714285714285E+00,4.19580419580419E+00,4.10958904109589E+00,4.02684563758389E+00,1.31578947368421E+00,3.87096774193548E+00,1.26582278481012E+01,8.69565217391304E+00,1.95121951219512E+01,1.69286577992744E+01,1.23860911270983E+01,2.36817102137767E+01,6.60777385159010E+00,6.91764705882352E+00,3.39659090909090E+01,1.79886363636363E+01,7.84090909090909E+00,1.64705882352941E+01,0.00000000000000E+00,0.00000000000000E+00,4.00000000000000E+00,5.00000000000000E+00,3.65853658536585E+00,3.46420323325635E+00,3.33333333333333E+00,3.00000000000000E+00,,,,,,,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",RWA,Rwanda,,,,,,,4.80000000000000E+03,4.80000000000000E+03,4.80000000000000E+03,4.80000000000000E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",RWA,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39690000000000E+02,3.13529999999999E+02,2.55639999999999E+02,2.98459999999999E+02,4.60980000000000E+02,2.84420000000000E+02,3.80709999999999E+02,3.62399999999999E+02,3.24410000000000E+02,2.16080000000000E+02,2.03550000000000E+02,1.63419999999999E+02,1.40830000000000E+02,1.37389999999999E+02,1.42130000000000E+02,1.55539999999999E+02,1.65020000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",RWA,Rwanda,,,,,,,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,7.00000000000000E+03,8.00000000000000E+03,9.00000000000000E+03,8.70000000000000E+03,1.10000000000000E+04,1.03000000000000E+04,1.45000000000000E+04,1.85000000000000E+04,1.70000000000000E+04,2.71000000000000E+04,2.38000000000000E+04,2.12000000000000E+04,2.17000000000000E+04,2.17000000000000E+04,2.17000000000000E+04,2.20000000000000E+04,2.20000000000000E+04,2.20000000000000E+04,2.20000000000000E+04,2.30000000000000E+04,2.50000000000000E+04,3.00000000000000E+04,4.19940000000000E+04,3.68730000000000E+04,4.19950000000000E+04,1.20860000000000E+05,8.70600000000000E+04,1.14715000000000E+05,1.13691000000000E+05,1.09594000000000E+05,8.50120000000000E+04,9.01330000000000E+04,7.78420000000000E+04,7.57160000000000E+04,7.89458999999999E+04,7.90113999999999E+04,8.59421999999999E+04,9.02613999999999E+04,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",RWA,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59019999999999E+02,2.16440000000000E+02,1.76479999999999E+02,1.60310000000000E+02,1.94520000000000E+02,1.47009999999999E+02,3.05319999999999E+02,3.47449999999999E+02,2.27930000000000E+02,2.10960000000000E+02,1.78410000000000E+02,1.23860000000000E+02,1.08150000000000E+02,1.01930000000000E+02,1.04209999999999E+02,1.14040000000000E+02,1.19900000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",RWA,Rwanda,,,,,,,4.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,5.00000000000000E+03,3.25000000000000E+03,3.25000000000000E+03,3.58000000000000E+03,3.58000000000000E+03,4.81000000000000E+03,6.50000000000000E+03,8.06000000000000E+03,1.50000000000000E+04,1.87300000000000E+04,1.48500000000000E+04,1.19000000000000E+04,9.80000000000000E+03,1.14000000000000E+04,1.04600000000000E+04,1.70100000000000E+04,2.17500000000000E+04,1.56300000000000E+04,1.53800000000000E+04,1.36000000000000E+04,2.46600000000000E+04,2.68800000000000E+04,3.24200000000000E+04,2.89900000000000E+04,2.54550000000000E+04,2.25560000000000E+04,5.10000000000000E+04,4.50000000000000E+04,9.20000000000000E+04,1.09000000000000E+05,7.70000000000000E+04,8.30000000000000E+04,7.90000000000000E+04,5.90000000000000E+04,5.81450000000000E+04,5.85669000000000E+04,5.79295999999999E+04,6.30110999999999E+04,6.55848000000000E+04,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",RWA,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99740000000000E+02,2.23979999999999E+02,1.82620000000000E+02,1.94520000000000E+02,8.73440000000000E+02,8.69000000000000E+02,9.45840000000000E+02,8.31960000000000E+02,6.66009999999999E+02,5.82049999999999E+02,5.23940000000000E+02,4.93360000000000E+02,4.50220000000000E+02,4.50440000000000E+02,4.80170000000000E+02,5.25470000000000E+02,5.70880000000000E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",RWA,Rwanda,,,,,,,1.44000000000000E+04,1.44000000000000E+04,1.44000000000000E+04,1.50000000000000E+04,1.20000000000000E+04,1.20000000000000E+04,1.20000000000000E+04,1.35000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.50000000000000E+04,1.60000000000000E+04,1.70000000000000E+04,1.95000000000000E+04,2.20000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.75000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,3.00000000000000E+04,2.63410000000000E+04,2.73690000000000E+04,2.29000000000000E+05,2.66000000000000E+05,2.85000000000000E+05,2.61000000000000E+05,2.25000000000000E+05,2.29000000000000E+05,2.32000000000000E+05,2.35000000000000E+05,2.42063000000000E+05,2.58824700000000E+05,2.66925700000000E+05,2.90340200000000E+05,3.12260900000000E+05,,,
AG.CRP.SGM.CD,"Producer Price for Sorghum (per tonne, current US$)",RWA,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34009999999999E+02,3.06110000000000E+02,2.49590000000000E+02,2.91399999999999E+02,4.50069999999999E+02,2.77690000000000E+02,3.71699999999999E+02,3.53819999999999E+02,3.16730000000000E+02,2.10960000000000E+02,1.98740000000000E+02,1.59550000000000E+02,1.37490000000000E+02,1.34139999999999E+02,1.38770000000000E+02,1.51860000000000E+02,1.61110000000000E+02,,,
AG.CRP.SGM.CN,"Producer Price for Sorghum (per tonne, current LCU)",RWA,Rwanda,,,,,,,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,6.50000000000000E+03,6.50000000000000E+03,6.50000000000000E+03,6.50000000000000E+03,9.79000000000000E+03,9.20000000000000E+03,1.29400000000000E+04,1.65200000000000E+04,1.50900000000000E+04,2.41600000000000E+04,1.27000000000000E+04,1.32000000000000E+04,1.37000000000000E+04,1.60000000000000E+04,2.35200000000000E+04,2.36100000000000E+04,2.01900000000000E+04,2.01800000000000E+04,1.93200000000000E+04,2.32900000000000E+04,2.45300000000000E+04,2.92900000000000E+04,4.10000000000000E+04,3.60000000000000E+04,4.10010000000000E+04,1.18000000000000E+05,8.50000000000000E+04,1.12000000000000E+05,1.11000000000000E+05,1.07000000000000E+05,8.30000000000000E+04,8.80000000000000E+04,7.60000000000000E+04,7.39240000000000E+04,7.70773999999999E+04,7.71413999999999E+04,8.39081999999999E+04,8.81251999999999E+04,,,
AG.CRP.WHT.CD,"Producer Price for Wheat (per tonne, current US$)",RWA,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21579999999999E+02,2.61089999999999E+02,2.12880000000000E+02,1.90610000000000E+02,3.62339999999999E+02,3.85500000000000E+02,5.97370000000000E+02,5.67389999999999E+02,4.26250000000000E+02,3.48220000000000E+02,3.07139999999999E+02,2.24639999999999E+02,1.94610000000000E+02,1.85639999999999E+02,1.90460000000000E+02,2.08419999999999E+02,2.19349999999999E+02,,,
AG.CRP.WHT.CN,"Producer Price for Wheat (per tonne, current LCU)",RWA,Rwanda,,,,,,,8.00000000000000E+03,8.00000000000000E+03,8.00000000000000E+03,8.00000000000000E+03,8.00000000000000E+03,1.00000000000000E+04,1.00000000000000E+04,9.25000000000000E+03,1.20000000000000E+04,1.40000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.70000000000000E+04,1.65000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,3.50000000000000E+04,3.50000000000000E+04,2.90000000000000E+04,3.43100000000000E+04,3.92200000000000E+04,3.38200000000000E+04,4.02500000000000E+04,3.49700000000000E+04,3.07050000000000E+04,2.68190000000000E+04,9.50000000000000E+04,1.18000000000000E+05,1.80000000000000E+05,1.78000000000000E+05,1.44000000000000E+05,1.37000000000000E+05,1.36000000000000E+05,1.07000000000000E+05,1.04635000000000E+05,1.06671000000000E+05,1.05873500000000E+05,1.15160600000000E+05,1.19980200000000E+05,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",RWA,Rwanda,,2.77000000000000E+06,2.86000000000000E+06,2.95000000000000E+06,3.04000000000000E+06,3.13000000000000E+06,3.26800000000000E+06,3.95100000000000E+06,4.05800000000000E+06,4.16900000000000E+06,4.28500000000000E+06,4.40500000000000E+06,4.53000000000000E+06,4.66100000000000E+06,4.79800000000000E+06,4.94100000000000E+06,5.08900000000000E+06,5.24500000000000E+06,5.40700000000000E+06,4.35000000000000E+06,4.52000000000000E+06,4.68700000000000E+06,4.86000000000000E+06,5.05200000000000E+06,5.40200000000000E+06,5.60200000000000E+06,5.60200000000000E+06,5.60200000000000E+06,5.60200000000000E+06,6.36800000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,3.00000000000000E+06,2.50000000000000E+06,5.14800000000000E+06,5.55000000000000E+06,7.10000000000000E+06,7.20000000000000E+06,7.50000000000000E+06,5.00000000000000E+06,5.00000000000000E+06,5.00000000000000E+06,5.00000000000000E+06,5.00000000000000E+06,5.00000000000000E+06,9.41589400000000E+06,9.50300000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),RWA,Rwanda,,1.31500000000000E+06,1.32500000000000E+06,1.33500000000000E+06,1.34500000000000E+06,1.35500000000000E+06,1.36500000000000E+06,1.37500000000000E+06,1.38300000000000E+06,1.39700000000000E+06,1.40400000000000E+06,1.44800000000000E+06,1.50800000000000E+06,1.50500000000000E+06,1.58400000000000E+06,1.61200000000000E+06,1.63900000000000E+06,1.66500000000000E+06,1.68000000000000E+06,1.69700000000000E+06,1.71500000000000E+06,1.76000000000000E+06,1.77500000000000E+06,1.79000000000000E+06,1.80800000000000E+06,1.81900000000000E+06,1.83000000000000E+06,1.84200000000000E+06,1.85300000000000E+06,1.85500000000000E+06,1.87900000000000E+06,1.87700000000000E+06,1.83700000000000E+06,1.73000000000000E+06,1.48500000000000E+06,1.48500000000000E+06,1.54500000000000E+06,1.59500000000000E+06,1.61500000000000E+06,1.66100000000000E+06,1.67000000000000E+06,1.74900000000000E+06,1.85000000000000E+06,1.88500000000000E+06,1.88000000000000E+06,1.88000000000000E+06,1.87500000000000E+06,1.92500000000000E+06,,,
