Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",STP,Sao Tome and Principe,,1.00000000000000E+01,2.00000000000000E+01,2.00000000000000E+01,3.00000000000000E+01,4.00000000000000E+01,6.00000000000000E+01,8.00000000000000E+01,1.00000000000000E+02,1.10000000000000E+02,1.14000000000000E+02,1.17000000000000E+02,1.20000000000000E+02,1.23000000000000E+02,1.20000000000000E+02,1.20000000000000E+02,1.22000000000000E+02,1.22000000000000E+02,1.22000000000000E+02,1.23000000000000E+02,1.23000000000000E+02,1.23000000000000E+02,1.23000000000000E+02,1.23000000000000E+02,1.24000000000000E+02,1.24000000000000E+02,1.24000000000000E+02,1.24000000000000E+02,1.24000000000000E+02,1.24000000000000E+02,1.24000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,1.25000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",STP,Sao Tome and Principe,,,,,,,,,,,,,,,,2.00000000000000E+03,1.00000000000000E+03,3.42000000000000E+03,1.30000000000000E+03,1.60000000000000E+03,1.53600000000000E+03,3.09000000000000E+03,1.56700000000000E+03,9.40300000000000E+03,1.01590000000000E+04,5.77200000000000E+03,7.97600000000000E+03,8.88400000000000E+03,8.04600000000000E+03,4.46800000000000E+03,1.33060000000000E+04,7.02700000000000E+03,5.66200000000000E+03,7.21500000000000E+03,5.64500000000000E+03,4.19800000000000E+03,4.85500000000000E+03,2.00000000000000E+02,3.72500000000000E+03,3.88500000000000E+03,4.42700000000000E+03,6.26300000000000E+03,9.85000000000000E+02,3.50900000000000E+03,3.91500000000000E+03,1.29900000000000E+03,4.24000000000000E+02,,,,
AG.LND.AGRI.HA,Agricultural land (hectares),STP,Sao Tome and Principe,,3.50000000000000E+04,3.50000000000000E+04,3.50000000000000E+04,3.50000000000000E+04,3.60000000000000E+04,3.60000000000000E+04,3.60000000000000E+04,3.60000000000000E+04,3.60000000000000E+04,3.60000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.70000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,3.80000000000000E+04,4.20000000000000E+04,4.20000000000000E+04,4.20000000000000E+04,4.20000000000000E+04,4.20000000000000E+04,4.40000000000000E+04,4.50000000000000E+04,4.50000000000000E+04,4.60000000000000E+04,4.70000000000000E+04,4.90000000000000E+04,5.20000000000000E+04,5.40000000000000E+04,5.50000000000000E+04,5.60000000000000E+04,5.70000000000000E+04,5.70000000000000E+04,5.70000000000000E+04,5.70000000000000E+04,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),STP,Sao Tome and Principe,,3.50000000000000E+02,3.50000000000000E+02,3.50000000000000E+02,3.50000000000000E+02,3.60000000000000E+02,3.60000000000000E+02,3.60000000000000E+02,3.60000000000000E+02,3.60000000000000E+02,3.60000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.70000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,3.80000000000000E+02,4.20000000000000E+02,4.20000000000000E+02,4.20000000000000E+02,4.20000000000000E+02,4.20000000000000E+02,4.40000000000000E+02,4.50000000000000E+02,4.50000000000000E+02,4.60000000000000E+02,4.70000000000000E+02,4.90000000000000E+02,5.20000000000000E+02,5.40000000000000E+02,5.50000000000000E+02,5.60000000000000E+02,5.70000000000000E+02,5.70000000000000E+02,5.70000000000000E+02,5.70000000000000E+02,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),STP,Sao Tome and Principe,,3.64583333333333E+01,3.64583333333333E+01,3.64583333333333E+01,3.64583333333333E+01,3.75000000000000E+01,3.75000000000000E+01,3.75000000000000E+01,3.75000000000000E+01,3.75000000000000E+01,3.75000000000000E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.85416666666666E+01,3.95833333333333E+01,3.95833333333333E+01,3.95833333333333E+01,3.95833333333333E+01,4.37500000000000E+01,4.37500000000000E+01,4.37500000000000E+01,4.37500000000000E+01,4.37500000000000E+01,4.58333333333333E+01,4.68750000000000E+01,4.68750000000000E+01,4.79166666666666E+01,4.89583333333333E+01,5.10416666666666E+01,5.41666666666666E+01,5.62500000000000E+01,5.72916666666666E+01,5.83333333333333E+01,5.93750000000000E+01,5.93750000000000E+01,5.93750000000000E+01,5.93750000000000E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),STP,Sao Tome and Principe,,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,2.00000000000000E+03,3.00000000000000E+03,4.00000000000000E+03,4.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,7.00000000000000E+03,8.00000000000000E+03,9.00000000000000E+03,9.00000000000000E+03,9.00000000000000E+03,9.00000000000000E+03,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),STP,Sao Tome and Principe,,1.54885075274146E-02,1.55101281136582E-02,1.55651713725368E-02,1.55605695168443E-02,1.54313843494899E-02,1.51602437767199E-02,1.47848071321909E-02,1.43583263934755E-02,1.39452509447907E-02,1.35814206165964E-02,1.32742188122229E-02,1.30045776113191E-02,1.27494103397717E-02,1.24786303455332E-02,1.21767083921874E-02,1.18414664472048E-02,1.14892345871918E-02,1.11433028749721E-02,1.08295429932856E-02,1.05610003379520E-02,1.03390163459848E-02,1.01520781303932E-02,9.98382620155348E-03,9.81363899547591E-03,1.92581750953279E-02,1.88563616650167E-02,1.84357284417200E-02,1.80118517984834E-02,1.76040841475222E-02,1.72240068207067E-02,1.68722266277480E-02,1.65420498908224E-02,1.62292873719914E-02,2.38912470434581E-02,3.12658772032672E-02,3.06896736920444E-02,3.76616626870843E-02,3.69808808845826E-02,4.35843793584379E-02,4.28170783053000E-02,4.20727859196409E-02,4.82405965294336E-02,5.41965029706458E-02,5.99528371014801E-02,5.89692180681684E-02,5.80173536351095E-02,5.69573724201541E-02,,,
AG.LND.ARBL.ZS,Arable land (% of land area),STP,Sao Tome and Principe,,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,1.04166666666666E+00,2.08333333333333E+00,2.08333333333333E+00,2.08333333333333E+00,2.08333333333333E+00,2.08333333333333E+00,2.08333333333333E+00,2.08333333333333E+00,2.08333333333333E+00,2.08333333333333E+00,3.12500000000000E+00,4.16666666666666E+00,4.16666666666666E+00,5.20833333333333E+00,5.20833333333333E+00,6.25000000000000E+00,6.25000000000000E+00,6.25000000000000E+00,7.29166666666666E+00,8.33333333333333E+00,9.37500000000000E+00,9.37500000000000E+00,9.37500000000000E+00,9.37500000000000E+00,,,
AG.LND.CERE.ZS,Cereal cropland (% of land area),STP,Sao Tome and Principe,,2.81250000000000E-01,2.81250000000000E-01,2.81250000000000E-01,2.81250000000000E-01,2.81250000000000E-01,3.02083333333333E-01,3.12500000000000E-01,3.12500000000000E-01,3.17708333333333E-01,3.22916666666666E-01,3.22916666666666E-01,3.38541666666666E-01,3.54166666666666E-01,3.64583333333333E-01,3.75000000000000E-01,3.43750000000000E-01,3.43750000000000E-01,3.43750000000000E-01,3.12500000000000E-01,3.12500000000000E-01,3.43750000000000E-01,3.43750000000000E-01,4.16666666666666E-01,4.68750000000000E-01,5.00000000000000E-01,6.25000000000000E-01,7.81250000000000E-01,8.85416666666666E-01,1.04166666666666E+00,1.45833333333333E+00,1.77083333333333E+00,1.87500000000000E+00,1.87500000000000E+00,1.97916666666666E+00,1.87500000000000E+00,2.08333333333333E+00,1.87500000000000E+00,7.29166666666666E-01,7.29166666666666E-01,1.04166666666666E+00,1.19791666666666E+00,1.26041666666666E+00,1.27083333333333E+00,1.28645833333333E+00,1.29166666666666E+00,1.14583333333333E+00,1.35416666666666E+00,,,
AG.LND.CREL.HA,Area under cereal production (hectares),STP,Sao Tome and Principe,,2.70000000000000E+02,2.70000000000000E+02,2.70000000000000E+02,2.70000000000000E+02,2.70000000000000E+02,2.90000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.05000000000000E+02,3.10000000000000E+02,3.10000000000000E+02,3.25000000000000E+02,3.40000000000000E+02,3.50000000000000E+02,3.60000000000000E+02,3.30000000000000E+02,3.30000000000000E+02,3.30000000000000E+02,3.00000000000000E+02,3.00000000000000E+02,3.30000000000000E+02,3.30000000000000E+02,4.00000000000000E+02,4.50000000000000E+02,4.80000000000000E+02,6.00000000000000E+02,7.50000000000000E+02,8.50000000000000E+02,1.00000000000000E+03,1.40000000000000E+03,1.70000000000000E+03,1.80000000000000E+03,1.80000000000000E+03,1.90000000000000E+03,1.80000000000000E+03,2.00000000000000E+03,1.80000000000000E+03,7.00000000000000E+02,7.00000000000000E+02,1.00000000000000E+03,1.15000000000000E+03,1.21000000000000E+03,1.22000000000000E+03,1.23500000000000E+03,1.24000000000000E+03,1.10000000000000E+03,1.30000000000000E+03,,,
