Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",SEN,Senegal,,1.90000000000000E+02,1.70000000000000E+02,1.80000000000000E+02,2.10000000000000E+02,2.50000000000000E+02,2.50000000000000E+02,2.50000000000000E+02,2.70000000000000E+02,2.80000000000000E+02,3.00000000000000E+02,3.10000000000000E+02,3.30000000000000E+02,3.40000000000000E+02,3.60000000000000E+02,3.70000000000000E+02,3.80000000000000E+02,4.00000000000000E+02,4.20000000000000E+02,4.40000000000000E+02,4.60000000000000E+02,4.60000000000000E+02,4.60000000000000E+02,4.60000000000000E+02,4.60000000000000E+02,4.60000000000000E+02,4.70000000000000E+02,4.70000000000000E+02,4.80000000000000E+02,4.80000000000000E+02,4.90000000000000E+02,5.00000000000000E+02,5.50000000000000E+02,5.50000000000000E+02,5.50000000000000E+02,5.50000000000000E+02,5.60000000000000E+02,5.70000000000000E+02,5.80000000000000E+02,6.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,7.00000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",SEN,Senegal,,,,,,,,,,,2.38000000000000E+04,3.73000000000000E+04,3.78500000000000E+04,1.01260000000000E+05,2.68000000000000E+04,1.60700000000000E+04,3.09000000000000E+04,1.66700000000000E+05,5.98650000000000E+04,6.07650000000000E+04,1.52682000000000E+05,8.27000000000000E+04,9.10260000000000E+04,1.50499000000000E+05,1.30684000000000E+05,1.17486000000000E+05,8.02470000000000E+04,1.09022000000000E+05,4.82830000000000E+04,6.12630000000000E+04,3.50940000000000E+04,5.83700000000000E+04,7.04840000000000E+04,3.58520000000000E+04,1.63750000000000E+04,9.24000000000000E+03,2.97500000000000E+03,8.47400000000000E+03,9.48500000000000E+03,4.60890000000000E+04,2.41150000000000E+04,1.62760000000000E+04,1.19850000000000E+04,1.65170000000000E+04,2.05520000000000E+04,1.51220000000000E+04,1.24570000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),SEN,Senegal,,7.74500000000000E+03,7.78500000000000E+03,9.30000000000000E+03,9.96000000000000E+03,1.37030000000000E+04,1.89130000000000E+04,2.64380000000000E+04,1.21580000000000E+04,7.63000000000000E+03,7.91500000000000E+03,1.35650000000000E+04,1.56840000000000E+04,2.30800000000000E+04,3.87000000000000E+04,4.74000000000000E+04,3.99000000000000E+04,4.67220000000000E+04,3.53000000000000E+04,2.90000000000000E+04,1.94000000000000E+04,2.43000000000000E+04,1.84000000000000E+04,1.86000000000000E+04,1.80000000000000E+04,1.87000000000000E+04,1.92000000000000E+04,1.89000000000000E+04,2.34000000000000E+04,1.23600000000000E+04,1.17500000000000E+04,1.66300000000000E+04,1.70000000000000E+04,2.40000000000000E+04,2.59000000000000E+04,1.62000000000000E+04,2.16000000000000E+04,2.29000000000000E+04,2.56000000000000E+04,3.78000000000000E+04,3.82000000000000E+04,2.99000000000000E+04,3.59740000000000E+04,3.20720000000000E+04,3.79700000000000E+04,3.08420000000000E+04,2.19020000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),SEN,Senegal,,2.64064098192976E+01,2.65427889532901E+01,3.06627101879327E+01,3.28387734915924E+01,4.37515964240102E+01,6.03863346104725E+01,8.18007425742574E+01,3.57483093207880E+01,2.39410103545654E+01,2.51429479034307E+01,4.20099101889129E+01,4.85723134097243E+01,7.03873132052455E+01,1.16251126464403E+02,1.42427884615384E+02,1.19963920625375E+02,1.49558258642765E+02,1.13032340698046E+02,9.28891736066623E+01,6.21595642422300E+01,7.78846153846153E+01,5.90121872995509E+01,5.96919127086007E+01,5.78034682080924E+01,6.01286173633440E+01,6.17959446411329E+01,6.08891752577319E+01,7.55326016785022E+01,3.99482870071105E+01,3.80012936610607E+01,5.59367642112344E+01,5.60316413974950E+01,7.91556728232189E+01,8.50854139290407E+01,5.50645819170632E+01,7.29729729729729E+01,7.72604588394062E+01,8.65449628127112E+01,1.25664893617021E+02,1.25245901639344E+02,9.61414790996784E+01,1.16045161290322E+02,1.07551978537894E+02,1.25024695423114E+02,9.71095717884130E+01,7.33489618218352E+01,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",SEN,Senegal,,2.90750500000000E+06,2.96037800000000E+06,3.01421300000000E+06,3.06902700000000E+06,3.12483800000000E+06,3.18166300000000E+06,3.23952200000000E+06,3.29843300000000E+06,3.35841600000000E+06,3.41948900000000E+06,3.48818800000000E+06,3.53719400000000E+06,3.64692700000000E+06,3.70845600000000E+06,3.75076000000000E+06,3.77765700000000E+06,3.86161100000000E+06,3.97469900000000E+06,4.00272600000000E+06,4.09476200000000E+06,4.18520300000000E+06,4.17375200000000E+06,4.24003300000000E+06,4.35097400000000E+06,4.40819900000000E+06,4.45833900000000E+06,4.51289100000000E+06,4.55948000000000E+06,4.64285400000000E+06,4.68726000000000E+06,4.74130800000000E+06,4.80228800000000E+06,4.87676800000000E+06,4.92187500000000E+06,4.90812200000000E+06,4.96244000000000E+06,5.02466500000000E+06,5.05325100000000E+06,5.08325300000000E+06,5.11357900000000E+06,5.14539500000000E+06,5.17755900000000E+06,5.21007200000000E+06,5.24293900000000E+06,5.27616400000000E+06,5.30574700000000E+06,5.33560000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),SEN,Senegal,,8.64700000000000E+06,8.64700000000000E+06,8.74700000000000E+06,8.74700000000000E+06,8.84700000000000E+06,8.84700000000000E+06,8.94700000000000E+06,9.11700000000000E+06,8.90300000000000E+06,8.86400000000000E+06,8.94600000000000E+06,8.94600000000000E+06,8.99600000000000E+06,9.04600000000000E+06,9.04600000000000E+06,9.04500000000000E+06,8.84400000000000E+06,8.84300000000000E+06,8.84200000000000E+06,8.84100000000000E+06,8.84000000000000E+06,8.83900000000000E+06,8.83800000000000E+06,8.83700000000000E+06,8.83600000000000E+06,8.83400000000000E+06,8.83200000000000E+06,8.83000000000000E+06,8.82700000000000E+06,8.86900000000000E+06,8.70900000000000E+06,8.77000000000000E+06,8.76800000000000E+06,8.78100000000000E+06,8.68000000000000E+06,8.65000000000000E+06,8.65400000000000E+06,8.66300000000000E+06,8.71300000000000E+06,8.75500000000000E+06,8.81000000000000E+06,8.80000000000000E+06,8.68200000000000E+06,8.73700000000000E+06,8.82600000000000E+06,8.63800000000000E+06,8.63700000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),SEN,Senegal,,8.64700000000000E+04,8.64700000000000E+04,8.74700000000000E+04,8.74700000000000E+04,8.84700000000000E+04,8.84700000000000E+04,8.94700000000000E+04,9.11700000000000E+04,8.90300000000000E+04,8.86400000000000E+04,8.94600000000000E+04,8.94600000000000E+04,8.99600000000000E+04,9.04600000000000E+04,9.04600000000000E+04,9.04500000000000E+04,8.84400000000000E+04,8.84300000000000E+04,8.84200000000000E+04,8.84100000000000E+04,8.84000000000000E+04,8.83900000000000E+04,8.83800000000000E+04,8.83700000000000E+04,8.83600000000000E+04,8.83400000000000E+04,8.83200000000000E+04,8.83000000000000E+04,8.82700000000000E+04,8.86900000000000E+04,8.70900000000000E+04,8.77000000000000E+04,8.76800000000000E+04,8.78100000000000E+04,8.68000000000000E+04,8.65000000000000E+04,8.65400000000000E+04,8.66300000000000E+04,8.71300000000000E+04,8.75500000000000E+04,8.81000000000000E+04,8.80000000000000E+04,8.68200000000000E+04,8.73700000000000E+04,8.82600000000000E+04,8.63800000000000E+04,8.63700000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),SEN,Senegal,,4.49124811717654E+01,4.49124811717654E+01,4.54318807458577E+01,4.54318807458577E+01,4.59512803199501E+01,4.59512803199501E+01,4.64706798940424E+01,4.73536591699994E+01,4.62421440814418E+01,4.60395782475458E+01,4.64654858983015E+01,4.64654858983015E+01,4.67251856853477E+01,4.69848854723939E+01,4.69848854723939E+01,4.69796914766529E+01,4.59356983327273E+01,4.59305043369864E+01,4.59253103412455E+01,4.59201163455045E+01,4.59149223497636E+01,4.59097283540227E+01,4.59045343582818E+01,4.58993403625409E+01,4.58941463667999E+01,4.58837583753181E+01,4.58733703838362E+01,4.58629823923544E+01,4.58474004051316E+01,4.60655482262504E+01,4.52345089077026E+01,4.55513426478990E+01,4.55409546564171E+01,4.56084766010491E+01,4.50838830312159E+01,4.49280631589882E+01,4.49488391419519E+01,4.49955851036202E+01,4.52552848906663E+01,4.54734327117851E+01,4.57591024775359E+01,4.57071625201267E+01,4.50942710226977E+01,4.53799407884485E+01,4.58422064093907E+01,4.48657352100971E+01,4.48605412143562E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),SEN,Senegal,,2.93300000000000E+06,2.93300000000000E+06,3.03300000000000E+06,3.03300000000000E+06,3.13200000000000E+06,3.13200000000000E+06,3.23200000000000E+06,3.40100000000000E+06,3.18700000000000E+06,3.14800000000000E+06,3.22900000000000E+06,3.22900000000000E+06,3.27900000000000E+06,3.32900000000000E+06,3.32800000000000E+06,3.32600000000000E+06,3.12400000000000E+06,3.12300000000000E+06,3.12200000000000E+06,3.12100000000000E+06,3.12000000000000E+06,3.11800000000000E+06,3.11600000000000E+06,3.11400000000000E+06,3.11000000000000E+06,3.10700000000000E+06,3.10400000000000E+06,3.09800000000000E+06,3.09400000000000E+06,3.09200000000000E+06,2.97300000000000E+06,3.03400000000000E+06,3.03200000000000E+06,3.04400000000000E+06,2.94200000000000E+06,2.96000000000000E+06,2.96400000000000E+06,2.95800000000000E+06,3.00800000000000E+06,3.05000000000000E+06,3.11000000000000E+06,3.10000000000000E+06,2.98200000000000E+06,3.03700000000000E+06,3.17600000000000E+06,2.98600000000000E+06,2.98500000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),SEN,Senegal,,9.25978544322580E-01,9.00924146057220E-01,9.06039276040862E-01,8.80346844465962E-01,8.82281605020103E-01,8.55316122872769E-01,8.54924452135472E-01,8.70892325341404E-01,7.89835386112279E-01,7.55084286163512E-01,7.49630060235062E-01,7.25609498495747E-01,7.13527826061979E-01,7.02027275098740E-01,6.80790477934144E-01,6.60676480274854E-01,6.03088104531153E-01,5.86214003588237E-01,5.69832082057279E-01,5.53761041730800E-01,5.37982699373026E-01,5.22379907908342E-01,5.07131826118883E-01,4.92253333103594E-01,4.77453157393124E-01,4.63191552292492E-01,4.49320576334702E-01,4.35474929126385E-01,4.22434926384501E-01,4.10201439154337E-01,3.83392514367547E-01,3.80459957780732E-01,3.69826139023646E-01,3.61231247926984E-01,3.39726551304367E-01,3.32651285815220E-01,3.24231266154817E-01,3.15012720315881E-01,3.11920528290507E-01,3.08025207975085E-01,3.05959952301728E-01,2.97143720365904E-01,2.78510374838352E-01,2.76355909284648E-01,2.81527937924862E-01,2.57794640237046E-01,2.50980906532944E-01,,,
