Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",SYC,Seychelles,,3.00000000000000E+00,5.00000000000000E+00,6.00000000000000E+00,7.00000000000000E+00,9.00000000000000E+00,9.00000000000000E+00,1.20000000000000E+01,1.40000000000000E+01,1.20000000000000E+01,1.90000000000000E+01,2.40000000000000E+01,2.60000000000000E+01,2.80000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.00000000000000E+01,3.20000000000000E+01,3.30000000000000E+01,3.50000000000000E+01,3.70000000000000E+01,3.70000000000000E+01,3.80000000000000E+01,3.80000000000000E+01,3.80000000000000E+01,3.80000000000000E+01,3.80000000000000E+01,3.90000000000000E+01,3.90000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,4.00000000000000E+01,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",SYC,Seychelles,,,,,,,,,,,2.00000000000000E+02,2.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,4.00000000000000E+02,2.00000000000000E+02,1.80000000000000E+03,1.98000000000000E+03,3.72000000000000E+03,2.10000000000000E+03,1.26800000000000E+03,1.33000000000000E+03,1.59000000000000E+02,1.54000000000000E+03,1.19000000000000E+03,1.52000000000000E+03,1.36200000000000E+03,4.24000000000000E+02,4.11000000000000E+02,4.30000000000000E+02,2.31000000000000E+02,2.00000000000000E+02,,,,,,,,,,,,,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),SYC,Seychelles,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,8.94000000000000E+02,3.98000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.30000000000000E+01,4.20000000000000E+01,2.00000000000000E+01,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),SYC,Seychelles,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,8.94000000000000E+03,3.98000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.30000000000000E+02,4.20000000000000E+02,2.00000000000000E+02,,,,,,,,,
AG.LND.AGRI.HA,Agricultural land (hectares),SYC,Seychelles,,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,5.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),SYC,Seychelles,,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,5.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,6.00000000000000E+01,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),SYC,Seychelles,,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.08695652173913E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,1.30434782608695E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),SYC,Seychelles,,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),SYC,Seychelles,,2.33160235174739E-02,2.27054754708207E-02,2.21358824425263E-02,2.15882007529964E-02,2.10526315789473E-02,2.05344206172154E-02,2.00357758814138E-02,1.95564900950288E-02,1.90966811495896E-02,1.86567164179104E-02,1.82365144622854E-02,1.78356381734023E-02,1.74568815026883E-02,1.71039344522499E-02,1.67785234899328E-02,1.64733790195044E-02,1.61963253776983E-02,1.59471320677689E-02,1.57248528153776E-02,1.55279503105590E-02,1.53544907242170E-02,1.52021817198264E-02,1.50677436109391E-02,1.49472784378070E-02,1.48367952522255E-02,1.47324854084750E-02,1.46300758404405E-02,1.45248527900359E-02,1.44118082193701E-02,1.42857142857142E-02,1.41332795793798E-02,1.39553728637555E-02,1.37530000146823E-02,1.35272945508237E-02,1.32795070646977E-02,1.30860934085347E-02,1.29334316274137E-02,1.26829515764908E-02,1.24362641462504E-02,1.23257447831285E-02,1.23149676116351E-02,1.19474313022700E-02,1.20772946859903E-02,1.21212121212121E-02,1.20627261761158E-02,1.18203309692671E-02,1.17602784833944E-02,,,
AG.LND.ARBL.ZS,Arable land (% of land area),SYC,Seychelles,,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,2.17391304347826E+00,,,
