Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",SLE,Sierra Leone,,1.00000000000000E+02,1.05000000000000E+02,1.10000000000000E+02,1.15000000000000E+02,1.20000000000000E+02,1.25000000000000E+02,1.30000000000000E+02,1.35000000000000E+02,1.40000000000000E+02,1.45000000000000E+02,1.50000000000000E+02,1.55000000000000E+02,1.60000000000000E+02,1.65000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.44000000000000E+02,1.10000000000000E+02,1.10000000000000E+02,3.17000000000000E+02,3.45000000000000E+02,3.80000000000000E+02,4.10000000000000E+02,4.40000000000000E+02,4.70000000000000E+02,4.80000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,4.80000000000000E+02,2.00000000000000E+02,1.50000000000000E+02,1.35000000000000E+02,1.20000000000000E+02,1.10000000000000E+02,1.00000000000000E+02,9.00000000000000E+01,8.10000000000000E+01,8.10000000000000E+01,8.10000000000000E+01,8.20000000000000E+01,8.20000000000000E+01,8.20000000000000E+01,8.50000000000000E+01,8.50000000000000E+01,9.00000000000000E+01,1.00000000000000E+02,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",SLE,Sierra Leone,,,,,,,,,,,6.90000000000000E+03,8.30000000000000E+03,5.30000000000000E+03,5.04000000000000E+03,9.50000000000000E+03,6.50000000000000E+03,3.77000000000000E+03,7.00000000000000E+03,5.50000000000000E+03,3.64000000000000E+04,1.17710000000000E+04,2.88100000000000E+04,2.90360000000000E+04,1.58700000000000E+04,2.07870000000000E+04,4.86490000000000E+04,4.28130000000000E+04,5.78970000000000E+04,3.25930000000000E+04,2.14530000000000E+04,2.31190000000000E+04,6.44740000000000E+04,2.94020000000000E+04,2.92020000000000E+04,2.89420000000000E+04,6.67950000000000E+04,5.61560000000000E+04,3.22650000000000E+04,6.64530000000000E+04,1.47100000000000E+04,3.86520000000000E+04,4.20900000000000E+04,5.71010000000000E+04,4.55380000000000E+04,2.98400000000000E+04,2.70910000000000E+04,1.92040000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),SLE,Sierra Leone,,1.60000000000000E+02,1.60000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,5.00000000000000E+02,5.02000000000000E+02,8.50000000000000E+02,1.10000000000000E+03,2.28700000000000E+03,2.52200000000000E+03,1.13600000000000E+03,1.22600000000000E+03,2.26200000000000E+03,1.01000000000000E+03,2.91800000000000E+03,1.27500000000000E+03,1.41500000000000E+03,1.12400000000000E+03,2.68400000000000E+03,1.79200000000000E+03,3.31000000000000E+03,3.60000000000000E+02,1.19100000000000E+03,1.30000000000000E+03,3.60000000000000E+03,4.00000000000000E+03,5.00000000000000E+02,5.38000000000000E+02,1.56000000000000E+03,1.30000000000000E+03,6.00000000000000E+02,1.40000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+03,3.00000000000000E+02,9.00000000000000E+01,1.50000000000000E+02,3.00000000000000E+02,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),SLE,Sierra Leone,,4.50704225352112E+00,4.44444444444444E+00,5.47945205479452E+00,5.40540540540540E+00,1.33333333333333E+01,1.32105263157894E+01,2.20779220779220E+01,2.82051282051282E+01,5.78987341772151E+01,6.30499999999999E+01,2.80493827160493E+01,2.99024390243902E+01,5.45060240963855E+01,2.40476190476190E+01,6.86588235294117E+01,2.96511627906976E+01,3.25287356321839E+01,2.55454545454545E+01,6.03146067415730E+01,3.98222222222222E+01,7.27472527472527E+01,7.82608695652173E+00,2.56129032258064E+01,2.76595744680851E+01,7.57894736842105E+01,8.33333333333333E+01,1.03092783505154E+01,1.10699588477366E+01,3.20987654320987E+01,2.67489711934156E+01,1.23456790123456E+01,2.88065843621399E+01,6.17283950617283E+01,6.18556701030927E+01,6.18556701030927E+01,6.18556701030927E+01,6.19834710743801E+01,6.19834710743801E+00,1.85950413223140E+00,3.06122448979591E+00,6.00000000000000E+00,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",SLE,Sierra Leone,,5.60407300000000E+06,5.56715100000000E+06,5.53047200000000E+06,5.49403500000000E+06,5.45783700000000E+06,5.42187800000000E+06,5.38615600000000E+06,5.35067000000000E+06,5.31541700000000E+06,5.28039700000000E+06,5.21695400000000E+06,5.21742900000000E+06,5.15875300000000E+06,5.06856600000000E+06,5.01591400000000E+06,5.07540700000000E+06,5.06434800000000E+06,5.10891200000000E+06,4.99029900000000E+06,4.94263400000000E+06,4.80393800000000E+06,4.72810000000000E+06,4.78899300000000E+06,4.71675600000000E+06,4.79906300000000E+06,4.84273100000000E+06,4.79766300000000E+06,4.79540100000000E+06,4.76766600000000E+06,4.68885000000000E+06,4.59140100000000E+06,4.55981600000000E+06,4.48287400000000E+06,4.40211400000000E+06,4.61087300000000E+06,4.60067400000000E+06,4.95259200000000E+06,5.08025800000000E+06,5.21523000000000E+06,5.35776300000000E+06,5.36394200000000E+06,5.37362000000000E+06,5.38670600000000E+06,5.40312000000000E+06,5.42279100000000E+06,5.44833200000000E+06,5.47700000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),SLE,Sierra Leone,,2.59900000000000E+06,2.60400000000000E+06,2.61100000000000E+06,2.61600000000000E+06,2.62100000000000E+06,2.62800000000000E+06,2.63300000000000E+06,2.63800000000000E+06,2.64300000000000E+06,2.64900000000000E+06,2.65400000000000E+06,2.65900000000000E+06,2.66400000000000E+06,2.67100000000000E+06,2.67600000000000E+06,2.68100000000000E+06,2.68700000000000E+06,2.69200000000000E+06,2.69800000000000E+06,2.70300000000000E+06,2.70900000000000E+06,2.71500000000000E+06,2.72200000000000E+06,2.72700000000000E+06,2.73200000000000E+06,2.73800000000000E+06,2.74300000000000E+06,2.74400000000000E+06,2.74400000000000E+06,2.74400000000000E+06,2.74400000000000E+06,2.74400000000000E+06,2.74000000000000E+06,2.74100000000000E+06,2.74100000000000E+06,2.74100000000000E+06,2.74000000000000E+06,2.74000000000000E+06,2.74000000000000E+06,2.75000000000000E+06,2.76400000000000E+06,2.80000000000000E+06,2.84500000000000E+06,2.88000000000000E+06,3.08000000000000E+06,3.18000000000000E+06,3.18000000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),SLE,Sierra Leone,,2.59900000000000E+04,2.60400000000000E+04,2.61100000000000E+04,2.61600000000000E+04,2.62100000000000E+04,2.62800000000000E+04,2.63300000000000E+04,2.63800000000000E+04,2.64300000000000E+04,2.64900000000000E+04,2.65400000000000E+04,2.65900000000000E+04,2.66400000000000E+04,2.67100000000000E+04,2.67600000000000E+04,2.68100000000000E+04,2.68700000000000E+04,2.69200000000000E+04,2.69800000000000E+04,2.70300000000000E+04,2.70900000000000E+04,2.71500000000000E+04,2.72200000000000E+04,2.72700000000000E+04,2.73200000000000E+04,2.73800000000000E+04,2.74300000000000E+04,2.74400000000000E+04,2.74400000000000E+04,2.74400000000000E+04,2.74400000000000E+04,2.74400000000000E+04,2.74000000000000E+04,2.74100000000000E+04,2.74100000000000E+04,2.74100000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.74000000000000E+04,2.75000000000000E+04,2.76400000000000E+04,2.80000000000000E+04,2.84500000000000E+04,2.88000000000000E+04,3.08000000000000E+04,3.18000000000000E+04,3.18000000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),SLE,Sierra Leone,,3.62887461602904E+01,3.63585590617146E+01,3.64562971237084E+01,3.65261100251326E+01,3.65959229265568E+01,3.66936609885506E+01,3.67634738899748E+01,3.68332867913990E+01,3.69030996928232E+01,3.69868751745322E+01,3.70566880759564E+01,3.71265009773806E+01,3.71963138788048E+01,3.72940519407986E+01,3.73638648422228E+01,3.74336777436470E+01,3.75174532253560E+01,3.75872661267802E+01,3.76710416084892E+01,3.77408545099134E+01,3.78246299916224E+01,3.79084054733314E+01,3.80061435353253E+01,3.80759564367495E+01,3.81457693381736E+01,3.82295448198827E+01,3.82993577213068E+01,3.83133203015917E+01,3.83133203015917E+01,3.83133203015917E+01,3.83133203015917E+01,3.83133203015917E+01,3.82574699804523E+01,3.82714325607372E+01,3.82714325607372E+01,3.82714325607372E+01,3.82574699804523E+01,3.82574699804523E+01,3.82574699804523E+01,3.83970957833007E+01,3.85925719072884E+01,3.90952247975425E+01,3.97235409103602E+01,4.02122312203295E+01,4.30047472772968E+01,4.44010053057805E+01,4.44010053057805E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),SLE,Sierra Leone,,3.55000000000000E+05,3.60000000000000E+05,3.65000000000000E+05,3.70000000000000E+05,3.75000000000000E+05,3.80000000000000E+05,3.85000000000000E+05,3.90000000000000E+05,3.95000000000000E+05,4.00000000000000E+05,4.05000000000000E+05,4.10000000000000E+05,4.15000000000000E+05,4.20000000000000E+05,4.25000000000000E+05,4.30000000000000E+05,4.35000000000000E+05,4.40000000000000E+05,4.45000000000000E+05,4.50000000000000E+05,4.55000000000000E+05,4.60000000000000E+05,4.65000000000000E+05,4.70000000000000E+05,4.75000000000000E+05,4.80000000000000E+05,4.85000000000000E+05,4.86000000000000E+05,4.86000000000000E+05,4.86000000000000E+05,4.86000000000000E+05,4.86000000000000E+05,4.86000000000000E+05,4.85000000000000E+05,4.85000000000000E+05,4.85000000000000E+05,4.84000000000000E+05,4.84000000000000E+05,4.84000000000000E+05,4.90000000000000E+05,5.00000000000000E+05,5.35000000000000E+05,5.70000000000000E+05,6.00000000000000E+05,8.00000000000000E+05,9.00000000000000E+05,9.00000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),SLE,Sierra Leone,,1.55025557382382E-01,1.54681632973999E-01,1.54280023737989E-01,1.53824343409104E-01,1.53316731516237E-01,1.52755958688356E-01,1.52139997249624E-01,1.51467957536152E-01,1.50738734283101E-01,1.49950272740802E-01,1.49108332173601E-01,1.48210377762948E-01,1.47237992653001E-01,1.46168963665527E-01,1.44992949931034E-01,1.43704666190770E-01,1.42321509196914E-01,1.40881779055105E-01,1.39431820033313E-01,1.37999812320255E-01,1.36664379916163E-01,1.35419061645995E-01,1.34125935888956E-01,1.32612148965766E-01,1.30813273003169E-01,1.28637768906536E-01,1.26255066472641E-01,1.23104918826744E-01,1.20519483611210E-01,1.19015521240229E-01,1.18646637356552E-01,1.19191060572357E-01,1.20267439149872E-01,1.21059180466789E-01,1.21598592765811E-01,1.21546634561647E-01,1.20705599043931E-01,1.19427527600960E-01,1.17347386571870E-01,1.15889160768539E-01,1.14474603923594E-01,1.17833052369413E-01,1.20443078389849E-01,1.21804608355552E-01,1.56648443883730E-01,1.70752100393128E-01,1.66039406685853E-01,,,
