Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",SOM,Somalia,,7.50000000000000E+02,7.50000000000000E+02,7.50000000000000E+02,7.80000000000000E+02,7.80000000000000E+02,8.00000000000000E+02,8.30000000000000E+02,8.50000000000000E+02,8.80000000000000E+02,9.10000000000000E+02,9.40000000000000E+02,1.03000000000000E+03,1.13000000000000E+03,1.22000000000000E+03,1.29000000000000E+03,1.36000000000000E+03,1.44000000000000E+03,1.51000000000000E+03,1.58000000000000E+03,1.65000000000000E+03,1.72000000000000E+03,1.80000000000000E+03,1.82000000000000E+03,1.91500000000000E+03,1.87500000000000E+03,1.82000000000000E+03,1.75000000000000E+03,1.70000000000000E+03,1.67000000000000E+03,1.63000000000000E+03,1.60000000000000E+03,1.53000000000000E+03,1.45000000000000E+03,1.38000000000000E+03,1.30000000000000E+03,1.25000000000000E+03,1.15000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.00000000000000E+03,1.05000000000000E+03,1.18000000000000E+03,1.29000000000000E+03,1.37100000000000E+03,1.37500000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",SOM,Somalia,,,,,,,,,,,6.30000000000000E+03,1.08000000000000E+04,3.10000000000000E+03,1.64500000000000E+04,1.11240000000000E+05,5.51000000000000E+04,7.91300000000000E+04,7.25000000000000E+04,8.74220000000000E+04,1.36800000000000E+05,3.30061000000000E+05,1.85900000000000E+05,1.88492000000000E+05,1.76592000000000E+05,2.47942000000000E+05,1.42903000000000E+05,1.60948000000000E+05,1.17238000000000E+05,9.42280000000000E+04,9.24920000000000E+04,8.04680000000000E+04,1.29298000000000E+05,3.71259000000000E+05,7.94420000000000E+04,3.25820000000000E+04,2.17950000000000E+04,2.61600000000000E+03,1.89890000000000E+04,3.35190000000000E+04,4.30850000000000E+04,1.66900000000000E+04,2.53820000000000E+04,1.95910000000000E+04,2.25110000000000E+04,5.24340000000000E+04,1.02190000000000E+05,1.15062000000000E+05,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),SOM,Somalia,,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,1.00000000000000E+03,1.50000000000000E+03,1.10000000000000E+03,2.00000000000000E+03,2.10000000000000E+03,3.50000000000000E+03,2.60000000000000E+03,3.60000000000000E+03,3.60000000000000E+03,2.80000000000000E+03,2.90000000000000E+03,3.64000000000000E+03,0.00000000000000E+00,1.00000000000000E+02,2.00000000000000E+02,1.00000000000000E+02,1.20000000000000E+03,1.30000000000000E+03,1.00000000000000E+03,2.40000000000000E+03,3.86000000000000E+03,6.00000000000000E+02,1.72000000000000E+03,3.70000000000000E+03,2.20000000000000E+03,2.70000000000000E+03,2.70000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,5.00000000000000E+02,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),SOM,Somalia,,5.61167227833894E+00,5.58035714285714E+00,5.54938956714761E+00,1.10375275938189E+01,1.64654226125137E+01,1.20087336244541E+01,2.17155266015200E+01,2.26781857451403E+01,3.75939849624060E+01,2.77777777777777E+01,3.82571732199787E+01,3.80549682875264E+01,2.94426919032597E+01,3.03664921465968E+01,3.79166666666666E+01,0.00000000000000E+00,1.03199174406604E+00,2.05338809034907E+00,1.02145045965270E+00,1.21951219512195E+01,1.31445904954499E+01,1.00603621730382E+01,2.40240240240240E+01,3.84462151394422E+01,5.94648166501486E+00,1.69625246548323E+01,3.63457760314341E+01,2.15475024485798E+01,2.64446620959843E+01,2.64187866927592E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.81231953801732E+00,4.79386385426653E+00,4.79386385426653E+00,4.79386385426653E+00,4.79386385426653E+00,4.78468899521531E+00,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",SOM,Somalia,,2.63345100000000E+06,2.71941600000000E+06,2.80819000000000E+06,2.89796400000000E+06,2.99263300000000E+06,3.09039400000000E+06,3.19134900000000E+06,3.29560100000000E+06,3.40326000000000E+06,3.51443500000000E+06,3.59250700000000E+06,3.60960600000000E+06,3.73493100000000E+06,4.08123900000000E+06,3.95649800000000E+06,4.14687500000000E+06,4.13390000000000E+06,4.30536400000000E+06,4.57089500000000E+06,4.84685100000000E+06,4.97911900000000E+06,5.15315000000000E+06,5.48571700000000E+06,5.63588700000000E+06,5.70481700000000E+06,5.81140200000000E+06,5.87729900000000E+06,6.00870600000000E+06,6.12610500000000E+06,6.26432700000000E+06,6.48463200000000E+06,6.96611100000000E+06,7.10610300000000E+06,7.29164500000000E+06,7.53931100000000E+06,7.85814100000000E+06,8.24343700000000E+06,8.53467700000000E+06,8.87438200000000E+06,9.22801700000000E+06,9.52227100000000E+06,9.82652000000000E+06,1.01411230000000E+07,1.04664500000000E+07,1.08028970000000E+07,1.11266790000000E+07,1.14611000000000E+07,,,
AG.LND.AGRI.HA,Agricultural land (hectares),SOM,Somalia,,4.39050000000000E+07,4.39100000000000E+07,4.39150000000000E+07,4.39200000000000E+07,4.39250000000000E+07,4.39300000000000E+07,4.39350000000000E+07,4.39400000000000E+07,4.39450000000000E+07,4.39500000000000E+07,4.39550000000000E+07,4.39600000000000E+07,4.39650000000000E+07,4.39700000000000E+07,4.39750000000000E+07,4.39800000000000E+07,4.39850000000000E+07,4.39900000000000E+07,4.39950000000000E+07,4.40000000000000E+07,4.40050000000000E+07,4.40100000000000E+07,4.40150000000000E+07,4.40200000000000E+07,4.40250000000000E+07,4.40300000000000E+07,4.40350000000000E+07,4.40390000000000E+07,4.40400000000000E+07,4.40420000000000E+07,4.40420000000000E+07,4.40430000000000E+07,4.40440000000000E+07,4.40500000000000E+07,4.40560000000000E+07,4.40610000000000E+07,4.40660000000000E+07,4.40670000000000E+07,4.40670000000000E+07,4.40670000000000E+07,4.40710000000000E+07,4.42260000000000E+07,4.42760000000000E+07,4.43770000000000E+07,4.43770000000000E+07,4.41670000000000E+07,4.40270000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),SOM,Somalia,,4.39050000000000E+05,4.39100000000000E+05,4.39150000000000E+05,4.39200000000000E+05,4.39250000000000E+05,4.39300000000000E+05,4.39350000000000E+05,4.39400000000000E+05,4.39450000000000E+05,4.39500000000000E+05,4.39550000000000E+05,4.39600000000000E+05,4.39650000000000E+05,4.39700000000000E+05,4.39750000000000E+05,4.39800000000000E+05,4.39850000000000E+05,4.39900000000000E+05,4.39950000000000E+05,4.40000000000000E+05,4.40050000000000E+05,4.40100000000000E+05,4.40150000000000E+05,4.40200000000000E+05,4.40250000000000E+05,4.40300000000000E+05,4.40350000000000E+05,4.40390000000000E+05,4.40400000000000E+05,4.40420000000000E+05,4.40420000000000E+05,4.40430000000000E+05,4.40440000000000E+05,4.40500000000000E+05,4.40560000000000E+05,4.40610000000000E+05,4.40660000000000E+05,4.40670000000000E+05,4.40670000000000E+05,4.40670000000000E+05,4.40710000000000E+05,4.42260000000000E+05,4.42760000000000E+05,4.43770000000000E+05,4.43770000000000E+05,4.41670000000000E+05,4.40270000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),SOM,Somalia,,6.99859725188892E+01,6.99939426786112E+01,7.00019128383332E+01,7.00098829980552E+01,7.00178531577772E+01,7.00258233174992E+01,7.00337934772212E+01,7.00417636369432E+01,7.00497337966652E+01,7.00577039563872E+01,7.00656741161092E+01,7.00736442758312E+01,7.00816144355532E+01,7.00895845952752E+01,7.00975547549972E+01,7.01055249147192E+01,7.01134950744412E+01,7.01214652341632E+01,7.01294353938853E+01,7.01374055536072E+01,7.01453757133293E+01,7.01533458730512E+01,7.01613160327733E+01,7.01692861924952E+01,7.01772563522172E+01,7.01852265119393E+01,7.01931966716612E+01,7.01995727994388E+01,7.02011668313833E+01,7.02043548952721E+01,7.02043548952721E+01,7.02059489272164E+01,7.02075429591609E+01,7.02171071508273E+01,7.02266713424937E+01,7.02346415022156E+01,7.02426116619377E+01,7.02442056938820E+01,7.02442056938820E+01,7.02442056938820E+01,7.02505818216597E+01,7.04976567730417E+01,7.05773583702617E+01,7.07383555966461E+01,7.07383555966461E+01,7.04036088883221E+01,7.01804444161060E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),SOM,Somalia,,8.91000000000000E+05,8.96000000000000E+05,9.01000000000000E+05,9.06000000000000E+05,9.11000000000000E+05,9.16000000000000E+05,9.21000000000000E+05,9.26000000000000E+05,9.31000000000000E+05,9.36000000000000E+05,9.41000000000000E+05,9.46000000000000E+05,9.51000000000000E+05,9.55000000000000E+05,9.60000000000000E+05,9.65000000000000E+05,9.69000000000000E+05,9.74000000000000E+05,9.79000000000000E+05,9.84000000000000E+05,9.89000000000000E+05,9.94000000000000E+05,9.99000000000000E+05,1.00400000000000E+06,1.00900000000000E+06,1.01400000000000E+06,1.01800000000000E+06,1.02100000000000E+06,1.02100000000000E+06,1.02200000000000E+06,1.02200000000000E+06,1.02300000000000E+06,1.02400000000000E+06,1.03000000000000E+06,1.03500000000000E+06,1.03900000000000E+06,1.04300000000000E+06,1.04300000000000E+06,1.04300000000000E+06,1.04300000000000E+06,1.04500000000000E+06,1.20000000000000E+06,1.25000000000000E+06,1.35000000000000E+06,1.35000000000000E+06,1.14000000000000E+06,1.00000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),SOM,Somalia,,3.08923092711946E-01,3.03549564968754E-01,2.98171490635727E-01,2.92777697707350E-01,2.87361941670888E-01,2.81528243491196E-01,2.75250661901632E-01,2.69166484993823E-01,2.64012588664700E-01,2.60002744473413E-01,2.58005646512523E-01,2.57316170580492E-01,2.54873210627918E-01,2.46700477978947E-01,2.32285957563775E-01,2.12501332262238E-01,1.91179540277326E-01,1.72811530042060E-01,1.59595556494544E-01,1.51725952091913E-01,1.48558211761694E-01,1.48859643776176E-01,1.51345910547143E-01,1.54198499544162E-01,1.55985113238390E-01,1.56137040279198E-01,1.55000140078712E-01,1.53341730833147E-01,1.51968920346405E-01,1.52159798160474E-01,1.53861811016746E-01,1.56989629476851E-01,1.60611452819993E-01,1.64221546026277E-01,1.65799968025436E-01,1.64918331299499E-01,1.62136105099017E-01,1.57510518319847E-01,1.52559206282572E-01,1.47836840855696E-01,1.43696515160119E-01,1.60126499934948E-01,1.61905228191819E-01,1.69722531319778E-01,1.64706556968032E-01,1.34984773362341E-01,1.14996355705330E-01,,,
