Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",ZAF,South Africa,,1.22218000000000E+05,1.26923000000000E+05,1.30000000000000E+05,1.33552000000000E+05,1.38422000000000E+05,1.42000000000000E+05,1.45936000000000E+05,1.47884000000000E+05,1.52000000000000E+05,1.56000000000000E+05,1.57127000000000E+05,1.61052000000000E+05,1.64149000000000E+05,1.66305000000000E+05,1.67981000000000E+05,1.73570000000000E+05,1.73400000000000E+05,1.73133000000000E+05,1.73960000000000E+05,1.72725000000000E+05,1.75557000000000E+05,1.73000000000000E+05,1.70669000000000E+05,1.70000000000000E+05,1.69500000000000E+05,1.69000000000000E+05,1.60000000000000E+05,1.55000000000000E+05,1.50000000000000E+05,1.45000000000000E+05,1.40000000000000E+05,1.31000000000000E+05,1.21000000000000E+05,1.25885000000000E+05,1.30193000000000E+05,1.15000000000000E+05,1.00000000000000E+05,8.80000000000000E+04,7.55000000000000E+04,7.23000000000000E+04,7.00250000000000E+04,6.77500000000000E+04,6.54750000000000E+04,6.32000000000000E+04,6.30000000000000E+04,6.30000000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",ZAF,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62800000000000E+03,7.28800000000000E+03,,,,,,,,,,,,,1.50980000000000E+04,7.46000000000000E+04,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),ZAF,South Africa,,2.14921000000000E+05,2.60051000000000E+05,2.95000000000000E+05,3.43900000000000E+05,3.64100000000000E+05,4.27900000000000E+05,4.72300000000000E+05,5.06800000000000E+05,5.08800000000000E+05,5.57700000000000E+05,6.17200000000000E+05,6.96300000000000E+05,6.96200000000000E+05,7.16212000000000E+05,7.72712000000000E+05,8.13000000000000E+05,8.68244000000000E+05,9.15876000000000E+05,9.65036000000000E+05,1.06433800000000E+06,1.23288600000000E+06,1.13310000000000E+06,8.78126000000000E+05,9.63253000000000E+05,8.76819000000000E+05,8.32903000000000E+05,7.12161000000000E+05,8.26820000000000E+05,7.83854000000000E+05,7.85087000000000E+05,7.40100000000000E+05,7.32800000000000E+05,8.43383000000000E+05,7.52100000000000E+05,7.67000000000000E+05,8.03900000000000E+05,7.61000000000000E+05,7.82800000000000E+05,7.76700000000000E+05,7.40300000000000E+05,7.62500000000000E+05,6.48656000000000E+05,8.00573000000000E+05,8.38237000000000E+05,6.65967000000000E+05,6.89624000000000E+05,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),ZAF,South Africa,,1.79100833333333E+02,2.15809958506224E+02,2.43801652892561E+02,2.83045267489711E+02,2.98442622950819E+02,3.49877350776778E+02,3.85551020408163E+02,4.12367778681855E+02,4.12652068126520E+02,4.50848827809215E+02,4.97340854149879E+02,5.59277108433734E+02,5.57405924739791E+02,5.71597765363128E+02,6.14727128082736E+02,6.44624167459562E+02,6.90727128082736E+02,7.30946528332003E+02,7.73266025641025E+02,8.55577170418006E+02,9.94262903225806E+02,9.17118575475515E+02,7.10745447187373E+02,7.79646297045730E+02,7.09687575880210E+02,6.67390224358974E+02,5.62084451460142E+02,6.42939346811819E+02,5.96086692015209E+02,5.84142113095238E+02,5.39038601602330E+02,5.22681883024251E+02,5.89366177498253E+02,5.15136986301369E+02,5.14247401944351E+02,5.40436974789916E+02,5.13841998649561E+02,5.29240754512879E+02,5.26469192706568E+02,5.01796244831559E+02,5.16844031722361E+02,4.39677353758557E+02,5.42650986240086E+02,5.70229251700680E+02,4.53038775510204E+02,4.75602758620689E+02,,,,
AG.CRP.BLY.CD,"Producer Price for Barley (per tonne, current US$)",ZAF,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90490000000000E+02,2.05470000000000E+02,2.00440000000000E+02,2.00520000000000E+02,2.14500000000000E+02,1.87940000000000E+02,1.73610000000000E+02,1.35669999999999E+02,1.24069999999999E+02,1.15280000000000E+02,1.16160000000000E+02,1.13840000000000E+02,1.89430000000000E+02,2.08340000000000E+02,1.83139999999999E+02,2.34389999999999E+02,2.74720000000000E+02,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",ZAF,South Africa,,,,,,,2.76999999999999E+01,2.90300000000000E+01,2.88799999999999E+01,2.88799999999999E+01,2.88799999999999E+01,6.13999999999999E+01,6.43400000000000E+01,7.43400000000000E+01,8.83400000000000E+01,1.00080000000000E+02,1.04890000000000E+02,1.04890000000000E+02,1.15580000000000E+02,1.20540000000000E+02,1.76970000000000E+02,2.09020000000000E+02,2.46500000000000E+02,2.46500000000000E+02,2.68000000000000E+02,2.40000000000000E+02,2.95000000000000E+02,3.23500000000000E+02,3.18000000000000E+02,3.50000000000000E+02,4.62000000000000E+02,5.26000000000000E+02,5.86000000000000E+02,6.55000000000000E+02,7.12000000000000E+02,7.78000000000000E+02,8.08000000000000E+02,8.00000000000000E+02,7.50000000000000E+02,7.58000000000000E+02,8.00000000000000E+02,1.00000000000000E+03,1.20000000000000E+03,1.43300000000000E+03,1.34200000000000E+03,1.16200000000000E+03,1.57600000000000E+03,1.93400000000000E+03,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",ZAF,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06830000000000E+02,1.68300000000000E+02,1.43830000000000E+02,1.12650000000000E+02,1.13040000000000E+02,9.76899999999999E+01,9.72199999999999E+01,8.30300000000000E+01,7.51299999999999E+01,6.98900000000000E+01,6.43499999999999E+01,6.65000000000000E+01,9.51800000000000E+01,8.54000000000000E+01,8.21599999999999E+01,1.14280000000000E+02,1.36610000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",ZAF,South Africa,,,,,,,3.97999999999999E+01,3.58299999999999E+01,4.14600000000000E+01,5.62299999999999E+01,3.50799999999999E+01,3.48999999999999E+01,3.23100000000000E+01,6.38800000000000E+01,6.00000000000000E+01,6.40000000000000E+01,7.30000000000000E+01,8.10000000000000E+01,7.60000000000000E+01,8.50000000000000E+01,9.20000000000000E+01,9.50000000000000E+01,1.40000000000000E+02,2.00000000000000E+02,2.00000000000000E+02,1.78000000000000E+02,1.90000000000000E+02,1.90000000000000E+02,2.07000000000000E+02,2.05000000000000E+02,2.30000000000000E+02,2.95000000000000E+02,4.80000000000000E+02,4.70000000000000E+02,4.00000000000000E+02,4.10000000000000E+02,4.20000000000000E+02,4.48000000000000E+02,4.59000000000000E+02,4.59000000000000E+02,4.85000000000000E+02,5.54000000000000E+02,7.01000000000000E+02,7.20000000000000E+02,5.50100000000000E+02,5.21299999999999E+02,7.68399999999999E+02,9.61700000000000E+02,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",ZAF,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29289999999999E+02,1.58479999999999E+02,1.26080000000000E+02,1.02790000000000E+02,1.59080000000000E+02,1.37699999999999E+02,1.28039999999999E+02,1.03830000000000E+02,1.10319999999999E+02,7.85300000000000E+01,1.03030000000000E+02,1.29500000000000E+02,1.23470000000000E+02,1.29789999999999E+02,9.92900000000000E+01,1.45900000000000E+02,2.08520000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",ZAF,South Africa,,,,,,,3.56499999999999E+01,3.32299999999999E+01,3.39500000000000E+01,3.69099999999999E+01,3.63599999999999E+01,3.79200000000000E+01,4.33999999999999E+01,4.55000000000000E+01,5.70000000000000E+01,6.20000000000000E+01,6.50000000000000E+01,7.40000000000000E+01,8.40000000000000E+01,1.02000000000000E+02,1.22400000000000E+02,1.34000000000000E+02,1.55050000000000E+02,1.70050000000000E+02,2.15550000000000E+02,2.17500000000000E+02,2.31000000000000E+02,2.51000000000000E+02,2.57000000000000E+02,2.61000000000000E+02,3.02000000000000E+02,3.57000000000000E+02,4.52000000000000E+02,4.12000000000000E+02,3.65000000000000E+02,5.77000000000000E+02,5.92000000000000E+02,5.90000000000000E+02,5.74000000000000E+02,6.74000000000000E+02,5.45000000000000E+02,8.87000000000000E+02,1.36500000000000E+03,9.34000000000000E+02,8.36000000000000E+02,6.30000000000000E+02,9.81000000000000E+02,1.46800000000000E+03,,,
