Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",SXZ,Sub-Saharan Africa excluding South Africa,,5.17330000000000E+04,5.50100000000000E+04,5.62670000000000E+04,5.85080000000000E+04,6.12070000000000E+04,6.51660000000000E+04,6.97090000000000E+04,7.16120000000000E+04,7.76070000000000E+04,8.33260000000000E+04,8.64700000000000E+04,9.26480000000000E+04,9.39230000000000E+04,9.56020000000000E+04,9.72250000000000E+04,9.95300000000000E+04,1.01881000000000E+05,1.03773000000000E+05,1.04806000000000E+05,1.07191000000000E+05,1.08609000000000E+05,1.12172000000000E+05,1.15205000000000E+05,1.18741000000000E+05,1.22021000000000E+05,1.24581000000000E+05,1.24936000000000E+05,1.28399000000000E+05,1.31283000000000E+05,1.34792000000000E+05,1.39512000000000E+05,1.41013000000000E+05,1.46121000000000E+05,1.47192000000000E+05,1.50080000000000E+05,1.53208000000000E+05,1.59331000000000E+05,1.63125000000000E+05,1.68305000000000E+05,1.72087000000000E+05,1.75889000000000E+05,1.80106000000000E+05,1.81432000000000E+05,1.85259000000000E+05,1.87152000000000E+05,1.88443000000000E+05,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",SXZ,Sub-Saharan Africa excluding South Africa,,,,,,,,,,,6.05590000000000E+05,4.65900000000000E+05,4.60610000000000E+05,1.18124500000000E+06,9.36110000000000E+05,7.46590000000000E+05,8.60250000000000E+05,1.28067600000000E+06,1.17082200000000E+06,1.60070500000000E+06,2.39926000000000E+06,2.40221900000000E+06,2.54449200000000E+06,2.75018600000000E+06,4.99217800000000E+06,3.87935600000000E+06,3.32803000000000E+06,3.55602000000000E+06,2.81066000000000E+06,2.41544000000000E+06,3.19004500000000E+06,4.35163600000000E+06,5.82178100000000E+06,2.95467700000000E+06,3.21871500000000E+06,2.16375200000000E+06,1.48288300000000E+06,1.89649300000000E+06,2.19433100000000E+06,2.52343900000000E+06,3.14096500000000E+06,2.01834900000000E+06,3.59564100000000E+06,3.18902300000000E+06,2.87131300000000E+06,3.03450600000000E+06,2.20435100000000E+06,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),SXZ,Sub-Saharan Africa excluding South Africa,,1.54036000000000E+05,1.49129000000000E+05,1.83352000000000E+05,2.22960000000000E+05,2.49161000000000E+05,2.78070000000000E+05,3.26545000000000E+05,3.24614000000000E+05,3.57010000000000E+05,4.21269000000000E+05,4.98983000000000E+05,5.33724000000000E+05,5.67072000000000E+05,6.20760000000000E+05,6.62366000000000E+05,6.82338000000000E+05,6.88995000000000E+05,6.49924000000000E+05,6.83191000000000E+05,9.08548000000000E+05,9.96636000000000E+05,9.31128000000000E+05,9.40917000000000E+05,9.98280000000000E+05,1.03428600000000E+06,9.84416000000000E+05,9.83248000000000E+05,1.11451500000000E+06,1.11082500000000E+06,1.15673200000000E+06,1.18646100000000E+06,1.18414100000000E+06,1.32575800000000E+06,1.20444600000000E+06,1.06688100000000E+06,1.29564100000000E+06,1.24520500000000E+06,1.22515500000000E+06,1.27917700000000E+06,1.23093800000000E+06,1.23160400000000E+06,1.06094000000000E+06,1.10315700000000E+06,1.21856700000000E+06,1.20314100000000E+06,1.06499900000000E+06,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),SXZ,Sub-Saharan Africa excluding South Africa,,1.39005351357692E+01,1.34009992631333E+01,1.62246920571994E+01,1.95731755493323E+01,2.17393314894470E+01,2.41592020782109E+01,2.82229347807298E+01,2.77104443211404E+01,3.02335625486941E+01,3.55591288933907E+01,4.19059896533189E+01,4.46548752530914E+01,4.73843325673699E+01,5.20618945779343E+01,5.49941466087692E+01,5.62920124738066E+01,5.66817490025091E+01,5.27629933916770E+01,5.51725780921923E+01,7.30919856478576E+01,8.01489368546337E+01,7.43006248054963E+01,7.45434307263277E+01,7.84650936129407E+01,7.96259998614244E+01,7.52554086079045E+01,7.49381135296628E+01,8.40781701456731E+01,8.32180882145821E+01,8.55589358055757E+01,8.66366988032570E+01,8.54178012873180E+01,8.70251716697769E+01,7.85984635905414E+01,6.81909175162187E+01,8.26608473298124E+01,7.90723828175106E+01,7.65585983487930E+01,7.95675334740760E+01,7.64277687058779E+01,7.53509657446665E+01,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",SXZ,Sub-Saharan Africa excluding South Africa,,2.31591880000000E+08,2.34941237000000E+08,2.39232982000000E+08,2.42716026000000E+08,2.46980044000000E+08,2.52472241000000E+08,2.57438075000000E+08,2.61885375000000E+08,2.66448294000000E+08,2.71216101000000E+08,2.73910358000000E+08,2.76514350000000E+08,2.80251369000000E+08,2.83740510000000E+08,2.90846944000000E+08,2.95590164000000E+08,3.01101523000000E+08,3.09191229000000E+08,3.14982629000000E+08,3.22093090000000E+08,3.29940193000000E+08,3.37714668000000E+08,3.46531334000000E+08,3.56392079000000E+08,3.64480302000000E+08,3.71363477000000E+08,3.78323430000000E+08,3.85437775000000E+08,3.93782619000000E+08,3.98243351000000E+08,4.07535584000000E+08,4.20829580000000E+08,4.34175750000000E+08,4.47894793000000E+08,4.63016000000000E+08,4.69599355000000E+08,4.73648212000000E+08,4.78391556000000E+08,4.82578045000000E+08,4.87724122000000E+08,4.84923344000000E+08,4.93530967000000E+08,5.00230514000000E+08,5.08365913000000E+08,5.28881051000000E+08,5.55825542000000E+08,5.62519742000000E+08,,,
AG.LND.AGRI.HA,Agricultural land (hectares),SXZ,Sub-Saharan Africa excluding South Africa,,8.55845000000000E+08,8.57258000000000E+08,8.59249000000000E+08,8.60568000000000E+08,8.61912000000000E+08,8.64645000000000E+08,8.65507000000000E+08,8.67168000000000E+08,8.68503000000000E+08,8.68983000000000E+08,8.71823000000000E+08,8.72651000000000E+08,8.73115000000000E+08,8.73026000000000E+08,8.74487000000000E+08,8.75660000000000E+08,8.76588000000000E+08,8.78466000000000E+08,8.79142000000000E+08,8.80114000000000E+08,8.80288000000000E+08,8.81334000000000E+08,8.82757000000000E+08,8.83393000000000E+08,8.88376000000000E+08,8.92991000000000E+08,8.95095000000000E+08,8.99835000000000E+08,9.02722600000000E+08,9.04887100000000E+08,9.06820700000000E+08,9.09999300000000E+08,8.96397900000000E+08,9.00840400000000E+08,9.05504000000000E+08,9.07293800000000E+08,9.10679600000000E+08,9.16067400000000E+08,9.19693200000000E+08,9.22530000000000E+08,9.27344000000000E+08,9.30425000000000E+08,9.35589000000000E+08,9.38892000000000E+08,9.49711500000000E+08,9.51435300000000E+08,9.52899300000000E+08,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),SXZ,Sub-Saharan Africa excluding South Africa,,8.55845000000000E+06,8.57258000000000E+06,8.59249000000000E+06,8.60568000000000E+06,8.61912000000000E+06,8.64645000000000E+06,8.65507000000000E+06,8.67168000000000E+06,8.68503000000000E+06,8.68983000000000E+06,8.71823000000000E+06,8.72651000000000E+06,8.73115000000000E+06,8.73026000000000E+06,8.74487000000000E+06,8.75660000000000E+06,8.76588000000000E+06,8.78466000000000E+06,8.79142000000000E+06,8.80114000000000E+06,8.80288000000000E+06,8.81334000000000E+06,8.82757000000000E+06,8.83393000000000E+06,8.88376000000000E+06,8.92991000000000E+06,8.95095000000000E+06,8.99835000000000E+06,9.02722600000000E+06,9.04887100000000E+06,9.06820700000000E+06,9.09999300000000E+06,8.96397900000000E+06,9.00840400000000E+06,9.05504000000000E+06,9.07293800000000E+06,9.10679600000000E+06,9.16067400000000E+06,9.19693200000000E+06,9.22530000000000E+06,9.27344000000000E+06,9.30425000000000E+06,9.35589000000000E+06,9.38892000000000E+06,9.49711500000000E+06,9.51435300000000E+06,9.52899300000000E+06,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),SXZ,Sub-Saharan Africa excluding South Africa,,4.65231594337981E+01,4.66024894451046E+01,4.66662374152956E+01,4.67310275477629E+01,4.68035612909349E+01,4.68717317709177E+01,4.69156176738382E+01,4.69553477176456E+01,4.70526224911388E+01,4.70913132486573E+01,4.71677372519155E+01,4.72090719913350E+01,4.72461952410080E+01,4.72764918669703E+01,4.73402969233017E+01,4.73877958470792E+01,4.74401505126057E+01,4.75114811963106E+01,4.75216454636222E+01,4.75182912946898E+01,4.75344052084005E+01,4.75838234951189E+01,4.76298017169585E+01,4.76794738615340E+01,4.79218840994977E+01,4.81504839810663E+01,4.82849074882065E+01,4.85372496130182E+01,4.86992023781055E+01,4.87515888722063E+01,4.88146931416809E+01,4.89427541731934E+01,4.83034886091098E+01,4.84600652209485E+01,4.86841984282788E+01,4.86295489047977E+01,4.87164653248206E+01,4.91745420804257E+01,4.93542910624963E+01,4.95170711372904E+01,4.96888817274028E+01,5.00152006165743E+01,5.02250239672242E+01,5.04629936799457E+01,5.09520247672155E+01,5.11111154520931E+01,5.11806536777013E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),SXZ,Sub-Saharan Africa excluding South Africa,,1.21068000000000E+08,1.21916000000000E+08,1.23674000000000E+08,1.24537000000000E+08,1.25311000000000E+08,1.25832000000000E+08,1.26473000000000E+08,1.27755000000000E+08,1.29148000000000E+08,1.29633000000000E+08,1.30263000000000E+08,1.30912000000000E+08,1.30985000000000E+08,1.30512000000000E+08,1.31791000000000E+08,1.32581000000000E+08,1.33170000000000E+08,1.34830000000000E+08,1.35573000000000E+08,1.36140000000000E+08,1.35934000000000E+08,1.36654000000000E+08,1.37508000000000E+08,1.38136000000000E+08,1.40640000000000E+08,1.41226000000000E+08,1.41340000000000E+08,1.42496000000000E+08,1.43164000000000E+08,1.44715000000000E+08,1.46486000000000E+08,1.48710000000000E+08,1.51662000000000E+08,1.52582000000000E+08,1.55731000000000E+08,1.55869700000000E+08,1.56866000000000E+08,1.57533000000000E+08,1.58336000000000E+08,1.58538000000000E+08,1.61292000000000E+08,1.63758000000000E+08,1.68386000000000E+08,1.71460000000000E+08,1.74907000000000E+08,,,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),SXZ,Sub-Saharan Africa excluding South Africa,,5.77384960157655E-01,5.67671611328366E-01,5.62284124141181E-01,5.52277516233042E-01,5.42907211869751E-01,5.31372530812818E-01,5.20390922939424E-01,5.12884282253693E-01,5.04049546334070E-01,4.92100933575150E-01,4.82027788377859E-01,4.71482502306830E-01,4.59208291078783E-01,4.45085693662260E-01,4.36598639001484E-01,4.26659393698451E-01,4.15546554443152E-01,4.08472194735471E-01,3.98639035572775E-01,3.87967641753002E-01,3.76332135744048E-01,3.67537608129818E-01,3.58769350603162E-01,3.49912017109916E-01,3.45898837989650E-01,3.37391662094568E-01,3.27762655260322E-01,3.20785127422550E-01,3.13102978738083E-01,3.07473957255791E-01,3.02209016152400E-01,2.97169253376533E-01,2.93130694597426E-01,2.86868283979339E-01,2.84984685311860E-01,2.77828354249847E-01,2.71658735478988E-01,2.68716697851111E-01,2.62836887593277E-01,2.56441715767431E-01,2.53523970733961E-01,2.51249877260362E-01,2.50951594636851E-01,2.47920315681274E-01,2.49968780299961E-01,2.45905863111483E-01,2.41583780790400E-01,,,
AG.LND.ARBL.ZS,Arable land (% of land area),SXZ,Sub-Saharan Africa excluding South Africa,,5.45902257709658E+00,5.50061034986117E+00,5.58566810062322E+00,5.62613551313015E+00,5.67390767451706E+00,5.69904855869910E+00,5.72965680093855E+00,5.79880543604174E+00,5.85343420220557E+00,5.87073256458395E+00,5.90846629806216E+00,5.93894009707070E+00,5.94579670184762E+00,5.92618459269984E+00,5.98042857646717E+00,6.01498172559681E+00,6.03160846791471E+00,6.10568934406425E+00,6.13683647589967E+00,6.15337358618350E+00,6.14647191956098E+00,6.18102506869063E+00,6.21262036069633E+00,6.23959960294801E+00,6.35244633382796E+00,6.38233861718655E+00,6.38673058685543E+00,6.43822419042218E+00,6.47078750839572E+00,6.54085735102114E+00,6.61478585271278E+00,6.69019328296640E+00,6.79668219400064E+00,6.83681255454349E+00,6.98027357440072E+00,6.99306889113634E+00,7.02589592758707E+00,7.13974212440001E+00,7.17270300307600E+00,7.18576600426216E+00,7.29239364372564E+00,7.41682229914977E+00,7.60125688556904E+00,7.70458308347592E+00,7.96976914580687E+00,8.04326191170151E+00,8.10085868264183E+00,,,
