Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",SSA,Sub-Saharan Africa,,1.73951000000000E+05,1.81933000000000E+05,1.86267000000000E+05,1.92060000000000E+05,1.99629000000000E+05,2.07166000000000E+05,2.15645000000000E+05,2.19496000000000E+05,2.29607000000000E+05,2.39326000000000E+05,2.43597000000000E+05,2.53700000000000E+05,2.58072000000000E+05,2.61907000000000E+05,2.65206000000000E+05,2.73100000000000E+05,2.75281000000000E+05,2.76906000000000E+05,2.78766000000000E+05,2.79916000000000E+05,2.84166000000000E+05,2.85172000000000E+05,2.85874000000000E+05,2.88741000000000E+05,2.91521000000000E+05,2.93581000000000E+05,2.84936000000000E+05,2.83399000000000E+05,2.81283000000000E+05,2.79792000000000E+05,2.79512000000000E+05,2.72013000000000E+05,2.67121000000000E+05,2.73077000000000E+05,2.80273000000000E+05,2.68208000000000E+05,2.59331000000000E+05,2.51125000000000E+05,2.43805000000000E+05,2.44387000000000E+05,2.45914000000000E+05,2.47856000000000E+05,2.46907000000000E+05,2.48459000000000E+05,2.50152000000000E+05,2.51443000000000E+05,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",SSA,Sub-Saharan Africa,,,,,,,,,,,6.05590000000000E+05,4.65900000000000E+05,4.60610000000000E+05,1.18124500000000E+06,9.36110000000000E+05,7.46590000000000E+05,8.60250000000000E+05,1.28067600000000E+06,1.17082200000000E+06,1.60070500000000E+06,2.39926000000000E+06,2.40221900000000E+06,2.54449200000000E+06,2.75018600000000E+06,4.99217800000000E+06,3.87935600000000E+06,3.32803000000000E+06,3.55602000000000E+06,2.81528800000000E+06,2.42272800000000E+06,3.19004500000000E+06,4.35163600000000E+06,5.82178100000000E+06,2.95467700000000E+06,3.21871500000000E+06,2.16375200000000E+06,1.48288300000000E+06,1.89649300000000E+06,2.19433100000000E+06,2.52343900000000E+06,3.14096500000000E+06,2.01834900000000E+06,3.61073900000000E+06,3.26362300000000E+06,2.87131300000000E+06,3.03450600000000E+06,2.20435100000000E+06,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),SSA,Sub-Saharan Africa,,3.68957000000000E+05,4.09180000000000E+05,4.78352000000000E+05,5.66860000000000E+05,6.13261000000000E+05,7.05970000000000E+05,7.98845000000000E+05,8.31414000000000E+05,8.65810000000000E+05,9.78969000000000E+05,1.11618300000000E+06,1.23002400000000E+06,1.26327200000000E+06,1.33697200000000E+06,1.43507800000000E+06,1.49533800000000E+06,1.55723900000000E+06,1.56580000000000E+06,1.64822700000000E+06,1.97288600000000E+06,2.22952200000000E+06,2.06422800000000E+06,1.81904300000000E+06,1.96153300000000E+06,1.91110500000000E+06,1.81731900000000E+06,1.69540900000000E+06,1.94133500000000E+06,1.89467900000000E+06,1.94181900000000E+06,1.92656100000000E+06,1.91694100000000E+06,2.16914100000000E+06,1.95654600000000E+06,1.83388100000000E+06,2.09954100000000E+06,2.00620500000000E+06,2.00795500000000E+06,2.05587700000000E+06,1.97123800000000E+06,1.99410400000000E+06,1.70959600000000E+06,1.90373000000000E+06,2.05680400000000E+06,1.86910800000000E+06,1.75462300000000E+06,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),SSA,Sub-Saharan Africa,,3.00421779453315E+01,3.31771154282749E+01,3.82351248521277E+01,4.49671190931374E+01,4.83594741864004E+01,5.54445570137203E+01,6.24331780667750E+01,6.42340943330629E+01,6.63893447022558E+01,7.48218434729440E+01,8.48924567621423E+01,9.32034067832570E+01,9.55829455604736E+01,1.01466398512503E+02,1.07890055859201E+02,1.11737480011358E+02,1.16103560111835E+02,1.15380080761635E+02,1.20919315080552E+02,1.44277983355516E+02,1.63038728171527E+02,1.49935935616020E+02,1.31263972174716E+02,1.40530086473087E+02,1.34350219335245E+02,1.26828041035661E+02,1.17836569871696E+02,1.33501241257899E+02,1.29211790476398E+02,1.30641609665420E+02,1.27860578311046E+02,1.25578106155743E+02,1.30159992175306E+02,1.16571814652491E+02,1.07012954426095E+02,1.22338896891213E+02,1.16445794391438E+02,1.14858820016542E+02,1.17131174253301E+02,1.12121925693354E+02,1.11901325462116E+02,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",SSA,Sub-Saharan Africa,,2.32364880000000E+08,2.35471237000000E+08,2.39789982000000E+08,2.43383026000000E+08,2.47830044000000E+08,2.59232241000000E+08,2.64218075000000E+08,2.68685375000000E+08,2.73268294000000E+08,2.78056101000000E+08,2.80770358000000E+08,2.83394350000000E+08,2.87151369000000E+08,2.90660510000000E+08,2.97786944000000E+08,3.02550164000000E+08,3.08081523000000E+08,3.16191229000000E+08,3.22382629000000E+08,3.29893090000000E+08,3.38140193000000E+08,3.46314668000000E+08,3.55531334000000E+08,3.65792079000000E+08,3.74280302000000E+08,3.81563477000000E+08,3.88923430000000E+08,3.96437775000000E+08,4.05182619000000E+08,4.10043351000000E+08,4.19735584000000E+08,4.33429580000000E+08,4.47175750000000E+08,4.61294793000000E+08,4.76816000000000E+08,4.83799355000000E+08,4.88248212000000E+08,4.90391556000000E+08,4.94578045000000E+08,4.99724122000000E+08,4.96923344000000E+08,5.05530967000000E+08,5.12230514000000E+08,5.20365913000000E+08,5.40881051000000E+08,5.67825542000000E+08,5.74519742000000E+08,,,
AG.LND.AGRI.HA,Agricultural land (hectares),SSA,Sub-Saharan Africa,,9.57873000000000E+08,9.58082000000000E+08,9.58919000000000E+08,9.58984000000000E+08,9.59174000000000E+08,9.61733000000000E+08,9.62311000000000E+08,9.63768000000000E+08,9.64889000000000E+08,9.65165000000000E+08,9.67791000000000E+08,9.68415000000000E+08,9.68665000000000E+08,9.68382000000000E+08,9.69619000000000E+08,9.70580000000000E+08,9.71442000000000E+08,9.73260000000000E+08,9.73866000000000E+08,9.74788000000000E+08,9.74902000000000E+08,9.75881000000000E+08,9.77304000000000E+08,9.77940000000000E+08,9.82923000000000E+08,9.87791000000000E+08,9.90395000000000E+08,9.95535000000000E+08,9.99022600000000E+08,1.00168710000000E+09,1.00422070000000E+09,1.00789930000000E+09,9.94797900000000E+08,9.99840400000000E+08,1.00502900000000E+09,1.00699380000000E+09,1.01032960000000E+09,1.01574540000000E+09,1.01933320000000E+09,1.02217000000000E+09,1.02698400000000E+09,1.03006500000000E+09,1.03522900000000E+09,1.03847000000000E+09,1.04928950000000E+09,1.05081330000000E+09,1.05227730000000E+09,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),SSA,Sub-Saharan Africa,,9.57873000000000E+06,9.58082000000000E+06,9.58919000000000E+06,9.58984000000000E+06,9.59174000000000E+06,9.61733000000000E+06,9.62311000000000E+06,9.63768000000000E+06,9.64889000000000E+06,9.65165000000000E+06,9.67791000000000E+06,9.68415000000000E+06,9.68665000000000E+06,9.68382000000000E+06,9.69619000000000E+06,9.70580000000000E+06,9.71442000000000E+06,9.73260000000000E+06,9.73866000000000E+06,9.74788000000000E+06,9.74902000000000E+06,9.75881000000000E+06,9.77304000000000E+06,9.77940000000000E+06,9.82923000000000E+06,9.87791000000000E+06,9.90395000000000E+06,9.95535000000000E+06,9.99022600000000E+06,1.00168710000000E+07,1.00422070000000E+07,1.00789930000000E+07,9.94797900000000E+06,9.99840400000000E+06,1.00502900000000E+07,1.00699380000000E+07,1.01032960000000E+07,1.01574540000000E+07,1.01933320000000E+07,1.02217000000000E+07,1.02698400000000E+07,1.03006500000000E+07,1.03522900000000E+07,1.03847000000000E+07,1.04928950000000E+07,1.05081330000000E+07,1.05227730000000E+07,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),SSA,Sub-Saharan Africa,,5.05161093325398E+01,5.04347827241653E+01,5.03459700854170E+01,5.02516025645539E+01,5.01784578126323E+01,5.02102813418777E+01,5.02144633686263E+01,5.02214464276485E+01,5.02803804571253E+01,5.02907237345852E+01,5.03263157370407E+01,5.03382073112742E+01,5.03464889781252E+01,5.03526822720608E+01,5.03809895532175E+01,5.03969914660409E+01,5.04341670561115E+01,5.04862553438666E+01,5.04857783042641E+01,5.04743845888880E+01,5.04819210929111E+01,5.05161645619565E+01,5.05534251030352E+01,5.05963935881564E+01,5.08006989371649E+01,5.10208308755266E+01,5.11894875999702E+01,5.14463654304230E+01,5.16483492809358E+01,5.17428857475348E+01,5.18587344260333E+01,5.20188057114726E+01,5.15399245657890E+01,5.17332281560291E+01,5.19783441591975E+01,5.19427255043144E+01,5.20044134027277E+01,5.24031883555939E+01,5.25497177510407E+01,5.26877620254469E+01,5.28280405633224E+01,5.31134045977125E+01,5.32875779385410E+01,5.34863759590588E+01,5.38978229075595E+01,5.40161139875909E+01,5.40750433293616E+01,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),SSA,Sub-Saharan Africa,,5.84534746041211E-01,5.74369536983313E-01,5.68324197594143E-01,5.58121537038722E-01,5.48573749177494E-01,5.36999125837344E-01,5.25927574156053E-01,5.18155403914142E-01,5.09168020647440E-01,4.97310051886711E-01,4.87146746202949E-01,4.76568487921084E-01,4.64416127325964E-01,4.50577191002856E-01,4.41970488379827E-01,4.32050397145830E-01,4.20830018594246E-01,4.13377841917748E-01,4.03339422890553E-01,3.92532514994669E-01,3.80831517666297E-01,3.71759899459926E-01,3.62832989949305E-01,3.53835500232440E-01,3.49357593075214E-01,3.41007862844526E-01,3.31773021165602E-01,3.25022153287879E-01,3.17846202896937E-01,3.12606460471969E-01,3.07683959727412E-01,3.02951141293522E-01,2.99098672811960E-01,2.93187759436337E-01,2.91388727011624E-01,2.84054615058814E-01,2.77607655623429E-01,2.74257327644962E-01,2.68139520908414E-01,2.61604170955348E-01,2.58443128004999E-01,2.56038359180588E-01,2.55448564048146E-01,2.52240454315934E-01,2.53879778695487E-01,2.49552407823172E-01,2.45261327880365E-01,,,
AG.LND.ARBL.ZS,Arable land (% of land area),SSA,Sub-Saharan Africa,,5.68726196379310E+00,5.72882818407341E+00,5.81162061465219E+00,5.85212430373924E+00,5.89955569620635E+00,5.92467393361500E+00,5.95455231076946E+00,6.02183178592665E+00,6.07534085681920E+00,6.09344638835234E+00,6.13093248885054E+00,6.16153338721641E+00,6.16973612802837E+00,6.15284023029097E+00,6.20598819589712E+00,6.24054288519584E+00,6.25452627114822E+00,6.32308311473844E+00,6.35049735163595E+00,6.36448073758833E+00,6.35623521517264E+00,6.38709217019217E+00,6.41705656866154E+00,6.44264318976589E+00,6.54966497039836E+00,6.58332710314693E+00,6.59556787869187E+00,6.65247898443725E+00,6.69568722200316E+00,6.77446596322726E+00,6.85690418630698E+00,6.94074499825122E+00,7.05296276541785E+00,7.10330361678385E+00,7.25272220428516E+00,7.26316703162196E+00,7.29155597075295E+00,7.39874664611219E+00,7.42840521579466E+00,7.44079680997706E+00,7.54194404391127E+00,7.65997736418010E+00,7.83493245417342E+00,7.93070491877305E+00,8.18226105203872E+00,8.24351226194374E+00,8.29814869667557E+00,,,
