Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",SDN,Sudan,,1.70000000000000E+03,1.90000000000000E+03,2.10000000000000E+03,2.20000000000000E+03,2.30000000000000E+03,2.40000000000000E+03,3.00000000000000E+03,3.50000000000000E+03,4.46200000000000E+03,4.84800000000000E+03,5.82000000000000E+03,7.98000000000000E+03,8.10000000000000E+03,8.20000000000000E+03,8.90000000000000E+03,9.80000000000000E+03,9.80000000000000E+03,9.90000000000000E+03,9.40000000000000E+03,9.60000000000000E+03,9.70000000000000E+03,9.90000000000000E+03,9.90000000000000E+03,1.00000000000000E+04,1.01000000000000E+04,1.03000000000000E+04,9.80000000000000E+03,9.70000000000000E+03,9.50000000000000E+03,9.18200000000000E+03,1.04510000000000E+04,1.05200000000000E+04,1.06000000000000E+04,1.06800000000000E+04,1.07600000000000E+04,1.08400000000000E+04,1.09200000000000E+04,1.10000000000000E+04,1.10390000000000E+04,1.18560000000000E+04,1.25000000000000E+04,1.31000000000000E+04,1.36800000000000E+04,1.66390000000000E+04,1.81000000000000E+04,1.85000000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",SDN,Sudan,,,,,,,,,,,3.79200000000000E+04,1.80000000000000E+04,4.97000000000000E+04,7.86000000000000E+04,4.59800000000000E+04,2.47600000000000E+04,5.41000000000000E+04,1.11760000000000E+05,9.09470000000000E+04,2.12300000000000E+05,1.94516000000000E+05,1.94020000000000E+05,3.30015000000000E+05,4.50438000000000E+05,8.14502000000000E+05,9.39104000000000E+05,8.89867000000000E+05,6.15199000000000E+05,3.02936000000000E+05,2.95037000000000E+05,4.89047000000000E+05,5.96951000000000E+05,3.37703000000000E+05,2.55263000000000E+05,1.17055000000000E+05,4.37330000000000E+04,8.36090000000000E+04,4.97900000000000E+04,2.26780000000000E+05,1.14653000000000E+05,1.76616000000000E+05,8.61110000000000E+04,1.24666000000000E+05,1.63126000000000E+05,6.15714000000000E+05,5.41272000000000E+05,4.25499000000000E+05,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),SDN,Sudan,,2.47070000000000E+04,1.83830000000000E+04,2.48550000000000E+04,2.36360000000000E+04,2.39360000000000E+04,2.96500000000000E+04,3.98000000000000E+04,4.23000000000000E+04,3.96070000000000E+04,3.30070000000000E+04,3.82030000000000E+04,5.31630000000000E+04,5.48380000000000E+04,6.03160000000000E+04,9.51000000000000E+04,8.00000000000000E+04,3.21000000000000E+04,1.16290000000000E+04,3.39140000000000E+04,8.07000000000000E+04,7.52700000000000E+04,7.94950000000000E+04,4.27000000000000E+04,8.83500000000000E+04,9.48000000000000E+04,6.02000000000000E+04,3.87000000000000E+04,8.00000000000000E+04,4.93200000000000E+04,8.19000000000000E+04,5.57000000000000E+04,5.95000000000000E+04,5.29000000000000E+04,5.84000000000000E+04,5.17000000000000E+04,9.54000000000000E+04,7.74000000000000E+04,3.77000000000000E+04,3.88000000000000E+04,4.07000000000000E+04,8.42000000000000E+04,5.73630000000000E+04,6.31000000000000E+04,8.30490000000000E+04,5.01600000000000E+04,4.78300000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),SDN,Sudan,,2.29299303944315E+01,1.69039080459770E+01,2.26469248291571E+01,2.13475433526011E+01,2.14249910490512E+01,2.63087843833185E+01,3.50043975373790E+01,3.68884625446934E+01,3.42413763292124E+01,2.82957565366480E+01,3.24772592025843E+01,4.48216845122670E+01,4.58588392707810E+01,5.02005826050769E+01,7.84977300866694E+01,6.55200655200655E+01,2.60805979850503E+01,9.41924509962741E+00,2.74718509518023E+01,6.52912621359223E+01,6.07506053268765E+01,6.38514056224899E+01,3.41599999999999E+01,7.03984063745019E+01,7.52380952380952E+01,4.75889328063241E+01,3.04724409448818E+01,6.27943485086342E+01,3.86823529411764E+01,6.39843750000000E+01,4.33463035019455E+01,4.61240310077519E+01,3.61882610480229E+01,3.89333333333333E+01,3.19985145757256E+01,5.72216890595009E+01,4.66265060240963E+01,2.28484848484848E+01,2.36874236874236E+01,2.50723834164972E+01,5.14167073766487E+01,3.47254676433198E+01,3.49545756702858E+01,4.60896831122703E+01,2.58104353195430E+01,2.48506260715955E+01,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",SDN,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20635999999999E+03,1.63599999999999E+02,2.35949999999999E+02,2.94540000000000E+02,2.78630000000000E+02,3.62949999999999E+02,2.10729999999999E+02,1.83460000000000E+02,1.26709999999999E+02,6.55090000000000E+02,2.65930000000000E+02,1.66259999999999E+02,1.69789999999999E+02,1.57560000000000E+02,1.69750000000000E+02,2.03979999999999E+02,,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",SDN,Sudan,,,,,,,1.26999999999999E+01,1.30000000000000E+01,1.43599999999999E+01,1.47200000000000E+01,1.41400000000000E+01,3.20000000000000E+01,3.55000000000000E+01,4.07999999999999E+01,5.15000000000000E+01,8.30000000000000E+01,1.17000000000000E+02,1.83000000000000E+02,1.28800000000000E+02,1.34000000000000E+02,1.68000000000000E+02,1.82000000000000E+02,2.20000000000000E+02,2.40000000000000E+02,3.00000000000000E+02,6.66820000000000E+02,3.88079999999999E+02,1.04775000000000E+03,1.38402000000000E+03,2.40438000000000E+03,1.73299000000000E+04,8.39100000000000E+03,1.59400000000000E+03,3.75900000000000E+03,8.53000000000000E+03,1.61850000000000E+04,4.53970000000000E+04,3.32060000000000E+04,3.68400000000000E+04,3.20010000000000E+04,1.68439000000000E+05,6.87960000000000E+04,4.37760000000000E+04,4.43130000000000E+04,4.06321999999999E+04,4.13251999999999E+04,4.42120000000000E+04,4.59908000000000E+04,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",SDN,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53860999999999E+03,2.08660000000000E+02,1.91380000000000E+02,5.26470000000000E+02,3.28079999999999E+02,4.57779999999999E+02,4.83790000000000E+02,6.27850000000000E+02,5.78399999999999E+02,6.21909999999999E+02,5.66269999999999E+02,4.25360000000000E+02,1.96180000000000E+02,1.84720000000000E+02,1.84580000000000E+02,2.21789999999999E+02,,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",SDN,Sudan,,,,,,,1.23000000000000E+01,1.20000000000000E+01,1.39000000000000E+01,1.42700000000000E+01,1.41000000000000E+01,2.40000000000000E+01,2.56999999999999E+01,4.07000000000000E+01,4.17999999999999E+01,6.00000000000000E+01,8.00000000000000E+01,1.26000000000000E+02,8.00000000000000E+01,8.00000000000000E+01,8.50000000000000E+01,9.00000000000000E+01,1.30000000000000E+02,1.50000000000000E+02,1.80000000000000E+02,3.10000000000000E+02,3.40000000000000E+02,4.40000000000000E+02,1.00000000000000E+03,1.30000000000000E+03,2.60000000000000E+03,1.07020000000000E+04,2.03300000000000E+03,3.04900000000000E+03,1.52470000000000E+04,1.90570000000000E+04,5.72590000000000E+04,7.62320000000000E+04,1.26074000000000E+05,1.46076000000000E+05,1.59908000000000E+05,1.46494000000000E+05,1.12000000000000E+05,5.12000000000000E+04,4.76365000000000E+04,4.49343000000000E+04,4.80731999999999E+04,4.71615999999999E+04,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",SDN,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62240000000000E+02,1.30449999999999E+02,1.19640000000000E+02,3.29240000000000E+02,2.05169999999999E+02,2.86279999999999E+02,3.02540000000000E+02,3.92639999999999E+02,3.61709999999999E+02,3.88920000000000E+02,3.86550000000000E+02,3.79790000000000E+02,4.04930000000000E+02,4.44040000000000E+02,4.97250000000000E+02,5.97500000000000E+02,,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",SDN,Sudan,,,,,,,5.12999999999999E+01,5.50000000000000E+01,5.80000000000000E+01,5.94200000000000E+01,5.94200000000000E+01,7.90000000000000E+01,8.77000000000000E+01,9.07999999999999E+01,1.14500000000000E+02,1.55000000000000E+02,2.20000000000000E+02,2.88000000000000E+02,3.50000000000000E+02,3.67000000000000E+02,4.13000000000000E+02,4.30000000000000E+02,4.30000000000000E+02,4.40000000000000E+02,5.70000000000000E+02,1.00000000000000E+03,1.10000000000000E+03,1.40000000000000E+03,3.30000000000000E+03,4.00000000000000E+03,8.00000000000000E+03,6.69300000000000E+03,1.27100000000000E+03,1.90600000000000E+03,9.53500000000000E+03,1.19180000000000E+04,3.58080000000000E+04,4.76720000000000E+04,7.88420000000000E+04,9.13500000000000E+04,1.00000000000000E+05,1.00000000000000E+05,1.00000000000000E+05,1.05679000000000E+05,1.14510200000000E+05,1.21053100000000E+05,1.29509399999999E+05,1.40106500000000E+05,,,
