Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",SWZ,Swaziland,,6.23000000000000E+02,6.70000000000000E+02,7.00000000000000E+02,7.30000000000000E+02,7.60000000000000E+02,8.00000000000000E+02,8.40000000000000E+02,8.80000000000000E+02,1.00000000000000E+03,1.15300000000000E+03,1.47900000000000E+03,1.81200000000000E+03,1.84900000000000E+03,1.94600000000000E+03,1.93500000000000E+03,2.31000000000000E+03,2.87300000000000E+03,2.87300000000000E+03,2.87300000000000E+03,2.87300000000000E+03,2.87300000000000E+03,3.18000000000000E+03,3.48000000000000E+03,3.78700000000000E+03,3.50000000000000E+03,3.35400000000000E+03,3.36000000000000E+03,3.37300000000000E+03,3.50400000000000E+03,4.12000000000000E+03,5.24600000000000E+03,4.27400000000000E+03,4.02100000000000E+03,3.11800000000000E+03,3.02400000000000E+03,2.98500000000000E+03,3.11900000000000E+03,2.92000000000000E+03,3.80500000000000E+03,3.91300000000000E+03,3.95000000000000E+03,3.95000000000000E+03,3.95000000000000E+03,3.95000000000000E+03,3.95000000000000E+03,3.97500000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",SWZ,Swaziland,,,,,,,,,,,1.30000000000000E+03,8.00000000000000E+02,8.00000000000000E+02,9.70000000000000E+02,7.00000000000000E+02,5.00000000000000E+02,,4.00000000000000E+02,7.44000000000000E+02,5.00000000000000E+02,9.29000000000000E+02,1.00000000000000E+03,3.63300000000000E+03,1.03880000000000E+04,6.79000000000000E+02,3.04000000000000E+02,3.04900000000000E+03,7.89300000000000E+03,1.00280000000000E+04,2.54000000000000E+03,1.24700000000000E+03,,3.82880000000000E+04,8.36100000000000E+03,5.08000000000000E+02,1.20290000000000E+04,,,1.00000000000000E+04,,,,2.19490000000000E+04,1.39350000000000E+04,5.37300000000000E+03,1.45390000000000E+04,4.16100000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),SWZ,Swaziland,,3.90000000000000E+03,4.00000000000000E+03,3.63300000000000E+03,3.87500000000000E+03,5.50000000000000E+03,5.80000000000000E+03,6.50000000000000E+03,4.73100000000000E+03,5.37000000000000E+03,6.02300000000000E+03,7.27500000000000E+03,6.65700000000000E+03,1.27440000000000E+04,9.20000000000000E+03,9.40000000000000E+03,1.04700000000000E+04,9.75700000000000E+03,1.57820000000000E+04,1.45940000000000E+04,2.03230000000000E+04,1.73620000000000E+04,1.40560000000000E+04,1.73000000000000E+04,8.50000000000000E+03,8.79800000000000E+03,1.18390000000000E+04,1.34890000000000E+04,1.38100000000000E+04,1.38100000000000E+04,1.33970000000000E+04,1.15000000000000E+04,1.24000000000000E+04,1.16000000000000E+04,4.90000000000000E+03,5.09500000000000E+03,4.22400000000000E+03,5.20000000000000E+03,5.80000000000000E+03,5.50000000000000E+03,5.80000000000000E+03,7.00000000000000E+03,,,,,,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),SWZ,Swaziland,,3.14516129032258E+02,2.98507462686567E+02,2.81627906976744E+02,2.93560606060606E+02,3.92857142857142E+02,3.89261744966442E+02,4.24836601307189E+02,3.09215686274509E+02,3.60402684563758E+02,4.04228187919463E+02,4.88255033557047E+02,3.96250000000000E+02,7.58571428571428E+02,5.93548387096774E+02,5.62874251497005E+02,6.50310559006211E+02,6.54832214765100E+02,8.39468085106383E+02,7.93152173913043E+02,1.11054644808743E+03,1.29567164179104E+03,1.05684210526315E+03,1.30075187969924E+03,5.02958579881656E+02,5.71298701298701E+02,7.68766233766233E+02,8.22500000000000E+02,7.80225988700564E+02,7.19270833333333E+02,7.44277777777777E+02,6.28415300546448E+02,6.92737430167597E+02,6.51685393258426E+02,2.75280898876404E+02,2.86235955056179E+02,2.37303370786516E+02,2.92134831460674E+02,3.25842696629213E+02,3.08988764044943E+02,3.25842696629213E+02,3.93258426966292E+02,,,,,,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",SWZ,Swaziland,,3.30000000000000E+05,3.40000000000000E+05,3.50000000000000E+05,3.60000000000000E+05,3.60000000000000E+05,3.70000000000000E+05,3.80000000000000E+05,3.90000000000000E+05,4.00000000000000E+05,4.09000000000000E+05,4.19000000000000E+05,4.31000000000000E+05,4.43000000000000E+05,4.55000000000000E+05,4.68000000000000E+05,4.82000000000000E+05,4.96000000000000E+05,5.11000000000000E+05,5.27000000000000E+05,5.43000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,5.60000000000000E+05,9.95511000000000E+05,1.01180000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),SWZ,Swaziland,,1.46800000000000E+06,1.47800000000000E+06,1.47400000000000E+06,1.47700000000000E+06,1.48400000000000E+06,1.49300000000000E+06,1.49700000000000E+06,1.49800000000000E+06,1.49400000000000E+06,1.49400000000000E+06,1.49400000000000E+06,1.51300000000000E+06,1.51300000000000E+06,1.48200000000000E+06,1.31300000000000E+06,1.37100000000000E+06,1.39300000000000E+06,1.39300000000000E+06,1.34000000000000E+06,1.29100000000000E+06,1.28400000000000E+06,1.28600000000000E+06,1.28800000000000E+06,1.26900000000000E+06,1.28400000000000E+06,1.32900000000000E+06,1.30700000000000E+06,1.28500000000000E+06,1.26400000000000E+06,1.26800000000000E+06,1.30200000000000E+06,1.34100000000000E+06,1.34000000000000E+06,1.34000000000000E+06,1.34000000000000E+06,1.34000000000000E+06,1.34100000000000E+06,1.34100000000000E+06,1.34100000000000E+06,1.34100000000000E+06,1.34200000000000E+06,1.34200000000000E+06,1.34200000000000E+06,1.34200000000000E+06,1.34200000000000E+06,1.34200000000000E+06,1.34200000000000E+06,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),SWZ,Swaziland,,1.46800000000000E+04,1.47800000000000E+04,1.47400000000000E+04,1.47700000000000E+04,1.48400000000000E+04,1.49300000000000E+04,1.49700000000000E+04,1.49800000000000E+04,1.49400000000000E+04,1.49400000000000E+04,1.49400000000000E+04,1.51300000000000E+04,1.51300000000000E+04,1.48200000000000E+04,1.31300000000000E+04,1.37100000000000E+04,1.39300000000000E+04,1.39300000000000E+04,1.34000000000000E+04,1.29100000000000E+04,1.28400000000000E+04,1.28600000000000E+04,1.28800000000000E+04,1.26900000000000E+04,1.28400000000000E+04,1.32900000000000E+04,1.30700000000000E+04,1.28500000000000E+04,1.26400000000000E+04,1.26800000000000E+04,1.30200000000000E+04,1.34100000000000E+04,1.34000000000000E+04,1.34000000000000E+04,1.34000000000000E+04,1.34000000000000E+04,1.34100000000000E+04,1.34100000000000E+04,1.34100000000000E+04,1.34100000000000E+04,1.34200000000000E+04,1.34200000000000E+04,1.34200000000000E+04,1.34200000000000E+04,1.34200000000000E+04,1.34200000000000E+04,1.34200000000000E+04,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),SWZ,Swaziland,,8.53488372093023E+01,8.59302325581395E+01,8.56976744186046E+01,8.58720930232558E+01,8.62790697674418E+01,8.68023255813953E+01,8.70348837209302E+01,8.70930232558139E+01,8.68604651162790E+01,8.68604651162790E+01,8.68604651162790E+01,8.79651162790697E+01,8.79651162790697E+01,8.61627906976744E+01,7.63372093023255E+01,7.97093023255814E+01,8.09883720930232E+01,8.09883720930232E+01,7.79069767441860E+01,7.50581395348837E+01,7.46511627906976E+01,7.47674418604651E+01,7.48837209302325E+01,7.37790697674418E+01,7.46511627906976E+01,7.72674418604651E+01,7.59883720930232E+01,7.47093023255813E+01,7.34883720930232E+01,7.37209302325581E+01,7.56976744186046E+01,7.79651162790697E+01,7.79069767441860E+01,7.79069767441860E+01,7.79069767441860E+01,7.79069767441860E+01,7.79651162790697E+01,7.79651162790697E+01,7.79651162790697E+01,7.79651162790697E+01,7.80232558139534E+01,7.80232558139534E+01,7.80232558139534E+01,7.80232558139534E+01,7.80232558139534E+01,7.80232558139534E+01,7.80232558139534E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),SWZ,Swaziland,,1.24000000000000E+05,1.34000000000000E+05,1.29000000000000E+05,1.32000000000000E+05,1.40000000000000E+05,1.49000000000000E+05,1.53000000000000E+05,1.53000000000000E+05,1.49000000000000E+05,1.49000000000000E+05,1.49000000000000E+05,1.68000000000000E+05,1.68000000000000E+05,1.55000000000000E+05,1.67000000000000E+05,1.61000000000000E+05,1.49000000000000E+05,1.88000000000000E+05,1.84000000000000E+05,1.83000000000000E+05,1.34000000000000E+05,1.33000000000000E+05,1.33000000000000E+05,1.69000000000000E+05,1.54000000000000E+05,1.54000000000000E+05,1.64000000000000E+05,1.77000000000000E+05,1.92000000000000E+05,1.80000000000000E+05,1.83000000000000E+05,1.79000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,1.78000000000000E+05,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),SWZ,Swaziland,,3.46947283598626E-01,3.66539836588881E-01,3.45072946815966E-01,3.45187381832160E-01,3.57626382609139E-01,3.71483065109263E-01,3.72018382084761E-01,3.62513712732761E-01,3.43718713523139E-01,3.34360350696883E-01,3.24972737186477E-01,3.55839474035367E-01,3.45361365164139E-01,3.09141205730480E-01,3.23083024598806E-01,3.02029790267512E-01,2.70941603901559E-01,3.31355773874359E-01,3.14449823891008E-01,3.03380956959691E-01,2.15722638642042E-01,2.08063476568610E-01,2.01988907315947E-01,2.48420910278892E-01,2.18236338617770E-01,2.09488752222417E-01,2.13549174254824E-01,2.20644606361296E-01,2.29943424336637E-01,2.08244877465243E-01,2.05762473647224E-01,1.96567427569295E-01,1.91475469088006E-01,1.87637631675762E-01,1.83651507851101E-01,1.79420471875841E-01,1.75124284130296E-01,1.71057297467679E-01,1.67575465445562E-01,1.64862136353953E-01,1.62945020702256E-01,1.61642138834251E-01,1.60666350147939E-01,1.59640539728521E-01,1.58305244528241E-01,1.56591995157964E-01,1.54594541075682E-01,,,
