Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",TZA,Tanzania,,1.65500000000000E+04,1.66000000000000E+04,1.66500000000000E+04,1.67000000000000E+04,1.67500000000000E+04,1.68000000000000E+04,1.68500000000000E+04,1.69000000000000E+04,1.69500000000000E+04,1.70000000000000E+04,1.68980000000000E+04,1.58000000000000E+04,1.51000000000000E+04,1.43000000000000E+04,1.36000000000000E+04,1.27000000000000E+04,1.18000000000000E+04,1.12000000000000E+04,1.04000000000000E+04,1.00000000000000E+04,9.50000000000000E+03,9.30000000000000E+03,8.70000000000000E+03,8.50000000000000E+03,8.00000000000000E+03,7.50000000000000E+03,7.26200000000000E+03,7.29500000000000E+03,7.33000000000000E+03,7.36500000000000E+03,7.40000000000000E+03,7.43500000000000E+03,7.47000000000000E+03,7.50000000000000E+03,7.52500000000000E+03,8.48000000000000E+03,1.04350000000000E+04,1.23900000000000E+04,1.43450000000000E+04,1.63000000000000E+04,1.82550000000000E+04,2.12070000000000E+04,2.13000000000000E+04,2.15000000000000E+04,2.15000000000000E+04,2.15000000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",TZA,Tanzania,,,,,,,,,,,8.80000000000000E+03,5.60000000000000E+03,9.60000000000000E+03,1.08700000000000E+04,1.47700000000000E+05,1.08700000000000E+05,1.34500000000000E+05,1.01600000000000E+05,5.35730000000000E+04,8.93000000000000E+04,2.35776000000000E+05,3.07523000000000E+05,1.71367000000000E+05,1.41396000000000E+05,1.24932000000000E+05,6.57620000000000E+04,5.54220000000000E+04,8.02160000000000E+04,5.64760000000000E+04,1.66170000000000E+04,1.33370000000000E+04,4.02000000000000E+03,2.61750000000000E+04,2.70330000000000E+04,1.08670000000000E+05,1.47890000000000E+04,1.35360000000000E+04,8.78460000000000E+04,3.39290000000000E+04,4.00590000000000E+04,7.14380000000000E+04,9.03940000000000E+04,5.07320000000000E+04,1.12326000000000E+05,4.08120000000000E+04,6.15930000000000E+04,7.16700000000000E+03,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),TZA,Tanzania,,2.72300000000000E+03,2.38000000000000E+03,3.10000000000000E+03,3.90000000000000E+03,7.00000000000000E+03,8.80000000000000E+03,8.70000000000000E+03,9.00000000000000E+03,1.10000000000000E+04,1.50000000000000E+04,1.74000000000000E+04,1.60280000000000E+04,1.99370000000000E+04,3.11440000000000E+04,2.96700000000000E+04,3.07210000000000E+04,2.97460000000000E+04,2.93000000000000E+04,3.00000000000000E+04,3.55000000000000E+04,2.91000000000000E+04,2.92090000000000E+04,2.29010000000000E+04,3.63000000000000E+04,4.14000000000000E+04,4.24790000000000E+04,4.78410000000000E+04,4.11910000000000E+04,4.43000000000000E+04,4.68000000000000E+04,4.96790000000000E+04,4.79230000000000E+04,3.63000000000000E+04,3.59000000000000E+04,2.70000000000000E+04,3.12140000000000E+04,3.99800000000000E+04,3.08560000000000E+04,2.09800000000000E+04,2.24040000000000E+04,7.87400000000000E+03,3.04380000000000E+04,4.36730000000000E+04,5.34180000000000E+04,9.53800000000000E+04,6.46780000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),TZA,Tanzania,,5.23653846153846E+00,4.71287128712871E+00,5.08196721311475E+00,6.50000000000000E+00,1.16666666666666E+01,1.46666666666666E+01,1.45000000000000E+01,1.50000000000000E+01,1.83333333333333E+01,2.14285714285714E+01,2.48571428571428E+01,2.28971428571428E+01,2.84814285714285E+01,4.44914285714285E+01,4.23857142857142E+01,4.38871428571428E+01,4.24942857142857E+01,3.66250000000000E+01,3.75000000000000E+01,4.43750000000000E+01,3.63750000000000E+01,3.65112499999999E+01,2.86262499999999E+01,4.53750000000000E+01,4.60000000000000E+01,4.71988888888888E+01,5.31566666666666E+01,4.57677777777777E+01,4.92222222222222E+01,5.20000000000000E+01,5.51804953904254E+01,5.32477777777777E+01,4.03333333333333E+01,3.98888888888888E+01,3.00000000000000E+01,3.46822222222222E+01,4.46554227633195E+01,3.46696629213483E+01,2.37062146892655E+01,2.54590909090909E+01,8.84719101123595E+00,3.34483516483516E+01,4.61172122492080E+01,5.62294736842105E+01,1.00400000000000E+02,6.80821052631578E+01,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",TZA,Tanzania,,1.20460000000000E+07,1.23909990000000E+07,1.27499990000000E+07,1.31250000000000E+07,1.35150000000000E+07,1.43470170000000E+07,1.44885950000000E+07,1.46315720000000E+07,1.47759580000000E+07,1.49217700000000E+07,1.50618400000000E+07,1.50854810000000E+07,1.51360850000000E+07,1.53260940000000E+07,1.54520560000000E+07,1.56113050000000E+07,1.58880080000000E+07,1.60928460000000E+07,1.62822800000000E+07,1.64614160000000E+07,1.68167430000000E+07,1.71627400000000E+07,1.75185300000000E+07,1.76843990000000E+07,1.79829160000000E+07,1.81196820000000E+07,1.82803930000000E+07,1.83594000000000E+07,1.84242560000000E+07,1.85671950000000E+07,1.89210980000000E+07,1.94326120000000E+07,1.98417530000000E+07,2.01632610000000E+07,2.04350630000000E+07,2.05917400000000E+07,2.06973600000000E+07,2.06781310000000E+07,2.07371670000000E+07,2.07866470000000E+07,2.09505140000000E+07,2.11247580000000E+07,2.13095840000000E+07,2.15052090000000E+07,2.17118520000000E+07,2.19139590000000E+07,2.21272000000000E+07,,,
AG.LND.AGRI.HA,Agricultural land (hectares),TZA,Tanzania,,2.60000000000000E+07,2.60000000000000E+07,2.70000000000000E+07,2.70000000000000E+07,2.70000000000000E+07,2.90000000000000E+07,2.90000000000000E+07,2.90000000000000E+07,2.90000000000000E+07,3.00000000000000E+07,3.20000000000000E+07,3.20000000000000E+07,3.20000000000000E+07,3.20000000000000E+07,3.20000000000000E+07,3.20000000000000E+07,3.20000000000000E+07,3.30000000000000E+07,3.30000000000000E+07,3.30000000000000E+07,3.30000000000000E+07,3.30000000000000E+07,3.30000000000000E+07,3.30000000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40030000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40030000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.40000000000000E+07,3.41000000000000E+07,3.43000000000000E+07,3.47210000000000E+07,3.47500000000000E+07,3.47500000000000E+07,3.47500000000000E+07,3.42000000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),TZA,Tanzania,,2.60000000000000E+05,2.60000000000000E+05,2.70000000000000E+05,2.70000000000000E+05,2.70000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,2.90000000000000E+05,3.00000000000000E+05,3.20000000000000E+05,3.20000000000000E+05,3.20000000000000E+05,3.20000000000000E+05,3.20000000000000E+05,3.20000000000000E+05,3.20000000000000E+05,3.30000000000000E+05,3.30000000000000E+05,3.30000000000000E+05,3.30000000000000E+05,3.30000000000000E+05,3.30000000000000E+05,3.30000000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40030000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40030000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.40000000000000E+05,3.41000000000000E+05,3.43000000000000E+05,3.47210000000000E+05,3.47500000000000E+05,3.47500000000000E+05,3.47500000000000E+05,3.42000000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),TZA,Tanzania,,2.93519981937231E+01,2.93519981937231E+01,3.04809212011740E+01,3.04809212011740E+01,3.04809212011740E+01,3.27387672160758E+01,3.27387672160758E+01,3.27387672160758E+01,3.27387672160758E+01,3.38676902235267E+01,3.61255362384285E+01,3.61255362384285E+01,3.61255362384285E+01,3.61255362384285E+01,3.61255362384285E+01,3.61255362384285E+01,3.61255362384285E+01,3.72544592458794E+01,3.72544592458794E+01,3.72544592458794E+01,3.72544592458794E+01,3.72544592458794E+01,3.72544592458794E+01,3.72544592458794E+01,3.83833822533303E+01,3.83833822533303E+01,3.83833822533303E+01,3.83833822533303E+01,3.83833822533303E+01,3.83833822533303E+01,3.83867690223526E+01,3.83833822533303E+01,3.83833822533303E+01,3.83833822533303E+01,3.83833822533303E+01,3.83833822533303E+01,3.83867690223526E+01,3.83833822533303E+01,3.83833822533303E+01,3.83833822533303E+01,3.84962745540754E+01,3.87220591555655E+01,3.91973357417024E+01,3.92300745089184E+01,3.92300745089184E+01,3.92300745089184E+01,3.86091668548205E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),TZA,Tanzania,,5.20000000000000E+06,5.05000000000000E+06,6.10000000000000E+06,6.00000000000000E+06,6.00000000000000E+06,6.00000000000000E+06,6.00000000000000E+06,6.00000000000000E+06,6.00000000000000E+06,7.00000000000000E+06,7.00000000000000E+06,7.00000000000000E+06,7.00000000000000E+06,7.00000000000000E+06,7.00000000000000E+06,7.00000000000000E+06,7.00000000000000E+06,8.00000000000000E+06,8.00000000000000E+06,8.00000000000000E+06,8.00000000000000E+06,8.00000000000000E+06,8.00000000000000E+06,8.00000000000000E+06,9.00000000000000E+06,9.00000000000000E+06,9.00000000000000E+06,9.00000000000000E+06,9.00000000000000E+06,9.00000000000000E+06,9.00300000000000E+06,9.00000000000000E+06,9.00000000000000E+06,9.00000000000000E+06,9.00000000000000E+06,9.00000000000000E+06,8.95300000000000E+06,8.90000000000000E+06,8.85000000000000E+06,8.80000000000000E+06,8.90000000000000E+06,9.10000000000000E+06,9.47000000000000E+06,9.50000000000000E+06,9.50000000000000E+06,9.50000000000000E+06,9.00000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),TZA,Tanzania,,5.01379323444526E-01,4.72781722202447E-01,5.54394558426551E-01,5.29299739972681E-01,5.13709889531825E-01,4.98557962639561E-01,4.83814587735542E-01,4.69391562921352E-01,4.55192690273010E-01,5.14709856215801E-01,4.98575676130938E-01,4.82736880883916E-01,4.67325002975858E-01,4.52480761326029E-01,4.38270671584063E-01,4.24686388819439E-01,4.11657335963078E-01,4.56119169343135E-01,4.42215335209726E-01,4.28691622985223E-01,4.15516076680583E-01,4.02702536723954E-01,3.90286643586090E-01,3.78311013456428E-01,4.12631285520676E-01,4.00213945481611E-01,3.88285746901717E-01,3.76653351273192E-01,3.65107162806192E-01,3.53570240322870E-01,3.42125069798758E-01,3.30595682728939E-01,3.19642489110046E-01,3.09488951897782E-01,3.00282255310583E-01,2.91987815413349E-01,2.82924935050193E-01,2.74242379235673E-01,2.65963345382524E-01,2.57827768238150E-01,2.54095520158939E-01,2.53076020838446E-01,2.56433530046102E-01,2.50359225958846E-01,2.43543788750220E-01,2.36805904134538E-01,2.18043280089021E-01,,,
