Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",TGO,Togo,,3.00000000000000E+01,3.30000000000000E+01,3.50000000000000E+01,4.00000000000000E+01,4.70000000000000E+01,4.80000000000000E+01,5.00000000000000E+01,5.50000000000000E+01,5.70000000000000E+01,6.00000000000000E+01,6.50000000000000E+01,6.50000000000000E+01,6.80000000000000E+01,7.00000000000000E+01,7.20000000000000E+01,7.40000000000000E+01,7.60000000000000E+01,7.80000000000000E+01,8.00000000000000E+01,8.20000000000000E+01,8.30000000000000E+01,8.50000000000000E+01,8.70000000000000E+01,9.00000000000000E+01,9.20000000000000E+01,9.50000000000000E+01,9.80000000000000E+01,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,9.70000000000000E+01,9.50000000000000E+01,9.00000000000000E+01,8.80000000000000E+01,8.50000000000000E+01,8.30000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",TGO,Togo,,,,,,,,,,,5.20000000000000E+03,2.10000000000000E+03,5.30000000000000E+03,5.43000000000000E+03,1.08000000000000E+04,5.90000000000000E+03,6.51000000000000E+03,2.08500000000000E+04,8.12000000000000E+03,7.40000000000000E+03,4.21300000000000E+03,4.58000000000000E+03,6.69600000000000E+03,8.76700000000000E+03,2.28930000000000E+04,9.29800000000000E+03,6.22800000000000E+03,1.62860000000000E+04,1.82660000000000E+04,1.46020000000000E+04,1.62340000000000E+04,1.37810000000000E+04,3.66000000000000E+03,1.07050000000000E+04,7.25100000000000E+03,3.37000000000000E+03,4.64300000000000E+03,5.74000000000000E+03,4.11100000000000E+03,8.00000000000000E+03,,6.00000000000000E+03,,8.00000000000000E+03,,1.91000000000000E+02,1.03000000000000E+02,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),TGO,Togo,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.00000000000000E+01,1.00000000000000E+02,2.00000000000000E+02,2.54000000000000E+02,4.36000000000000E+02,4.95000000000000E+02,5.59000000000000E+02,6.42000000000000E+02,2.14200000000000E+03,2.29100000000000E+03,2.83700000000000E+03,9.15000000000000E+02,1.80100000000000E+03,3.04400000000000E+03,2.65300000000000E+03,2.21400000000000E+03,2.78800000000000E+03,3.06100000000000E+03,6.90000000000000E+03,9.80000000000000E+03,1.11000000000000E+04,1.08780000000000E+04,1.21810000000000E+04,1.25000000000000E+04,1.15000000000000E+04,1.17440000000000E+04,1.22300000000000E+04,9.86500000000000E+03,1.11640000000000E+04,1.64330000000000E+04,1.76120000000000E+04,1.68100000000000E+04,1.72000000000000E+04,1.69000000000000E+04,1.98380000000000E+04,1.92000000000000E+04,1.22850000000000E+04,1.76020000000000E+04,7.88900000000000E+03,2.03580000000000E+04,0.00000000000000E+00,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),TGO,Togo,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.77777777777777E-01,5.55555555555555E-01,1.11111111111111E+00,1.41111111111111E+00,2.42222222222222E+00,2.75000000000000E+00,3.10555555555555E+00,3.56666666666666E+00,1.19000000000000E+01,1.27277777777777E+01,1.57611111111111E+01,5.08333333333333E+00,9.47894736842105E+00,1.56102564102564E+01,1.36051282051282E+01,1.13538461538461E+01,1.42974358974358E+01,1.56974358974358E+01,3.45000000000000E+01,4.90000000000000E+01,5.55000000000000E+01,5.38514851485148E+01,5.94195121951219E+01,6.09756097560975E+01,5.47619047619047E+01,5.59238095238095E+01,5.82380952380952E+01,4.48409090909090E+01,5.07454545454545E+01,7.46954545454545E+01,7.65739130434782E+01,7.21459227467811E+01,7.13692946058091E+01,6.73306772908366E+01,7.90358565737051E+01,7.64940239043824E+01,4.89442231075697E+01,7.01274900398406E+01,3.15560000000000E+01,8.17590361445783E+01,0.00000000000000E+00,,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65860000000000E+02,3.28680000000000E+02,2.15419999999999E+02,9.36599999999999E+01,2.38410000000000E+02,2.99089999999999E+02,2.52710000000000E+02,2.40699999999999E+02,1.98150000000000E+02,1.22200000000000E+02,1.62340000000000E+02,2.03729999999999E+02,1.60009999999999E+02,1.83849999999999E+02,3.05759999999999E+02,2.35449999999999E+02,2.57550000000000E+02,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",TGO,Togo,,,,,,,1.70000000000000E+04,1.80000000000000E+04,1.80000000000000E+04,1.60000000000000E+04,2.70000000000000E+04,2.70000000000000E+04,2.70000000000000E+04,2.70000000000000E+04,3.20000000000000E+04,3.90000000000000E+04,5.12100000000000E+04,6.57200000000000E+04,5.32100000000000E+04,5.10700000000000E+04,6.66500000000000E+04,6.95200000000000E+04,7.32000000000000E+04,7.68700000000000E+04,8.90000000000000E+04,6.79000000000000E+04,5.90000000000000E+04,6.10000000000000E+04,8.70000000000000E+04,7.20000000000000E+04,5.80000000000000E+04,7.50000000000000E+04,8.70000000000000E+04,6.10000000000000E+04,5.20000000000000E+04,1.19000000000000E+05,1.53000000000000E+05,1.47500000000000E+05,1.42000000000000E+05,1.22000000000000E+05,8.70000000000000E+04,1.19000000000000E+05,1.42000000000000E+05,9.30000000000000E+04,9.70000000000000E+04,1.61000000000000E+05,1.23000000000000E+05,1.23259500000000E+05,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05599999999999E+02,2.75790000000000E+02,1.51860000000000E+02,1.11670000000000E+02,1.90319999999999E+02,2.18940000000000E+02,2.26160000000000E+02,1.72900000000000E+02,1.34810000000000E+02,1.20790000000000E+02,1.29599999999999E+02,1.42039999999999E+02,1.27319999999999E+02,1.64900000000000E+02,2.94370000000000E+02,2.12479999999999E+02,2.34340000000000E+02,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",TGO,Togo,,,,,,,1.60000000000000E+04,1.50000000000000E+04,1.40000000000000E+04,1.50000000000000E+04,2.70000000000000E+04,2.70000000000000E+04,3.00000000000000E+04,3.00000000000000E+04,2.80000000000000E+04,3.60000000000000E+04,4.90500000000000E+04,7.93500000000000E+04,3.53500000000000E+04,3.72100000000000E+04,6.83600000000000E+04,9.55200000000000E+04,9.98600000000000E+04,1.04200000000000E+05,7.50000000000000E+04,4.70000000000000E+04,7.30000000000000E+04,7.20000000000000E+04,7.90000000000000E+04,6.00000000000000E+04,6.10000000000000E+04,5.80000000000000E+04,7.30000000000000E+04,4.30000000000000E+04,6.20000000000000E+04,9.50000000000000E+04,1.12000000000000E+05,1.32000000000000E+05,1.02000000000000E+05,8.30000000000000E+04,8.60000000000000E+04,9.50000000000000E+04,9.90000000000000E+04,7.40000000000000E+04,8.70000000000000E+04,1.55000000000000E+05,1.11000000000000E+05,1.12148500000000E+05,,,
AG.CRP.RICE.CD,"Producer Price for Rice, paddy (per tonne, current US$)",TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83579999999999E+02,3.51350000000000E+02,2.33080000000000E+02,1.78310000000000E+02,2.32400000000000E+02,2.87360000000000E+02,2.39860000000000E+02,2.54259999999999E+02,2.20889999999999E+02,1.65740000000000E+02,1.82800000000000E+02,1.87949999999999E+02,1.90979999999999E+02,2.16080000000000E+02,2.58279999999999E+02,2.50759999999999E+02,2.73610000000000E+02,,,
AG.CRP.RICE.CN,"Producer Price for Rice, paddy (per tonne, current LCU)",TGO,Togo,,,,,,,2.00000000000000E+04,2.00000000000000E+04,2.10000000000000E+04,2.00000000000000E+04,1.80000000000000E+04,2.00000000000000E+04,2.30000000000000E+04,2.50000000000000E+04,2.50000000000000E+04,4.00000000000000E+04,4.75800000000000E+04,6.69400000000000E+04,5.50200000000000E+04,5.74300000000000E+04,6.16200000000000E+04,8.66700000000000E+04,9.85300000000000E+04,1.10380000000000E+05,9.70000000000000E+04,1.01460000000000E+05,9.00000000000000E+04,7.30000000000000E+04,1.00000000000000E+05,8.00000000000000E+04,6.80000000000000E+04,8.00000000000000E+04,9.30000000000000E+04,6.60000000000000E+04,9.90000000000000E+04,1.16000000000000E+05,1.47000000000000E+05,1.40000000000000E+05,1.50000000000000E+05,1.36000000000000E+05,1.18000000000000E+05,1.34000000000000E+05,1.31000000000000E+05,1.11000000000000E+05,1.14000000000000E+05,1.36000000000000E+05,1.31000000000000E+05,1.30944200000000E+05,,,
