Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",TUN,Tunisia,,1.03000000000000E+04,1.06540000000000E+04,1.15940000000000E+04,1.24290000000000E+04,1.40000000000000E+04,1.60000000000000E+04,1.81310000000000E+04,1.90000000000000E+04,2.00000000000000E+04,2.10000000000000E+04,2.20000000000000E+04,2.35000000000000E+04,2.35000000000000E+04,2.38000000000000E+04,2.42000000000000E+04,2.45000000000000E+04,2.48000000000000E+04,2.52000000000000E+04,2.55000000000000E+04,2.58000000000000E+04,2.62000000000000E+04,2.66000000000000E+04,2.60000000000000E+04,2.60000000000000E+04,2.61000000000000E+04,2.61000000000000E+04,2.60000000000000E+04,2.60000000000000E+04,2.51310000000000E+04,2.39820000000000E+04,2.55540000000000E+04,2.74740000000000E+04,3.00000000000000E+04,3.30000000000000E+04,3.50900000000000E+04,3.56000000000000E+04,3.60000000000000E+04,3.67000000000000E+04,3.71500000000000E+04,3.77000000000000E+04,3.82000000000000E+04,3.86000000000000E+04,3.87000000000000E+04,3.88000000000000E+04,3.90690000000000E+04,3.91000000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",TUN,Tunisia,,,,,,,,,,,3.58200000000000E+05,2.15000000000000E+05,1.22400000000000E+05,9.99000000000000E+04,5.91000000000000E+04,6.08000000000000E+04,1.07000000000000E+05,2.09800000000000E+05,1.57200000000000E+05,1.64500000000000E+05,9.87510000000000E+04,9.60300000000000E+04,1.53548000000000E+05,1.46012000000000E+05,1.91931000000000E+05,7.96950000000000E+04,3.96149000000000E+05,4.14721000000000E+05,4.49658000000000E+05,4.33739000000000E+05,2.93644000000000E+05,2.26380000000000E+04,1.00034000000000E+05,4.63580000000000E+04,2.17040000000000E+04,1.76680000000000E+04,4.41000000000000E+03,1.16590000000000E+04,,3.78500000000000E+03,,,,,,,,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),TUN,Tunisia,,1.53000000000000E+04,2.12570000000000E+04,2.03310000000000E+04,2.01020000000000E+04,2.18650000000000E+04,2.43220000000000E+04,2.29850000000000E+04,2.87760000000000E+04,3.85550000000000E+04,3.41000000000000E+04,3.75000000000000E+04,3.60000000000000E+04,3.94790000000000E+04,5.02630000000000E+04,5.23770000000000E+04,5.43000000000000E+04,4.38000000000000E+04,5.52000000000000E+04,6.00000000000000E+04,6.22000000000000E+04,8.38900000000000E+04,8.11610000000000E+04,7.87000000000000E+04,8.81000000000000E+04,9.64000000000000E+04,1.05300000000000E+05,1.04600000000000E+05,1.01300000000000E+05,1.03700000000000E+05,8.39000000000000E+04,9.89000000000000E+04,1.05043000000000E+05,9.54000000000000E+04,8.90000000000000E+04,7.70000000000000E+04,9.70000000000000E+04,9.65200000000000E+04,1.13853000000000E+05,1.12200000000000E+05,1.11300000000000E+05,1.00000000000000E+05,6.98710000000000E+04,1.01391000000000E+05,1.04733000000000E+05,1.75799000000000E+05,1.08000000000000E+05,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),TUN,Tunisia,,4.93548387096774E+01,6.85709677419354E+01,6.55838709677419E+01,6.32138364779874E+01,6.87578616352201E+01,7.64842767295597E+01,7.22798742138364E+01,9.04905660377358E+01,1.21013810420590E+02,1.06796116504854E+02,1.17187500000000E+02,1.11455108359133E+02,1.19996960486322E+02,1.50488023952095E+02,1.53598240469208E+02,1.56034482758620E+02,1.24184859654096E+02,1.61734544389100E+02,1.76159718144450E+02,1.94923221560639E+02,2.64637223974763E+02,2.56838607594936E+02,2.50636942675159E+02,2.82371794871794E+02,3.14006514657980E+02,3.47524752475247E+02,3.51006711409395E+02,3.45027247956403E+02,3.56357388316151E+02,2.88415262976968E+02,3.40096286107290E+02,3.61220770288858E+02,3.19383997321727E+02,3.14487632508833E+02,2.70935960591132E+02,3.40949033391915E+02,3.39261862917398E+02,3.95460229246266E+02,3.85699553111034E+02,3.88617318435754E+02,3.60490266762797E+02,2.52150848069289E+02,3.63408602150537E+02,3.75252597635256E+02,6.43952380952380E+02,3.87931034482758E+02,,,,
AG.CRP.BLY.CD,"Producer Price for Barley (per tonne, current US$)",TUN,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62229999999999E+02,1.69599999999999E+02,1.49440000000000E+02,1.48289999999999E+02,1.58599999999999E+02,1.74639999999999E+02,1.53720000000000E+02,1.49289999999999E+02,1.43310000000000E+02,1.24030000000000E+02,1.18160000000000E+02,1.19569999999999E+02,1.31940000000000E+02,1.36539999999999E+02,1.38930000000000E+02,1.35259999999999E+02,1.56180000000000E+02,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",TUN,Tunisia,,,,,,,2.50000000000000E+01,2.80000000000000E+01,2.80000000000000E+01,2.80000000000000E+01,2.80000000000000E+01,2.80000000000000E+01,2.80000000000000E+01,3.00000000000000E+01,4.00000000000000E+01,4.50000000000000E+01,4.50000000000000E+01,5.00000000000000E+01,5.50000000000000E+01,5.50000000000000E+01,5.90000000000000E+01,6.90000000000000E+01,8.00000000000000E+01,9.50000000000000E+01,1.00000000000000E+02,1.05000000000000E+02,1.10000000000000E+02,1.20000000000000E+02,1.40000000000000E+02,1.45000000000000E+02,1.50000000000000E+02,1.50000000000000E+02,1.50000000000000E+02,1.50000000000000E+02,1.50000000000000E+02,1.50000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.70000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,2.00000000000000E+02,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",TUN,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69599999999999E+02,1.49440000000000E+02,1.48289999999999E+02,1.58599999999999E+02,1.74639999999999E+02,,,,,,,,,,,,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",TUN,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50000000000000E+02,1.50000000000000E+02,1.50000000000000E+02,1.50000000000000E+02,1.70000000000000E+02,,,,,,,,,,,,,,
AG.CRP.SGM.CD,"Producer Price for Sorghum (per tonne, current US$)",TUN,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73400000000000E+01,1.08540000000000E+02,9.56400000000000E+01,9.49000000000000E+01,1.06790000000000E+02,1.07870000000000E+02,9.49500000000000E+01,9.22099999999999E+01,8.85199999999999E+01,7.87900000000000E+01,7.50699999999999E+01,7.59599999999999E+01,8.53700000000000E+01,8.97999999999999E+01,8.71400000000000E+01,8.72399999999999E+01,9.50400000000000E+01,,,
AG.CRP.SGM.CN,"Producer Price for Sorghum (per tonne, current LCU)",TUN,Tunisia,,,,,,,2.00000000000000E+01,2.00000000000000E+01,3.50000000000000E+01,3.50000000000000E+01,3.50000000000000E+01,3.50000000000000E+01,3.50000000000000E+01,3.60000000000000E+01,4.40000000000000E+01,4.80000000000000E+01,4.80000000000000E+01,5.20000000000000E+01,5.60000000000000E+01,5.60000000000000E+01,6.30000000000000E+01,6.90000000000000E+01,7.00000000000000E+01,7.00000000000000E+01,7.50000000000000E+01,7.50000000000000E+01,7.70000000000000E+01,8.00000000000000E+01,8.00000000000000E+01,8.50000000000000E+01,9.00000000000000E+01,9.00000000000000E+01,9.60000000000000E+01,9.60000000000000E+01,9.60000000000000E+01,1.01000000000000E+02,1.05000000000000E+02,1.05000000000000E+02,1.05000000000000E+02,1.05000000000000E+02,1.08000000000000E+02,1.08000000000000E+02,1.08000000000000E+02,1.10000000000000E+02,1.11800000000000E+02,1.12900000000000E+02,1.16099999999999E+02,1.21700000000000E+02,,,
