Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",UGA,Uganda,,5.25000000000000E+02,5.30000000000000E+02,5.40000000000000E+02,5.40000000000000E+02,5.79000000000000E+02,8.24000000000000E+02,9.40000000000000E+02,1.05000000000000E+03,1.17000000000000E+03,1.28000000000000E+03,1.40000000000000E+03,1.51000000000000E+03,1.63000000000000E+03,1.74300000000000E+03,1.73100000000000E+03,1.65600000000000E+03,2.07600000000000E+03,2.20000000000000E+03,2.40000000000000E+03,2.60000000000000E+03,2.75000000000000E+03,3.00000000000000E+03,3.30000000000000E+03,3.50000000000000E+03,3.65000000000000E+03,3.75000000000000E+03,4.00000000000000E+03,4.20000000000000E+03,4.40000000000000E+03,4.50000000000000E+03,4.60000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,4.70000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",UGA,Uganda,,,,,,,,,,,5.71000000000000E+04,6.00000000000000E+02,2.00000000000000E+02,,,,,,,1.67000000000000E+04,5.69240000000000E+04,4.85300000000000E+04,1.43350000000000E+04,1.03850000000000E+04,3.12370000000000E+04,6.73900000000000E+03,1.50130000000000E+04,2.92860000000000E+04,1.68800000000000E+04,2.13960000000000E+04,1.44440000000000E+04,2.22410000000000E+04,1.15430000000000E+04,1.89320000000000E+04,2.83630000000000E+04,1.74910000000000E+04,4.69490000000000E+04,5.28850000000000E+04,3.80030000000000E+04,5.04710000000000E+04,4.80780000000000E+04,4.62910000000000E+04,1.12769000000000E+05,1.15665000000000E+05,1.16944000000000E+05,1.42350000000000E+05,3.57070000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),UGA,Uganda,,2.60000000000000E+03,2.70000000000000E+03,3.20000000000000E+03,3.60000000000000E+03,4.36400000000000E+03,5.27200000000000E+03,3.77600000000000E+03,4.72600000000000E+03,4.57000000000000E+03,7.00000000000000E+03,8.10000000000000E+03,7.69600000000000E+03,7.18700000000000E+03,3.60000000000000E+03,1.68900000000000E+03,1.65600000000000E+03,1.10000000000000E+03,3.00000000000000E+02,0.00000000000000E+00,8.00000000000000E+02,6.00000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,5.00000000000000E+02,2.00000000000000E+02,3.88000000000000E+02,1.17500000000000E+03,1.31000000000000E+02,3.55000000000000E+02,1.92000000000000E+02,1.20000000000000E+03,8.00000000000000E+02,2.20000000000000E+03,1.90000000000000E+03,1.30000000000000E+03,6.00000000000000E+02,6.00000000000000E+02,3.53500000000000E+03,4.47900000000000E+03,6.63900000000000E+03,5.80000000000000E+03,7.46500000000000E+03,9.33400000000000E+03,8.75800000000000E+03,5.75600000000000E+03,7.65200000000000E+03,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),UGA,Uganda,,8.25396825396825E+00,8.43750000000000E+00,9.78892627714897E+00,9.51122853368560E+00,1.15817409766454E+01,1.39618644067796E+01,1.00106044538706E+01,1.25026455026455E+01,1.20899470899470E+01,1.85185185185185E+01,2.13157894736842E+01,1.99896103896103E+01,1.84282051282051E+01,9.11392405063291E+00,4.19627329192546E+00,4.06679764243614E+00,2.73427790206313E+00,7.35294117647058E-01,0.00000000000000E+00,1.96078431372549E+00,1.45631067961165E+00,0.00000000000000E+00,0.00000000000000E+00,1.04166666666666E+00,4.08163265306122E-01,7.76000000000000E-01,2.35000000000000E+00,2.62000000000000E-01,7.09999999999999E-01,3.84000000000000E-01,2.39043824701195E+00,1.58730158730158E+00,4.36507936507936E+00,3.75494071146245E+00,2.56916996047430E+00,1.18577075098814E+00,1.18577075098814E+00,6.98616600790513E+00,8.85177865612648E+00,1.31205533596837E+01,1.13725490196078E+01,1.46372549019607E+01,1.79499999999999E+01,1.65245283018867E+01,1.06592592592592E+01,1.41703703703703E+01,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",UGA,Uganda,,1.39829830000000E+07,1.44403630000000E+07,1.49127050000000E+07,1.54004960000000E+07,1.59042430000000E+07,1.64244680000000E+07,1.69617080000000E+07,1.75165240000000E+07,1.80894840000000E+07,1.86811880000000E+07,1.91167640000000E+07,1.95674080000000E+07,2.00377960000000E+07,2.05164760000000E+07,2.11688440000000E+07,2.18002040000000E+07,2.24748000000000E+07,2.34791760000000E+07,2.48669120000000E+07,2.57743340000000E+07,2.61833260000000E+07,2.63117660000000E+07,2.64670100000000E+07,2.70160580000000E+07,2.76702840000000E+07,2.81715860000000E+07,2.84728360000000E+07,2.85730120000000E+07,2.88568560000000E+07,2.92654820000000E+07,2.98659180000000E+07,3.06792120000000E+07,3.12250800000000E+07,3.19320260000000E+07,3.21813920000000E+07,3.26223480000000E+07,3.30450240000000E+07,3.33681000000000E+07,3.37263200000000E+07,3.40903200000000E+07,3.46110160000000E+07,3.51418240000000E+07,3.56829520000000E+07,3.62346000000000E+07,3.67970000000000E+07,3.73432970000000E+07,3.79002000000000E+07,,,
AG.LND.AGRI.HA,Agricultural land (hectares),UGA,Uganda,,9.01800000000000E+06,9.11400000000000E+06,9.25800000000000E+06,9.87300000000000E+06,9.87100000000000E+06,9.88500000000000E+06,9.88800000000000E+06,9.92500000000000E+06,9.95000000000000E+06,9.98000000000000E+06,1.00300000000000E+07,1.01000000000000E+07,1.01800000000000E+07,1.02640000000000E+07,1.04070000000000E+07,1.05380000000000E+07,1.05380000000000E+07,1.06100000000000E+07,1.06100000000000E+07,1.06800000000000E+07,1.07600000000000E+07,1.08400000000000E+07,1.13000000000000E+07,1.15000000000000E+07,1.16000000000000E+07,1.18170000000000E+07,1.18170000000000E+07,1.18170000000000E+07,1.18620000000000E+07,1.19620000000000E+07,1.20320000000000E+07,1.20520000000000E+07,1.20820000000000E+07,1.21020000000000E+07,1.21220000000000E+07,1.21720000000000E+07,1.21720000000000E+07,1.22220000000000E+07,1.22220000000000E+07,1.22720000000000E+07,1.23120000000000E+07,1.23120000000000E+07,1.24620000000000E+07,1.26120000000000E+07,1.27120000000000E+07,1.27120000000000E+07,1.28120000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),UGA,Uganda,,9.01800000000000E+04,9.11400000000000E+04,9.25800000000000E+04,9.87300000000000E+04,9.87100000000000E+04,9.88500000000000E+04,9.88800000000000E+04,9.92500000000000E+04,9.95000000000000E+04,9.98000000000000E+04,1.00300000000000E+05,1.01000000000000E+05,1.01800000000000E+05,1.02640000000000E+05,1.04070000000000E+05,1.05380000000000E+05,1.05380000000000E+05,1.06100000000000E+05,1.06100000000000E+05,1.06800000000000E+05,1.07600000000000E+05,1.08400000000000E+05,1.13000000000000E+05,1.15000000000000E+05,1.16000000000000E+05,1.18170000000000E+05,1.18170000000000E+05,1.18170000000000E+05,1.18620000000000E+05,1.19620000000000E+05,1.20320000000000E+05,1.20520000000000E+05,1.20820000000000E+05,1.21020000000000E+05,1.21220000000000E+05,1.21720000000000E+05,1.21720000000000E+05,1.22220000000000E+05,1.22220000000000E+05,1.22720000000000E+05,1.23120000000000E+05,1.23120000000000E+05,1.24620000000000E+05,1.26120000000000E+05,1.27120000000000E+05,1.27120000000000E+05,1.28120000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),UGA,Uganda,,4.57534246575342E+01,4.62404870624048E+01,4.69710806697108E+01,5.00913242009132E+01,5.00811770674784E+01,5.01522070015220E+01,5.01674277016742E+01,5.03551496702181E+01,5.04819888381532E+01,5.06341958396752E+01,5.08878741755454E+01,5.12430238457635E+01,5.16489091831557E+01,5.20750887874175E+01,5.28006088280060E+01,5.34652460679857E+01,5.34652460679857E+01,5.38305428716387E+01,5.38305428716387E+01,5.41856925418569E+01,5.45915778792491E+01,5.49974632166412E+01,5.73313039066463E+01,5.83460172501268E+01,5.88533739218670E+01,5.99543378995433E+01,5.99543378995433E+01,5.99543378995433E+01,6.01826484018264E+01,6.06900050735667E+01,6.10451547437848E+01,6.11466260781329E+01,6.12988330796550E+01,6.14003044140030E+01,6.15017757483510E+01,6.17554540842212E+01,6.17554540842212E+01,6.20091324200913E+01,6.20091324200913E+01,6.22628107559614E+01,6.24657534246575E+01,6.24657534246575E+01,6.32267884322678E+01,6.39878234398782E+01,6.44951801116184E+01,6.44951801116184E+01,6.50025367833586E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),UGA,Uganda,,3.15000000000000E+06,3.20000000000000E+06,3.26900000000000E+06,3.78500000000000E+06,3.76800000000000E+06,3.77600000000000E+06,3.77200000000000E+06,3.78000000000000E+06,3.78000000000000E+06,3.78000000000000E+06,3.80000000000000E+06,3.85000000000000E+06,3.90000000000000E+06,3.95000000000000E+06,4.02500000000000E+06,4.07200000000000E+06,4.02300000000000E+06,4.08000000000000E+06,4.08000000000000E+06,4.08000000000000E+06,4.12000000000000E+06,4.18000000000000E+06,4.60000000000000E+06,4.80000000000000E+06,4.90000000000000E+06,5.00000000000000E+06,5.00000000000000E+06,5.00000000000000E+06,5.00000000000000E+06,5.00000000000000E+06,5.02000000000000E+06,5.04000000000000E+06,5.04000000000000E+06,5.06000000000000E+06,5.06000000000000E+06,5.06000000000000E+06,5.06000000000000E+06,5.06000000000000E+06,5.06000000000000E+06,5.06000000000000E+06,5.10000000000000E+06,5.10000000000000E+06,5.20000000000000E+06,5.30000000000000E+06,5.40000000000000E+06,5.40000000000000E+06,5.50000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),UGA,Uganda,,4.49628350052371E-01,4.42016728951888E-01,4.36626279960122E-01,4.88678853813754E-01,4.70263215107729E-01,4.55554098436602E-01,4.39939047681251E-01,4.26435720512223E-01,4.12893461253116E-01,4.00292276900594E-01,3.90656122378170E-01,3.84650006958668E-01,3.78886611575257E-01,3.73119137129406E-01,3.69488527817253E-01,3.63017761660296E-01,3.48098639888712E-01,3.42517187352955E-01,3.32291366426892E-01,3.22392124276474E-01,3.15916784758456E-01,3.11025188129314E-01,3.31945081273866E-01,3.35493867242001E-01,3.31183300359191E-01,3.26251330452925E-01,3.14582378051511E-01,3.03172628798950E-01,2.92267319849054E-01,2.81994074853296E-01,2.73412810043726E-01,2.65282300107023E-01,2.56568993464057E-01,2.49317640775161E-01,2.41486076681183E-01,2.34072976182380E-01,2.27025501559229E-01,2.20243129263130E-01,2.13620935223166E-01,2.07098289789690E-01,2.02253324112696E-01,1.95887687525491E-01,1.93377533487410E-01,1.90792230177218E-01,1.88158194350341E-01,1.82114138754920E-01,1.79518306036541E-01,,,
