Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",ZMB,Zambia,,2.43500000000000E+03,2.76000000000000E+03,2.00000000000000E+03,1.60000000000000E+03,1.60000000000000E+03,1.80000000000000E+03,2.06000000000000E+03,2.24900000000000E+03,2.70000000000000E+03,3.18000000000000E+03,3.40000000000000E+03,3.60000000000000E+03,3.70000000000000E+03,4.00000000000000E+03,4.10000000000000E+03,4.20000000000000E+03,4.30000000000000E+03,4.40000000000000E+03,4.50000000000000E+03,4.64000000000000E+03,4.78000000000000E+03,4.92000000000000E+03,5.06000000000000E+03,5.20000000000000E+03,5.34000000000000E+03,5.48000000000000E+03,5.62800000000000E+03,5.70000000000000E+03,5.80000000000000E+03,5.90000000000000E+03,5.95000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,6.00000000000000E+03,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",ZMB,Zambia,,,,,,,,,,,2.00000000000000E+02,5.00000000000000E+02,2.00000000000000E+02,1.00000000000000E+02,5.00000000000000E+03,5.30000000000000E+03,2.80000000000000E+04,1.55000000000000E+04,4.99610000000000E+04,1.66500000000000E+05,8.44160000000000E+04,1.00010000000000E+05,8.34130000000000E+04,7.16290000000000E+04,1.16349000000000E+05,8.46290000000000E+04,1.15554000000000E+05,1.45420000000000E+05,6.59840000000000E+04,2.84800000000000E+03,1.33880000000000E+04,3.38360000000000E+05,5.07010000000000E+05,3.36000000000000E+03,3.40000000000000E+03,6.08150000000000E+04,3.20600000000000E+03,2.32400000000000E+03,3.47630000000000E+04,1.80250000000000E+04,1.74000000000000E+03,5.74130000000000E+04,7.15880000000000E+04,4.87200000000000E+04,6.69400000000000E+04,7.35790000000000E+04,1.86870000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),ZMB,Zambia,,1.02000000000000E+04,8.51000000000000E+03,9.15000000000000E+03,1.05500000000000E+04,1.10000000000000E+04,1.22000000000000E+04,1.48000000000000E+04,1.91000000000000E+04,1.64090000000000E+04,3.61990000000000E+04,5.32980000000000E+04,4.17630000000000E+04,4.34510000000000E+04,6.20000000000000E+04,5.33000000000000E+04,5.85000000000000E+04,6.75000000000000E+04,5.06000000000000E+04,5.77150000000000E+04,7.86000000000000E+04,8.52000000000000E+04,8.31840000000000E+04,6.86970000000000E+04,5.62560000000000E+04,8.01510000000000E+04,7.69740000000000E+04,9.52750000000000E+04,8.68400000000000E+04,7.93000000000000E+04,5.95000000000000E+04,6.24910000000000E+04,8.45000000000000E+04,8.54000000000000E+04,5.90000000000000E+04,5.50000000000000E+04,5.14000000000000E+04,5.67000000000000E+04,3.67000000000000E+04,3.40120000000000E+04,3.13910000000000E+04,3.64000000000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.30720000000000E+04,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),ZMB,Zambia,,2.12854757929883E+01,1.77476538060479E+01,1.90149625935162E+01,2.18336092715231E+01,2.26757369614512E+01,2.50461917470745E+01,3.02596606011040E+01,3.89002036659877E+01,3.32839756592292E+01,7.32921644057501E+01,1.07261018313543E+02,8.40470919702153E+01,8.73738186205509E+01,1.24673235471546E+02,1.06856455493183E+02,1.17093674939951E+02,1.35135135135135E+02,1.00297324083250E+02,1.14423076923076E+02,1.54299175500588E+02,1.65662064942640E+02,1.61742173828504E+02,1.33599766627771E+02,1.09404900816802E+02,1.55000966930961E+02,1.48857087603945E+02,1.83574181117533E+02,1.66360153256704E+02,1.51076395503905E+02,1.13354924747570E+02,1.19075838414634E+02,1.60860460689130E+02,1.62604722010662E+02,1.12338156892612E+02,1.04562737642585E+02,9.77186311787072E+01,1.07794676806083E+02,6.97718631178707E+01,6.46615969581749E+01,5.96787072243346E+01,6.92015209125475E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.38920152091254E+02,,,,
AG.FRST.PROD.WOOD,"Wood fuel production quantity (CUM, solid volume units)",ZMB,Zambia,,3.30000000000000E+06,3.40000000000000E+06,3.50000000000000E+06,2.82500000000000E+06,2.90500000000000E+06,2.98500000000000E+06,3.06000000000000E+06,3.15000000000000E+06,3.18500000000000E+06,3.33500000000000E+06,3.37500000000000E+06,3.47000000000000E+06,3.64000000000000E+06,3.79000000000000E+06,3.91000000000000E+06,4.03500000000000E+06,4.16000000000000E+06,4.29500000000000E+06,4.38500000000000E+06,4.51000000000000E+06,4.64500000000000E+06,4.78500000000000E+06,4.93500000000000E+06,5.09500000000000E+06,5.27500000000000E+06,5.44000000000000E+06,5.61000000000000E+06,5.77500000000000E+06,6.19200000000000E+06,6.39800000000000E+06,6.60400000000000E+06,6.80900000000000E+06,7.01500000000000E+06,7.21900000000000E+06,7.21900000000000E+06,7.21900000000000E+06,7.21900000000000E+06,7.21900000000000E+06,7.21900000000000E+06,8.30200000000000E+06,8.38500000000000E+06,8.46800000000000E+06,8.55100000000000E+06,8.63400000000000E+06,8.79800000000000E+06,8.79800000000000E+06,8.70490000000000E+06,,,
AG.LND.AGRI.HA,Agricultural land (hectares),ZMB,Zambia,,2.15500000000000E+07,2.16030000000000E+07,2.16400000000000E+07,2.16900000000000E+07,2.17600000000000E+07,2.18200000000000E+07,2.18800000000000E+07,2.19400000000000E+07,2.20000000000000E+07,2.20500000000000E+07,2.21300000000000E+07,2.21600000000000E+07,2.22050000000000E+07,2.22350000000000E+07,2.23000000000000E+07,2.23580000000000E+07,2.23880000000000E+07,2.24780000000000E+07,2.25180000000000E+07,2.26080000000000E+07,2.27080000000000E+07,2.27380000000000E+07,2.27780000000000E+07,2.28080000000000E+07,2.28880000000000E+07,2.29280000000000E+07,2.29880000000000E+07,2.30580000000000E+07,2.31180000000000E+07,2.31680000000000E+07,2.33180000000000E+07,2.35380000000000E+07,2.36730000000000E+07,2.38730000000000E+07,2.40670000000000E+07,2.42480000000000E+07,2.44190000000000E+07,2.45850000000000E+07,2.47660000000000E+07,2.49370000000000E+07,2.50880000000000E+07,2.52740000000000E+07,2.54390000000000E+07,2.54890000000000E+07,2.55390000000000E+07,2.55890000000000E+07,2.55890000000000E+07,,,
AG.LND.AGRI.K2,Agricultural land (sq. km),ZMB,Zambia,,2.15500000000000E+05,2.16030000000000E+05,2.16400000000000E+05,2.16900000000000E+05,2.17600000000000E+05,2.18200000000000E+05,2.18800000000000E+05,2.19400000000000E+05,2.20000000000000E+05,2.20500000000000E+05,2.21300000000000E+05,2.21600000000000E+05,2.22050000000000E+05,2.22350000000000E+05,2.23000000000000E+05,2.23580000000000E+05,2.23880000000000E+05,2.24780000000000E+05,2.25180000000000E+05,2.26080000000000E+05,2.27080000000000E+05,2.27380000000000E+05,2.27780000000000E+05,2.28080000000000E+05,2.28880000000000E+05,2.29280000000000E+05,2.29880000000000E+05,2.30580000000000E+05,2.31180000000000E+05,2.31680000000000E+05,2.33180000000000E+05,2.35380000000000E+05,2.36730000000000E+05,2.38730000000000E+05,2.40670000000000E+05,2.42480000000000E+05,2.44190000000000E+05,2.45850000000000E+05,2.47660000000000E+05,2.49370000000000E+05,2.50880000000000E+05,2.52740000000000E+05,2.54390000000000E+05,2.54890000000000E+05,2.55390000000000E+05,2.55890000000000E+05,2.55890000000000E+05,,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),ZMB,Zambia,,2.89888214799768E+01,2.90601164933614E+01,2.91098884838375E+01,2.91771479304268E+01,2.92713111556518E+01,2.93520224915589E+01,2.94327338274660E+01,2.95134451633731E+01,2.95941564992803E+01,2.96614159458695E+01,2.97690310604124E+01,2.98093867283660E+01,2.98699202302963E+01,2.99102758982499E+01,2.99977131788159E+01,3.00757341368595E+01,3.01160898048130E+01,3.02371568086737E+01,3.02909643659451E+01,3.04120313698058E+01,3.05465502629844E+01,3.05869059309380E+01,3.06407134882094E+01,3.06810691561629E+01,3.07886842707058E+01,3.08424918279772E+01,3.09232031638843E+01,3.10173663891093E+01,3.10980777250164E+01,3.11653371716057E+01,3.13671155113735E+01,3.16630570763663E+01,3.18446575821574E+01,3.21136953685145E+01,3.23746620212808E+01,3.26181412179340E+01,3.28481685252693E+01,3.30714698879457E+01,3.33149490845989E+01,3.35449763919342E+01,3.37480999206338E+01,3.39983050619459E+01,3.42202612356905E+01,3.42875206822798E+01,3.43547801288691E+01,3.44220395754583E+01,3.44220395754583E+01,,,
AG.LND.ARBL.HA,Arable land (hectares),ZMB,Zambia,,4.79200000000000E+06,4.79500000000000E+06,4.81200000000000E+06,4.83200000000000E+06,4.85100000000000E+06,4.87100000000000E+06,4.89100000000000E+06,4.91000000000000E+06,4.93000000000000E+06,4.93900000000000E+06,4.96900000000000E+06,4.96900000000000E+06,4.97300000000000E+06,4.97300000000000E+06,4.98800000000000E+06,4.99600000000000E+06,4.99500000000000E+06,5.04500000000000E+06,5.04400000000000E+06,5.09400000000000E+06,5.14300000000000E+06,5.14300000000000E+06,5.14200000000000E+06,5.14200000000000E+06,5.17100000000000E+06,5.17100000000000E+06,5.19000000000000E+06,5.22000000000000E+06,5.24900000000000E+06,5.24900000000000E+06,5.24800000000000E+06,5.25300000000000E+06,5.25200000000000E+06,5.25200000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,5.26000000000000E+06,,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),ZMB,Zambia,,1.52889587683071E+00,1.48511370953529E+00,1.44618983675966E+00,1.40875949863089E+00,1.37173202729890E+00,1.33578899853943E+00,1.30055678508531E+00,1.26551903936021E+00,1.23090628408867E+00,1.19369033512028E+00,1.16165495972196E+00,1.12303175632764E+00,1.08627794822999E+00,1.04996596530995E+00,1.01823951124503E+00,9.86456364805622E-01,9.54245868755372E-01,9.32722512556626E-01,9.02552430440924E-01,8.82206395771228E-01,8.62107693225774E-01,8.34544529027561E-01,8.07847082811081E-01,7.82339395626841E-01,7.62128618895012E-01,7.38471117724806E-01,7.18383545667116E-01,7.00602773393790E-01,6.83502255661616E-01,6.63566902815071E-01,6.44576888946206E-01,6.27263051770277E-01,6.09923426273879E-01,5.93135082562325E-01,5.77523213743207E-01,5.61221953039592E-01,5.45266670647320E-01,5.29965733584412E-01,5.15666456740093E-01,5.02518419784016E-01,4.90504586544265E-01,4.79391409870997E-01,4.68849162489214E-01,4.58496560142632E-01,4.48100734408139E-01,4.37622889041548E-01,4.27158094459109E-01,,,
