Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",ZWE,Zimbabwe,,1.25670000000000E+04,1.28600000000000E+04,1.30000000000000E+04,1.33000000000000E+04,1.36000000000000E+04,1.39000000000000E+04,1.42000000000000E+04,1.43000000000000E+04,1.47000000000000E+04,1.50000000000000E+04,1.53000000000000E+04,1.55000000000000E+04,1.57000000000000E+04,1.58000000000000E+04,1.60000000000000E+04,1.64000000000000E+04,1.65000000000000E+04,1.66000000000000E+04,1.66000000000000E+04,1.67170000000000E+04,1.63730000000000E+04,1.62400000000000E+04,1.57630000000000E+04,1.58760000000000E+04,1.59000000000000E+04,1.60750000000000E+04,1.59250000000000E+04,1.61420000000000E+04,1.67600000000000E+04,1.73800000000000E+04,1.80000000000000E+04,1.86150000000000E+04,1.92350000000000E+04,1.98500000000000E+04,2.05000000000000E+04,2.10690000000000E+04,2.24960000000000E+04,2.30000000000000E+04,2.40000000000000E+04,2.40000000000000E+04,2.40000000000000E+04,2.40000000000000E+04,2.40000000000000E+04,2.40000000000000E+04,2.40000000000000E+04,2.40000000000000E+04,,,,
AG.AID.CREL.MT,"Cereal food aid shipments (FAO, tonnes)",ZWE,Zimbabwe,,,,,,,,,,,,,,,,,,,,,1.77140000000000E+04,,6.40000000000000E+03,7.59190000000000E+04,1.31254000000000E+05,,3.76790000000000E+04,4.54100000000000E+03,7.05600000000000E+03,1.11210000000000E+04,,7.66980000000000E+04,8.90509000000000E+05,9.03600000000000E+03,1.65000000000000E+02,7.00000000000000E+03,1.35000000000000E+03,,8.11440000000000E+04,1.06370000000000E+04,4.38600000000000E+03,6.12370000000000E+04,2.69996000000000E+05,4.18345000000000E+05,3.82710000000000E+04,1.15409000000000E+05,6.76060000000000E+04,,,,
AG.CON.FERT.MT,Fertilizer consumption (metric tons),ZWE,Zimbabwe,,4.13900000000000E+04,3.91100000000000E+04,4.81000000000000E+04,6.90000000000000E+04,7.50000000000000E+04,7.52000000000000E+04,8.42000000000000E+04,8.30000000000000E+04,9.42000000000000E+04,1.06300000000000E+05,1.33400000000000E+05,1.27900000000000E+05,1.53300000000000E+05,1.54500000000000E+05,1.47208000000000E+05,1.21935000000000E+05,9.61950000000000E+04,1.12900000000000E+05,1.12405000000000E+05,1.73462000000000E+05,1.73442000000000E+05,1.54068000000000E+05,1.54500000000000E+05,1.33000000000000E+05,1.70135000000000E+05,1.54960000000000E+05,1.39922000000000E+05,1.59397000000000E+05,1.55611000000000E+05,1.67685000000000E+05,1.64322000000000E+05,1.13600000000000E+05,1.59416000000000E+05,1.70700000000000E+05,1.45000000000000E+05,1.68000000000000E+05,1.75000000000000E+05,1.75000000000000E+05,1.85000000000000E+05,1.65300000000000E+05,1.52200000000000E+05,1.30311000000000E+05,1.46032000000000E+05,8.63520000000000E+04,8.50180000000000E+04,1.32661000000000E+05,,,,
AG.CON.FERT.ZS,Fertilizer consumption (100 grams per hectare of arable land),ZWE,Zimbabwe,,2.19575596816976E+02,2.02118863049095E+02,2.42317380352644E+02,3.39066339066339E+02,3.63196125907990E+02,3.52224824355971E+02,3.85354691075514E+02,3.71364653243847E+02,4.12253829321663E+02,4.55246252676659E+02,5.59329140461215E+02,5.29606625258799E+02,6.34782608695652E+02,6.26774847870182E+02,5.97192697768762E+02,4.94665314401622E+02,3.90243407707910E+02,4.58012170385395E+02,4.56004056795131E+02,6.92463073852295E+02,6.82036964215493E+02,5.96931421929484E+02,5.89919816723940E+02,5.00564546480993E+02,6.31298701298701E+02,5.66995975118916E+02,5.04041786743515E+02,5.66442786069651E+02,5.45620617110799E+02,5.80224913494809E+02,5.60825938566552E+02,3.82491582491582E+02,5.29621262458471E+02,5.59672131147540E+02,4.69255663430420E+02,5.29133858267716E+02,5.36645200858632E+02,5.41795665634674E+02,5.72755417956656E+02,5.11764705882352E+02,4.71207430340557E+02,4.03439628482972E+02,4.52111455108359E+02,2.67343653250773E+02,2.63213622291021E+02,4.10715170278637E+02,,,,
AG.CRP.BLY.CD,"Producer Price for Barley (per tonne, current US$)",ZWE,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43590000000000E+02,2.35360000000000E+02,2.39080000000000E+02,1.90150000000000E+02,2.19259999999999E+02,2.19949999999999E+02,4.12839999999999E+02,2.95620000000000E+02,1.95819999999999E+02,2.22880000000000E+02,4.54120000000000E+02,,1.10405999999999E+03,3.42930000000000E+02,3.06990000000000E+02,,,,,
AG.CRP.BLY.CN,"Producer Price for Barley (per tonne, current LCU)",ZWE,Zimbabwe,,,,,,,7.63799999999999E+01,7.27500000000000E+01,7.90499999999999E+01,7.39599999999999E+01,9.05699999999999E+01,7.32900000000000E+01,8.04300000000000E+01,8.94300000000000E+01,8.70999999999999E+01,1.01599999999999E+02,1.18599999999999E+02,1.30000000000000E+02,1.40000000000000E+02,1.60000000000000E+02,1.70000000000000E+02,1.80000000000000E+02,1.84000000000000E+02,2.12000000000000E+02,2.41000000000000E+02,2.75000000000000E+02,2.89500000000000E+02,3.30000000000000E+02,3.65000000000000E+02,4.00000000000000E+02,4.60000000000000E+02,5.20000000000000E+02,1.20000000000000E+03,1.55000000000000E+03,1.55000000000000E+03,1.90000000000000E+03,2.20000000000000E+03,5.00000000000000E+03,7.00000000000000E+03,7.50000000000000E+03,9.90000000000000E+03,2.50000000000000E+04,6.85000000000000E+04,7.70000000000000E+05,1.73523470000000E+06,6.86545509999999E+06,2.16158102599999E+08,6.65619679500000E+08,,,
AG.CRP.MLT.CD,"Producer Price for Millet (per tonne, current US$)",ZWE,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17999999999999E+01,6.86500000000000E+01,8.02099999999999E+01,6.37899999999999E+01,6.00099999999999E+01,6.49899999999999E+01,6.60499999999999E+01,4.22299999999999E+01,6.78799999999999E+01,9.00499999999999E+01,1.08989999999999E+02,,4.30149999999999E+02,1.48220000000000E+02,1.00610000000000E+02,,,,,
AG.CRP.MLT.CN,"Producer Price for Millet (per tonne, current LCU)",ZWE,Zimbabwe,,,,,,,2.95100000000000E+01,2.81099999999999E+01,3.05399999999999E+01,2.85799999999999E+01,3.49900000000000E+01,3.01099999999999E+01,2.95000000000000E+01,3.92999999999999E+01,3.37000000000000E+01,3.92999999999999E+01,4.57999999999999E+01,4.38999999999999E+01,4.42000000000000E+01,5.12999999999999E+01,7.47999999999999E+01,1.01200000000000E+02,1.20000000000000E+02,1.40000000000000E+02,2.50000000000000E+02,2.50000000000000E+02,2.50000000000000E+02,2.50000000000000E+02,2.50000000000000E+02,2.50000000000000E+02,2.50000000000000E+02,2.60000000000000E+02,3.50000000000000E+02,5.20000000000000E+02,5.20000000000000E+02,5.20000000000000E+02,6.50000000000000E+02,8.00000000000000E+02,1.00000000000000E+03,2.60000000000000E+03,4.00000000000000E+03,6.00000000000000E+03,3.00000000000000E+04,3.00000000000000E+05,7.50000000000000E+05,2.25000000000000E+06,3.13000000000000E+07,1.00260986800000E+08,,,
AG.CRP.MZE.CD,"Producer Price for Maize (per tonne, current US$)",ZWE,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45600000000000E+01,1.07880000000000E+02,1.38819999999999E+02,1.10410000000000E+02,1.21170000000000E+02,1.19970000000000E+02,9.90799999999999E+01,1.22470000000000E+02,1.09660000000000E+02,1.23819999999999E+02,2.72470000000000E+02,,4.30149999999999E+02,1.48220000000000E+02,1.00520000000000E+02,,,,,
AG.CRP.MZE.CN,"Producer Price for Maize (per tonne, current LCU)",ZWE,Zimbabwe,,,,,,,3.47199999999999E+01,3.30700000000000E+01,3.59300000000000E+01,3.36199999999999E+01,4.11700000000000E+01,3.54200000000000E+01,3.05000000000000E+01,4.62000000000000E+01,3.96000000000000E+01,4.62000000000000E+01,5.38999999999999E+01,5.17000000000000E+01,5.20000000000000E+01,6.02999999999999E+01,8.90400000000000E+01,1.20000000000000E+02,1.19630000000000E+02,1.19580000000000E+02,1.39590000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.80000000000000E+02,1.95000000000000E+02,2.15000000000000E+02,2.25000000000000E+02,2.70000000000000E+02,5.50000000000000E+02,9.00000000000000E+02,9.00000000000000E+02,1.05000000000000E+03,1.20000000000000E+03,1.20000000000000E+03,2.90000000000000E+03,4.20000000000000E+03,5.50000000000000E+03,1.50000000000000E+04,2.80000000000000E+04,3.00000000000000E+05,7.50000000000000E+05,2.24802400000000E+06,3.13000000000000E+07,9.13008004000000E+07,,,
